DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.73,28.87,88.5,1.38
2019/09/02,26.78,28.66,89.81,2.27
2019/09/03,26.86,28.45,91.31,3.64
2019/09/04,26.94,28.3,92.5,3.38
2019/09/05,26.72,28.3,91.38,4.09
2019/09/06,26.66,28.74,89.0,4.34
2019/09/07,26.88,28.63,90.56,5.04
2019/09/08,26.81,28.63,90.19,4.5
2019/09/10,26.79,28.12,92.56,2.88
2019/09/11,26.85,28.53,90.94,2.49
2019/09/12,26.09,27.37,92.81,3.95
2019/09/13,26.0,27.78,90.38,4.37
2019/09/14,26.12,27.98,90.0,3.3
2019/09/15,26.51,28.65,88.75,2.62
2019/09/16,26.19,28.06,89.88,2.79
2019/09/17,25.95,27.74,90.25,1.98
2019/09/18,25.65,28.77,84.06,1.9
2019/09/19,25.5,29.17,81.75,1.61
2019/09/20,25.36,28.69,83.25,1.73
2019/09/21,25.3,28.72,82.56,1.28
2019/09/22,25.58,28.41,85.31,1.45
2019/09/23,25.39,27.23,90.06,2.46
2019/09/24,25.87,26.89,94.12,3.34
2019/09/27,23.91,26.21,87.56,1.42
2019/09/28,24.04,25.77,90.31,1.34
2019/09/29,23.74,25.04,92.56,2.29
2019/09/30,24.05,25.34,92.62,2.5
2019/10/01,24.56,26.72,88.31,3.22
2019/10/02,24.66,27.61,84.38,1.55
2019/10/03,25.19,27.69,86.56,1.66
2019/10/04,24.96,26.85,89.62,1.98
2019/10/05,24.91,27.15,88.0,1.66
2019/10/06,25.07,27.5,87.12,1.68
2019/10/07,24.88,26.73,89.88,1.55
2019/10/08,24.52,26.33,90.0,1.89
2019/10/09,24.23,25.79,91.31,2.45
2019/10/10,23.33,26.12,85.19,1.49
2019/10/11,23.3,26.47,83.12,1.67
2019/10/12,22.89,27.06,78.62,0.96
2019/10/13,22.85,25.96,83.5,2.3
2019/10/14,22.18,25.84,81.0,2.08
2019/10/15,22.19,26.09,80.0,1.75
2019/10/16,23.28,26.9,81.31,1.31
2019/10/17,24.35,27.09,85.62,1.63
2019/10/18,24.51,27.09,86.31,2.58
2019/10/19,23.76,26.49,85.44,2.3
2019/10/20,23.33,26.2,84.88,2.28
2019/10/21,23.28,26.05,85.31,2.05
2019/10/22,23.25,25.88,86.0,2.08
2019/10/23,21.87,24.78,84.62,2.23
2019/10/24,20.52,21.85,92.12,3.02
2019/10/25,22.27,23.33,93.81,3.8
2019/10/26,24.0,25.57,91.25,2.62
2019/10/27,22.23,24.35,88.5,2.56
2019/10/28,21.02,23.29,87.62,2.62
2019/10/29,20.86,23.12,87.56,2.38
