DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.08,29.82,86.12,1.35
2019/09/02,26.16,28.47,88.0,2.66
2019/09/03,26.5,28.34,90.0,3.27
2019/09/04,26.49,28.08,91.31,2.91
2019/09/05,26.32,27.85,91.56,3.09
2019/09/06,26.37,28.23,89.94,3.53
2019/09/07,26.17,27.54,92.38,4.45
2019/09/08,26.34,27.89,91.5,4.52
2019/09/10,27.05,28.02,94.38,3.44
2019/09/11,26.67,28.02,92.5,3.91
2019/09/12,26.37,27.5,93.5,5.67
2019/09/13,26.04,27.05,94.19,4.17
2019/09/14,25.83,27.48,90.94,2.84
2019/09/15,26.05,28.05,89.31,2.45
2019/09/16,25.99,27.8,90.19,2.23
2019/09/17,25.46,28.73,83.38,1.26
2019/09/18,25.29,29.44,79.06,0.87
2019/09/19,25.26,29.46,78.56,1.11
2019/09/20,25.08,29.0,80.06,1.19
2019/09/21,25.64,28.94,82.88,0.91
2019/09/22,25.53,28.33,85.31,1.27
2019/09/23,24.64,27.15,86.62,1.5
2019/09/24,24.6,26.48,89.56,1.66
2019/09/27,23.73,26.01,87.56,1.9
2019/09/28,23.67,26.01,87.31,1.38
2019/09/29,24.14,25.59,91.81,1.27
2019/09/30,24.3,25.92,91.06,2.3
2019/10/01,24.46,25.76,92.69,3.12
2019/10/02,24.73,26.55,90.19,2.55
2019/10/03,25.23,27.08,90.06,2.27
2019/10/04,24.93,27.05,88.56,1.77
2019/10/05,24.87,27.07,88.12,1.74
2019/10/06,24.8,27.06,87.75,1.53
2019/10/07,24.55,26.85,87.81,1.51
2019/10/08,23.99,26.34,87.25,1.19
2019/10/09,23.66,25.56,89.5,1.47
2019/10/10,23.93,25.07,93.44,2.45
2019/10/11,24.17,25.99,90.06,2.2
2019/10/12,23.52,26.27,85.44,1.62
2019/10/13,22.3,25.35,84.0,2.2
2019/10/14,22.19,25.55,82.81,1.77
2019/10/15,23.16,26.1,84.75,1.67
2019/10/16,23.5,27.18,81.25,1.26
2019/10/17,24.05,27.02,84.25,1.53
2019/10/18,24.19,27.28,83.56,1.64
2019/10/19,23.9,27.1,83.12,1.63
2019/10/20,23.65,26.29,86.0,1.93
2019/10/21,23.58,26.07,86.62,1.83
2019/10/22,23.92,26.22,87.44,1.43
2019/10/23,23.44,25.6,88.25,2.03
2019/10/24,21.27,22.66,91.88,3.25
2019/10/25,22.86,24.66,90.12,2.48
2019/10/26,24.84,25.76,94.69,2.62
2019/10/27,24.05,25.73,90.75,1.68
2019/10/28,22.3,24.25,89.25,2.42
2019/10/29,21.89,24.17,87.56,1.93
2019/10/30,21.66,24.79,83.31,1.51
2019/10/31,21.32,25.01,80.69,1.36
2019/11/01,22.08,24.98,84.5,1.53
2019/11/02,21.23,25.13,79.75,1.25
2019/11/03,20.69,25.12,77.31,0.98
2019/11/04,21.68,24.99,82.31,1.5
2019/11/05,21.61,25.33,80.69,1.23
2019/11/06,20.87,24.48,81.12,1.7
2019/11/07,20.26,24.8,77.31,1.52
2019/11/08,22.44,23.83,92.0,1.66
