DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.25,29.51,88.06,2.1
2019/09/02,27.73,29.74,89.38,2.27
2019/09/03,26.48,27.92,91.88,2.52
2019/09/04,26.24,27.43,93.25,2.66
2019/09/05,26.27,28.13,89.94,3.28
2019/09/06,26.72,28.8,89.0,3.53
2019/09/07,27.05,28.91,90.0,4.29
2019/09/08,26.92,28.81,89.81,4.05
2019/09/10,26.76,28.24,91.81,3.15
2019/09/11,27.07,28.67,91.25,2.98
2019/09/12,26.9,28.05,93.56,4.43
2019/09/13,26.19,27.83,91.0,3.48
2019/09/14,26.51,28.33,90.12,3.34
2019/09/15,26.74,28.63,89.81,2.6
2019/09/16,26.8,27.76,94.44,2.78
2019/09/17,25.69,27.33,90.88,2.52
2019/09/18,24.99,28.22,83.25,1.54
2019/09/19,25.14,28.79,81.38,1.34
2019/09/20,25.6,28.9,82.62,1.37
2019/09/21,25.33,29.43,79.31,0.73
2019/09/22,25.5,29.08,81.69,1.12
2019/09/23,25.37,27.01,90.81,2.03
2019/09/24,25.05,26.08,94.0,2.88
2019/09/27,23.74,26.08,87.12,0.95
2019/09/28,23.98,25.22,92.88,2.27
2019/09/29,22.89,23.69,95.19,3.23
2019/09/30,23.13,23.83,95.75,3.52
2019/10/01,24.51,25.97,91.88,3.23
2019/10/02,24.74,26.98,88.0,1.72
2019/10/03,24.65,27.26,85.94,1.86
2019/10/04,24.68,26.76,88.62,1.77
2019/10/05,24.56,27.01,86.81,1.59
2019/10/06,24.24,27.69,81.81,0.83
2019/10/07,24.48,27.4,84.31,0.73
2019/10/08,24.41,25.76,92.25,1.47
2019/10/09,23.29,25.03,90.19,1.65
2019/10/10,22.85,25.76,84.62,1.27
2019/10/11,22.86,25.73,84.62,1.55
2019/10/12,22.64,25.48,84.94,1.8
2019/10/13,21.84,24.79,84.5,1.64
2019/10/14,21.78,25.12,82.69,1.46
2019/10/15,22.59,25.75,83.19,1.7
2019/10/16,23.27,26.32,83.94,1.27
2019/10/17,23.04,26.01,84.56,1.39
2019/10/18,22.37,25.63,83.12,1.72
2019/10/19,21.71,24.73,84.12,1.91
2019/10/20,22.43,24.55,88.44,2.46
2019/10/21,22.68,24.34,90.81,3.34
2019/10/22,21.27,23.49,88.0,2.95
2019/10/23,19.96,22.3,87.31,1.88
2019/10/24,20.27,22.0,90.12,1.66
2019/10/25,20.83,21.89,93.62,4.13
2019/10/26,20.84,22.02,93.12,3.61
2019/10/27,20.55,22.61,88.62,1.67
2019/10/28,20.09,22.16,88.44,1.97
2019/10/29,20.63,22.88,87.44,1.77
2019/10/30,21.3,23.81,86.56,1.57
2019/10/31,21.39,23.92,86.5,2.01
2019/11/01,21.01,24.08,83.81,1.71
2019/11/02,21.18,23.96,84.94,2.0
2019/11/03,21.42,24.15,85.5,1.65
2019/11/04,21.54,24.4,84.81,1.7
2019/11/05,20.99,23.2,88.06,2.22
2019/11/06,18.19,22.21,79.62,1.76
2019/11/07,18.9,22.45,81.19,1.87
2019/11/08,21.4,23.44,88.81,2.49
2019/11/09,22.01,23.18,93.19,2.63
2019/11/10,21.26,23.04,90.12,3.73
2019/11/11,20.46,22.91,86.75,1.96
2019/11/12,18.62,21.54,84.5,1.95
2019/11/13,17.54,21.35,80.19,1.36
2019/11/14,20.4,22.74,87.25,2.05
2019/11/15,20.66,23.14,86.5,1.62
2019/11/16,19.92,22.05,88.5,2.62
2019/11/17,18.33,20.43,88.31,2.62
2019/11/18,17.83,20.43,85.56,1.85
2019/11/19,17.44,19.85,86.56,2.3
2019/11/20,14.42,19.51,74.5,1.21
2019/11/21,16.98,20.55,80.81,1.66
2019/11/22,17.61,20.53,84.31,1.76
2019/11/23,17.12,20.36,82.62,1.84
2019/11/24,17.69,20.15,86.19,1.99
2019/11/25,17.62,19.63,88.38,1.2
2019/11/26,18.38,21.19,84.94,1.45
2019/11/27,19.12,21.32,87.0,1.95
2019/11/28,19.01,21.71,85.0,1.7
2019/11/29,18.45,20.97,85.88,1.69
2019/11/30,16.94,19.46,86.19,2.59
2019/12/01,15.51,18.53,83.44,2.7
2019/12/03,13.8,17.33,80.75,1.97
2019/12/04,12.94,16.88,79.12,2.16
2019/12/05,15.16,17.97,84.44,2.76
2019/12/06,15.25,18.15,84.56,2.7
2019/12/07,14.5,17.8,82.0,2.38
2019/12/08,14.4,18.55,78.56,1.81
2019/12/09,15.54,18.41,83.88,1.74
2019/12/10,13.62,17.29,80.25,2.16
2019/12/11,13.75,17.4,80.12,2.05
2019/12/12,14.56,17.62,82.88,1.56
2019/12/13,15.77,18.43,85.31,1.94
2019/12/14,16.1,18.98,84.38,1.78
2019/12/15,15.17,17.97,84.69,2.29
2019/12/16,14.41,18.09,81.12,2.55
2019/12/17,13.78,16.19,86.38,3.3
2019/12/18,11.01,13.64,85.25,3.09
2019/12/19,9.3,11.97,84.88,2.56
2019/12/20,9.91,12.96,82.94,2.39
2019/12/21,9.65,12.9,81.81,2.02
2019/12/22,10.02,13.45,81.12,1.72
2019/12/23,11.26,14.24,83.12,2.05
2019/12/24,9.55,13.58,79.0,2.81
2019/12/25,9.02,12.94,79.06,2.34
2019/12/26,9.73,13.62,79.62,2.21
