DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.89,29.52,86.31,1.47
2019/09/02,26.67,28.67,89.19,2.7
2019/09/03,26.88,28.6,90.69,4.22
2019/09/04,27.06,28.31,93.0,3.77
2019/09/05,26.7,28.23,91.56,4.16
2019/09/06,26.65,28.62,89.44,4.34
2019/09/07,26.58,28.03,91.94,4.8
2019/09/08,26.89,28.66,90.44,4.4
2019/09/10,27.06,28.8,90.56,2.93
2019/09/11,27.1,28.75,91.06,3.18
2019/09/12,26.48,27.62,93.44,4.2
2019/09/13,26.24,27.57,92.56,4.3
2019/09/14,26.2,27.91,90.62,3.15
2019/09/15,26.48,28.59,88.81,3.02
2019/09/16,26.26,28.06,90.12,2.73
2019/09/17,25.9,28.58,86.0,1.77
2019/09/18,25.37,29.42,79.75,1.41
2019/09/19,25.32,29.69,78.56,1.12
2019/09/20,25.84,28.69,85.06,1.57
2019/09/21,25.53,29.19,81.19,1.24
2019/09/22,25.62,28.82,83.31,1.45
2019/09/23,25.31,27.57,87.94,2.22
2019/09/24,25.91,27.05,93.5,2.8
2019/09/27,24.19,27.19,84.25,1.16
2019/09/28,23.98,26.48,86.44,1.31
2019/09/29,23.5,25.53,88.69,1.52
2019/09/30,24.26,26.06,90.0,2.08
2019/10/01,25.13,26.69,91.31,3.15
2019/10/02,24.55,27.67,83.88,1.45
2019/10/03,25.32,27.9,86.38,1.73
2019/10/04,25.08,27.59,86.56,1.82
2019/10/05,24.84,27.41,86.12,1.56
2019/10/06,25.11,27.4,87.69,1.64
2019/10/07,24.86,26.93,88.69,1.68
2019/10/08,24.48,26.66,88.06,1.62
2019/10/09,23.91,25.62,90.44,2.2
2019/10/10,24.01,25.86,89.75,2.27
2019/10/11,24.15,26.98,85.06,1.07
2019/10/12,23.38,27.18,80.19,1.44
2019/10/13,22.85,26.12,82.62,2.32
2019/10/14,22.83,25.86,84.12,2.73
2019/10/15,23.3,27.05,80.81,1.45
2019/10/16,23.91,27.73,80.44,0.93
2019/10/17,24.06,28.23,79.12,0.9
2019/10/18,24.48,27.8,82.5,1.64
2019/10/19,23.85,26.64,85.12,2.6
2019/10/20,23.73,26.34,86.12,2.64
2019/10/21,23.71,26.3,86.19,2.29
2019/10/22,23.83,26.3,86.62,2.18
2019/10/23,22.91,25.5,86.12,2.37
2019/10/24,20.47,22.11,90.44,3.5
2019/10/25,22.53,23.9,92.19,3.47
2019/10/26,24.64,25.72,93.81,2.52
2019/10/27,23.37,25.2,89.94,2.5
2019/10/28,21.35,23.48,88.25,3.08
2019/10/29,21.11,23.4,87.31,2.44
2019/10/30,21.88,24.36,86.56,2.25
2019/10/31,21.6,24.59,84.25,2.27
2019/11/01,22.32,24.8,86.56,2.41
2019/11/02,22.48,24.84,87.38,2.63
2019/11/03,22.73,25.09,87.25,2.17
2019/11/04,22.51,25.2,85.62,2.19
2019/11/05,21.78,25.26,81.94,1.85
2019/11/06,21.21,24.15,84.25,2.45
2019/11/07,18.76,23.83,75.0,2.45
2019/11/08,21.87,23.48,90.81,2.26
2019/11/09,22.48,23.33,94.94,6.82
2019/11/10,23.08,23.94,94.94,5.64
2019/11/11,21.75,23.69,89.12,3.76
2019/11/12,20.9,23.7,84.81,2.09
2019/11/13,20.15,22.82,85.56,2.44
2019/11/14,20.39,23.8,82.19,1.84
2019/11/15,20.83,23.8,84.06,2.02
2019/11/16,20.33,23.28,84.12,2.14
2019/11/17,19.98,23.12,83.19,1.9
2019/11/18,19.13,23.17,78.94,1.32
