DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.5,29.03,86.38,1.93
2019/09/02,26.38,28.98,86.44,2.11
2019/09/03,26.4,29.33,85.06,1.77
2019/09/04,25.78,28.35,86.25,2.06
2019/09/05,26.36,28.95,86.38,2.11
2019/09/06,26.67,28.84,88.44,2.6
2019/09/07,26.74,28.81,88.88,3.06
2019/09/08,26.74,28.51,90.44,3.61
2019/09/10,26.85,28.48,91.06,2.92
2019/09/11,26.98,28.75,90.5,3.15
2019/09/12,26.48,27.84,92.38,4.64
2019/09/13,26.3,27.75,91.94,4.4
2019/09/14,25.9,27.58,90.69,2.73
2019/09/15,26.25,28.57,87.69,2.35
2019/09/16,26.11,28.25,88.38,2.21
2019/09/17,25.49,29.0,82.06,1.32
2019/09/18,25.0,29.42,78.19,1.14
2019/09/19,24.79,29.83,75.25,1.21
2019/09/20,25.55,28.8,83.0,1.29
2019/09/21,25.45,28.97,81.94,1.02
2019/09/22,25.37,29.17,80.81,1.39
2019/09/23,25.07,27.65,86.38,1.16
2019/09/24,24.99,26.62,91.0,1.36
2019/09/27,23.73,26.7,84.56,1.74
2019/09/28,23.98,26.16,88.06,1.41
2019/09/29,23.61,25.73,88.31,1.39
2019/09/30,24.12,25.75,90.88,1.65
2019/10/01,24.3,25.64,92.38,2.96
2019/10/02,24.44,26.99,86.44,1.83
2019/10/03,24.44,27.33,84.75,1.3
2019/10/04,24.75,27.36,86.12,1.34
2019/10/05,24.9,27.58,85.75,1.52
2019/10/06,24.89,27.22,87.31,1.44
2019/10/07,24.65,27.24,86.19,1.12
2019/10/08,24.5,26.65,88.19,0.59
2019/10/09,23.62,26.48,85.12,1.2
2019/10/10,23.65,25.44,90.0,2.0
2019/10/11,23.74,26.4,85.88,1.52
2019/10/12,23.16,26.82,80.94,1.1
2019/10/13,21.55,25.71,78.81,1.62
2019/10/14,22.22,26.24,79.38,1.38
2019/10/15,23.18,26.87,80.88,1.61
2019/10/16,23.78,26.83,84.0,1.59
2019/10/17,24.01,27.23,83.19,1.37
2019/10/18,23.82,27.83,79.38,0.91
2019/10/19,23.34,27.48,78.81,1.34
2019/10/20,22.83,26.59,80.69,1.44
2019/10/21,23.37,25.9,86.38,2.1
2019/10/22,23.65,25.84,88.0,1.88
2019/10/23,21.98,24.99,84.06,1.65
2019/10/24,20.0,21.85,89.25,1.91
2019/10/25,21.61,22.62,94.0,3.19
2019/10/26,24.16,25.08,94.62,3.2
2019/10/27,23.43,25.39,89.25,2.27
2019/10/28,21.98,24.51,86.25,1.7
2019/10/29,22.62,24.87,87.62,1.62
2019/10/30,22.25,25.39,83.25,1.55
2019/10/31,20.87,25.42,76.75,1.06
2019/11/01,20.94,25.39,76.88,0.82
2019/11/02,21.15,25.15,79.19,1.21
2019/11/03,21.04,25.17,78.56,1.01
2019/11/04,20.96,25.34,77.31,1.08
2019/11/05,21.1,25.26,78.31,1.09
2019/11/06,20.39,24.6,78.38,1.37
2019/11/07,20.25,24.58,77.62,1.66
2019/11/08,21.87,23.87,88.75,2.1
2019/11/09,22.04,22.95,94.5,2.62
2019/11/10,21.55,22.75,92.94,5.44
2019/11/11,21.5,23.62,88.31,2.4
2019/11/12,20.79,23.42,86.0,1.97
2019/11/13,20.15,24.17,79.38,1.05
2019/11/14,20.48,24.6,79.06,1.13
2019/11/15,20.11,24.15,79.06,1.24
2019/11/16,19.39,23.86,77.12,0.77
2019/11/17,19.58,23.15,81.06,1.13
2019/11/18,18.91,23.01,78.69,1.05
2019/11/19,18.34,23.08,75.44,0.93
2019/11/20,18.08,21.76,80.19,1.07
