DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.01,29.26,88.0,1.25
2019/09/02,26.73,28.67,89.56,2.7
2019/09/03,26.8,28.12,92.62,3.7
2019/09/04,27.01,28.11,93.75,3.42
2019/09/05,26.69,27.89,93.31,3.86
2019/09/06,26.65,28.49,90.06,4.38
2019/09/07,26.93,28.41,91.81,4.63
2019/09/08,26.8,28.43,91.12,4.25
2019/09/10,27.25,28.57,92.69,2.55
2019/09/11,27.0,28.39,92.38,2.65
2019/09/12,26.16,27.37,93.12,3.94
2019/09/13,26.12,27.34,93.12,3.89
2019/09/14,26.15,27.56,92.25,2.87
2019/09/15,26.57,28.44,90.0,2.84
2019/09/16,26.18,27.8,91.12,2.51
2019/09/17,26.02,28.24,88.31,1.93
2019/09/18,25.86,28.68,85.5,1.95
2019/09/19,25.59,29.2,82.25,1.52
2019/09/20,25.64,28.66,84.62,1.58
2019/09/21,25.67,28.53,85.12,1.5
2019/09/22,25.69,28.56,85.12,1.64
2019/09/23,25.63,27.01,92.31,2.54
2019/09/24,26.11,26.95,95.06,3.02
2019/09/27,24.4,26.4,89.12,1.57
2019/09/28,24.23,26.36,88.31,1.24
2019/09/29,23.9,25.44,91.31,1.38
2019/09/30,24.37,25.84,91.81,2.29
2019/10/01,25.06,26.83,90.31,2.83
2019/10/02,24.93,27.7,85.31,1.41
2019/10/03,25.43,27.53,88.62,1.95
2019/10/04,25.08,27.17,88.69,1.85
2019/10/05,25.05,27.19,88.5,1.64
2019/10/06,25.08,27.3,88.25,1.7
2019/10/07,24.79,26.65,89.88,1.69
2019/10/08,24.57,26.58,89.0,1.67
2019/10/09,24.15,25.44,92.62,2.42
2019/10/10,23.72,26.08,87.38,1.43
2019/10/11,24.1,26.58,86.62,1.71
2019/10/12,23.46,26.99,81.5,1.68
2019/10/13,23.08,26.2,83.44,2.03
2019/10/14,22.66,25.93,82.88,2.23
2019/10/15,22.56,26.71,79.0,1.34
2019/10/16,23.63,27.35,80.94,1.02
2019/10/17,24.23,27.4,83.88,1.48
2019/10/18,24.69,27.68,84.31,1.66
2019/10/19,24.14,26.92,85.0,2.03
2019/10/20,23.83,26.47,86.0,2.32
2019/10/21,23.49,26.42,84.56,1.9
2019/10/22,23.82,26.43,86.0,1.84
2019/10/23,23.32,25.57,87.81,2.02
2019/10/24,20.78,22.23,91.56,3.36
2019/10/25,22.78,23.97,93.12,3.12
2019/10/26,24.68,25.68,94.19,2.47
2019/10/27,23.18,24.95,90.25,2.27
2019/10/28,21.49,23.54,88.75,2.58
2019/10/29,21.05,23.31,87.56,2.25
2019/10/30,21.27,23.87,86.06,2.3
2019/10/31,20.9,24.07,83.44,2.16
2019/11/01,21.59,24.44,84.62,2.09
2019/11/02,21.72,24.21,86.75,2.69
