DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.87,29.55,86.06,1.35
2019/09/02,26.85,28.7,89.88,2.59
2019/09/03,26.89,28.69,90.25,3.77
2019/09/04,26.88,28.23,92.5,3.62
2019/09/05,26.71,28.45,90.56,3.99
2019/09/06,26.65,28.45,90.19,4.11
2019/09/07,26.51,27.98,91.81,4.64
2019/09/08,26.9,28.78,89.94,4.55
2019/09/10,26.9,28.86,89.44,3.17
2019/09/11,27.09,28.91,90.25,3.37
2019/09/12,26.58,27.65,93.88,4.25
2019/09/13,26.25,27.86,91.12,4.46
2019/09/14,26.26,28.14,89.81,3.32
2019/09/15,26.54,28.73,88.38,3.09
2019/09/16,26.35,28.22,89.81,3.02
2019/09/17,25.9,28.47,86.5,1.84
2019/09/18,25.24,29.42,79.06,1.41
2019/09/19,25.07,29.8,76.56,0.98
2019/09/20,25.63,29.05,82.25,1.4
2019/09/21,25.4,29.48,79.31,0.94
2019/09/22,25.6,29.05,82.12,1.34
2019/09/23,25.33,27.69,87.5,2.09
2019/09/24,25.45,26.65,93.19,2.78
2019/09/27,23.9,27.08,83.25,1.0
2019/09/28,23.62,26.03,86.75,1.13
2019/09/29,23.17,25.37,87.81,1.55
2019/09/30,24.01,25.64,90.81,2.09
2019/10/01,25.12,26.61,91.75,3.34
2019/10/02,24.5,27.54,84.25,1.62
2019/10/03,25.06,27.62,86.38,1.73
2019/10/04,25.18,27.32,88.31,2.01
2019/10/05,24.82,27.4,86.12,1.74
2019/10/06,24.97,27.58,86.19,1.47
2019/10/07,24.85,26.98,88.31,1.55
2019/10/08,24.56,26.62,88.62,1.44
2019/10/09,23.98,25.72,90.31,2.14
2019/10/10,23.9,25.86,89.25,2.05
2019/10/11,24.0,27.09,83.75,0.98
2019/10/12,23.01,27.23,78.44,1.46
2019/10/13,22.55,25.99,81.69,2.2
2019/10/14,22.77,25.77,84.31,2.62
2019/10/15,23.3,27.05,80.94,1.48
2019/10/16,24.02,27.85,80.25,0.98
2019/10/17,24.19,28.0,80.44,0.94
2019/10/18,24.18,27.42,83.0,1.98
2019/10/19,23.51,26.44,84.5,2.62
2019/10/20,23.43,26.06,85.94,2.55
2019/10/21,23.65,25.98,87.44,2.43
2019/10/22,23.5,25.94,86.88,2.28
2019/10/23,21.94,24.98,83.75,2.17
2019/10/24,20.18,21.7,91.0,2.64
2019/10/25,22.08,23.18,93.56,3.9
2019/10/26,24.29,25.59,92.62,2.36
2019/10/27,22.94,24.69,90.19,2.37
2019/10/28,21.05,23.23,87.88,2.9
2019/10/29,21.08,23.35,87.62,2.24
2019/10/30,21.99,24.63,85.94,2.02
2019/10/31,21.91,24.71,85.19,2.17
2019/11/01,22.55,24.94,87.06,2.39
2019/11/02,22.45,24.9,87.06,2.34
2019/11/03,22.42,25.09,85.81,1.89
2019/11/04,22.4,25.25,84.75,1.91
2019/11/05,21.75,25.25,81.81,1.71
2019/11/06,20.83,24.15,82.44,2.15
2019/11/07,18.73,23.8,74.81,2.12
2019/11/08,21.73,23.73,88.88,2.07
2019/11/09,22.26,23.15,94.56,5.33
2019/11/10,21.94,23.0,93.69,5.91
2019/11/11,21.35,23.51,88.06,3.4
2019/11/12,20.69,23.62,84.19,1.92
2019/11/13,19.84,22.77,84.25,2.27
2019/11/14,20.37,24.25,80.06,1.27
2019/11/15,20.4,24.36,79.12,1.34
2019/11/16,20.44,23.83,82.19,1.77
2019/11/17,20.09,23.32,82.81,1.77
2019/11/18,18.69,23.15,77.0,1.03
2019/11/19,18.5,22.65,77.88,1.5
2019/11/20,17.22,21.13,79.5,2.06
2019/11/21,17.6,21.78,77.88,1.6
2019/11/22,18.72,22.4,80.31,1.27
2019/11/23,18.99,22.58,80.62,1.51
2019/11/24,18.47,22.23,80.06,1.39
2019/11/25,19.23,22.35,83.12,1.55
2019/11/26,19.36,22.76,82.38,1.32
2019/11/27,18.72,22.23,81.38,1.51
2019/11/28,18.98,23.18,78.5,1.15
2019/11/29,19.51,22.8,82.69,1.49
2019/11/30,19.26,22.08,84.56,1.91
2019/12/01,17.73,20.55,84.31,2.45
2019/12/03,15.79,18.78,83.69,2.38
2019/12/04,16.31,18.91,85.69,2.81
2019/12/05,16.8,20.32,81.5,1.8
2019/12/06,17.49,20.78,82.94,2.27
2019/12/07,16.2,20.58,77.25,1.88
2019/12/08,16.32,20.97,75.75,1.51
2019/12/09,16.84,20.44,80.56,1.63
2019/12/10,16.27,19.49,82.25,2.04
2019/12/11,15.31,19.46,78.25,1.68
2019/12/12,15.53,19.11,80.5,2.19
2019/12/13,14.85,19.33,76.56,1.42
2019/12/14,15.5,19.65,78.5,1.78
2019/12/15,16.83,19.59,84.75,2.4
2019/12/16,16.12,19.06,84.12,2.38
2019/12/17,15.78,18.09,86.44,2.56
2019/12/18,13.56,15.84,86.44,3.4
2019/12/19,11.93,13.78,88.44,3.1
2019/12/20,11.12,14.37,81.5,2.12
2019/12/21,11.7,14.3,84.75,1.96
2019/12/22,11.8,14.59,84.44,2.05
2019/12/23,12.79,15.4,85.62,2.73
2019/12/24,12.04,15.23,81.25,2.93
2019/12/25,11.74,15.02,82.19,2.29
2019/12/26,12.51,16.02,81.56,2.61
