DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.03,29.45,87.38,1.7
2019/09/02,26.66,28.72,88.94,3.12
2019/09/03,26.77,28.74,89.38,3.44
2019/09/04,26.71,28.14,92.06,3.12
2019/09/05,26.61,28.38,90.38,3.52
2019/09/06,26.57,28.34,90.38,3.7
2019/09/07,26.47,27.85,92.25,4.38
2019/09/08,26.76,28.52,90.44,4.63
2019/09/10,26.98,28.79,90.25,3.24
2019/09/11,27.0,28.69,90.88,3.78
2019/09/12,26.74,27.82,93.81,4.92
2019/09/13,26.32,27.74,92.12,4.56
2019/09/14,26.12,27.85,90.5,3.12
2019/09/15,26.37,28.61,88.12,2.9
2019/09/16,26.32,28.17,89.88,2.74
2019/09/17,25.73,28.81,84.12,1.65
2019/09/18,25.1,29.55,77.94,1.05
2019/09/19,24.94,29.88,75.56,1.0
2019/09/20,25.56,28.85,82.81,1.34
2019/09/21,25.5,29.48,79.81,0.87
2019/09/22,25.68,29.05,82.5,1.25
2019/09/23,25.13,27.83,85.75,1.63
2019/09/24,25.04,26.46,91.94,2.09
2019/09/27,23.85,26.44,86.06,1.58
2019/09/28,23.55,25.94,87.06,1.38
2019/09/29,23.62,25.54,89.31,1.63
2019/09/30,24.31,26.05,90.38,2.09
2019/10/01,24.88,26.13,92.88,3.73
2019/10/02,24.46,27.13,86.0,2.07
2019/10/03,24.87,27.58,85.81,1.67
2019/10/04,25.06,27.3,87.88,1.83
2019/10/05,24.92,27.36,86.94,1.86
2019/10/06,24.73,27.51,85.31,1.36
2019/10/07,24.83,27.17,87.31,1.42
2019/10/08,24.48,26.73,87.62,1.15
2019/10/09,23.87,25.86,89.0,1.61
2019/10/10,23.9,25.7,90.0,2.38
2019/10/11,24.12,26.51,87.31,1.75
2019/10/12,23.33,26.72,82.31,1.62
2019/10/13,22.23,25.42,83.06,2.3
2019/10/14,22.42,25.65,83.38,2.27
2019/10/15,23.05,26.78,81.19,1.52
2019/10/16,24.08,27.22,83.56,1.56
2019/10/17,24.07,27.48,82.25,1.38
2019/10/18,23.98,27.51,81.62,1.58
2019/10/19,23.31,26.56,83.06,2.23
2019/10/20,23.26,25.9,85.88,2.43
2019/10/21,23.56,25.83,87.75,2.38
2019/10/22,23.67,25.91,87.81,2.13
2019/10/23,22.4,24.9,86.56,2.21
2019/10/24,20.05,21.57,91.06,3.16
2019/10/25,22.1,23.23,93.44,3.66
2019/10/26,24.61,25.6,94.31,2.67
2019/10/27,23.38,25.3,89.5,2.17
2019/10/28,21.17,23.52,87.25,2.67
2019/10/29,21.35,23.7,87.25,2.09
2019/10/30,21.73,25.06,82.62,1.41
2019/10/31,21.69,24.97,83.0,1.74
2019/11/01,22.3,25.1,85.12,1.87
2019/11/02,21.8,25.37,81.56,1.33
2019/11/03,21.3,25.59,77.88,0.97
2019/11/04,21.9,25.65,80.31,1.3
2019/11/05,21.6,25.21,81.19,1.61
2019/11/06,20.84,24.33,81.69,1.81
2019/11/07,19.28,24.37,74.75,1.71
2019/11/08,21.94,23.81,89.5,1.93
2019/11/09,22.37,23.23,94.81,4.64
2019/11/10,21.96,23.04,93.62,5.66
2019/11/11,21.86,23.73,89.62,3.16
2019/11/12,20.68,23.32,85.75,2.19
2019/11/13,20.27,23.25,84.25,1.99
2019/11/14,20.33,24.35,79.5,1.02
2019/11/15,20.04,24.41,77.19,1.02
2019/11/16,20.15,24.17,79.12,1.15
2019/11/17,19.83,23.76,79.12,1.25
2019/11/18,18.99,23.14,78.56,1.17
2019/11/19,18.29,23.15,74.62,1.01
2019/11/20,18.07,21.59,81.31,1.72
2019/11/21,17.3,21.87,76.62,1.1
2019/11/22,17.33,21.85,76.12,1.11
2019/11/23,17.9,22.37,76.62,0.97
2019/11/24,18.18,22.37,77.75,0.95
2019/11/25,18.69,22.24,80.88,1.38
2019/11/26,18.77,22.65,79.81,1.08
2019/11/27,18.51,22.11,81.06,1.43
2019/11/28,18.93,22.97,79.25,1.14
2019/11/29,19.2,22.88,80.69,1.16
2019/11/30,19.07,22.17,83.38,1.62
2019/12/01,17.94,20.62,85.25,2.27
2019/12/03,15.33,19.13,79.5,1.84
2019/12/04,16.06,19.45,81.69,2.07
2019/12/05,16.52,20.55,78.88,1.78
2019/12/06,16.9,20.36,82.19,2.33
2019/12/07,16.05,20.48,77.06,1.84
2019/12/08,16.08,21.4,72.75,1.23
2019/12/09,16.49,20.99,76.12,1.09
2019/12/10,16.32,19.93,80.69,1.51
2019/12/11,15.45,19.6,78.25,1.73
2019/12/12,15.52,19.24,79.81,1.95
2019/12/13,14.51,19.17,75.75,1.33
2019/12/14,14.8,19.48,76.06,1.65
2019/12/15,16.2,19.52,81.62,2.01
2019/12/16,16.37,18.89,85.88,2.22
2019/12/17,15.57,18.09,85.94,2.33
2019/12/18,14.23,16.33,87.25,3.23
2019/12/19,12.89,14.72,88.88,2.68
2019/12/20,11.94,14.9,82.81,1.95
2019/12/21,12.37,14.53,87.12,1.98
2019/12/22,12.33,14.49,86.62,2.17
2019/12/23,12.87,15.37,85.88,2.84
2019/12/24,12.6,15.28,84.06,2.79
2019/12/25,11.66,15.0,81.88,2.23
2019/12/26,12.38,16.64,77.88,2.17
2019/12/27,12.17,14.48,86.44,2.6
2019/12/28,11.4,14.22,84.5,2.96
2019/12/29,12.21,15.52,82.0,2.23
2019/12/30,13.14,16.78,80.06,1.7
2019/12/31,14.65,18.87,77.81,1.17
2020/01/01,15.52,20.15,76.06,1.48
2020/01/02,16.13,20.13,79.38,1.91
2020/01/03,16.33,17.56,92.62,1.76
2020/01/04,15.5,18.43,83.94,1.48
2020/01/05,14.54,16.86,87.06,2.52
2020/01/06,11.34,14.52,82.38,2.78
2020/01/07,10.83,14.4,80.94,2.45
2020/01/08,11.66,15.55,79.31,1.98
2020/01/09,13.01,15.94,83.56,2.16
2020/01/10,13.85,16.57,84.88,2.56
2020/01/11,12.73,14.95,87.0,3.16
2020/01/12,12.64,15.24,85.5,3.0
2020/01/13,12.05,15.22,82.5,2.18
2020/01/14,12.74,16.23,80.69,1.77
2020/01/15,14.08,17.25,82.5,1.95
2020/01/16,14.15,18.73,76.56,1.84
2020/01/17,15.27,19.84,76.69,1.85
2020/01/18,15.01,20.28,74.25,1.71
2020/01/19,15.83,19.81,79.38,2.22
2020/01/20,13.19,16.42,82.38,3.13
2020/01/21,10.04,14.94,74.12,2.55
2020/01/22,9.58,14.97,72.5,2.57
2020/01/23,11.2,16.06,74.25,2.3
2020/01/24,9.71,15.22,72.44,2.3
2020/01/25,9.05,15.37,67.88,2.02
2020/01/26,9.65,14.96,72.38,2.46
2020/01/27,10.23,15.58,72.0,1.81
2020/01/28,11.14,17.11,69.81,1.66
2020/01/29,12.23,17.03,74.12,1.52
2020/01/30,13.85,18.01,78.06,1.72
2021/12/13,12.45,16.82,77.38,1.77
2021/12/14,14.11,17.28,82.75,2.08
2021/12/15,14.08,17.01,83.12,2.17
2021/12/16,13.33,16.67,81.88,2.28
2021/12/17,13.21,16.94,79.81,2.44
2021/12/18,12.81,17.08,77.69,2.4
2021/12/19,13.6,16.22,84.75,2.85
2021/12/20,10.9,14.55,80.56,2.57
2021/12/21,13.54,16.5,83.5,1.78
2021/12/22,14.65,17.37,84.62,1.91
2021/12/23,13.51,17.86,77.06,1.48
2021/12/24,14.11,17.89,79.88,1.62
2021/12/25,13.22,18.52,73.19,1.08
2021/12/26,13.0,18.05,73.69,1.66
2021/12/27,12.83,18.12,71.88,1.34
2021/12/28,13.71,18.15,76.12,1.66
2021/12/29,13.7,17.51,80.0,2.22
2021/12/30,14.07,18.07,79.12,2.28
2022/06/01,25.94,28.1,88.56,3.49
2022/06/02,25.59,28.6,84.62,3.59
2022/06/03,26.19,28.09,89.69,3.75
2022/06/04,25.58,27.98,87.44,4.02
2022/06/05,25.77,28.22,87.19,3.83
2022/06/06,26.19,28.65,87.19,3.78
2022/06/07,26.31,29.02,86.06,3.91
2022/06/08,26.63,28.75,88.69,3.92
2022/06/09,26.97,28.39,92.12,4.31
2022/06/10,24.98,27.18,88.06,3.62
2022/06/11,25.95,28.11,88.56,4.21
2022/06/12,26.69,28.7,89.19,4.85
2022/06/13,27.23,29.15,89.69,5.26
2022/06/16,26.0,27.3,92.62,5.78
2022/06/17,26.12,27.17,93.94,5.73
2022/06/19,25.73,26.88,93.38,5.77
2022/06/20,25.78,27.13,92.38,4.98
2022/06/21,25.64,26.97,92.44,3.03
2022/06/22,25.19,27.7,86.88,3.38
2022/06/23,25.98,27.94,89.5,4.23
2022/06/24,26.14,27.55,92.0,4.2
2022/06/25,26.01,27.97,89.44,4.29
2022/06/27,26.17,28.47,87.81,3.31
2022/06/28,26.26,28.31,89.06,3.75
2022/06/29,26.26,28.0,90.5,2.83
2022/06/30,26.26,27.84,91.25,3.41
2022/07/01,26.5,28.58,88.94,3.72
2022/07/02,26.24,28.3,89.0,3.28
2022/07/03,26.35,28.3,89.56,3.67
2022/07/04,26.3,28.38,88.94,3.71
2022/07/06,26.18,27.62,91.88,3.29
2022/07/07,26.06,28.14,88.88,3.05
2022/07/09,25.64,27.76,88.62,2.95
2022/07/10,26.21,28.44,88.25,4.38
2022/07/11,25.88,27.83,89.44,4.23
2022/07/12,26.0,28.63,86.31,4.14
2022/07/13,26.55,29.11,86.69,3.96
2022/07/14,26.75,29.1,87.69,4.22
2022/07/15,26.58,28.91,87.69,3.71
2022/07/16,26.54,29.06,86.88,4.14
2022/07/17,26.69,29.15,87.25,4.48
2022/07/18,26.28,28.82,86.88,3.75
2022/07/19,26.37,28.62,88.12,4.14
2022/07/20,26.81,28.62,90.19,3.86
2022/07/21,26.33,28.73,87.31,3.77
2022/07/22,26.62,29.0,87.5,3.92
2022/07/23,26.18,28.0,90.19,3.07
2022/07/24,25.6,27.4,90.06,4.1
2022/07/26,24.65,28.0,82.75,1.53
2022/07/28,25.48,28.2,85.75,2.05
2022/07/29,24.59,27.84,83.12,2.14
2022/07/30,26.5,29.11,86.5,2.9
2022/07/31,26.15,28.4,87.94,3.83
2022/08/01,26.82,29.03,88.25,2.87
2022/08/02,26.69,29.49,85.5,1.95
2022/08/03,26.15,28.21,88.88,1.78
2022/08/04,25.93,28.94,84.5,2.12
2022/08/05,26.75,29.25,86.94,2.5
2022/08/06,26.49,28.64,88.56,2.41
2022/08/07,26.62,29.65,84.44,2.18
2022/08/10,25.93,27.58,90.88,5.75
2022/08/11,26.05,28.05,89.25,5.46
2022/08/12,26.03,28.87,85.38,2.18
2022/08/13,26.24,27.85,91.19,4.46
2022/08/14,25.62,27.62,89.06,7.34
2022/08/15,26.09,28.23,88.69,4.37
2022/08/16,26.13,28.96,85.44,2.2
2022/08/17,26.32,29.78,82.44,1.61
2022/08/18,26.79,30.37,81.56,1.96
2022/08/19,25.93,28.55,86.25,4.84
2022/08/20,25.77,28.08,87.88,5.11
2022/08/21,25.94,28.27,87.69,3.01
2022/08/22,26.19,28.96,85.69,2.12
2022/08/23,26.14,28.23,88.81,3.26
2022/08/25,25.19,28.35,83.88,1.95
2022/08/26,26.14,28.61,87.06,2.99
2022/08/27,25.9,27.63,90.5,3.73
2022/08/28,25.64,27.88,88.12,3.88
2022/08/29,25.65,28.54,85.25,2.55
2022/08/30,25.15,29.07,80.5,2.34
2022/08/31,26.02,28.73,85.88,2.57
2022/09/01,24.9,27.33,86.94,2.07
2022/09/02,25.74,28.01,87.88,2.73
2022/09/03,26.67,28.88,88.31,3.88
2022/09/04,26.87,28.84,89.38,3.85
2022/09/05,26.69,28.46,90.44,2.98
2022/09/06,25.92,28.52,86.38,1.45
2022/09/07,25.66,28.61,84.5,1.38
2022/09/08,26.28,30.22,80.0,1.42
2022/09/09,26.22,28.83,86.06,1.45
2022/09/10,25.73,27.42,90.69,3.64
2022/09/11,25.37,27.18,90.12,4.09
2022/09/12,25.92,26.91,94.25,4.23
2022/09/13,26.07,27.1,94.06,3.95
2022/09/14,25.48,27.37,89.81,3.21
2022/09/15,25.93,27.74,90.19,3.44
2022/09/16,25.89,27.88,89.31,2.38
2022/09/17,25.83,28.5,86.38,2.53
2022/09/18,26.39,28.82,87.38,2.23
2022/09/19,25.99,27.99,89.25,3.32
2022/09/20,25.92,27.81,89.75,4.71
2022/09/21,25.91,27.69,90.38,3.98
2022/09/22,25.9,27.65,90.5,3.03
2022/09/23,25.63,27.68,88.94,2.47
2022/09/24,25.51,27.33,90.0,2.17
2022/09/25,24.94,27.98,84.19,1.41
2022/09/26,25.47,27.95,86.75,2.09
2022/09/27,25.72,27.39,90.75,2.3
2022/09/28,23.82,26.9,83.81,1.78
2022/09/29,24.62,28.33,80.69,1.43
2022/09/30,24.93,29.05,79.62,1.86
2022/10/01,25.82,29.24,82.5,1.45
2022/10/02,26.1,27.33,92.94,1.93
2022/10/03,25.69,26.62,94.56,2.01
2022/10/04,25.55,27.59,88.94,2.48
2022/10/05,25.48,27.44,89.31,1.98
2022/10/06,25.42,27.48,89.0,2.46
2022/10/07,24.21,28.01,80.94,1.22
2022/10/08,24.8,27.8,84.25,1.58
2022/10/09,25.26,27.23,89.25,2.09
2022/10/10,25.26,27.11,89.94,2.25
2022/10/11,25.57,27.08,91.69,3.06
2022/10/12,25.1,26.47,92.31,2.38
2022/10/13,24.73,26.74,89.06,2.17
2022/10/14,24.65,27.22,86.31,1.31
2022/10/15,23.89,26.51,86.19,2.45
2022/10/16,23.3,26.31,84.44,2.43
2022/10/17,23.75,26.94,83.75,2.05
2022/10/18,23.6,27.14,82.0,1.44
2022/10/19,23.12,26.32,83.31,1.9
2022/10/20,23.21,26.32,84.0,2.62
2022/10/21,23.26,26.47,83.38,2.27
2022/10/22,22.89,26.48,81.44,2.45
2022/10/23,22.92,24.71,89.81,2.3
2022/10/24,21.97,22.86,94.56,6.69
2022/10/25,21.08,23.39,87.12,4.23
2022/10/26,20.87,24.3,81.75,1.61
2022/10/27,19.73,24.19,77.0,2.03
2022/10/28,18.6,23.57,74.75,1.7
2022/10/29,19.0,24.31,73.5,1.27
2022/10/30,21.35,25.13,80.12,1.41
2022/10/31,23.12,26.1,84.25,1.48
2022/11/01,22.73,25.91,83.44,1.93
2022/11/02,22.61,25.4,85.19,2.08
2022/11/03,20.98,24.22,83.06,2.03
2022/11/04,19.3,24.05,75.69,1.26
2022/11/05,20.23,25.5,73.19,0.96
2022/11/06,20.1,25.33,73.56,1.05
2022/11/07,18.59,24.42,71.0,1.05
2022/11/08,17.78,23.93,69.44,1.11
2022/11/09,18.48,23.25,75.44,1.41
2022/11/10,18.05,23.19,74.31,1.36
2022/11/11,18.28,22.92,76.38,1.64
2022/11/12,18.83,23.37,76.38,1.61
2022/11/13,18.03,21.5,81.5,2.3
2022/11/14,16.74,21.62,75.0,1.63
2022/11/15,17.48,22.33,74.75,1.09
2022/11/16,18.19,22.38,77.88,1.3
2022/11/17,17.88,22.01,78.69,1.86
2022/11/18,16.7,21.05,77.25,2.03
2022/11/19,16.51,21.0,76.69,1.87
2022/11/20,17.17,22.2,74.56,1.62
2022/11/21,17.37,20.78,81.94,2.39
2022/11/22,16.77,19.87,83.44,2.55
2022/11/23,17.49,19.98,85.5,2.55
2022/11/24,17.33,20.46,83.25,2.27
2022/11/25,17.51,21.69,78.56,1.52
2022/11/26,16.76,21.87,74.12,1.04
2022/11/27,16.38,21.65,73.31,1.16
2022/11/28,16.8,21.21,77.38,1.67
2022/11/29,17.65,22.3,76.56,1.87
2022/11/30,18.04,22.13,78.75,2.08
2022/12/01,17.15,20.72,81.94,2.5
2022/12/02,17.33,20.22,84.0,2.66
2022/12/03,16.69,20.18,81.12,2.09
2022/12/04,16.05,20.46,77.44,1.67
2022/12/05,16.73,20.51,80.44,1.91
2022/12/06,16.87,20.27,81.56,2.17
2022/12/07,16.4,19.7,82.31,2.29
2022/12/08,16.06,20.12,78.81,2.05
2022/12/09,14.97,20.49,72.31,0.87
2022/12/10,14.55,20.73,68.69,1.3
2022/12/11,15.26,19.9,76.12,1.93
2022/12/12,14.81,19.26,77.31,2.0
2022/12/13,14.65,19.26,76.25,1.68
2022/12/14,15.01,19.51,76.56,1.48
2022/12/15,14.06,18.71,76.25,1.92
2022/12/16,13.28,17.6,77.81,2.2
2022/12/17,13.86,18.72,75.06,1.71
2022/12/18,13.66,19.58,71.0,0.96
2022/12/19,13.38,20.02,66.69,1.09
2022/12/20,14.68,19.99,72.94,1.14
2022/12/21,14.98,19.0,79.25,2.02
2022/12/22,14.19,19.14,75.0,1.85
2022/12/23,11.76,18.33,69.12,2.38
2022/12/24,10.65,18.69,61.44,1.4
2022/12/25,12.76,19.74,64.88,1.49
2022/12/26,15.4,20.57,73.12,1.5
2022/12/27,16.89,20.58,80.5,1.98
2022/12/28,14.4,18.13,80.12,2.39
2022/12/29,9.91,15.79,70.81,2.51
2022/12/30,10.37,16.84,67.62,1.29
2022/12/31,11.08,16.94,70.38,1.59
2023/01/01,11.67,16.73,74.0,2.06
2023/01/02,11.72,17.14,72.81,2.02
2023/01/03,12.37,16.94,77.0,2.3
2023/01/04,12.27,15.86,80.81,2.8
2023/01/05,11.94,15.94,78.56,3.01
2023/01/06,12.13,16.3,78.25,3.11
2023/01/07,13.26,17.1,79.75,2.33
2023/01/08,13.05,17.98,75.81,1.94
2023/01/09,12.92,18.62,73.06,2.12
2023/01/10,12.43,18.53,71.19,2.63
2023/01/11,10.22,17.0,67.44,2.52
2023/01/12,9.42,16.02,67.31,2.07
2023/01/13,9.71,17.87,61.69,1.51
2023/01/14,12.66,18.62,69.81,2.02
2023/01/15,13.09,18.46,73.56,2.27
2023/01/16,11.39,17.22,70.38,2.38
2023/01/17,10.15,16.37,69.69,2.48
2023/01/18,8.03,15.62,63.0,2.44
2023/01/19,6.99,14.98,61.38,2.67
2023/01/20,8.21,15.66,63.5,2.03
2023/01/21,9.99,17.04,66.06,1.76
2023/01/22,10.26,17.88,63.0,2.15
2023/01/23,12.25,18.58,68.56,2.1
2023/01/24,12.81,19.39,69.06,2.39
2023/01/25,13.27,20.27,67.0,1.98
2023/01/26,14.2,21.03,66.94,1.82
2023/01/27,15.26,21.23,70.81,1.93
2023/01/28,15.32,21.01,72.0,2.23
2023/01/29,12.92,19.89,68.0,2.45
2023/01/30,13.55,20.94,66.12,2.11
2023/01/31,15.27,21.6,69.75,2.02
2023/02/01,12.98,21.05,61.44,3.14
2023/02/02,8.8,18.55,57.12,3.34
2023/02/03,10.43,18.62,62.69,2.8
2023/02/05,9.2,19.93,51.81,1.73
2023/02/09,15.26,21.9,69.56,2.01
2023/02/10,11.09,21.15,57.06,2.19
2023/02/11,10.28,21.87,49.81,2.2
2023/02/12,13.46,21.96,62.94,2.88
2023/02/13,4.24,19.42,41.81,3.26
2023/02/14,4.87,19.71,40.31,2.72
2023/02/15,6.18,20.07,42.88,2.14
2023/02/17,10.51,22.16,49.81,1.45
2023/02/18,11.96,23.17,51.31,1.12
2023/02/19,12.24,23.81,49.94,1.28
2023/02/21,17.17,24.6,65.69,3.38
2023/02/22,18.36,25.3,69.88,4.57
2023/02/23,17.73,25.11,69.31,4.0
2023/02/24,17.45,24.76,68.19,2.96
2023/02/25,13.27,24.54,54.62,2.47
2023/02/26,9.61,24.74,42.69,2.23
2023/02/27,8.92,24.76,39.44,2.23
2023/02/28,9.54,24.03,43.81,2.49
2023/03/01,10.86,23.99,47.12,2.67
2023/03/02,11.88,25.39,45.88,2.2
2023/03/03,11.31,25.87,42.69,2.56
2023/03/04,11.44,27.26,39.88,1.7
2023/03/05,12.41,27.19,42.31,1.84
2023/03/06,10.9,27.65,37.94,2.43
2023/03/07,9.48,26.72,37.12,2.68
2023/03/08,9.47,26.51,36.69,2.95
2023/03/09,11.8,26.9,41.25,2.95
2023/03/10,11.44,25.39,43.38,2.3
2023/03/11,12.01,27.37,40.75,1.91
2023/03/12,12.01,27.26,41.56,2.95
2023/03/13,11.86,27.83,40.25,2.69
2023/03/14,12.75,28.11,41.0,1.76
2023/03/15,17.51,27.27,58.81,3.55
2023/03/16,18.68,25.75,69.31,3.02
2023/03/17,17.65,24.96,67.38,2.41
2023/03/18,17.41,25.72,63.56,2.13
2023/03/19,19.13,23.58,77.19,2.35
2023/03/20,18.92,23.12,78.94,3.84
2023/03/21,18.51,24.28,72.81,2.4
2023/03/22,17.81,24.91,68.31,2.37
2023/03/23,17.51,25.44,66.19,2.49
2023/03/24,18.16,25.64,67.31,2.26
2023/03/25,18.63,26.23,66.06,2.16
2023/03/26,19.71,27.48,66.38,3.12
2023/03/27,19.48,27.65,64.88,3.1
2023/03/28,19.48,27.83,64.5,2.56
2023/03/29,20.48,26.93,70.44,2.84
2023/03/30,20.34,26.26,71.75,2.55
2023/03/31,21.73,25.54,81.0,1.96
2023/04/01,21.42,23.99,86.12,1.91
2023/04/02,19.75,24.91,75.31,2.3
2023/04/03,19.92,25.89,72.5,3.4
2023/04/04,21.17,27.3,72.69,3.88
2023/04/05,22.91,27.87,77.0,4.0
2023/04/06,20.51,28.24,66.69,2.16
2023/04/07,17.71,28.51,56.12,2.05
2023/04/08,16.29,29.4,49.12,1.2
2023/04/09,16.37,29.65,47.69,1.56
2023/04/10,17.52,29.54,51.44,1.86
2023/04/11,19.12,29.72,56.56,2.37
2023/04/12,17.44,30.07,53.06,1.84
2023/04/13,16.08,29.97,47.0,2.48
2023/04/14,19.79,30.8,58.12,1.94
2023/04/15,19.83,31.16,55.56,1.53
2023/04/16,20.1,31.06,56.81,2.44
2023/04/17,22.76,30.99,65.94,4.2
2023/04/18,23.16,31.47,65.94,3.59
2023/04/19,23.1,31.2,66.44,4.25
2023/04/20,22.94,31.44,65.69,4.92
2023/04/21,22.92,30.93,67.81,4.14
2023/04/22,20.9,30.13,63.12,2.99
2023/04/23,21.58,27.74,71.38,2.64
2023/04/24,18.73,28.8,58.44,1.12
2023/04/25,18.68,29.26,55.94,2.0
2023/04/26,17.76,30.16,50.0,1.51
2023/04/27,18.48,30.99,50.06,1.34
2023/04/28,19.12,29.58,55.88,1.77
2023/04/29,20.63,29.93,60.31,1.89
2023/04/30,21.31,29.2,64.38,1.43
2023/05/01,20.77,28.54,64.44,2.41
2023/05/02,19.67,29.55,58.38,1.75
2023/05/03,20.39,29.7,59.44,2.31
2023/05/04,22.51,28.67,71.19,2.35
2023/05/05,22.88,28.57,73.06,2.43
2023/05/06,22.69,29.7,69.0,2.25
2023/05/07,21.47,30.46,62.44,2.29
2023/05/08,18.45,31.26,51.56,2.88
2023/05/09,19.25,31.73,49.88,2.53
2023/05/10,21.94,32.05,59.5,3.0
2023/05/11,22.72,31.92,61.75,2.36
2023/05/12,22.16,30.92,62.0,1.27
2023/05/14,20.05,29.27,60.19,5.34
2023/05/15,19.55,29.63,57.31,3.57
2023/05/16,23.19,30.4,68.31,4.23
2023/05/17,25.04,28.96,80.94,4.07
2023/05/18,25.28,28.17,85.12,3.27
2023/05/19,24.93,28.07,84.06,3.58
2023/05/20,24.96,29.1,80.06,4.25
