DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.59,29.12,86.81,2.02
2019/09/02,26.65,28.53,89.69,3.05
2019/09/03,26.21,28.49,87.62,1.34
2019/09/04,25.87,27.36,91.56,2.47
2019/09/05,26.01,28.25,87.94,2.48
2019/09/06,26.37,28.15,90.25,3.03
2019/09/07,26.43,28.21,90.25,3.41
2019/09/08,26.63,28.27,91.06,4.0
2019/09/10,26.72,28.19,91.88,2.59
2019/09/11,26.93,28.48,91.56,3.34
2019/09/12,26.51,27.58,93.88,4.73
2019/09/13,26.16,27.59,92.12,3.4
2019/09/14,25.9,27.62,90.62,2.84
2019/09/15,26.14,28.17,89.06,2.48
2019/09/16,26.03,27.63,91.06,2.52
2019/09/17,25.48,28.22,85.56,1.73
2019/09/18,24.72,28.87,79.38,1.43
2019/09/19,25.02,29.22,79.06,1.65
2019/09/20,25.05,28.87,80.44,1.41
2019/09/21,25.4,28.44,84.06,1.49
2019/09/22,25.36,28.8,82.44,1.4
2019/09/23,24.81,26.58,90.19,1.61
2019/09/24,24.46,25.96,91.56,1.95
2019/09/27,23.4,26.41,84.56,1.83
2019/09/28,23.57,25.62,88.69,1.46
2019/09/29,22.74,25.04,87.31,1.42
2019/09/30,23.39,24.51,93.44,2.29
2019/10/01,24.02,25.15,93.44,3.95
2019/10/02,24.1,26.47,87.25,2.16
2019/10/03,23.99,26.83,84.75,1.38
2019/10/04,24.55,26.65,88.69,1.83
2019/10/05,24.57,27.11,86.38,1.48
2019/10/06,24.53,26.82,87.38,1.6
2019/10/07,24.42,26.19,90.06,1.46
2019/10/08,23.86,26.04,88.0,1.07
2019/10/09,23.12,25.87,85.44,1.24
2019/10/10,23.58,25.54,89.31,1.95
2019/10/11,23.45,25.96,86.5,1.62
2019/10/12,22.08,25.98,80.0,1.52
2019/10/13,21.3,25.12,80.44,2.1
2019/10/14,22.16,25.81,81.25,1.8
2019/10/15,22.74,26.42,80.75,1.84
2019/10/16,23.39,26.78,82.12,1.38
2019/10/17,23.64,27.15,81.88,1.21
2019/10/18,22.84,26.88,79.69,1.71
2019/10/19,22.23,26.49,78.75,1.98
2019/10/20,22.11,25.84,81.0,2.02
2019/10/21,23.08,25.04,89.31,2.41
2019/10/22,22.57,24.7,88.31,2.14
2019/10/23,20.51,23.73,83.0,1.9
2019/10/24,19.8,21.69,89.12,1.45
2019/10/25,21.37,22.64,92.62,2.7
2019/10/26,23.1,24.21,93.62,2.43
2019/10/27,21.66,23.94,87.69,1.84
2019/10/28,20.55,23.15,85.88,1.97
2019/10/29,22.21,24.37,88.0,1.91
2019/10/30,22.25,25.29,83.62,1.66
2019/10/31,21.25,25.16,79.5,1.17
2019/11/01,21.65,24.88,82.94,1.53
2019/11/02,21.73,24.69,84.19,1.77
2019/11/03,21.38,24.61,82.56,1.48
2019/11/04,21.31,24.91,80.81,1.21
2019/11/05,21.03,24.69,80.5,1.33
2019/11/06,19.9,23.9,79.38,1.54
2019/11/07,19.82,23.82,79.0,1.92
2019/11/08,20.94,24.69,81.25,1.79
2019/11/09,21.81,22.64,94.94,2.96
2019/11/10,20.76,22.22,91.38,4.51
2019/11/11,20.63,23.48,84.69,2.4
2019/11/12,20.11,23.01,84.62,2.27
2019/11/13,20.27,23.51,82.75,1.59
2019/11/14,20.78,24.09,82.31,1.59
2019/11/15,20.09,23.81,80.25,1.52
2019/11/16,19.7,23.82,78.19,0.87
2019/11/17,19.73,22.9,82.69,1.33
2019/11/18,18.25,22.34,78.19,1.13
2019/11/19,18.21,22.12,78.94,1.41
2019/11/20,18.11,21.55,81.38,1.48
2019/11/21,17.39,21.33,79.06,1.48
2019/11/22,17.54,20.98,81.19,1.59
2019/11/23,18.4,21.67,82.06,1.15
2019/11/24,18.34,21.88,80.81,0.83
