DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.12,29.71,86.62,2.37
2019/09/02,26.19,28.52,87.75,2.99
2019/09/03,26.51,28.37,89.88,4.32
2019/09/04,26.64,28.29,90.94,3.87
2019/09/05,26.44,27.99,91.38,3.95
2019/09/06,26.48,28.38,89.69,4.22
2019/09/07,26.29,27.83,91.38,5.38
2019/09/08,26.39,28.12,90.44,4.79
2019/09/10,27.08,28.16,93.81,3.85
2019/09/11,26.9,28.09,93.25,4.09
2019/09/12,26.38,27.7,92.5,6.37
2019/09/13,26.09,27.33,92.88,4.22
2019/09/14,25.88,27.79,89.56,2.76
2019/09/15,26.17,28.12,89.44,2.37
2019/09/16,26.11,28.05,89.44,2.19
2019/09/17,25.8,29.0,83.56,1.45
2019/09/18,25.4,29.93,77.81,1.05
2019/09/19,26.01,28.87,84.88,1.77
2019/09/20,25.92,28.44,86.56,1.62
2019/09/21,25.84,29.02,83.62,1.08
2019/09/22,25.46,29.23,81.25,1.3
2019/09/23,24.91,28.13,83.38,1.5
2019/09/24,25.42,27.0,91.12,2.01
2019/09/27,23.98,26.37,87.06,2.2
2019/09/28,23.67,26.43,85.38,1.44
2019/09/29,24.14,25.98,89.75,1.43
2019/09/30,24.4,26.6,88.0,2.2
2019/10/01,24.55,26.05,91.56,2.74
2019/10/02,24.96,26.87,89.62,2.76
2019/10/03,25.44,27.23,90.25,2.7
2019/10/04,24.86,27.18,87.56,1.7
2019/10/05,25.11,27.35,87.88,1.78
2019/10/06,24.58,27.45,85.12,1.43
2019/10/07,24.48,26.87,87.06,1.52
2019/10/08,23.92,26.84,84.25,1.08
2019/10/09,23.55,25.66,88.12,1.24
2019/10/10,24.02,25.31,92.56,2.77
2019/10/11,24.33,26.34,89.0,2.21
2019/10/12,23.78,26.61,84.94,1.53
2019/10/13,22.73,25.56,84.94,2.53
2019/10/14,22.54,25.59,84.06,2.3
2019/10/15,23.18,26.21,84.25,1.75
2019/10/16,23.33,28.05,76.81,1.0
2019/10/17,24.22,27.62,82.06,1.43
2019/10/18,24.49,27.27,85.12,1.93
2019/10/19,24.25,26.91,85.75,2.06
2019/10/20,23.98,26.46,86.81,2.47
2019/10/21,23.82,26.24,86.94,2.3
2019/10/22,24.09,26.48,87.0,1.73
2019/10/23,23.88,26.04,88.31,2.22
2019/10/24,22.01,23.51,91.38,3.91
2019/10/25,23.47,25.43,89.31,2.81
2019/10/26,25.03,26.57,91.31,2.65
2019/10/27,23.99,25.83,89.88,1.45
2019/10/28,22.94,24.82,89.56,2.72
2019/10/29,21.93,24.44,86.31,2.25
2019/10/30,21.46,24.62,83.12,1.7
2019/10/31,21.55,24.96,82.0,1.78
2019/11/01,21.99,25.05,83.81,2.09
2019/11/02,21.78,25.1,82.62,1.8
2019/11/03,21.15,25.11,79.5,1.44
2019/11/04,22.05,25.59,81.12,1.4
2019/11/05,21.79,25.49,80.75,1.59
2019/11/06,21.19,24.6,82.12,2.04
2019/11/07,20.63,24.89,78.56,1.7
2019/11/08,22.31,24.16,89.44,1.84
2019/11/09,23.19,24.3,93.5,4.33
2019/11/10,23.58,24.42,95.0,5.38
2019/11/11,23.68,25.1,92.0,2.55
2019/11/12,21.44,23.68,87.81,2.39
2019/11/13,20.52,23.05,86.25,2.36
2019/11/14,21.2,23.69,86.75,2.12
2019/11/15,20.59,23.65,83.56,2.0
2019/11/16,20.21,23.34,83.31,1.68
2019/11/17,19.4,23.39,78.62,1.29
2019/11/18,19.21,22.91,80.25,1.55
2019/11/19,18.54,22.76,77.75,1.38
2019/11/20,18.14,21.8,80.25,1.74
2019/11/21,17.48,21.51,78.69,1.66
2019/11/22,17.24,21.65,76.44,1.29
2019/11/23,17.69,21.89,77.62,1.48
2019/11/24,17.95,21.58,80.5,1.52
