DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.48,29.81,87.75,2.7
2019/09/02,27.63,30.0,87.56,2.59
2019/09/03,26.12,28.12,89.0,2.11
2019/09/04,26.04,27.5,91.69,2.6
2019/09/05,26.23,28.49,87.94,2.98
2019/09/06,26.64,29.18,86.81,3.3
2019/09/07,26.98,29.08,88.75,3.89
2019/09/08,26.87,28.96,88.88,3.84
2019/09/10,26.85,28.5,90.94,3.18
2019/09/11,27.29,29.03,90.56,3.19
2019/09/12,26.84,28.21,92.38,4.56
2019/09/13,26.24,27.99,90.44,3.63
2019/09/14,26.44,28.49,89.0,3.59
2019/09/15,26.76,28.8,89.0,3.1
2019/09/16,26.89,27.95,93.88,2.98
2019/09/17,25.82,27.85,88.88,2.05
2019/09/18,24.88,28.62,80.88,1.7
2019/09/19,24.87,29.05,79.06,1.59
2019/09/20,25.58,29.28,80.81,1.38
2019/09/21,25.17,30.1,75.5,0.75
2019/09/22,25.46,29.5,79.38,1.35
2019/09/23,25.2,27.41,87.75,1.96
2019/09/24,24.99,26.26,92.69,2.72
2019/09/27,23.58,26.48,84.5,0.88
2019/09/28,23.72,25.98,87.5,1.8
2019/09/29,22.65,23.98,92.19,2.3
2019/09/30,23.1,24.18,93.62,2.88
2019/10/01,24.4,25.93,91.44,3.38
2019/10/02,24.65,27.04,87.12,2.5
2019/10/03,24.57,27.33,85.31,1.88
2019/10/04,24.93,26.86,89.38,2.02
2019/10/05,24.63,27.29,85.81,1.55
2019/10/06,24.33,27.94,81.12,1.12
2019/10/07,24.95,27.14,88.0,1.55
2019/10/08,24.47,26.09,90.75,1.55
2019/10/09,23.14,25.51,87.0,1.41
2019/10/10,22.78,26.12,82.19,1.17
2019/10/11,22.72,26.37,80.69,1.32
2019/10/12,22.51,26.47,79.25,1.63
2019/10/13,21.94,25.5,81.12,1.7
2019/10/14,22.56,25.48,84.56,2.02
2019/10/15,22.97,26.17,83.12,2.04
2019/10/16,23.28,26.99,80.75,1.36
2019/10/17,23.42,27.08,80.81,1.33
2019/10/18,22.97,26.45,81.88,1.8
2019/10/19,22.17,25.55,82.31,2.09
2019/10/20,22.55,25.04,86.62,2.23
2019/10/21,22.94,24.69,90.38,3.16
2019/10/22,21.65,23.99,87.38,2.8
2019/10/23,19.93,22.95,83.75,1.62
2019/10/24,20.19,22.48,87.06,1.55
2019/10/25,21.16,22.45,92.44,4.02
2019/10/26,21.4,22.64,92.81,3.3
2019/10/27,20.83,23.11,87.44,1.73
2019/10/28,20.13,22.11,88.81,2.48
2019/10/29,20.93,23.05,88.31,2.18
2019/10/30,21.91,24.3,87.19,1.9
2019/10/31,21.77,24.51,85.38,1.93
2019/11/01,21.38,24.23,84.81,2.02
2019/11/02,21.76,24.12,87.12,2.65
2019/11/03,21.73,24.34,85.94,2.06
2019/11/04,21.75,24.66,84.44,2.03
2019/11/05,21.25,24.0,85.38,2.05
2019/11/06,18.56,22.97,78.12,1.84
2019/11/07,19.49,22.94,81.69,2.49
2019/11/08,21.55,24.01,86.75,2.67
2019/11/09,22.07,23.41,92.25,2.66
2019/11/10,21.51,22.88,92.12,4.09
2019/11/11,20.67,23.34,85.62,2.33
2019/11/12,19.39,22.76,82.06,1.54
2019/11/13,18.88,21.95,83.56,1.84
2019/11/14,21.04,23.33,87.25,2.42
2019/11/15,20.95,23.7,85.25,1.73
2019/11/16,20.44,22.92,86.62,2.26
2019/11/17,18.96,21.33,87.0,2.4
2019/11/18,18.08,21.4,82.38,1.41
2019/11/19,18.25,21.1,84.5,1.86
2019/11/20,15.05,20.33,73.88,1.29
2019/11/21,18.32,21.25,83.94,2.18
2019/11/22,18.77,21.57,84.69,1.65
2019/11/23,17.83,21.4,81.0,1.61
2019/11/24,18.01,21.08,83.38,1.72
2019/11/25,18.76,20.44,90.38,1.71
2019/11/26,19.39,21.73,86.75,1.95
2019/11/27,19.53,21.69,87.75,2.29
2019/11/28,19.76,21.98,87.38,2.32
2019/11/29,19.08,21.68,85.62,1.82
2019/11/30,17.58,20.44,84.5,2.23
2019/12/01,15.92,19.15,82.31,2.37
2019/12/03,15.46,18.65,82.81,1.88
2019/12/04,15.12,18.04,84.25,2.38
2019/12/05,15.9,18.77,83.5,3.02
2019/12/06,15.38,18.78,81.94,2.77
2019/12/07,15.09,18.42,82.25,2.61
2019/12/08,15.36,19.08,80.62,2.17
2019/12/09,16.27,19.23,83.38,1.73
2019/12/10,14.68,18.26,81.0,2.09
2019/12/11,14.21,18.03,79.44,1.98
2019/12/12,15.05,18.13,82.88,1.88
2019/12/13,15.83,19.0,83.06,1.79
2019/12/14,16.18,19.52,82.12,1.88
2019/12/15,15.67,18.51,84.38,2.15
2019/12/16,14.58,18.58,79.62,2.29
2019/12/17,14.36,16.83,85.88,2.78
2019/12/18,11.92,14.48,85.62,2.95
2019/12/19,10.62,13.08,85.94,2.57
2019/12/20,10.83,13.93,82.94,2.16
2019/12/21,10.76,13.69,83.81,1.91
2019/12/22,10.79,14.14,81.38,1.7
2019/12/23,11.58,15.01,81.0,2.02
2019/12/24,10.74,14.45,80.38,2.56
2019/12/25,9.4,13.69,77.81,1.91
2019/12/26,10.18,14.52,77.44,2.05
2019/12/27,9.85,13.87,78.38,2.31
2019/12/28,7.95,12.46,75.88,2.76
2019/12/29,9.31,12.99,80.12,2.98
2019/12/30,10.59,14.5,79.38,2.66
