DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.86,29.1,88.12,1.27
2019/09/02,26.55,28.78,88.31,2.5
2019/09/03,26.72,28.02,92.69,2.75
2019/09/04,26.94,28.15,93.25,2.87
2019/09/05,26.66,27.96,92.75,3.1
2019/09/06,26.64,28.48,90.12,3.6
2019/09/07,26.96,28.44,91.88,3.81
2019/09/08,26.73,28.3,91.44,3.59
2019/09/10,27.4,28.58,93.38,2.39
2019/09/11,27.1,28.19,93.81,2.35
2019/09/12,26.25,27.51,92.88,3.48
2019/09/13,26.12,27.23,93.69,3.22
2019/09/14,26.12,27.48,92.44,2.41
2019/09/15,26.43,28.31,89.94,2.44
2019/09/16,26.12,27.73,91.19,2.06
2019/09/17,25.98,28.51,86.94,1.83
2019/09/18,25.98,28.61,86.44,1.94
2019/09/19,25.74,28.91,84.19,1.58
2019/09/20,25.41,28.55,84.12,1.38
2019/09/21,25.81,28.3,86.81,1.47
2019/09/22,25.8,28.52,85.75,1.58
2019/09/23,25.97,27.08,93.69,2.24
2019/09/24,26.19,27.0,95.25,2.46
2019/09/27,24.46,26.4,89.44,1.54
2019/09/28,24.27,26.1,89.88,1.17
2019/09/29,24.12,25.76,90.69,1.12
2019/09/30,24.42,26.11,90.69,2.11
2019/10/01,25.19,26.74,91.44,2.27
2019/10/02,25.25,27.7,87.0,1.48
2019/10/03,25.52,27.23,90.69,1.93
2019/10/04,25.02,27.2,88.25,1.64
2019/10/05,25.13,27.27,88.5,1.6
2019/10/06,25.09,27.32,88.25,1.47
2019/10/07,24.69,26.82,88.56,1.51
2019/10/08,24.51,26.71,88.0,1.56
2019/10/09,24.45,25.48,94.0,2.0
2019/10/10,24.0,26.18,88.38,1.41
2019/10/11,24.05,26.85,85.19,1.16
2019/10/12,23.76,27.23,81.88,1.57
2019/10/13,23.26,26.49,83.0,1.87
2019/10/14,22.89,26.31,82.19,2.0
2019/10/15,22.6,26.9,78.19,1.22
2019/10/16,23.51,27.4,80.19,1.14
2019/10/17,23.97,27.37,82.75,1.45
2019/10/18,24.48,27.91,82.38,1.37
2019/10/19,24.13,27.56,81.69,1.6
2019/10/20,24.05,26.9,85.06,2.02
2019/10/21,23.49,26.84,82.56,1.65
2019/10/22,23.92,26.83,84.44,1.47
2019/10/23,23.89,26.14,87.75,1.64
2019/10/24,21.38,22.77,92.0,3.04
2019/10/25,23.37,24.52,93.44,2.52
2019/10/26,24.98,25.93,94.5,2.2
2019/10/27,23.52,25.28,90.31,1.9
2019/10/28,21.8,23.93,88.44,2.33
2019/10/29,20.97,23.49,86.5,2.03
2019/10/30,21.12,23.92,85.25,2.1
2019/10/31,20.6,24.08,82.0,2.04
2019/11/01,21.15,24.6,81.75,1.64
2019/11/02,21.55,24.31,85.5,2.42
2019/11/03,22.12,24.79,85.94,2.09
2019/11/04,22.27,25.24,84.38,1.95
2019/11/05,21.55,25.09,81.75,1.71
2019/11/06,20.8,23.85,83.88,2.41
2019/11/07,18.75,23.61,75.31,2.2
2019/11/08,21.59,23.0,91.75,2.79
2019/11/09,23.51,24.26,95.5,6.13
2019/11/10,24.73,25.8,93.75,3.8
2019/11/11,21.87,23.77,89.44,2.92
2019/11/12,21.05,23.93,84.62,1.82
2019/11/13,19.85,22.78,84.44,2.05
2019/11/14,19.81,22.87,83.81,2.05
2019/11/15,20.19,22.88,85.62,2.16
2019/11/16,19.65,22.8,83.5,1.89
2019/11/17,19.1,22.58,81.62,1.76
2019/11/18,19.0,22.44,81.81,1.69
2019/11/19,18.27,21.79,81.56,1.97
2019/11/20,16.9,20.71,80.06,2.03
2019/11/21,16.43,20.77,77.25,2.16
2019/11/22,17.8,21.01,82.69,2.17
2019/11/23,17.94,21.38,81.94,1.89
2019/11/24,17.52,21.68,78.25,1.48
2019/11/25,18.78,22.23,81.44,1.5
2019/11/26,19.73,23.03,82.56,1.38
2019/11/27,19.75,22.68,84.06,1.66
2019/11/28,19.76,23.46,80.69,1.27
2019/11/29,20.29,22.89,85.38,1.76
2019/11/30,19.54,22.47,83.69,1.92
2019/12/01,17.89,20.9,83.94,2.38
2019/12/03,15.04,18.73,80.62,2.3
2019/12/04,14.77,18.24,81.94,2.62
2019/12/05,14.58,19.77,74.44,1.55
2019/12/06,16.07,21.78,71.25,1.05
2019/12/07,17.31,22.3,74.5,1.26
2019/12/08,17.98,22.87,74.81,1.2
2019/12/09,17.8,21.44,80.44,1.56
2019/12/10,15.82,19.99,78.62,1.94
2019/12/11,15.13,20.36,73.5,1.4
2019/12/12,15.98,20.19,78.31,1.86
2019/12/13,15.92,19.87,79.5,1.68
2019/12/14,16.54,20.73,78.31,1.41
2019/12/15,18.0,20.87,84.25,2.06
2019/12/16,17.06,19.93,84.62,2.21
2019/12/17,16.23,19.05,84.69,2.3
2019/12/18,13.41,16.8,82.25,3.09
2019/12/19,10.74,13.9,82.38,2.62
2019/12/20,10.4,14.01,79.81,2.2
2019/12/21,10.8,14.47,80.44,2.12
2019/12/22,11.34,14.58,81.94,2.45
2019/12/23,12.73,15.92,82.94,2.45
2019/12/24,12.19,16.33,77.88,2.59
2019/12/25,12.19,16.05,79.38,2.16
2019/12/26,13.27,16.21,84.31,2.46
2019/12/27,11.73,13.26,90.5,2.35
2019/12/28,9.62,12.89,82.88,2.88
2019/12/29,9.75,13.64,80.0,3.02
2019/12/30,10.87,14.24,81.81,2.49
2019/12/31,11.29,15.56,77.69,2.09
2020/01/01,12.42,17.76,73.06,2.11
2020/01/02,14.12,18.46,77.31,1.73
2020/01/03,15.98,17.23,92.5,2.56
2020/01/04,15.39,17.88,86.06,1.21
2020/01/05,15.03,17.51,86.19,2.3
2020/01/06,11.39,15.01,80.94,2.77
2020/01/07,10.93,14.89,78.94,2.19
2020/01/08,11.63,16.02,76.94,2.16
2020/01/09,13.17,16.67,81.0,2.16
2020/01/10,14.08,16.82,85.0,2.73
2020/01/11,11.06,14.09,83.5,3.05
2020/01/12,10.21,14.12,79.5,2.89
2020/01/13,9.1,14.68,72.06,2.2
2020/01/14,9.75,15.79,68.94,1.58
2020/01/15,12.79,17.58,75.25,1.66
2020/01/16,13.73,18.7,74.88,1.77
2020/01/17,13.2,20.26,67.06,1.17
2020/01/18,13.05,20.12,66.0,1.6
2020/01/19,14.9,19.52,77.12,2.25
2020/01/20,13.9,17.65,80.19,2.78
2020/01/21,10.21,16.2,70.75,2.48
2020/01/22,9.65,16.62,66.0,1.99
2020/01/23,13.6,18.82,72.94,1.74
2020/01/24,10.9,17.19,70.12,2.33
2020/01/25,7.89,16.36,60.06,1.9
2020/01/26,7.98,16.19,60.94,2.27
2020/01/27,9.63,16.48,66.31,2.12
2020/01/28,12.19,18.71,69.12,1.34
2020/01/29,15.19,19.3,78.5,1.4
2020/01/30,16.42,18.3,88.88,1.31
2021/12/13,12.95,16.94,79.31,2.44
2021/12/14,13.77,16.85,83.12,2.31
2021/12/15,13.2,16.6,81.75,2.13
2021/12/16,13.66,16.62,84.0,2.23
2021/12/17,13.7,17.09,81.31,2.09
2021/12/18,13.15,17.45,77.69,2.2
2021/12/19,12.19,15.87,80.38,2.87
2021/12/20,8.1,13.14,74.5,2.55
2021/12/21,10.37,13.93,80.88,2.08
2021/12/22,12.53,15.62,83.06,2.11
2021/12/23,12.68,16.65,79.0,2.05
2021/12/24,13.61,17.48,78.94,1.49
2021/12/25,14.08,18.58,76.44,1.16
2021/12/26,14.31,19.02,74.94,1.16
2021/12/27,14.58,18.49,78.94,1.48
2021/12/28,15.18,18.34,82.81,1.9
2021/12/29,14.85,18.4,81.31,1.84
2021/12/30,14.85,18.19,82.5,2.48
2022/06/01,26.37,28.86,86.94,2.84
2022/06/02,25.5,29.7,79.88,2.94
2022/06/03,26.41,29.05,86.38,2.66
2022/06/04,25.87,29.17,83.5,3.76
2022/06/05,25.92,29.24,83.44,3.35
2022/06/06,25.5,29.43,80.81,3.46
2022/06/07,25.66,30.13,78.75,3.4
2022/06/08,26.23,29.73,82.56,3.38
2022/06/09,26.97,29.93,85.06,3.76
2022/06/10,25.14,29.36,79.69,3.14
2022/06/11,25.49,29.05,82.31,3.73
2022/06/12,25.96,30.1,80.19,3.64
2022/06/13,26.26,30.39,80.12,4.4
2022/06/16,25.93,28.33,87.19,4.56
2022/06/17,26.36,28.3,89.44,4.4
2022/06/19,25.63,27.69,88.81,4.82
2022/06/20,25.18,27.48,87.62,4.52
2022/06/21,25.69,27.65,89.31,3.15
2022/06/22,25.09,27.8,86.0,2.2
2022/06/23,25.54,28.41,85.44,2.97
2022/06/24,25.44,28.48,84.5,3.1
2022/06/25,25.58,28.74,84.0,3.25
2022/06/27,25.48,28.99,82.5,2.81
2022/06/28,25.87,28.45,86.5,2.73
2022/06/29,26.23,28.51,87.88,2.85
2022/06/30,26.12,28.4,87.94,2.47
2022/07/01,26.69,28.23,91.5,2.82
2022/07/02,25.81,28.44,86.38,3.13
2022/07/03,26.29,28.48,88.31,3.77
2022/07/04,26.32,28.9,86.75,2.37
2022/07/06,26.42,28.16,90.44,3.69
2022/07/07,25.98,28.66,86.19,2.98
2022/07/09,25.48,28.18,86.0,3.66
2022/07/10,25.88,28.62,85.81,3.68
2022/07/11,25.76,28.48,85.94,4.23
2022/07/12,26.01,28.91,85.12,4.96
2022/07/13,26.16,29.04,85.25,5.61
2022/07/14,25.98,28.26,87.81,4.42
2022/07/15,25.85,28.83,84.75,4.26
2022/07/16,26.08,29.02,85.0,4.73
2022/07/17,26.21,29.24,84.56,4.54
2022/07/18,25.4,29.12,81.56,3.63
2022/07/19,25.84,28.61,85.38,3.55
2022/07/20,26.18,28.96,85.56,3.07
2022/07/21,26.55,29.48,85.25,2.44
2022/07/22,26.43,28.92,87.0,2.34
2022/07/23,25.7,28.45,85.81,3.02
2022/07/24,25.83,27.87,88.94,2.8
2022/07/26,24.29,28.51,79.5,1.48
2022/07/28,25.61,28.09,86.62,1.53
2022/07/29,25.91,29.45,82.38,1.84
2022/07/30,26.28,29.18,85.12,2.75
2022/07/31,26.45,28.99,86.75,2.96
2022/08/01,26.83,29.07,88.19,2.65
2022/08/02,26.6,29.74,84.38,1.95
2022/08/03,26.19,28.7,86.94,1.95
2022/08/04,26.05,28.59,86.62,2.28
2022/08/05,26.65,29.61,85.06,2.42
2022/08/06,26.6,28.86,88.19,2.72
2022/08/07,26.4,28.94,86.81,3.8
2022/08/10,26.4,27.4,94.25,4.77
2022/08/11,25.97,27.4,92.0,2.22
2022/08/12,25.59,28.87,83.81,1.45
2022/08/13,25.94,28.42,87.0,3.14
2022/08/14,26.13,27.54,92.06,6.66
2022/08/15,25.98,27.62,90.88,4.07
2022/08/16,26.06,28.62,86.69,2.27
2022/08/17,26.49,29.2,86.06,2.01
2022/08/18,27.01,29.23,88.19,2.38
2022/08/19,26.18,28.06,89.75,6.72
2022/08/20,25.62,27.82,88.12,5.44
2022/08/21,26.04,28.27,88.25,2.88
2022/08/22,26.27,28.87,86.69,1.77
2022/08/23,26.3,27.93,91.06,2.05
2022/08/25,25.73,28.12,87.56,2.59
2022/08/26,25.61,27.83,88.25,2.18
2022/08/27,25.96,27.71,90.44,2.88
2022/08/28,25.66,28.02,87.56,3.19
2022/08/29,25.83,28.61,85.75,2.13
2022/08/30,25.75,29.18,83.06,1.58
2022/08/31,26.22,28.65,87.31,2.12
2022/09/01,26.39,28.39,89.25,1.96
2022/09/02,26.13,28.58,87.25,2.16
2022/09/03,26.34,28.87,86.94,2.87
2022/09/04,26.9,28.86,89.56,2.6
2022/09/05,26.82,28.44,91.12,2.28
2022/09/06,25.94,28.65,85.94,0.99
2022/09/07,26.19,27.93,90.5,1.92
2022/09/08,26.42,28.9,87.12,2.03
2022/09/09,26.04,27.97,89.62,2.14
2022/09/10,26.26,27.32,93.94,3.09
2022/09/11,26.37,27.24,94.88,3.76
2022/09/12,26.46,27.26,95.25,3.73
2022/09/13,26.4,27.23,95.19,3.83
2022/09/14,26.01,26.99,94.38,3.13
2022/09/15,26.11,27.51,92.19,2.33
2022/09/16,26.23,27.76,91.62,1.86
2022/09/17,26.21,28.01,90.38,1.98
2022/09/18,25.87,28.0,88.69,1.59
2022/09/19,26.13,27.66,91.56,3.24
2022/09/20,26.23,27.71,91.69,4.46
2022/09/21,26.03,27.9,89.94,3.35
2022/09/22,25.95,27.86,89.81,2.57
2022/09/23,25.63,27.7,89.0,2.35
2022/09/24,25.58,27.73,88.69,2.1
2022/09/25,25.4,28.05,86.38,1.53
2022/09/26,25.11,27.01,89.5,1.52
2022/09/27,25.22,28.08,85.25,1.08
2022/09/28,25.75,27.61,89.75,1.3
2022/09/29,25.68,28.89,83.31,1.27
2022/09/30,25.47,28.84,82.75,1.76
2022/10/01,25.87,28.44,86.44,1.29
2022/10/02,26.23,27.16,94.56,1.99
2022/10/03,25.76,27.09,92.56,2.25
2022/10/04,26.05,27.5,92.0,2.73
2022/10/05,25.65,27.23,91.38,2.24
2022/10/06,25.24,27.23,89.31,2.04
2022/10/07,24.6,27.08,86.69,1.32
2022/10/08,24.69,27.67,84.38,1.19
2022/10/09,25.36,26.9,91.44,1.73
2022/10/10,25.19,26.88,90.69,1.77
2022/10/11,25.51,26.73,93.12,2.08
2022/10/12,25.23,26.53,92.69,1.96
2022/10/13,24.68,26.87,88.31,1.6
2022/10/14,23.9,27.66,80.81,0.84
2022/10/15,24.65,27.03,87.31,2.16
2022/10/16,22.79,25.75,84.56,2.36
2022/10/17,22.89,26.41,81.81,1.77
2022/10/18,22.97,27.26,78.0,1.34
2022/10/19,23.59,26.62,83.88,1.93
2022/10/20,23.2,25.86,86.06,2.92
2022/10/21,23.08,25.84,85.5,2.63
2022/10/22,23.3,26.76,82.44,2.19
2022/10/23,23.23,24.53,92.5,2.32
2022/10/24,22.92,23.68,95.38,6.78
2022/10/25,21.97,24.8,85.0,2.86
2022/10/26,21.27,25.41,79.0,1.53
2022/10/27,20.4,25.76,73.25,1.09
2022/10/28,20.08,24.37,77.62,1.78
2022/10/29,18.94,23.63,76.19,1.91
2022/10/30,19.75,24.24,77.44,1.57
2022/10/31,20.27,24.73,76.94,1.78
2022/11/01,22.17,25.08,84.75,2.03
2022/11/02,22.25,25.43,83.5,2.12
2022/11/03,20.05,23.72,80.75,2.05
2022/11/04,19.16,23.65,76.88,1.82
2022/11/05,19.33,24.93,71.62,1.18
2022/11/06,19.48,24.28,75.38,1.62
2022/11/07,18.54,23.3,76.12,1.62
2022/11/08,18.68,24.02,73.19,1.26
