DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.94,29.74,85.44,1.95
2019/09/02,26.4,28.55,88.5,3.59
2019/09/03,26.76,28.65,89.75,5.18
2019/09/04,26.97,28.38,92.06,4.38
2019/09/05,26.62,28.15,91.44,4.56
2019/09/06,26.62,28.59,89.31,4.8
2019/09/07,26.6,28.15,91.44,5.44
2019/09/08,26.73,28.49,90.38,4.84
2019/09/10,27.33,28.59,92.88,3.65
2019/09/11,27.14,28.41,92.88,3.99
2019/09/12,26.69,27.96,92.75,5.59
2019/09/13,26.42,27.6,93.31,4.67
2019/09/14,26.09,27.93,89.94,3.25
2019/09/15,26.36,28.37,89.19,2.95
2019/09/16,26.23,28.01,90.19,2.62
2019/09/17,25.74,28.89,83.75,1.66
2019/09/18,25.4,29.45,79.81,1.43
2019/09/19,25.71,29.37,81.5,1.45
2019/09/20,26.11,28.49,87.12,1.82
2019/09/21,25.82,29.06,83.25,1.41
2019/09/22,25.62,29.02,82.44,1.44
2019/09/23,25.44,27.68,87.94,2.22
2019/09/24,26.01,27.3,92.62,2.62
2019/09/27,24.19,27.24,83.88,1.59
2019/09/28,23.91,27.16,82.81,1.2
2019/09/29,24.08,26.03,89.06,1.39
2019/09/30,24.52,26.56,88.81,2.48
2019/10/01,24.83,26.33,91.5,3.12
2019/10/02,24.88,27.51,86.06,2.02
2019/10/03,25.57,27.76,88.25,2.3
2019/10/04,25.02,27.58,86.44,1.8
2019/10/05,25.15,27.5,87.31,1.77
2019/10/06,25.12,27.28,88.25,1.74
2019/10/07,24.73,26.9,88.19,1.99
2019/10/08,24.12,26.9,84.94,1.59
2019/10/09,23.74,25.91,87.88,1.52
2019/10/10,24.2,25.81,90.88,3.0
2019/10/11,24.12,26.8,85.75,1.82
2019/10/12,23.67,27.13,81.75,1.49
2019/10/13,23.13,26.25,83.44,2.52
2019/10/14,23.07,26.14,83.94,2.6
2019/10/15,23.47,26.94,82.25,1.71
2019/10/16,23.88,27.69,80.5,1.3
2019/10/17,24.26,28.2,79.81,1.18
2019/10/18,24.44,28.14,80.44,1.73
2019/10/19,24.14,27.1,84.25,2.41
2019/10/20,24.22,26.78,86.38,2.73
2019/10/21,23.91,26.68,85.31,2.32
2019/10/22,24.13,26.73,85.94,1.95
2019/10/23,23.94,26.26,87.38,2.4
2019/10/24,21.65,23.31,90.56,4.37
2019/10/25,23.45,25.27,90.0,3.29
2019/10/26,25.16,26.25,93.75,3.09
2019/10/27,24.0,25.92,89.5,1.84
2019/10/28,22.3,24.41,88.25,3.27
2019/10/29,21.47,24.23,85.12,2.38
2019/10/30,21.63,24.8,83.31,1.94
2019/10/31,21.63,25.02,82.44,2.23
2019/11/01,22.09,25.36,82.44,2.23
2019/11/02,22.53,25.44,84.81,2.3
2019/11/03,22.19,25.72,81.94,1.69
2019/11/04,22.69,25.76,83.69,1.98
2019/11/05,21.88,25.74,80.19,1.84
2019/11/06,21.59,24.9,82.5,2.24
2019/11/07,20.17,24.92,76.31,2.26
2019/11/08,22.39,24.15,89.88,2.49
2019/11/09,23.29,24.25,94.31,6.7
2019/11/10,24.6,25.38,95.31,5.31
2019/11/11,22.93,24.58,90.69,3.46
2019/11/12,21.29,23.88,85.88,2.49
2019/11/13,20.75,23.35,85.81,2.51
2019/11/14,20.67,23.91,83.0,2.04
2019/11/15,20.59,23.94,82.12,2.0
2019/11/16,20.62,23.8,83.06,1.88
2019/11/17,19.97,23.57,80.94,1.75
2019/11/18,19.53,23.57,78.81,1.48
2019/11/19,18.64,23.39,75.31,1.32
2019/11/20,18.73,21.93,82.62,2.23
2019/11/21,17.62,21.98,77.31,1.71
2019/11/22,18.34,22.69,76.94,1.1
2019/11/23,18.6,22.9,77.38,1.2
2019/11/24,18.54,22.65,78.19,1.38
2019/11/25,18.97,22.54,80.69,1.58
2019/11/26,19.19,23.24,78.75,1.32
2019/11/27,18.92,22.87,79.0,1.43
2019/11/28,19.42,23.17,80.12,1.43
2019/11/29,19.77,23.31,81.44,1.23
2019/11/30,19.68,22.87,82.88,1.8
2019/12/01,18.76,21.23,86.06,2.77
2019/12/03,15.37,19.57,77.75,2.21
2019/12/04,16.99,19.56,85.31,2.92
2019/12/05,15.91,21.66,72.44,1.29
2019/12/06,16.9,22.27,72.38,1.48
2019/12/07,17.05,21.32,77.81,2.11
2019/12/08,16.23,22.29,69.25,1.09
2019/12/09,17.4,21.59,77.31,1.16
2019/12/10,16.76,20.39,80.69,1.99
2019/12/11,15.9,20.09,78.19,1.89
2019/12/12,15.47,19.84,76.75,2.25
2019/12/13,15.23,19.59,76.81,1.77
2019/12/14,15.49,20.15,75.75,1.81
2019/12/15,16.8,20.07,82.0,2.3
2019/12/16,17.24,19.58,86.25,2.71
2019/12/17,16.61,18.98,86.44,2.88
2019/12/18,15.12,17.26,87.12,3.78
2019/12/19,13.48,15.03,89.19,3.26
2019/12/20,12.33,15.34,81.69,2.36
2019/12/21,12.87,15.26,85.94,2.44
2019/12/22,13.04,15.16,86.69,3.09
2019/12/23,13.91,16.15,86.62,3.41
2019/12/24,13.52,16.14,84.44,3.34
2019/12/25,12.88,15.65,83.88,2.88
2019/12/26,14.02,16.83,84.69,2.86
2019/12/27,13.2,14.73,90.44,3.05
2019/12/28,12.09,14.44,86.94,3.62
2019/12/29,13.09,15.66,84.62,2.98
2019/12/30,13.89,16.8,82.88,2.07
2019/12/31,14.2,17.81,80.38,2.11
2020/01/01,14.41,19.73,72.62,1.73
2020/01/02,16.02,19.78,79.5,1.9
2020/01/03,16.43,18.06,90.31,2.48
2020/01/04,15.19,18.13,83.56,1.55
2020/01/05,15.91,17.87,88.81,2.61
2020/01/06,12.87,15.56,84.62,3.48
2020/01/07,11.87,15.06,81.94,2.77
2020/01/08,12.71,15.74,82.75,2.98
2020/01/09,13.98,16.76,84.44,2.44
2020/01/10,15.08,17.48,86.38,3.2
2020/01/11,13.33,15.19,88.88,3.68
2020/01/12,13.01,15.25,86.38,3.69
2020/01/13,12.3,15.54,81.38,2.54
2020/01/14,12.82,16.19,81.0,1.99
2020/01/15,14.54,17.23,84.56,2.35
2020/01/16,15.15,18.45,81.62,2.48
2020/01/17,15.57,19.79,78.0,2.01
2020/01/18,14.8,20.85,70.12,1.19
2020/01/19,15.53,19.87,76.94,2.09
2020/01/20,14.74,17.2,85.81,3.2
2020/01/21,11.44,15.73,77.31,3.14
2020/01/22,11.09,15.49,76.62,3.12
2020/01/23,12.87,17.21,76.31,2.1
2020/01/24,12.03,16.68,76.0,2.48
2020/01/25,10.19,15.78,70.94,2.44
2020/01/26,10.37,15.85,71.31,2.2
2020/01/27,10.9,16.22,71.75,1.84
2020/01/28,12.21,17.66,71.75,1.65
2020/01/29,13.83,18.2,76.19,1.48
2020/01/30,15.49,18.5,83.06,1.52
2021/12/13,13.9,17.03,82.06,2.95
2021/12/14,15.06,17.37,85.94,2.77
2021/12/15,14.98,17.38,85.44,2.8
2021/12/16,14.45,16.97,85.81,3.14
2021/12/17,14.59,17.27,84.69,3.21
2021/12/18,13.8,17.46,80.31,3.01
2021/12/19,14.26,16.71,85.38,3.56
2021/12/20,11.49,14.91,81.38,3.22
2021/12/21,12.96,15.99,83.0,1.95
2021/12/22,13.61,16.78,82.38,1.8
2021/12/23,13.76,18.24,76.19,1.25
2021/12/24,14.66,17.98,81.5,1.91
2021/12/25,14.15,18.37,77.69,1.53
2021/12/26,14.25,18.08,79.31,1.98
2021/12/27,14.13,17.78,80.0,2.12
2021/12/28,14.8,17.9,82.75,2.38
2021/12/29,14.37,18.06,80.56,2.05
2021/12/30,14.93,18.21,82.5,2.84
2022/06/01,26.01,28.58,86.56,3.9
2022/06/02,25.74,28.95,83.69,3.87
2022/06/03,26.4,28.51,88.62,3.91
2022/06/04,25.7,28.05,87.62,3.88
2022/06/05,26.1,28.61,86.94,4.0
2022/06/06,26.27,28.91,86.25,4.2
2022/06/07,26.31,29.07,85.81,3.91
2022/06/08,26.72,28.92,88.31,4.02
2022/06/09,26.98,28.76,90.25,4.6
2022/06/10,25.48,28.48,84.62,2.91
2022/06/11,26.13,28.38,88.06,4.38
2022/06/12,26.69,28.97,87.88,4.97
2022/06/13,27.08,29.28,88.38,5.17
2022/06/16,26.07,27.53,91.81,5.18
2022/06/17,26.51,27.63,93.5,5.33
2022/06/19,25.81,27.24,91.88,5.59
2022/06/20,25.65,26.99,92.38,5.29
2022/06/21,25.8,27.23,91.94,3.35
2022/06/22,25.26,27.43,88.38,3.46
2022/06/23,25.93,27.78,89.88,4.81
2022/06/24,26.22,27.98,90.38,4.63
2022/06/25,26.03,28.01,89.31,5.2
2022/06/27,26.03,28.29,87.94,3.09
2022/06/28,26.32,28.15,90.0,3.81
2022/06/29,26.49,28.29,90.19,3.86
2022/06/30,26.44,27.78,92.44,3.52
2022/07/01,26.53,28.13,91.19,3.54
2022/07/02,26.03,28.05,89.06,3.37
2022/07/03,26.19,27.84,90.88,4.15
2022/07/04,26.25,28.1,89.81,4.09
2022/07/06,26.48,27.94,91.75,3.89
2022/07/07,26.11,28.26,88.44,4.21
2022/07/09,25.74,28.29,86.56,4.12
2022/07/10,26.31,28.51,88.19,5.15
2022/07/11,25.95,28.04,88.62,5.41
2022/07/12,26.31,28.58,87.94,5.62
2022/07/13,26.49,28.79,87.75,5.85
2022/07/14,26.48,28.37,89.62,5.4
2022/07/15,26.35,28.73,87.31,5.0
2022/07/16,26.48,28.87,87.31,5.9
2022/07/17,26.57,28.9,87.62,5.9
2022/07/18,26.18,28.75,86.5,4.18
2022/07/19,26.36,28.55,88.31,3.88
2022/07/20,26.67,28.68,89.12,3.73
2022/07/21,26.4,28.83,87.19,4.3
2022/07/22,26.75,28.88,88.62,4.3
2022/07/23,26.08,28.0,89.44,3.88
2022/07/24,26.12,28.07,89.31,4.45
2022/07/26,24.19,28.05,79.94,1.07
2022/07/28,25.72,28.05,87.38,2.26
2022/07/29,25.18,29.37,79.44,1.64
2022/07/30,26.53,29.21,86.12,3.12
2022/07/31,26.38,28.9,86.75,3.39
2022/08/01,26.86,29.12,87.94,3.05
2022/08/02,26.61,29.37,85.62,2.38
2022/08/03,25.94,28.26,87.56,2.36
2022/08/04,26.25,28.68,87.06,2.8
2022/08/05,26.55,29.0,87.0,2.93
2022/08/06,26.55,28.48,89.5,3.86
2022/08/07,26.3,29.01,85.81,3.78
2022/08/10,26.37,27.6,92.94,6.32
2022/08/11,26.42,27.99,91.31,5.74
2022/08/12,25.89,28.56,86.19,2.62
2022/08/13,26.19,27.69,91.56,4.6
2022/08/14,26.05,27.24,93.12,8.04
2022/08/15,26.34,28.01,90.88,4.98
2022/08/16,26.17,28.67,86.81,2.19
2022/08/17,26.46,29.19,85.69,2.02
2022/08/18,27.01,29.54,86.56,3.05
2022/08/19,26.03,28.2,88.25,7.35
2022/08/20,25.78,28.09,87.5,6.41
2022/08/21,25.99,28.21,88.06,3.66
2022/08/22,26.11,28.71,86.38,2.22
2022/08/23,26.02,27.94,89.5,4.07
2022/08/25,25.12,28.26,83.88,2.01
2022/08/26,25.9,28.12,88.19,2.88
2022/08/27,25.83,27.62,90.25,3.85
2022/08/28,25.48,27.69,88.06,4.18
2022/08/29,25.81,28.57,85.56,2.42
2022/08/30,25.79,28.76,84.56,1.73
2022/08/31,26.19,28.7,86.81,2.33
2022/09/01,25.77,28.52,85.62,1.64
2022/09/02,25.92,28.32,87.25,2.28
2022/09/03,26.48,28.84,87.56,3.45
2022/09/04,26.93,29.02,88.88,3.53
2022/09/05,26.88,28.62,90.44,3.17
2022/09/06,25.82,28.61,85.31,1.06
2022/09/07,26.23,28.26,88.81,2.05
2022/09/08,26.65,29.65,84.38,1.86
2022/09/09,26.06,28.4,87.5,2.52
2022/09/10,26.23,27.51,92.75,4.2
2022/09/11,26.3,27.5,93.06,5.03
2022/09/12,26.51,27.42,94.69,5.36
2022/09/13,26.34,27.31,94.38,4.55
2022/09/14,25.68,27.5,90.0,3.57
2022/09/15,26.08,27.91,90.0,3.3
2022/09/16,26.12,28.04,89.62,2.16
2022/09/17,25.99,28.31,87.81,2.65
2022/09/18,26.08,28.19,88.75,2.48
2022/09/19,26.23,27.51,92.69,4.26
2022/09/20,26.05,27.87,90.0,5.89
2022/09/21,26.02,27.84,90.06,4.59
2022/09/22,25.98,27.7,90.5,3.12
2022/09/23,25.51,27.81,87.75,2.55
2022/09/24,25.37,27.52,88.44,2.26
2022/09/25,24.8,28.16,82.62,1.17
2022/09/26,25.23,27.08,89.69,2.16
2022/09/27,25.25,28.16,84.75,1.52
2022/09/28,25.63,27.69,88.69,2.02
2022/09/29,24.76,28.39,81.12,1.75
2022/09/30,25.37,28.66,82.94,2.34
2022/10/01,25.61,28.98,82.75,1.52
2022/10/02,26.05,27.55,91.56,2.41
2022/10/03,25.73,27.13,92.0,2.67
2022/10/04,25.96,27.9,89.44,3.34
2022/10/05,25.8,27.73,89.5,2.75
2022/10/06,25.27,27.67,87.12,2.17
2022/10/07,23.92,27.78,80.44,1.68
2022/10/08,24.7,28.01,83.0,1.45
2022/10/09,25.37,27.51,88.44,2.01
2022/10/10,25.01,27.24,87.94,2.02
2022/10/11,25.64,26.99,92.38,2.79
2022/10/12,25.09,26.85,90.25,2.43
2022/10/13,24.42,27.16,85.38,1.75
2022/10/14,23.94,27.78,80.38,0.82
2022/10/15,24.7,27.13,86.81,2.89
2022/10/16,23.99,26.57,86.38,3.1
2022/10/17,24.03,27.38,82.75,1.93
2022/10/18,23.71,27.61,80.06,1.46
2022/10/19,23.84,26.87,83.75,2.23
2022/10/20,23.73,26.49,85.31,3.29
2022/10/21,24.18,26.87,85.81,2.95
2022/10/22,23.83,27.01,83.56,2.81
2022/10/23,23.77,25.3,91.38,2.64
2022/10/24,23.51,24.31,95.25,7.16
2022/10/25,21.9,24.48,85.94,4.56
2022/10/26,21.15,24.81,80.69,1.91
2022/10/27,20.81,24.41,80.94,2.79
2022/10/28,19.43,23.76,77.5,2.39
2022/10/29,19.72,24.12,77.56,2.05
2022/10/30,20.59,24.65,78.56,2.06
2022/10/31,22.12,25.41,82.44,2.16
2022/11/01,23.46,25.94,86.75,2.71
2022/11/02,23.27,26.05,85.31,2.46
2022/11/03,21.94,24.9,84.25,2.52
2022/11/04,19.34,24.01,76.0,2.0
2022/11/05,19.29,24.88,72.06,1.21
2022/11/06,19.79,24.62,75.44,1.66
2022/11/07,18.94,23.86,75.44,1.77
2022/11/08,17.75,24.14,68.94,0.73
2022/11/09,18.54,24.18,71.44,1.01
2022/11/10,18.76,23.83,74.56,1.45
2022/11/11,18.68,23.51,75.38,1.81
2022/11/12,19.05,23.35,77.38,2.07
2022/11/13,18.73,21.95,82.81,3.09
2022/11/14,17.34,21.74,77.5,2.38
2022/11/15,17.48,22.44,74.38,1.52
2022/11/16,18.58,22.44,79.44,1.95
2022/11/17,18.87,22.01,83.12,2.77
2022/11/18,17.8,21.06,82.38,3.12
2022/11/19,18.11,21.29,82.69,2.96
2022/11/20,18.89,22.41,81.5,2.67
2022/11/21,18.63,21.92,82.38,3.08
2022/11/22,17.6,20.65,83.44,3.26
2022/11/23,18.1,20.4,86.62,3.09
2022/11/24,17.73,20.51,84.62,2.95
2022/11/25,18.31,21.56,82.5,2.19
2022/11/26,18.18,21.81,80.81,1.95
2022/11/27,16.95,21.8,74.88,1.24
2022/11/28,18.26,21.93,80.62,2.12
2022/11/29,19.66,23.39,80.25,2.04
2022/11/30,19.38,22.97,80.88,2.43
2022/12/01,18.12,21.6,81.62,3.02
2022/12/02,18.08,20.52,85.81,3.16
2022/12/03,17.12,19.98,83.88,2.71
2022/12/04,16.73,20.0,82.31,2.46
2022/12/05,17.33,20.08,84.81,2.83
2022/12/06,17.58,20.19,84.44,2.59
2022/12/07,17.08,19.73,84.69,2.75
2022/12/08,16.93,19.88,83.5,2.58
2022/12/09,16.74,20.32,80.5,1.59
2022/12/10,16.94,20.8,79.44,1.9
2022/12/11,16.34,20.29,78.81,2.31
2022/12/12,15.89,19.65,79.62,2.45
2022/12/13,15.75,19.62,79.19,2.08
2022/12/14,16.18,20.26,78.19,1.45
2022/12/15,14.83,19.04,77.56,2.17
2022/12/16,14.05,17.65,80.44,2.9
2022/12/17,14.49,18.01,80.88,2.48
2022/12/18,14.39,19.26,74.62,1.36
2022/12/19,15.3,19.69,76.56,1.61
2022/12/20,16.06,20.19,78.06,1.23
2022/12/21,15.95,19.19,82.31,2.25
2022/12/22,15.15,18.92,79.62,2.03
2022/12/23,13.66,18.71,74.12,2.6
2022/12/24,12.15,18.47,68.19,1.77
2022/12/25,14.32,20.01,70.38,1.32
2022/12/26,16.47,21.04,76.19,0.93
2022/12/27,17.41,20.38,83.56,2.27
2022/12/28,17.59,20.01,86.5,2.28
2022/12/29,11.55,16.73,73.5,3.07
2022/12/30,11.52,16.86,72.38,1.84
2022/12/31,12.14,17.3,72.94,1.74
2023/01/01,12.87,16.93,78.19,2.52
2023/01/02,12.71,17.26,76.06,2.58
2023/01/03,13.25,16.8,80.62,3.04
2023/01/04,13.42,15.87,84.94,3.44
2023/01/05,13.33,15.9,83.88,3.84
2023/01/06,13.08,16.01,82.81,3.7
2023/01/07,13.36,16.29,83.12,2.85
2023/01/08,14.72,17.55,83.19,2.14
2023/01/09,14.29,18.19,79.19,2.72
2023/01/10,13.73,18.51,75.56,2.73
2023/01/11,11.84,17.25,72.62,2.53
2023/01/12,10.55,16.72,69.06,1.89
2023/01/13,11.0,18.1,65.5,1.42
2023/01/14,14.71,18.89,77.94,1.73
2023/01/15,15.71,19.05,81.88,2.38
2023/01/16,13.1,17.78,75.19,2.59
2023/01/17,12.73,17.2,76.69,2.82
2023/01/18,11.26,16.4,73.0,2.83
2023/01/19,9.76,15.73,69.62,3.23
2023/01/20,9.72,15.85,68.69,2.73
2023/01/21,11.19,17.08,70.5,2.34
2023/01/22,11.45,17.98,66.62,2.27
2023/01/23,13.47,18.97,71.25,1.91
2023/01/24,14.36,19.88,72.06,2.23
2023/01/25,13.76,20.65,65.81,1.87
2023/01/26,14.9,21.27,67.88,1.39
2023/01/27,15.97,21.02,73.88,2.38
2023/01/28,16.12,20.5,77.31,2.93
2023/01/29,14.02,19.83,71.62,2.98
2023/01/30,13.82,20.49,67.88,2.31
2023/01/31,15.24,21.08,70.0,2.04
2023/02/01,14.51,20.43,70.0,3.45
2023/02/02,11.24,18.82,65.25,4.12
2023/02/03,11.58,18.58,66.56,3.18
2023/02/05,9.98,20.42,52.19,1.37
2023/02/09,15.58,22.39,68.88,1.58
2023/02/10,12.33,22.16,56.56,1.38
2023/02/11,12.56,21.81,58.38,1.88
2023/02/12,17.58,22.32,77.0,2.97
2023/02/13,8.33,20.04,53.69,3.23
2023/02/14,7.33,19.73,47.0,2.98
2023/02/15,7.37,20.54,45.0,1.53
