DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.62,28.65,88.81,3.33
2019/09/02,25.93,28.46,86.38,4.58
2019/09/03,26.44,28.47,89.0,5.28
2019/09/04,26.75,28.55,90.0,4.84
2019/09/05,26.43,28.47,88.75,5.22
2019/09/06,26.34,28.34,89.0,5.47
2019/09/07,26.47,28.28,89.94,6.67
2019/09/08,26.15,28.11,89.12,5.55
2019/09/09,26.49,28.16,90.62,5.28
2019/09/10,26.61,28.07,91.69,4.51
2019/09/11,26.68,27.99,92.5,5.66
2019/09/12,25.66,27.43,90.06,7.3
2019/09/13,25.71,27.41,90.38,4.32
2019/09/14,25.64,27.98,87.25,2.8
2019/09/15,25.9,28.05,88.12,2.28
2019/09/16,25.66,28.11,86.62,2.07
2019/09/17,25.5,29.01,81.75,1.52
2019/09/18,25.88,29.07,83.12,1.76
2019/09/19,26.39,28.88,86.38,1.95
2019/09/20,26.22,28.8,86.06,1.95
2019/09/21,25.7,28.96,82.81,1.58
2019/09/22,25.79,29.01,83.0,1.72
2019/09/23,25.46,28.19,85.19,2.2
2019/09/24,25.64,27.81,87.94,2.48
2019/09/25,23.74,27.87,78.44,2.01
2019/09/26,24.07,27.86,79.94,2.12
2019/09/27,24.4,27.9,81.44,3.1
2019/09/28,24.26,27.79,81.31,1.97
2019/09/29,24.08,27.51,81.62,1.63
2019/09/30,24.33,27.45,83.0,2.37
2019/10/01,24.5,26.87,86.81,2.47
2019/10/02,24.9,26.81,89.25,3.42
2019/10/03,25.01,27.55,86.06,2.66
2019/10/04,24.34,27.67,82.06,1.59
2019/10/05,24.37,28.01,80.62,1.2
2019/10/06,24.5,27.82,82.12,1.49
2019/10/07,24.15,27.19,83.44,1.2
2019/10/08,23.76,27.65,79.38,1.16
2019/10/09,23.8,27.25,81.5,1.14
2019/10/10,24.42,26.38,88.88,3.59
2019/10/11,24.55,26.68,88.06,3.34
2019/10/12,23.8,27.22,81.75,1.75
2019/10/13,23.7,27.31,80.94,2.88
2019/10/14,23.53,27.11,81.38,2.81
2019/10/15,24.27,27.8,81.12,1.87
2019/10/16,23.8,27.98,78.38,1.27
2019/10/17,24.36,28.09,80.44,2.3
2019/10/18,25.05,28.29,83.06,2.2
2019/10/19,25.02,28.24,82.94,2.12
2019/10/20,24.82,28.2,82.06,2.77
2019/10/21,24.71,27.94,82.75,2.48
2019/10/22,24.25,28.03,79.88,1.91
2019/10/23,24.37,27.7,82.06,1.76
2019/10/24,24.44,27.39,84.0,3.31
2019/10/25,24.88,27.56,85.38,2.7
2019/10/26,24.73,27.92,82.88,2.01
2019/10/27,23.71,27.5,79.88,1.3
2019/10/28,23.83,26.87,83.62,2.5
2019/10/29,23.09,26.57,81.31,2.71
2019/10/30,22.31,26.34,78.56,2.22
2019/10/31,21.61,26.62,74.06,2.29
2019/11/01,21.74,26.0,77.69,3.15
2019/11/02,22.25,27.1,75.0,2.09
2019/11/03,22.24,27.05,75.19,2.16
2019/11/04,22.21,27.15,74.38,1.73
2019/11/05,21.58,27.0,72.44,1.34
2019/11/06,21.43,26.79,72.62,1.91
2019/11/07,22.31,26.63,77.81,1.56
2019/11/08,23.72,26.11,86.75,3.17
2019/11/09,24.39,25.95,91.19,5.65
2019/11/10,24.58,26.11,91.31,7.13
2019/11/11,24.01,25.83,89.69,3.82
2019/11/12,22.74,25.69,83.94,2.65
2019/11/13,22.25,25.16,84.12,3.05
2019/11/14,22.96,25.57,85.88,2.46
2019/11/15,22.46,25.53,83.44,2.71
2019/11/16,20.61,24.81,77.88,2.88
2019/11/17,19.77,24.34,75.81,2.45
2019/11/18,19.42,24.32,74.31,2.72
2019/11/19,18.89,23.91,73.69,2.84
2019/11/20,18.4,23.49,73.31,3.22
2019/11/21,17.75,23.46,70.5,2.43
2019/11/22,17.66,23.41,70.19,1.9
2019/11/23,18.16,23.47,72.31,2.09
2019/11/24,18.12,23.35,72.56,2.32
2019/11/25,18.24,23.73,71.75,1.8
2019/11/26,19.46,24.27,74.69,1.73
2019/11/27,19.13,24.52,72.19,1.83
2019/11/28,19.51,24.68,73.19,2.04
2019/11/29,20.3,24.18,79.31,1.71
2019/11/30,19.71,24.0,77.25,1.68
2019/12/01,18.8,23.39,75.56,2.73
2019/12/02,18.62,22.38,79.62,4.12
2019/12/03,16.32,21.38,73.25,3.47
2019/12/04,16.26,21.12,74.0,3.91
