DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.33,29.7,87.44,1.98
2019/09/02,27.33,29.44,88.62,2.76
2019/09/03,26.27,28.0,90.38,2.93
2019/09/04,26.38,27.83,91.81,3.28
2019/09/05,26.45,28.62,88.44,3.7
2019/09/06,26.76,28.85,88.88,4.02
2019/09/07,26.9,28.68,90.38,4.56
2019/09/08,26.98,29.0,89.19,4.41
2019/09/09,27.03,29.13,88.81,3.45
2019/09/10,26.75,28.51,90.31,3.49
2019/09/11,27.19,29.0,90.25,3.38
2019/09/12,26.84,28.08,93.06,4.69
2019/09/13,26.26,28.01,90.44,4.08
2019/09/14,26.41,28.5,88.88,3.64
2019/09/15,26.74,28.93,88.38,3.08
2019/09/16,26.75,28.1,92.38,3.07
2019/09/17,25.98,27.85,89.69,2.06
2019/09/18,25.08,29.11,79.69,1.41
2019/09/19,25.15,29.52,78.12,1.41
2019/09/20,25.44,29.6,78.75,1.36
2019/09/21,25.28,30.08,76.12,0.88
2019/09/22,25.37,29.62,78.44,1.25
2019/09/23,25.32,27.69,87.06,2.17
2019/09/24,25.19,26.43,92.88,3.17
2019/09/25,24.22,25.44,92.88,2.91
2019/09/26,23.9,26.37,86.56,1.55
2019/09/27,23.56,26.87,82.44,0.8
2019/09/28,23.67,25.89,87.62,1.59
2019/09/29,22.82,24.33,91.25,2.11
2019/09/30,23.49,24.48,94.12,2.95
2019/10/01,24.91,26.48,91.31,2.67
2019/10/02,24.78,27.49,85.62,2.02
2019/10/03,24.66,27.58,84.5,1.87
2019/10/04,25.07,26.81,90.19,2.17
2019/10/05,24.51,27.43,84.5,1.59
2019/10/06,24.74,27.86,83.5,1.38
2019/10/07,25.15,27.11,89.06,1.59
2019/10/08,24.46,26.12,90.62,1.76
2019/10/09,23.42,25.8,87.12,1.48
2019/10/10,22.81,26.24,81.81,1.08
2019/10/11,22.76,26.83,78.75,1.2
2019/10/12,22.32,27.13,75.31,1.22
2019/10/13,22.11,25.76,80.69,1.98
2019/10/14,22.61,25.68,83.88,2.29
2019/10/15,23.2,26.56,82.56,1.69
2019/10/16,23.6,27.47,79.94,1.2
2019/10/17,23.69,27.32,81.0,1.52
2019/10/18,23.32,26.8,81.94,2.21
2019/10/19,22.69,25.9,83.12,2.48
2019/10/20,22.85,25.48,85.94,2.41
2019/10/21,23.16,25.15,89.19,2.88
2019/10/22,22.13,24.65,86.44,2.62
2019/10/23,20.19,23.58,81.94,1.7
2019/10/24,20.51,22.33,89.5,1.62
2019/10/25,21.62,22.85,92.75,3.7
2019/10/26,22.62,24.07,91.81,2.18
2019/10/27,21.35,23.51,88.06,2.09
2019/10/28,20.49,22.57,88.31,2.7
2019/10/29,21.08,23.23,88.25,2.22
2019/10/30,21.99,24.57,86.25,1.98
2019/10/31,21.89,24.62,85.5,2.12
2019/11/01,21.81,24.45,85.75,2.23
2019/11/02,22.11,24.45,87.31,2.53
2019/11/03,21.97,24.7,85.44,2.05
2019/11/04,22.18,24.92,85.25,2.09
2019/11/05,21.4,24.38,84.25,1.89
2019/11/06,19.05,23.41,78.19,1.98
2019/11/07,19.15,23.26,78.69,2.12
2019/11/08,21.58,24.17,86.12,1.99
2019/11/09,22.42,23.3,94.75,3.52
2019/11/10,21.47,22.45,94.06,4.59
2019/11/11,20.92,23.56,85.69,2.7
2019/11/12,19.58,22.95,82.12,1.73
2019/11/13,18.71,22.05,82.25,2.04
2019/11/14,21.0,23.76,84.94,1.72
2019/11/15,20.72,23.97,82.81,1.52
2019/11/16,20.44,23.3,84.75,1.96
2019/11/17,19.14,21.94,85.0,2.23
2019/11/18,18.02,21.87,79.88,1.2
2019/11/19,18.2,21.36,82.94,1.87
2019/11/20,15.05,20.42,73.25,1.41
2019/11/21,18.05,21.28,82.5,2.13
2019/11/22,18.84,21.67,84.56,1.76
2019/11/23,17.9,21.47,81.06,1.77
2019/11/24,17.96,21.47,81.25,1.53
2019/11/25,18.9,21.01,88.06,1.66
2019/11/26,19.3,22.07,84.75,1.51
2019/11/27,19.48,22.27,84.81,1.53
2019/11/28,19.85,22.51,85.19,1.83
2019/11/29,19.41,22.18,84.75,1.73
2019/11/30,18.01,20.98,84.0,2.0
2019/12/01,16.62,19.74,82.69,2.35
2019/12/02,15.17,19.36,78.31,1.67
2019/12/03,15.32,18.4,83.31,2.29
2019/12/04,15.01,17.96,84.31,2.71
2019/12/05,16.23,19.15,82.88,2.44
2019/12/06,16.04,19.5,81.75,2.41
2019/12/07,15.87,19.5,81.0,2.03
2019/12/08,15.58,19.62,79.06,1.96
2019/12/09,16.37,19.48,83.19,1.58
2019/12/10,15.01,18.76,80.06,2.13
2019/12/11,14.58,18.56,78.81,1.77
2019/12/12,15.27,18.64,81.38,1.81
2019/12/13,15.55,19.05,81.44,1.39
2019/12/14,16.56,19.67,83.25,1.86
2019/12/15,16.28,18.85,85.88,2.22
2019/12/16,15.21,18.98,80.56,2.23
2019/12/17,14.89,17.26,86.5,2.69
2019/12/18,12.09,14.59,85.88,3.16
2019/12/19,10.61,12.88,86.56,2.88
2019/12/20,10.65,13.76,82.75,2.15
2019/12/21,10.69,13.62,83.69,1.92
2019/12/22,11.01,14.28,81.62,1.56
2019/12/23,11.9,15.08,82.19,2.12
2019/12/24,10.83,14.46,80.31,2.7
