DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.98,29.55,86.62,1.83
2019/09/02,26.29,28.84,86.81,2.31
2019/09/03,26.62,29.0,87.44,2.48
2019/09/04,26.38,28.09,90.62,2.33
2019/09/05,26.37,28.42,89.12,2.64
2019/09/06,26.43,28.4,89.44,3.05
2019/09/07,26.4,27.98,91.38,3.63
2019/09/08,26.48,28.06,91.31,3.89
2019/09/09,26.72,28.51,90.38,4.3
2019/09/10,26.9,28.37,91.88,2.99
2019/09/11,26.76,28.34,91.31,3.55
2019/09/12,26.38,27.65,92.88,4.81
2019/09/13,26.05,27.23,93.31,4.07
2019/09/14,25.76,27.47,90.56,2.58
2019/09/15,26.0,28.29,87.94,2.33
2019/09/16,25.98,27.98,89.12,2.19
2019/09/17,25.36,28.77,82.81,1.25
2019/09/18,25.18,29.46,78.81,0.94
2019/09/19,25.0,29.76,76.19,0.98
2019/09/20,25.27,28.73,81.88,1.25
2019/09/21,25.35,29.17,80.44,0.92
2019/09/22,25.55,29.15,81.75,1.29
2019/09/23,24.9,27.69,85.5,1.14
2019/09/24,24.73,26.65,89.44,1.34
2019/09/25,24.29,25.81,91.44,2.12
2019/09/26,23.55,26.14,86.12,1.6
2019/09/27,23.7,26.05,87.25,1.81
2019/09/28,23.69,26.09,87.06,1.43
2019/09/29,23.96,25.85,89.5,1.48
2019/09/30,24.32,26.05,90.5,1.97
2019/10/01,24.4,25.73,92.5,2.99
2019/10/02,24.61,26.7,88.81,2.16
2019/10/03,24.86,27.4,86.62,1.66
2019/10/04,24.89,27.17,87.69,1.55
2019/10/05,24.75,27.27,86.56,1.62
2019/10/06,24.72,27.35,85.94,1.36
2019/10/07,24.74,27.27,86.5,1.27
2019/10/08,24.51,26.48,89.19,1.23
2019/10/09,23.73,25.86,88.44,1.25
2019/10/10,23.69,25.45,90.12,1.88
2019/10/11,24.06,26.19,88.56,1.88
2019/10/12,23.4,26.48,83.69,1.48
2019/10/13,21.86,25.46,81.31,1.98
2019/10/14,21.97,25.94,79.94,1.53
2019/10/15,23.09,26.41,82.88,1.58
2019/10/16,23.67,26.64,84.44,1.51
2019/10/17,23.87,26.95,83.88,1.55
2019/10/18,23.9,27.72,80.0,1.12
2019/10/19,23.56,27.37,80.19,1.41
2019/10/20,23.27,26.23,84.44,1.86
2019/10/21,23.4,25.83,87.0,2.09
2019/10/22,23.8,26.11,87.44,1.66
2019/10/23,22.75,25.19,86.94,2.04
2019/10/24,20.48,21.92,91.56,3.05
2019/10/25,22.15,23.36,93.06,3.16
2019/10/26,24.58,25.47,94.88,2.71
2019/10/27,23.82,25.69,89.75,2.01
2019/10/28,21.83,24.05,87.88,2.06
2019/10/29,21.98,24.3,87.38,1.85
2019/10/30,21.69,24.95,82.75,1.48
2019/10/31,21.18,25.13,79.38,1.26
2019/11/01,21.67,24.98,82.5,1.47
2019/11/02,20.94,25.3,77.44,0.96
2019/11/03,20.33,25.44,74.19,0.75
2019/11/04,21.17,25.0,79.94,1.48
2019/11/05,21.43,25.16,80.44,1.36
2019/11/06,20.58,24.63,79.06,1.48
2019/11/07,20.14,24.83,75.94,1.49
2019/11/08,22.09,23.8,90.25,1.77
2019/11/09,22.22,23.04,95.06,3.45
2019/11/10,21.9,23.09,93.0,5.11
2019/11/11,22.19,23.77,91.0,2.74
2019/11/12,20.62,23.26,85.88,1.95
2019/11/13,19.9,23.82,79.88,1.27
2019/11/14,20.7,24.53,80.06,1.05
2019/11/15,20.44,24.33,79.56,1.0
2019/11/16,19.76,23.94,78.19,0.86
2019/11/17,19.44,23.66,77.81,0.82
2019/11/18,19.1,23.26,78.25,1.12
2019/11/19,18.19,23.42,73.31,0.73
2019/11/20,17.92,22.29,76.62,1.02
2019/11/21,17.08,21.42,77.69,1.16
2019/11/22,16.65,21.38,75.31,0.9
2019/11/23,17.41,21.37,79.06,1.3
2019/11/24,17.82,21.38,80.75,1.3
2019/11/25,17.47,21.47,78.62,1.27
2019/11/26,17.94,21.94,79.44,1.04
2019/11/27,18.48,22.19,80.81,1.27
2019/11/28,19.19,22.84,80.88,1.17
2019/11/29,19.29,22.8,81.5,1.02
2019/11/30,18.87,22.46,80.94,1.17
2019/12/01,18.1,21.05,83.81,1.7
2019/12/02,16.18,19.76,80.81,1.7
2019/12/03,14.62,19.58,73.56,1.14
2019/12/04,15.26,19.51,77.12,1.46
2019/12/05,16.4,20.06,80.88,2.04
2019/12/06,16.22,19.75,81.81,2.21
2019/12/07,16.27,20.53,77.81,1.8
2019/12/08,16.08,21.38,72.94,1.06
2019/12/09,16.4,20.69,77.56,1.0
2019/12/10,16.05,20.49,76.69,0.95
2019/12/11,15.62,20.11,76.12,1.12
2019/12/12,15.36,19.39,78.44,1.64
2019/12/13,14.32,18.94,76.12,1.27
2019/12/14,14.32,19.75,73.12,1.13
2019/12/15,15.48,19.8,76.5,1.23
2019/12/16,16.51,19.39,84.75,1.59
2019/12/17,15.65,18.37,85.25,1.86
2019/12/18,14.67,16.6,88.31,2.53
2019/12/19,13.33,15.27,87.69,1.91
2019/12/20,12.65,15.15,84.31,1.65
2019/12/21,12.93,14.88,88.19,1.51
2019/12/22,12.91,14.72,87.81,1.95
2019/12/23,13.55,15.75,87.0,2.24
2019/12/24,12.92,15.68,84.62,1.93
2019/12/25,12.44,15.21,83.75,1.94
2019/12/26,12.69,16.88,77.69,1.77
2019/12/27,12.51,15.4,83.5,1.9
2019/12/28,11.96,14.81,84.19,2.02
2019/12/29,13.26,16.2,82.75,1.87
2019/12/30,13.95,17.67,80.25,1.47
2019/12/31,15.62,18.97,81.12,1.59
2020/01/01,16.01,20.08,78.75,1.68
2020/01/02,16.98,19.95,84.0,1.89
2020/01/03,16.37,17.5,93.19,2.02
2020/01/04,15.47,18.01,85.88,1.77
2020/01/05,15.23,17.46,87.38,2.02
2020/01/06,11.83,14.52,84.31,2.57
2020/01/07,11.12,14.76,81.0,1.81
2020/01/08,12.59,15.8,82.38,1.97
2020/01/09,13.26,16.69,81.12,1.62
2020/01/10,13.77,16.33,85.88,2.34
2020/01/11,13.02,15.11,87.75,2.44
2020/01/12,13.32,15.62,86.06,2.29
2020/01/13,12.86,15.66,84.06,1.71
2020/01/14,13.12,16.46,81.56,1.3
2020/01/15,14.17,17.3,82.69,1.72
2020/01/16,14.87,18.94,78.38,1.74
2020/01/17,15.65,19.4,80.0,2.12
2020/01/18,14.75,20.46,72.0,1.51
2020/01/19,15.51,19.91,77.0,1.9
2020/01/20,13.72,16.59,84.19,2.73
2020/01/21,10.12,14.91,74.75,2.24
2020/01/22,9.97,14.86,74.69,2.41
2020/01/23,11.19,15.98,74.94,2.32
2020/01/24,9.75,15.23,72.69,2.28
2020/01/25,8.99,15.61,66.69,1.82
2020/01/26,9.93,14.86,74.0,2.19
2020/01/27,10.23,15.4,72.5,1.8
2020/01/28,10.65,16.87,68.38,1.55
2020/01/29,11.23,16.83,70.12,1.11
2020/01/30,13.48,17.99,76.06,1.66
2020/01/31,14.53,17.85,82.12,2.03
2020/02/01,11.82,16.53,75.75,2.27
2020/02/02,9.92,15.86,69.81,2.62
2020/02/03,8.7,14.68,69.5,2.66
2020/02/04,9.27,15.3,69.56,2.56
2020/02/05,10.48,16.3,70.44,2.34
2020/02/06,10.15,17.05,65.94,2.48
2020/02/07,9.65,17.2,63.19,2.22
2020/02/08,10.68,17.94,64.88,2.14
2020/02/09,12.17,18.6,68.44,1.99
2020/02/10,9.48,16.45,66.94,2.71
2020/02/11,9.9,16.75,66.56,2.68
2020/02/12,9.19,16.82,63.69,2.9
2020/02/13,8.75,17.6,59.06,2.29
2020/02/14,11.04,18.25,65.0,2.38
2020/02/15,15.37,19.15,80.25,2.75
2020/02/16,14.91,20.51,72.56,1.68
2020/02/17,13.51,20.56,66.19,1.7
2020/02/18,12.76,20.62,62.75,2.03
2020/02/19,13.24,21.39,61.62,1.57
2020/02/20,12.21,21.52,57.81,1.52
2020/02/21,12.19,21.89,58.44,1.85
2020/02/22,12.23,23.44,50.56,1.19
2020/02/23,13.61,23.33,57.0,1.94
2020/02/24,15.94,22.76,67.31,1.98
2020/02/25,15.97,21.72,71.94,2.2
2020/02/26,15.7,20.88,74.88,2.19
2020/02/27,14.18,20.61,70.25,1.7
2020/02/28,12.37,21.9,57.88,1.42
2020/02/29,12.85,22.72,56.31,1.51
2020/03/01,13.37,23.33,56.12,1.55
2020/03/02,13.3,23.94,54.25,1.54
2020/03/03,14.99,23.6,60.25,1.62
2020/03/04,16.16,23.33,66.31,1.8
2020/03/05,16.86,24.01,66.12,1.84
2020/03/06,17.47,23.88,69.0,1.78
2020/03/07,17.3,23.51,70.19,1.92
2020/03/08,18.38,23.49,74.56,2.06
2020/03/09,13.97,23.5,57.75,2.23
2020/03/10,11.75,22.51,53.5,2.55
2020/03/11,12.94,23.37,54.5,2.38
2020/03/12,15.67,26.04,55.31,2.02
2020/03/13,16.12,26.33,56.81,2.4
2020/03/14,16.61,26.37,58.56,2.71
2020/03/15,15.12,25.16,59.12,3.33
2020/03/16,14.62,25.69,53.62,3.3
2020/03/17,14.15,24.98,53.19,2.83
2020/03/18,13.51,24.94,51.0,2.65
2020/03/19,11.89,25.29,46.44,2.54
2020/03/20,12.99,25.3,48.94,2.15
2020/03/21,11.96,26.16,44.12,1.55
2020/03/22,14.88,24.45,57.19,1.67
2020/03/23,14.52,24.73,55.88,2.13
2020/03/24,14.42,25.8,52.06,1.57
2020/03/25,15.55,26.46,55.38,2.06
2020/03/26,15.39,27.87,48.19,1.84
2020/03/27,15.35,28.83,46.19,2.14
2020/03/28,16.98,29.45,50.19,2.95
2020/03/29,15.55,29.51,49.06,2.94
2020/03/30,10.56,29.26,33.75,2.23
2020/03/31,9.81,28.14,34.5,2.36
2020/04/01,10.95,28.58,36.31,2.42
2020/04/02,19.41,28.98,60.25,3.77
2020/04/03,20.8,28.79,64.88,3.14
2020/04/04,19.78,28.01,65.31,2.09
2020/04/05,19.4,28.07,63.0,2.55
2020/04/06,18.88,27.7,63.5,3.0
2020/04/07,18.62,28.35,61.81,4.18
2020/04/08,19.91,29.24,61.5,4.04
2020/04/09,19.74,28.61,62.06,3.01
2020/04/10,18.24,29.63,55.5,2.58
2020/04/11,19.13,29.34,57.75,2.35
2020/04/12,17.9,28.81,55.75,1.73
2020/04/13,17.76,29.27,52.69,1.93
2020/04/14,18.66,30.31,54.44,2.13
2020/04/15,20.81,29.08,62.81,1.76
2020/04/16,21.09,28.01,67.12,1.83
2020/04/17,22.8,27.62,76.75,3.48
2020/04/18,23.06,27.24,79.38,4.04
2020/04/19,22.66,28.69,73.06,3.52
2020/04/20,23.08,27.44,78.94,2.9
2020/04/21,22.49,26.51,80.06,1.69
2020/04/22,20.97,25.92,75.5,1.84
2020/04/23,21.1,26.83,71.75,1.53
2020/04/24,21.19,25.3,79.06,1.95
2020/04/25,22.27,26.45,79.56,1.35
2020/04/26,23.05,26.23,83.81,1.86
2020/04/27,21.73,26.24,77.81,1.5
2020/04/28,21.94,26.04,78.88,1.32
2020/04/29,22.1,25.57,82.25,1.52
2020/04/30,22.87,26.98,79.94,1.41
2020/05/01,22.65,26.95,78.62,1.68
2020/05/02,22.97,27.11,79.12,1.75
2020/05/03,23.66,26.4,85.88,2.26
2020/05/04,23.59,27.17,81.88,2.11
2020/05/05,24.69,28.25,82.19,2.28
2020/05/06,24.5,27.67,83.69,1.71
2020/05/07,22.3,27.92,72.75,1.02
2020/05/08,22.3,27.73,73.88,1.51
2020/05/09,23.13,28.55,73.88,1.39
2020/05/10,23.54,29.58,70.94,0.92
2020/05/11,24.19,29.26,74.69,0.97
2020/05/12,24.44,29.26,76.31,2.0
2020/05/13,24.83,28.22,82.81,2.84
2020/05/14,25.01,28.41,82.75,2.34
2020/05/15,25.23,28.44,83.62,2.41
2020/05/16,25.61,28.82,83.75,2.95
2020/05/17,25.58,29.47,80.56,1.73
2020/05/18,25.94,29.73,81.0,1.83
2020/05/19,24.71,28.51,81.0,2.03
2020/05/20,24.47,27.76,82.94,5.66
2020/05/21,25.38,27.66,87.56,8.74
2020/05/22,25.62,28.25,86.25,3.84
2020/05/23,25.94,28.98,84.81,3.7
2020/05/24,26.2,28.73,86.94,5.2
2020/05/25,25.75,28.53,85.5,6.55
2020/05/26,25.32,28.19,85.06,6.43
2020/05/27,25.76,27.66,89.75,5.05
2020/05/28,25.08,27.58,86.81,2.39
2020/05/29,24.89,27.69,85.5,1.93
2020/05/30,25.14,27.54,87.31,2.65
2020/05/31,25.2,27.89,85.94,1.99
2020/06/01,25.65,27.51,89.81,3.38
2020/06/02,25.9,27.49,91.25,3.56
2020/06/03,24.94,27.3,87.44,3.91
2020/06/04,25.42,27.1,90.75,3.14
2020/06/05,25.87,27.36,91.75,2.75
2020/06/06,26.51,27.64,93.62,3.48
2020/06/07,26.37,28.16,90.31,2.52
2020/06/08,26.2,28.54,87.69,2.19
2020/06/09,26.08,29.39,83.19,1.12
2020/06/10,26.62,28.4,90.19,1.98
2020/06/11,26.62,27.94,92.56,2.76
2020/06/12,26.56,27.99,92.06,3.7
2020/06/13,27.05,27.99,94.62,2.99
2020/06/14,27.06,28.86,90.38,2.65
2020/06/15,27.15,28.79,91.06,2.76
