DATE,RH2M,WS10M,T2MDEW,T2MWET,T2M
2019/09/01,85.75,1.33,27.05,28.44,29.83
2019/09/02,88.69,3.2,26.58,27.64,28.7
2019/09/03,89.88,4.31,26.75,27.69,28.62
2019/09/04,92.31,3.69,26.9,27.59,28.28
2019/09/05,91.31,4.05,26.62,27.4,28.19
2019/09/06,89.44,4.27,26.58,27.56,28.54
2019/09/07,92.38,4.9,26.43,27.11,27.79
2019/09/08,90.56,4.8,26.75,27.62,28.49
2019/09/09,90.31,4.52,27.14,28.05,28.94
2019/09/10,91.75,3.38,27.18,27.92,28.66
2019/09/11,91.5,3.86,27.04,27.81,28.59
2019/09/12,93.25,5.27,26.75,27.34,27.94
2019/09/13,93.06,4.65,26.4,27.01,27.62
2019/09/14,90.31,3.25,26.17,27.05,27.93
2019/09/15,88.56,3.02,26.37,27.45,28.52
2019/09/16,90.12,2.73,26.3,27.21,28.12
2019/09/17,83.69,1.63,25.69,27.29,28.87
2019/09/18,76.56,1.0,25.1,27.47,29.83
2019/09/19,77.31,1.24,25.29,27.57,29.85
2019/09/20,84.0,1.62,25.81,27.33,28.85
2019/09/21,80.69,1.12,25.69,27.6,29.51
2019/09/22,82.5,1.31,25.7,27.39,29.07
2019/09/23,86.44,1.89,25.16,26.44,27.7
2019/09/24,91.81,2.34,25.41,26.14,26.87
2019/09/25,90.81,2.59,24.74,25.55,26.37
2019/09/26,85.44,1.54,24.04,25.4,26.76
2019/09/27,84.31,1.57,23.98,25.46,26.94
2019/09/28,85.38,1.41,23.7,25.06,26.43
2019/09/29,89.94,1.53,23.86,24.75,25.65
2019/09/30,89.25,2.35,24.44,25.42,26.4
2019/10/01,91.75,3.57,24.94,25.68,26.41
2019/10/02,85.94,2.1,24.63,25.97,27.3
2019/10/03,87.44,2.15,25.35,26.54,27.73
2019/10/04,86.94,1.97,25.06,26.29,27.51
2019/10/05,87.0,1.85,25.05,26.26,27.47
2019/10/06,87.62,1.64,25.04,26.19,27.33
2019/10/07,87.56,1.79,24.87,26.03,27.19
2019/10/08,86.0,1.48,24.2,25.49,26.79
2019/10/09,88.44,1.68,23.7,24.75,25.79
2019/10/10,91.12,2.82,24.08,24.87,25.65
2019/10/11,87.0,1.96,24.19,25.41,26.63
2019/10/12,82.44,1.7,23.56,25.23,26.9
2019/10/13,83.56,2.48,22.73,24.29,25.83
2019/10/14,83.69,2.54,22.73,24.3,25.87
2019/10/15,82.25,1.66,23.37,25.12,26.86
2019/10/16,80.38,1.36,23.82,25.74,27.67
2019/10/17,78.25,1.09,23.94,26.08,28.23
2019/10/18,81.62,1.7,24.37,26.12,27.86
2019/10/19,83.81,2.38,23.8,25.32,26.85
2019/10/20,86.12,2.53,23.76,25.07,26.37
2019/10/21,86.12,2.26,23.71,25.01,26.31
2019/10/22,86.81,2.02,24.03,25.25,26.47
2019/10/23,87.0,2.37,23.29,24.49,25.69
2019/10/24,90.44,3.99,20.72,21.55,22.37
2019/10/25,90.75,3.26,22.73,23.55,24.37
2019/10/26,94.44,2.93,24.92,25.4,25.88
2019/10/27,89.56,2.23,23.84,24.8,25.76
2019/10/28,87.75,3.12,21.63,22.75,23.87
2019/10/29,85.88,2.24,21.27,22.58,23.89
2019/10/30,83.19,1.62,21.65,23.26,24.86
2019/10/31,82.81,2.01,21.75,23.4,25.06
2019/11/01,85.25,2.13,22.42,23.79,25.15
2019/11/02,83.62,1.89,22.18,23.75,25.33
