DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.03,29.45,87.38,1.7
2019/09/02,26.66,28.72,88.94,3.12
2019/09/03,26.77,28.74,89.38,3.44
2019/09/04,26.71,28.14,92.06,3.12
2019/09/05,26.61,28.38,90.38,3.52
2019/09/06,26.57,28.34,90.38,3.7
2019/09/07,26.47,27.85,92.25,4.38
2019/09/08,26.76,28.52,90.44,4.63
2019/09/09,27.08,28.97,89.88,4.3
2019/09/10,26.98,28.79,90.25,3.24
2019/09/11,27.0,28.69,90.88,3.78
2019/09/12,26.74,27.82,93.81,4.92
2019/09/13,26.32,27.74,92.12,4.56
2019/09/14,26.12,27.85,90.5,3.12
2019/09/15,26.37,28.61,88.12,2.9
2019/09/16,26.32,28.17,89.88,2.74
2019/09/17,25.73,28.81,84.12,1.65
2019/09/18,25.1,29.55,77.94,1.05
2019/09/19,24.94,29.88,75.56,1.0
2019/09/20,25.56,28.85,82.81,1.34
2019/09/21,25.5,29.48,79.81,0.87
2019/09/22,25.68,29.05,82.5,1.25
2019/09/23,25.13,27.83,85.75,1.63
2019/09/24,25.04,26.46,91.94,2.09
2019/09/25,24.45,25.93,91.62,2.49
2019/09/26,23.71,26.33,85.94,1.59
2019/09/27,23.85,26.44,86.06,1.58
2019/09/28,23.55,25.94,87.06,1.38
2019/09/29,23.62,25.54,89.31,1.63
2019/09/30,24.31,26.05,90.38,2.09
2019/10/01,24.88,26.13,92.88,3.73
2019/10/02,24.46,27.13,86.0,2.07
2019/10/03,24.87,27.58,85.81,1.67
2019/10/04,25.06,27.3,87.88,1.83
2019/10/05,24.92,27.36,86.94,1.86
2019/10/06,24.73,27.51,85.31,1.36
2019/10/07,24.83,27.17,87.31,1.42
2019/10/08,24.48,26.73,87.62,1.15
2019/10/09,23.87,25.86,89.0,1.61
2019/10/10,23.9,25.7,90.0,2.38
2019/10/11,24.12,26.51,87.31,1.75
2019/10/12,23.33,26.72,82.31,1.62
2019/10/13,22.23,25.42,83.06,2.3
2019/10/14,22.42,25.65,83.38,2.27
2019/10/15,23.05,26.78,81.19,1.52
2019/10/16,24.08,27.22,83.56,1.56
2019/10/17,24.07,27.48,82.25,1.38
2019/10/18,23.98,27.51,81.62,1.58
2019/10/19,23.31,26.56,83.06,2.23
2019/10/20,23.26,25.9,85.88,2.43
2019/10/21,23.56,25.83,87.75,2.38
2019/10/22,23.67,25.91,87.81,2.13
2019/10/23,22.4,24.9,86.56,2.21
2019/10/24,20.05,21.57,91.06,3.16
2019/10/25,22.1,23.23,93.44,3.66
2019/10/26,24.61,25.6,94.31,2.67
2019/10/27,23.38,25.3,89.5,2.17
2019/10/28,21.17,23.52,87.25,2.67
2019/10/29,21.35,23.7,87.25,2.09
2019/10/30,21.73,25.06,82.62,1.41
2019/10/31,21.69,24.97,83.0,1.74
2019/11/01,22.3,25.1,85.12,1.87
2019/11/02,21.8,25.37,81.56,1.33
2019/11/03,21.3,25.59,77.88,0.97
2019/11/04,21.9,25.65,80.31,1.3
2019/11/05,21.6,25.21,81.19,1.61
2019/11/06,20.84,24.33,81.69,1.81
2019/11/07,19.28,24.37,74.75,1.71
2019/11/08,21.94,23.81,89.5,1.93
2019/11/09,22.37,23.23,94.81,4.64
2019/11/10,21.96,23.04,93.62,5.66
2019/11/11,21.86,23.73,89.62,3.16
2019/11/12,20.68,23.32,85.75,2.19
2019/11/13,20.27,23.25,84.25,1.99
2019/11/14,20.33,24.35,79.5,1.02
2019/11/15,20.04,24.41,77.19,1.02
2019/11/16,20.15,24.17,79.12,1.15
2019/11/17,19.83,23.76,79.12,1.25
2019/11/18,18.99,23.14,78.56,1.17
2019/11/19,18.29,23.15,74.62,1.01
2019/11/20,18.07,21.59,81.31,1.72
2019/11/21,17.3,21.87,76.62,1.1
2019/11/22,17.33,21.85,76.12,1.11
2019/11/23,17.9,22.37,76.62,0.97
2019/11/24,18.18,22.37,77.75,0.95
2019/11/25,18.69,22.24,80.88,1.38
2019/11/26,18.77,22.65,79.81,1.08
2019/11/27,18.51,22.11,81.06,1.43
2019/11/28,18.93,22.97,79.25,1.14
2019/11/29,19.2,22.88,80.69,1.16
2019/11/30,19.07,22.17,83.38,1.62
2019/12/01,17.94,20.62,85.25,2.27
2019/12/02,16.0,19.36,82.0,2.15
2019/12/03,15.33,19.13,79.5,1.84
2019/12/04,16.06,19.45,81.69,2.07
2019/12/05,16.52,20.55,78.88,1.78
2019/12/06,16.9,20.36,82.19,2.33
2019/12/07,16.05,20.48,77.06,1.84
2019/12/08,16.08,21.4,72.75,1.23
2019/12/09,16.49,20.99,76.12,1.09
2019/12/10,16.32,19.93,80.69,1.51
2019/12/11,15.45,19.6,78.25,1.73
2019/12/12,15.52,19.24,79.81,1.95
2019/12/13,14.51,19.17,75.75,1.33
2019/12/14,14.8,19.48,76.06,1.65
2019/12/15,16.2,19.52,81.62,2.01
2019/12/16,16.37,18.89,85.88,2.22
2019/12/17,15.57,18.09,85.94,2.33
2019/12/18,14.23,16.33,87.25,3.23
2019/12/19,12.89,14.72,88.88,2.68
2019/12/20,11.94,14.9,82.81,1.95
2019/12/21,12.37,14.53,87.12,1.98
2019/12/22,12.33,14.49,86.62,2.17
2019/12/23,12.87,15.37,85.88,2.84
2019/12/24,12.6,15.28,84.06,2.79
2019/12/25,11.66,15.0,81.88,2.23
2019/12/26,12.38,16.64,77.88,2.17
2019/12/27,12.17,14.48,86.44,2.6
2019/12/28,11.4,14.22,84.5,2.96
2019/12/29,12.21,15.52,82.0,2.23
2019/12/30,13.14,16.78,80.06,1.7
2019/12/31,14.65,18.87,77.81,1.17
2020/01/01,15.52,20.15,76.06,1.48
2020/01/02,16.13,20.13,79.38,1.91
2020/01/03,16.33,17.56,92.62,1.76
2020/01/04,15.5,18.43,83.94,1.48
2020/01/05,14.54,16.86,87.06,2.52
2020/01/06,11.34,14.52,82.38,2.78
2020/01/07,10.83,14.4,80.94,2.45
2020/01/08,11.66,15.55,79.31,1.98
2020/01/09,13.01,15.94,83.56,2.16
2020/01/10,13.85,16.57,84.88,2.56
2020/01/11,12.73,14.95,87.0,3.16
2020/01/12,12.64,15.24,85.5,3.0
2020/01/13,12.05,15.22,82.5,2.18
2020/01/14,12.74,16.23,80.69,1.77
2020/01/15,14.08,17.25,82.5,1.95
2020/01/16,14.15,18.73,76.56,1.84
2020/01/17,15.27,19.84,76.69,1.85
2020/01/18,15.01,20.28,74.25,1.71
2020/01/19,15.83,19.81,79.38,2.22
2020/01/20,13.19,16.42,82.38,3.13
2020/01/21,10.04,14.94,74.12,2.55
2020/01/22,9.58,14.97,72.5,2.57
2020/01/23,11.2,16.06,74.25,2.3
2020/01/24,9.71,15.22,72.44,2.3
2020/01/25,9.05,15.37,67.88,2.02
2020/01/26,9.65,14.96,72.38,2.46
2020/01/27,10.23,15.58,72.0,1.81
2020/01/28,11.14,17.11,69.81,1.66
2020/01/29,12.23,17.03,74.12,1.52
2020/01/30,13.85,18.01,78.06,1.72
2020/01/31,14.16,18.08,79.75,2.41
2020/02/01,10.95,16.75,70.5,2.41
2020/02/02,9.72,16.51,66.06,2.62
2020/02/03,7.98,15.01,65.38,2.51
2020/02/04,8.69,15.37,66.56,2.81
2020/02/05,9.93,16.48,67.0,2.62
2020/02/06,10.19,17.3,65.12,2.53
2020/02/07,9.56,17.3,62.56,2.36
2020/02/08,10.6,17.72,65.44,2.52
2020/02/09,11.63,18.12,68.31,3.23
2020/02/10,8.49,16.27,63.88,2.99
2020/02/11,9.4,16.8,63.88,2.86
2020/02/12,8.77,16.8,61.94,3.17
2020/02/13,8.27,17.63,56.94,2.34
2020/02/14,11.25,18.8,63.44,2.42
2020/02/15,15.27,19.96,75.75,2.84
2020/02/16,14.22,20.85,68.06,1.59
2020/02/17,12.87,20.73,62.88,1.81
2020/02/18,12.58,21.01,60.62,1.88
2020/02/19,12.92,21.55,59.81,1.53
2020/02/20,11.91,21.64,56.38,1.52
2020/02/21,12.98,21.77,61.75,2.26
2020/02/22,13.32,22.81,57.25,1.66
2020/02/23,14.14,24.07,56.0,1.23
2020/02/24,15.15,23.64,60.69,1.41
2020/02/25,15.26,21.43,69.19,1.91
2020/02/26,15.4,21.29,71.0,1.97
2020/02/27,14.85,21.13,70.81,1.76
2020/02/28,12.39,21.65,59.12,1.8
2020/02/29,12.79,22.65,56.75,1.7
2020/03/01,13.88,23.36,57.88,1.94
2020/03/02,13.46,23.74,55.94,1.84
2020/03/03,15.4,24.0,60.06,1.47
2020/03/04,17.19,23.59,68.88,1.74
2020/03/05,17.34,24.08,67.56,1.91
2020/03/06,17.81,23.83,70.5,1.81
2020/03/07,18.16,23.26,74.81,2.05
2020/03/08,18.55,23.95,73.44,1.55
2020/03/09,14.05,23.51,58.19,2.03
2020/03/10,11.83,23.15,50.56,2.22
2020/03/11,13.48,23.65,54.44,2.24
2020/03/12,16.28,25.65,58.81,2.15
2020/03/13,16.58,26.28,58.38,2.48
2020/03/14,16.42,25.77,59.31,3.46
2020/03/15,14.97,24.53,60.69,4.23
2020/03/16,15.54,25.14,58.38,3.46
2020/03/17,14.37,24.79,54.56,2.7
2020/03/18,13.81,25.04,51.56,2.48
2020/03/19,12.31,25.68,45.69,2.18
2020/03/20,13.1,25.55,48.25,1.85
2020/03/21,12.75,26.07,46.69,1.77
2020/03/22,15.98,25.49,57.12,1.51
2020/03/23,14.93,24.76,57.0,2.1
2020/03/24,14.55,26.3,50.31,1.06
2020/03/25,15.19,26.96,51.44,1.41
2020/03/26,15.43,28.22,47.06,1.55
2020/03/27,15.83,28.88,47.81,2.25
2020/03/28,16.98,29.67,48.88,2.91
2020/03/29,15.41,29.6,47.38,2.98
2020/03/30,11.32,29.02,36.19,2.48
2020/03/31,10.68,28.34,35.75,2.22
2020/04/01,11.8,29.26,36.12,2.25
2020/04/02,19.86,29.66,60.56,3.82
2020/04/03,20.9,29.45,64.12,3.16
2020/04/04,19.65,28.77,63.5,2.18
2020/04/05,19.86,28.62,64.12,2.66
2020/04/06,17.41,28.26,59.38,2.94
2020/04/07,17.87,28.98,59.62,4.34
2020/04/08,20.43,30.04,61.88,4.34
2020/04/09,20.23,29.1,63.06,3.48
2020/04/10,18.48,29.79,56.56,2.84
2020/04/11,19.76,29.67,59.0,2.81
2020/04/12,17.44,28.82,54.5,1.73
2020/04/13,18.53,28.98,55.5,1.98
2020/04/14,19.58,30.4,57.12,2.47
2020/04/15,22.34,29.3,68.56,2.29
2020/04/16,21.23,28.34,67.19,1.84
2020/04/17,22.64,28.78,72.19,4.16
2020/04/18,23.36,28.28,76.69,4.5
2020/04/19,22.96,29.18,72.19,3.85
2020/04/20,23.15,28.29,75.94,3.33
2020/04/21,22.37,26.94,78.44,2.27
2020/04/22,20.63,26.15,73.56,2.26
2020/04/23,21.58,27.18,72.88,2.01
2020/04/24,21.86,25.73,80.06,2.27
2020/04/25,22.22,26.66,78.5,1.45
2020/04/26,23.12,26.22,84.06,2.23
2020/04/27,22.23,26.11,80.44,1.95
2020/04/28,22.37,25.85,81.88,1.82
2020/04/29,22.48,25.83,82.81,1.94
2020/04/30,23.02,27.17,79.81,1.61
2020/05/01,23.09,27.12,79.69,1.86
2020/05/02,23.38,27.1,81.0,2.11
2020/05/03,23.69,26.66,84.75,2.16
2020/05/04,23.66,27.78,79.62,1.7
2020/05/05,24.91,28.86,80.31,2.26
2020/05/06,24.19,28.23,79.56,1.41
2020/05/07,22.65,28.05,73.62,1.02
2020/05/08,22.65,27.8,74.38,1.56
2020/05/09,23.81,28.59,76.31,1.62
2020/05/10,24.07,29.8,72.12,0.98
2020/05/11,24.0,29.98,71.19,0.98
2020/05/12,24.44,29.17,76.69,2.0
2020/05/13,24.87,28.45,82.0,3.22
2020/05/14,25.2,28.66,82.5,2.62
2020/05/15,25.4,28.82,82.75,2.46
2020/05/16,26.01,29.12,84.31,3.29
2020/05/17,25.87,29.49,81.88,2.27
2020/05/18,26.12,29.69,82.0,1.95
2020/05/19,24.12,28.6,78.5,2.02
2020/05/20,24.27,27.28,84.12,7.73
2020/05/21,25.2,27.55,87.38,10.2
2020/05/22,25.47,28.38,84.88,3.7
2020/05/23,26.23,29.22,84.94,4.07
2020/05/24,26.78,29.17,87.56,5.55
2020/05/25,26.52,28.95,87.31,6.87
2020/05/26,25.96,28.52,86.56,7.16
2020/05/27,26.23,28.08,90.0,5.62
2020/05/28,25.19,27.7,86.75,2.44
2020/05/29,25.3,27.86,86.56,2.33
2020/05/30,25.66,28.01,87.56,2.98
2020/05/31,25.51,28.43,84.94,1.67
2020/06/01,26.09,28.04,89.44,3.58
2020/06/02,26.38,28.05,90.88,3.93
2020/06/03,25.86,27.87,89.12,4.28
2020/06/04,26.26,28.08,90.12,3.39
2020/06/05,26.31,27.77,91.88,3.15
2020/06/06,26.68,27.87,93.25,3.79
2020/06/07,26.32,28.85,86.88,2.11
2020/06/08,26.4,28.52,88.56,2.38
2020/06/09,26.35,29.25,84.88,1.35
2020/06/10,26.69,28.48,90.06,2.17
2020/06/11,26.9,27.9,94.25,3.32
2020/06/12,26.74,28.33,91.31,4.33
2020/06/13,27.33,28.19,95.0,3.9
2020/06/14,27.19,28.56,92.38,3.36
2020/06/15,27.37,28.95,91.38,3.3
2020/06/16,26.64,28.48,90.0,3.65
2020/06/17,26.96,27.83,94.94,4.52
2020/06/18,26.67,27.95,92.75,5.93
2020/06/19,26.85,28.69,90.06,4.2
2020/06/20,26.9,28.47,91.31,3.71
2020/06/21,26.58,28.18,91.19,4.73
2020/06/22,26.37,28.22,90.0,4.43
2020/06/23,26.98,28.92,89.62,3.98
2020/06/24,27.09,29.15,89.06,3.45
2020/06/25,27.29,29.01,90.62,4.45
2020/06/26,27.24,28.37,93.62,4.95
2020/06/27,26.73,28.5,90.38,5.0
2020/06/28,26.08,27.55,91.81,4.55
2020/06/29,25.94,28.39,87.12,2.78
2020/06/30,26.73,28.9,88.5,3.69
2020/07/01,26.57,28.53,89.44,4.21
2020/07/02,27.14,28.8,90.94,3.39
2020/07/03,26.98,29.21,88.19,2.44
2020/07/04,26.81,28.84,89.25,3.56
2020/07/05,26.91,28.49,91.25,4.62
2020/07/06,27.05,28.61,91.38,4.3
2020/07/07,27.26,28.82,91.5,4.52
2020/07/08,27.09,28.98,89.88,3.62
2020/07/09,27.45,28.96,91.69,5.34
2020/07/10,27.44,29.04,91.19,5.93
2020/07/11,27.04,28.23,93.25,5.04
2020/07/12,26.83,28.51,90.81,4.5
2020/07/13,27.08,29.05,89.44,3.71
2020/07/14,26.47,28.22,90.5,4.51
2020/07/15,26.76,28.85,88.88,4.1
2020/07/16,26.59,28.92,87.75,3.42
2020/07/17,26.75,28.92,88.5,3.33
2020/07/18,27.01,28.44,92.0,4.02
2020/07/19,26.98,28.81,90.12,5.08
2020/07/20,26.88,27.91,94.0,5.19
2020/07/21,26.88,27.98,93.69,4.68
2020/07/22,26.2,27.8,91.19,3.28
2020/07/23,26.18,27.83,90.94,3.66
2020/07/24,26.58,28.12,91.5,3.55
2020/07/25,26.33,28.53,88.31,2.95
2020/07/26,26.8,29.32,86.81,2.39
2020/07/27,27.04,28.58,91.44,2.87
2020/07/28,26.67,28.55,89.81,3.03
2020/07/29,26.69,28.56,89.88,4.2
2020/07/30,26.65,28.44,90.19,2.82
2020/07/31,26.72,29.09,87.5,2.74
2020/08/01,27.07,29.69,86.5,1.7
2020/08/02,27.33,29.28,89.5,2.55
2020/08/03,27.04,30.86,80.75,1.13
2020/08/04,27.12,28.95,90.0,3.41
2020/08/05,26.87,28.83,89.5,5.25
2020/08/06,26.61,28.01,92.12,4.87
2020/08/07,27.04,28.87,90.12,4.3
2020/08/08,27.0,28.89,89.81,3.75
2020/08/09,26.87,28.45,91.31,3.38
2020/08/10,27.05,28.93,89.94,3.19
2020/08/11,27.16,28.9,90.56,3.78
2020/08/12,27.27,29.32,89.19,3.73
2020/08/13,26.93,29.23,87.81,3.28
2020/08/14,26.81,29.33,86.88,2.91
2020/08/15,26.19,27.94,90.44,5.92
2020/08/16,26.41,27.78,92.31,5.99
2020/08/17,26.42,27.98,91.38,5.46
2020/08/18,26.54,28.25,90.69,4.38
2020/08/19,26.17,27.67,91.62,5.27
2020/08/20,25.56,26.65,93.69,5.75
2020/08/21,25.62,26.75,93.5,4.41
2020/08/22,25.55,27.14,91.19,2.98
2020/08/23,25.98,27.73,90.5,2.68
2020/08/24,26.19,28.59,87.38,2.51
2020/08/25,26.42,27.69,92.81,2.99
2020/08/26,25.94,27.78,90.0,6.11
2020/08/27,26.12,27.44,92.56,4.03
2020/08/28,26.08,28.19,88.81,3.38
2020/08/29,26.44,28.59,88.5,3.29
2020/08/30,26.77,28.94,88.44,3.09
2020/08/31,26.94,28.98,89.0,1.98
2020/09/01,26.27,28.01,90.44,2.61
2020/09/02,25.83,27.96,88.62,2.7
2020/09/03,25.81,28.73,85.0,2.02
2020/09/04,26.4,29.35,84.81,1.77
2020/09/05,26.66,29.32,86.06,2.51
2020/09/06,26.63,28.63,89.25,3.55
2020/09/07,26.27,28.19,89.62,3.44
2020/09/08,26.29,28.34,88.94,2.81
2020/09/09,26.3,28.86,86.69,2.27
2020/09/10,26.47,28.5,89.12,3.05
2020/09/11,26.35,28.23,89.81,2.88
2020/09/12,26.58,28.53,89.56,2.58
2020/09/13,26.59,28.27,90.94,3.0
2020/09/14,26.4,28.16,90.5,2.82
2020/09/15,26.51,28.42,89.75,2.53
2020/09/16,26.51,27.94,92.0,3.42
2020/09/17,26.59,28.26,90.81,2.77
2020/09/18,26.14,29.37,83.5,1.12
2020/09/19,26.87,29.69,85.38,1.91
2020/09/20,27.27,30.14,85.19,2.2
2020/09/21,26.73,28.41,90.69,5.52
2020/09/22,27.01,27.94,94.62,4.29
2020/09/23,26.85,27.79,94.62,4.14
2020/09/24,26.62,27.63,94.19,4.45
2020/09/25,26.74,27.65,94.69,4.35
2020/09/26,26.58,27.67,93.75,4.66
2020/09/27,26.05,27.69,91.0,3.2
2020/09/28,25.81,28.39,86.38,1.63
2020/09/29,26.03,28.64,86.25,1.33
2020/09/30,25.81,28.7,84.69,0.98
2020/10/01,26.08,28.08,89.06,2.04
2020/10/02,26.13,27.94,90.19,1.81
2020/10/03,26.39,28.33,89.5,2.02
2020/10/04,26.09,27.98,89.62,1.88
2020/10/05,25.92,27.59,90.75,2.0
2020/10/06,25.04,26.77,90.38,2.18
2020/10/07,25.08,27.19,88.5,1.98
2020/10/08,24.86,28.6,81.0,1.19
2020/10/09,26.01,29.06,84.12,1.49
2020/10/10,26.31,29.15,85.19,1.45
2020/10/11,26.0,29.35,82.75,1.19
2020/10/12,25.73,29.1,82.81,1.18
2020/10/13,25.61,29.42,80.56,0.87
2020/10/14,26.01,29.08,84.06,1.09
2020/10/15,25.75,29.36,81.81,1.15
2020/10/16,25.33,29.72,77.81,0.98
2020/10/17,25.59,29.25,81.38,1.09
2020/10/18,25.73,28.23,86.81,1.47
2020/10/19,24.87,28.33,82.19,1.1
2020/10/20,25.15,27.76,86.25,1.88
2020/10/21,25.1,26.13,94.0,2.19
2020/10/22,24.44,25.32,94.81,3.7
2020/10/23,25.03,25.78,95.5,4.88
2020/10/24,25.08,26.41,92.5,3.46
2020/10/25,23.98,26.18,88.06,1.8
2020/10/26,23.6,26.61,84.25,1.45
2020/10/27,23.43,25.93,86.62,2.13
2020/10/28,23.11,26.01,84.69,1.95
2020/10/29,24.0,27.19,83.44,1.43
2020/10/30,25.13,28.01,84.94,1.7
2020/10/31,25.13,26.27,93.38,2.19
2020/11/01,23.5,25.56,88.56,2.09
2020/11/02,24.08,26.45,87.25,1.09
2020/11/03,24.62,27.21,86.38,0.95
2020/11/04,20.48,24.51,79.44,1.91
2020/11/05,16.83,22.95,70.62,1.82
2020/11/06,15.62,20.88,72.5,2.2
2020/11/07,16.34,21.87,73.56,1.75
2020/11/08,19.18,23.44,77.38,1.55
2020/11/09,20.69,24.34,81.19,1.41
2020/11/10,20.55,23.84,82.56,2.01
2020/11/11,20.57,23.64,83.62,2.23
2020/11/12,20.62,24.75,78.88,1.23
2020/11/13,21.73,24.92,83.44,1.73
2020/11/14,21.27,24.23,84.5,1.81
2020/11/15,20.33,23.48,83.44,1.57
2020/11/16,20.41,23.71,82.81,1.3
2020/11/17,20.34,23.47,83.38,2.02
2020/11/18,18.69,23.37,76.31,1.47
2020/11/19,18.53,22.23,80.19,1.75
2020/11/20,19.83,22.67,84.94,1.91
2020/11/21,20.44,23.12,85.5,1.32
2020/11/22,16.55,20.75,78.38,2.71
2020/11/23,13.76,18.0,77.38,2.62
2020/11/24,15.24,19.19,79.25,1.4
2020/11/25,17.2,20.26,83.31,1.52
2020/11/26,18.16,20.57,87.0,1.7
2020/11/27,18.09,20.96,84.5,1.98
2020/11/28,18.67,20.9,87.44,2.25
2020/11/29,18.28,20.65,87.12,2.31
2020/11/30,17.68,20.56,84.5,2.03
2020/12/01,18.14,21.25,83.25,1.63
2020/12/02,17.33,21.3,79.38,1.18
2020/12/03,16.9,21.37,76.38,1.11
2020/12/04,16.53,20.79,77.38,1.27
2020/12/05,16.28,20.44,77.81,1.2
2020/12/06,16.53,20.65,78.25,1.07
2020/12/07,17.19,19.66,86.25,1.48
2020/12/08,16.86,19.42,85.12,1.41
2020/12/09,16.26,19.79,80.81,0.66
2020/12/10,16.35,19.54,82.44,0.85
2020/12/11,16.07,18.87,84.38,1.32
2020/12/12,15.65,18.26,85.31,1.42
2020/12/13,16.0,19.14,82.94,1.41
2020/12/14,16.11,18.9,84.31,1.93
2020/12/15,15.44,17.73,86.94,2.42
2020/12/16,15.37,18.34,83.75,2.37
2020/12/17,15.53,18.13,85.56,2.23
2020/12/18,13.08,16.65,81.06,2.25
2020/12/19,10.09,13.98,78.94,2.88
2020/12/20,10.63,14.24,80.38,2.1
2020/12/21,12.75,16.51,79.12,1.21
2020/12/22,13.15,17.65,76.31,0.7
2020/12/23,13.39,17.44,78.31,1.34
2020/12/24,14.11,17.94,79.56,1.33
2020/12/25,14.79,17.35,85.19,2.23
2020/12/26,12.82,16.3,81.25,2.53
2020/12/27,11.9,15.77,79.38,2.3
2020/12/28,12.4,16.35,78.75,1.99
2020/12/29,12.62,16.15,80.94,2.38
2020/12/30,12.21,16.28,78.44,2.38
2020/12/31,13.72,17.01,81.62,1.99
2021/01/01,13.66,17.31,80.69,1.88
2021/01/02,13.82,17.36,80.75,1.79
2021/01/03,13.92,17.97,78.88,1.6
2021/01/04,14.42,18.87,76.75,1.41
2021/01/05,15.12,19.11,79.12,1.7
2021/01/06,15.94,20.18,78.31,1.61
2021/01/07,16.19,21.4,74.0,1.66
2021/01/08,16.04,20.18,78.56,2.27
2021/01/09,15.36,19.66,77.5,1.84
2021/01/10,16.05,20.22,78.06,1.4
2021/01/11,17.23,21.03,80.0,1.44
2021/01/12,15.73,19.12,81.81,2.41
2021/01/13,11.9,16.79,74.88,2.45
2021/01/14,9.88,15.48,70.75,2.48
