DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.19,29.56,87.62,2.04
2019/09/02,27.1,29.05,89.38,3.06
2019/09/03,26.21,28.19,89.06,2.2
2019/09/04,26.09,27.51,92.06,2.95
2019/09/05,26.16,28.24,88.81,3.19
2019/09/06,26.56,28.53,89.38,3.64
2019/09/07,26.63,28.32,90.75,4.08
2019/09/08,26.8,28.69,89.88,4.38
2019/09/09,26.98,29.05,89.06,3.39
2019/09/10,26.87,28.68,90.12,3.07
2019/09/11,27.13,28.84,90.75,3.61
2019/09/12,26.72,27.86,93.5,4.8
2019/09/13,26.22,27.9,90.75,3.87
2019/09/14,26.21,28.24,89.12,3.43
2019/09/15,26.48,28.61,88.62,3.01
2019/09/16,26.51,27.95,91.94,3.09
2019/09/17,25.79,28.16,87.25,1.99
2019/09/18,24.84,29.02,79.12,1.41
2019/09/19,25.08,29.38,78.44,1.5
2019/09/20,25.36,29.49,78.81,1.15
2019/09/21,25.47,29.33,80.19,1.13
2019/09/22,25.42,29.19,80.69,1.33
2019/09/23,25.15,27.08,89.25,1.96
2019/09/24,24.8,25.91,93.5,2.7
2019/09/25,23.93,25.15,92.88,2.28
2019/09/26,23.73,26.41,85.75,1.56
2019/09/27,23.5,26.65,83.38,1.2
2019/09/28,23.36,26.12,85.12,1.12
2019/09/29,22.49,24.72,87.62,1.4
2019/09/30,23.43,24.54,93.44,2.45
2019/10/01,24.62,25.82,93.12,3.86
2019/10/02,24.51,26.96,86.88,2.59
2019/10/03,24.48,27.16,85.69,1.89
2019/10/04,24.94,26.69,90.31,2.31
2019/10/05,24.58,27.29,85.5,1.61
2019/10/06,24.67,27.16,86.38,1.59
2019/10/07,24.8,26.34,91.19,1.64
2019/10/08,24.15,26.05,89.38,1.34
2019/10/09,23.3,25.81,86.56,1.23
2019/10/10,23.3,26.04,85.31,1.27
2019/10/11,23.41,26.81,82.12,1.04
2019/10/12,22.28,27.01,75.81,1.13
2019/10/13,22.18,25.75,81.19,2.03
2019/10/14,22.72,25.83,83.88,2.16
2019/10/15,23.13,26.68,81.62,1.71
2019/10/16,23.58,27.36,80.19,1.34
2019/10/17,23.78,27.42,81.0,1.41
2019/10/18,23.15,26.71,81.62,2.18
2019/10/19,22.62,26.05,82.12,2.46
2019/10/20,22.88,25.62,85.44,2.31
2019/10/21,23.31,25.23,89.5,2.56
2019/10/22,22.55,24.92,87.06,2.33
2019/10/23,20.4,23.84,81.75,1.66
2019/10/24,20.15,21.85,90.06,1.59
2019/10/25,21.55,22.73,93.06,3.08
2019/10/26,22.92,24.18,92.81,1.93
2019/10/27,21.53,23.76,87.81,1.95
2019/10/28,20.32,22.7,87.0,2.43
2019/10/29,21.62,23.74,88.44,1.96
2019/10/30,22.32,25.15,84.94,1.65
2019/10/31,22.1,25.31,83.06,1.48
2019/11/01,22.15,24.82,85.75,2.0
2019/11/02,22.25,24.76,86.56,1.81
2019/11/03,21.88,24.94,83.81,1.37
2019/11/04,21.9,25.27,82.06,1.32
2019/11/05,21.5,24.9,82.0,1.55
2019/11/06,19.83,23.89,79.44,1.67
2019/11/07,19.43,23.86,77.19,1.66
2019/11/08,21.3,24.23,84.62,1.84
2019/11/09,22.17,22.95,95.25,3.32
2019/11/10,21.15,22.22,93.62,4.41
2019/11/11,20.87,23.37,86.38,2.62
2019/11/12,20.14,23.05,84.25,1.89
2019/11/13,19.78,22.94,83.25,1.91
2019/11/14,20.91,24.11,83.19,1.5
2019/11/15,20.31,24.07,80.25,1.27
2019/11/16,20.51,24.06,81.12,1.05
2019/11/17,19.88,22.73,84.56,1.79
2019/11/18,18.27,22.53,77.69,0.87
2019/11/19,18.45,22.18,79.81,1.32
2019/11/20,16.96,21.18,78.25,1.41
2019/11/21,18.06,21.85,79.94,1.41
2019/11/22,18.4,21.81,81.56,1.09
2019/11/23,18.55,22.3,79.94,1.02
2019/11/24,18.33,22.08,80.0,1.03
2019/11/25,18.95,21.45,86.12,1.54
2019/11/26,19.19,22.23,83.81,1.35
2019/11/27,19.01,22.3,82.44,1.07
2019/11/28,19.07,22.67,81.25,1.46
2019/11/29,18.67,22.28,80.94,1.53
2019/11/30,18.56,21.61,83.5,1.64
2019/12/01,16.94,20.18,82.38,1.85
2019/12/02,15.35,19.45,78.38,1.73
2019/12/03,15.99,18.89,84.19,2.12
2019/12/04,15.76,19.13,82.25,1.86
2019/12/05,15.76,19.42,80.94,2.09
2019/12/06,15.08,19.8,75.38,2.05
2019/12/07,15.59,19.96,77.0,1.62
2019/12/08,15.55,20.58,73.88,1.52
2019/12/09,16.26,19.68,81.5,1.43
2019/12/10,15.65,19.22,80.62,1.71
2019/12/11,14.71,18.7,78.62,1.78
2019/12/12,14.65,18.62,78.44,1.61
2019/12/13,14.9,18.83,79.0,1.41
2019/12/14,15.58,19.44,79.5,1.73
2019/12/15,16.4,19.19,84.62,1.9
2019/12/16,15.55,19.09,81.38,1.98
2019/12/17,15.04,17.4,86.69,2.09
2019/12/18,13.27,15.4,87.19,2.79
2019/12/19,12.16,14.05,88.25,2.35
2019/12/20,11.94,14.55,84.81,1.86
2019/12/21,12.02,14.3,86.5,1.81
2019/12/22,11.88,14.57,84.88,1.54
2019/12/23,12.12,15.06,83.62,2.42
2019/12/24,11.94,14.97,82.94,2.55
2019/12/25,10.62,14.54,79.19,1.81
2019/12/26,10.89,15.67,75.62,2.0
2019/12/27,11.4,14.63,81.94,2.51
2019/12/28,10.27,13.51,82.5,2.91
2019/12/29,11.33,14.65,82.31,2.34
2019/12/30,12.16,16.15,78.81,1.86
2019/12/31,13.3,17.15,79.19,1.91
2020/01/01,15.33,19.26,78.62,1.75
2020/01/02,16.13,19.71,80.69,1.95
2020/01/03,15.76,17.14,91.56,1.62
2020/01/04,14.91,17.59,84.94,1.44
2020/01/05,12.81,15.76,83.38,2.73
2020/01/06,10.4,13.57,82.19,2.55
2020/01/07,10.05,13.97,78.94,2.17
2020/01/08,10.53,15.62,72.75,1.29
2020/01/09,13.34,15.72,86.12,2.48
2020/01/10,13.32,15.94,85.31,2.39
2020/01/11,12.05,14.63,85.06,3.0
2020/01/12,11.57,14.67,83.19,2.52
2020/01/13,11.84,15.27,81.56,1.99
2020/01/14,12.57,16.13,80.75,1.88
2020/01/15,13.39,17.0,80.38,1.81
2020/01/16,12.73,18.14,71.81,1.6
2020/01/17,14.43,19.12,75.31,1.86
2020/01/18,15.49,19.51,78.5,2.02
2020/01/19,15.41,18.71,82.75,2.4
2020/01/20,11.64,15.4,79.5,3.02
2020/01/21,9.76,14.51,74.69,2.24
2020/01/22,8.7,14.93,68.0,1.82
2020/01/23,9.62,14.94,71.44,2.16
2020/01/24,8.76,14.69,69.0,1.71
2020/01/25,9.12,15.55,67.0,1.7
2020/01/26,9.9,14.93,73.56,2.48
2020/01/27,10.15,14.8,75.31,2.28
2020/01/28,11.47,15.87,76.44,2.13
2020/01/29,11.94,15.93,77.75,1.64
2020/01/30,13.59,17.08,81.12,1.94
2020/01/31,12.4,17.09,75.94,2.61
2020/02/01,9.3,16.24,65.31,2.09
2020/02/02,9.01,15.28,68.38,2.91
2020/02/03,7.83,14.58,66.44,2.17
2020/02/04,8.55,15.6,64.38,2.17
2020/02/05,9.13,15.88,66.31,2.65
2020/02/06,9.4,16.21,67.5,2.59
2020/02/07,8.51,17.15,58.12,1.96
2020/02/08,10.53,17.87,64.06,2.12
2020/02/09,10.63,17.42,67.06,3.2
2020/02/10,7.97,15.88,61.94,2.66
2020/02/11,8.79,16.32,63.69,2.73
2020/02/12,8.39,16.12,62.75,3.09
2020/02/13,8.62,16.9,60.62,2.48
2020/02/14,11.05,18.78,62.0,1.81
2020/02/15,14.22,19.15,74.5,2.43
2020/02/16,13.31,20.48,64.56,1.47
2020/02/17,11.4,20.19,58.19,1.85
2020/02/18,12.78,19.92,64.81,2.07
2020/02/19,12.26,21.14,58.62,1.37
2020/02/20,11.1,20.83,54.56,1.71
2020/02/21,12.33,21.4,59.56,2.1
2020/02/22,15.19,21.89,68.12,2.05
2020/02/23,14.24,23.26,59.5,1.85
2020/02/24,14.13,22.96,59.19,1.55
2020/02/25,14.94,21.06,68.88,2.2
2020/02/26,14.84,21.13,68.88,1.73
2020/02/27,13.8,20.8,66.0,1.66
2020/02/28,12.15,21.44,58.88,1.76
2020/02/29,13.3,22.47,59.19,2.04
2020/03/01,14.15,22.97,59.88,2.28
2020/03/02,13.61,23.22,57.12,2.2
2020/03/03,15.56,23.37,63.69,2.13
2020/03/04,16.59,23.16,67.88,2.4
2020/03/05,16.84,23.58,67.19,1.88
2020/03/06,17.18,23.51,68.56,1.7
2020/03/07,17.68,22.12,77.19,2.45
2020/03/08,17.46,23.08,73.12,2.54
2020/03/09,12.65,22.32,57.94,2.59
2020/03/10,10.92,23.29,47.06,1.97
2020/03/11,12.37,23.33,51.75,2.3
2020/03/12,15.87,25.08,58.31,1.86
2020/03/13,16.28,26.24,57.06,2.08
2020/03/14,16.56,24.9,64.06,3.19
2020/03/15,14.58,23.37,62.75,4.28
2020/03/16,14.69,24.06,59.56,3.19
2020/03/17,12.84,23.74,53.06,3.02
2020/03/18,11.85,24.69,46.94,2.35
2020/03/19,11.41,25.85,41.75,1.87
2020/03/20,12.6,25.0,48.44,2.09
2020/03/21,12.23,26.06,44.31,1.93
2020/03/22,15.39,24.08,59.12,1.69
