DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.21,29.63,84.12,1.09
2019/09/02,25.2,28.84,83.0,1.12
2019/09/03,25.91,28.15,88.62,1.41
2019/09/04,25.83,28.4,87.25,1.3
2019/09/05,25.88,27.98,89.31,1.3
2019/09/06,25.8,27.8,89.44,1.55
2019/09/07,25.72,27.49,90.62,2.05
2019/09/08,25.71,27.51,90.62,2.04
2019/09/09,26.16,27.56,92.5,2.11
2019/09/10,26.61,27.28,96.12,1.82
2019/09/11,26.44,27.22,95.5,1.82
2019/09/12,25.46,26.92,92.0,2.85
2019/09/13,25.59,26.43,95.19,1.69
2019/09/14,25.33,27.27,90.06,1.12
2019/09/15,25.45,28.25,86.25,1.18
2019/09/16,25.3,28.03,86.56,0.94
2019/09/17,24.95,29.77,78.12,0.86
2019/09/18,25.13,29.99,77.75,0.77
2019/09/19,25.48,28.86,83.0,1.03
2019/09/20,25.19,28.1,84.81,0.95
2019/09/21,24.88,29.02,80.12,0.68
2019/09/22,24.8,29.03,80.75,0.84
2019/09/23,25.01,27.55,87.06,0.79
2019/09/24,24.41,26.98,87.38,0.97
2019/09/25,24.23,26.39,88.62,0.81
2019/09/26,23.97,26.61,86.88,0.94
2019/09/27,23.71,25.91,88.62,1.14
2019/09/28,23.7,26.88,84.75,0.89
2019/09/29,23.98,26.44,87.56,0.93
2019/09/30,24.06,26.15,89.19,1.04
2019/10/01,24.24,25.36,93.88,1.26
2019/10/02,24.28,26.08,90.62,1.38
2019/10/03,24.66,26.56,90.19,1.25
2019/10/04,24.04,27.24,84.44,1.0
2019/10/05,24.4,27.73,84.06,0.86
2019/10/06,24.87,27.95,85.31,0.8
2019/10/07,23.74,27.41,81.75,0.66
2019/10/08,23.81,26.33,86.69,0.62
2019/10/09,23.66,26.28,87.0,0.91
2019/10/10,23.8,24.78,94.31,1.16
2019/10/11,23.98,25.55,91.75,1.23
2019/10/12,23.34,26.79,83.38,0.95
2019/10/13,22.54,25.61,84.75,1.25
2019/10/14,22.21,25.87,82.25,1.16
2019/10/15,23.03,25.79,86.06,0.87
2019/10/16,24.4,28.01,82.81,0.83
2019/10/17,23.4,27.04,82.31,1.06
2019/10/18,23.9,27.31,83.62,1.12
2019/10/19,24.0,27.27,83.75,1.05
2019/10/20,23.47,26.7,84.19,1.09
2019/10/21,23.52,26.4,85.62,1.05
2019/10/22,23.38,26.87,82.62,0.78
2019/10/23,23.62,26.33,86.38,0.97
2019/10/24,22.85,24.65,90.31,1.46
2019/10/25,23.46,25.9,87.69,1.12
2019/10/26,24.79,25.88,93.81,1.16
2019/10/27,23.69,26.14,87.56,0.84
2019/10/28,23.11,25.79,86.62,0.84
2019/10/29,22.45,25.3,85.56,0.95
2019/10/30,21.48,24.91,82.75,1.03
2019/10/31,20.58,24.85,78.56,1.05
2019/11/01,20.66,24.51,80.62,1.1
2019/11/02,20.69,25.03,78.88,1.18
2019/11/03,20.81,25.12,78.44,1.16
2019/11/04,21.17,25.48,78.19,0.92
2019/11/05,21.05,25.22,78.81,0.96
2019/11/06,20.48,24.3,81.06,1.26
2019/11/07,20.33,25.32,75.88,0.86
2019/11/08,22.82,25.22,87.06,0.98
2019/11/09,22.88,24.85,89.75,1.49
2019/11/10,22.8,23.36,96.62,1.84
2019/11/11,23.58,24.78,93.44,1.51
2019/11/12,21.72,24.69,85.38,0.87
2019/11/13,20.8,23.71,85.44,1.08
2019/11/14,21.36,24.99,82.19,0.96
2019/11/15,20.27,24.37,79.38,1.12
2019/11/16,18.28,22.73,78.0,1.28
2019/11/17,17.59,21.61,79.06,1.29
