DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.93,29.63,86.0,1.38
2019/09/02,26.44,28.51,88.94,3.2
2019/09/03,26.84,28.44,91.25,4.41
2019/09/04,27.01,28.22,93.19,3.9
2019/09/05,26.65,27.94,92.75,4.14
2019/09/06,26.62,28.51,89.81,4.59
2019/09/07,26.71,28.22,91.69,4.83
2019/09/08,26.76,28.48,90.62,4.4
2019/09/09,27.11,28.88,90.5,3.65
2019/09/10,27.27,28.65,92.44,2.89
2019/09/11,27.07,28.4,92.56,3.12
2019/09/12,26.37,27.6,93.06,4.42
2019/09/13,26.2,27.32,93.62,4.11
2019/09/14,26.07,27.57,91.69,2.99
2019/09/15,26.39,28.34,89.56,2.91
2019/09/16,26.15,27.73,91.31,2.5
2019/09/17,25.96,28.49,86.81,1.89
2019/09/18,25.7,28.87,83.94,1.81
2019/09/19,25.45,29.5,80.31,1.25
2019/09/20,25.95,28.47,86.75,1.62
2019/09/21,25.73,28.59,85.06,1.48
2019/09/22,25.59,28.65,84.12,1.59
2019/09/23,25.57,27.08,91.62,2.41
2019/09/24,26.13,27.05,94.75,2.84
2019/09/25,24.88,26.28,92.06,2.85
2019/09/26,24.02,27.06,84.12,1.16
2019/09/27,24.45,27.02,86.5,1.39
2019/09/28,24.3,26.65,87.25,1.05
2019/09/29,23.87,25.67,89.94,1.22
2019/09/30,24.44,26.03,91.19,2.18
2019/10/01,25.06,26.5,91.94,2.87
2019/10/02,24.83,27.69,85.12,1.42
2019/10/03,25.45,27.73,87.81,1.9
2019/10/04,25.05,27.47,87.12,1.71
2019/10/05,25.0,27.18,88.19,1.59
2019/10/06,25.14,27.24,88.75,1.66
2019/10/07,24.85,26.76,89.56,1.82
2019/10/08,24.51,26.6,88.5,1.72
2019/10/09,23.95,25.34,92.0,2.05
2019/10/10,24.08,25.76,90.75,2.3
2019/10/11,24.27,26.75,86.81,1.08
2019/10/12,23.7,27.24,81.44,1.16
2019/10/13,23.14,26.3,83.25,2.09
2019/10/14,22.94,25.9,84.44,2.4
2019/10/15,23.1,26.99,80.25,1.27
2019/10/16,23.8,27.37,81.69,1.31
2019/10/17,24.15,27.57,82.81,1.38
2019/10/18,24.49,27.76,82.88,1.59
2019/10/19,23.99,26.78,85.06,2.24
2019/10/20,24.01,26.58,86.38,2.45
2019/10/21,23.69,26.48,85.19,2.04
2019/10/22,23.95,26.45,86.5,1.89
2019/10/23,23.66,25.85,88.12,2.09
2019/10/24,20.85,22.46,90.75,3.59
2019/10/25,23.04,24.53,91.62,3.12
2019/10/26,24.91,25.81,94.75,2.62
2019/10/27,23.68,25.42,90.44,2.15
2019/10/28,21.74,23.73,89.0,2.77
2019/10/29,21.17,23.51,87.25,2.27
2019/10/30,21.6,24.12,86.5,2.23
2019/10/31,21.16,24.35,83.31,2.22
2019/11/01,21.96,24.62,85.56,2.19
2019/11/02,22.2,24.71,86.81,2.52
2019/11/03,22.73,25.12,87.12,2.09
2019/11/04,22.55,25.2,85.88,2.19
2019/11/05,21.7,25.23,81.81,1.86
2019/11/06,21.31,24.16,84.75,2.38
2019/11/07,19.04,24.12,75.06,2.28
2019/11/08,21.93,23.42,91.31,2.51
2019/11/09,22.95,23.73,95.25,7.65
2019/11/10,24.54,25.34,95.25,4.77
2019/11/11,22.16,23.87,90.38,3.59
2019/11/12,21.04,23.82,84.88,1.95
2019/11/13,20.33,22.97,85.75,2.19
2019/11/14,20.29,23.5,83.06,1.89
2019/11/15,20.9,23.44,86.25,2.23
2019/11/16,20.21,23.12,84.38,2.04
