DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.15,29.19,84.56,1.81
2019/09/02,26.34,29.94,81.88,1.54
2019/09/03,26.84,28.33,91.75,1.73
2019/09/04,25.98,28.11,88.5,2.02
2019/09/05,25.49,27.82,87.5,2.29
2019/09/06,25.76,28.23,86.88,1.68
2019/09/07,25.96,28.09,88.5,2.69
2019/09/08,25.97,28.24,87.69,2.72
2019/09/09,26.46,28.27,90.19,2.12
2019/09/10,26.76,28.14,92.38,2.71
2019/09/11,26.79,28.19,92.19,2.35
2019/09/12,26.51,27.71,93.25,3.06
2019/09/13,25.88,27.4,91.62,2.97
2019/09/14,26.1,27.52,92.12,3.08
2019/09/15,26.19,27.87,90.69,2.36
2019/09/16,26.33,27.3,94.44,3.0
2019/09/17,25.08,27.26,88.06,1.97
2019/09/18,23.83,27.74,79.69,0.97
2019/09/19,23.96,28.37,77.5,1.67
2019/09/20,24.98,27.7,85.38,1.9
2019/09/21,24.56,27.87,82.81,1.35
2019/09/22,24.96,27.2,87.75,1.88
2019/09/23,24.23,26.63,87.0,1.8
2019/09/24,24.25,25.4,93.38,2.23
2019/09/25,23.4,24.6,93.06,2.11
2019/09/26,23.71,25.29,91.12,2.56
2019/09/27,23.17,24.86,90.38,1.22
2019/09/28,22.9,24.7,89.88,1.55
2019/09/29,21.32,22.63,92.31,1.93
2019/09/30,21.58,22.59,93.94,2.19
2019/10/01,22.74,24.55,89.94,2.37
2019/10/02,23.07,25.65,85.81,1.88
2019/10/03,23.86,26.28,86.88,2.11
2019/10/04,23.9,25.98,88.62,2.05
2019/10/05,24.06,26.06,89.0,1.8
2019/10/06,23.68,26.27,85.75,1.04
2019/10/07,23.91,26.51,86.0,1.67
2019/10/08,23.29,25.3,89.06,1.34
2019/10/09,22.67,24.48,89.75,1.91
2019/10/10,22.24,24.47,87.88,1.77
2019/10/11,22.41,24.44,88.88,2.43
2019/10/12,21.83,24.08,87.75,1.99
2019/10/13,21.89,24.26,87.06,1.78
2019/10/14,21.61,24.87,82.81,1.34
2019/10/15,21.28,25.38,78.62,1.52
2019/10/16,21.39,25.74,77.25,1.3
2019/10/17,22.56,25.68,83.38,1.51
2019/10/18,21.9,25.55,81.12,1.48
2019/10/19,21.36,24.85,81.5,1.77
2019/10/20,21.69,24.33,85.62,1.69
2019/10/21,21.93,23.85,89.38,2.48
