DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.86,29.1,88.12,1.27
2019/09/02,26.55,28.78,88.31,2.5
2019/09/03,26.72,28.02,92.69,2.75
2019/09/04,26.94,28.15,93.25,2.87
2019/09/05,26.66,27.96,92.75,3.1
2019/09/06,26.64,28.48,90.12,3.6
2019/09/07,26.96,28.44,91.88,3.81
2019/09/08,26.73,28.3,91.44,3.59
2019/09/09,27.15,28.83,91.0,2.65
2019/09/10,27.4,28.58,93.38,2.39
2019/09/11,27.1,28.19,93.81,2.35
2019/09/12,26.25,27.51,92.88,3.48
2019/09/13,26.12,27.23,93.69,3.22
2019/09/14,26.12,27.48,92.44,2.41
2019/09/15,26.43,28.31,89.94,2.44
2019/09/16,26.12,27.73,91.19,2.06
2019/09/17,25.98,28.51,86.94,1.83
2019/09/18,25.98,28.61,86.44,1.94
2019/09/19,25.74,28.91,84.19,1.58
2019/09/20,25.41,28.55,84.12,1.38
2019/09/21,25.81,28.3,86.81,1.47
2019/09/22,25.8,28.52,85.75,1.58
2019/09/23,25.97,27.08,93.69,2.24
2019/09/24,26.19,27.0,95.25,2.46
2019/09/25,25.39,26.32,94.56,2.5
2019/09/26,24.37,26.38,89.19,1.3
2019/09/27,24.46,26.4,89.44,1.54
2019/09/28,24.27,26.1,89.88,1.17
2019/09/29,24.12,25.76,90.69,1.12
2019/09/30,24.42,26.11,90.69,2.11
2019/10/01,25.19,26.74,91.44,2.27
2019/10/02,25.25,27.7,87.0,1.48
2019/10/03,25.52,27.23,90.69,1.93
2019/10/04,25.02,27.2,88.25,1.64
2019/10/05,25.13,27.27,88.5,1.6
2019/10/06,25.09,27.32,88.25,1.47
2019/10/07,24.69,26.82,88.56,1.51
2019/10/08,24.51,26.71,88.0,1.56
2019/10/09,24.45,25.48,94.0,2.0
2019/10/10,24.0,26.18,88.38,1.41
2019/10/11,24.05,26.85,85.19,1.16
2019/10/12,23.76,27.23,81.88,1.57
2019/10/13,23.26,26.49,83.0,1.87
2019/10/14,22.89,26.31,82.19,2.0
2019/10/15,22.6,26.9,78.19,1.22
2019/10/16,23.51,27.4,80.19,1.14
2019/10/17,23.97,27.37,82.75,1.45
2019/10/18,24.48,27.91,82.38,1.37
2019/10/19,24.13,27.56,81.69,1.6
2019/10/20,24.05,26.9,85.06,2.02
2019/10/21,23.49,26.84,82.56,1.65
2019/10/22,23.92,26.83,84.44,1.47
2019/10/23,23.89,26.14,87.75,1.64
2019/10/24,21.38,22.77,92.0,3.04
2019/10/25,23.37,24.52,93.44,2.52
2019/10/26,24.98,25.93,94.5,2.2
2019/10/27,23.52,25.28,90.31,1.9
2019/10/28,21.8,23.93,88.44,2.33
2019/10/29,20.97,23.49,86.5,2.03
2019/10/30,21.12,23.92,85.25,2.1
2019/10/31,20.6,24.08,82.0,2.04
2019/11/01,21.15,24.6,81.75,1.64
2019/11/02,21.55,24.31,85.5,2.42
2019/11/03,22.12,24.79,85.94,2.09
2019/11/04,22.27,25.24,84.38,1.95
2019/11/05,21.55,25.09,81.75,1.71
2019/11/06,20.8,23.85,83.88,2.41
2019/11/07,18.75,23.61,75.31,2.2
2019/11/08,21.59,23.0,91.75,2.79
2019/11/09,23.51,24.26,95.5,6.13
2019/11/10,24.73,25.8,93.75,3.8
2019/11/11,21.87,23.77,89.44,2.92
2019/11/12,21.05,23.93,84.62,1.82
2019/11/13,19.85,22.78,84.44,2.05
2019/11/14,19.81,22.87,83.81,2.05
2019/11/15,20.19,22.88,85.62,2.16
2019/11/16,19.65,22.8,83.5,1.89
2019/11/17,19.1,22.58,81.62,1.76
2019/11/18,19.0,22.44,81.81,1.69
2019/11/19,18.27,21.79,81.56,1.97
2019/11/20,16.9,20.71,80.06,2.03
2019/11/21,16.43,20.77,77.25,2.16
2019/11/22,17.8,21.01,82.69,2.17
2019/11/23,17.94,21.38,81.94,1.89
2019/11/24,17.52,21.68,78.25,1.48
2019/11/25,18.78,22.23,81.44,1.5
2019/11/26,19.73,23.03,82.56,1.38
2019/11/27,19.75,22.68,84.06,1.66
2019/11/28,19.76,23.46,80.69,1.27
2019/11/29,20.29,22.89,85.38,1.76
2019/11/30,19.54,22.47,83.69,1.92
2019/12/01,17.89,20.9,83.94,2.38
2019/12/02,16.88,20.13,82.62,2.16
2019/12/03,15.04,18.73,80.62,2.3
2019/12/04,14.77,18.24,81.94,2.62
2019/12/05,14.58,19.77,74.44,1.55
2019/12/06,16.07,21.78,71.25,1.05
2019/12/07,17.31,22.3,74.5,1.26
2019/12/08,17.98,22.87,74.81,1.2
2019/12/09,17.8,21.44,80.44,1.56
2019/12/10,15.82,19.99,78.62,1.94
2019/12/11,15.13,20.36,73.5,1.4
2019/12/12,15.98,20.19,78.31,1.86
2019/12/13,15.92,19.87,79.5,1.68
2019/12/14,16.54,20.73,78.31,1.41
2019/12/15,18.0,20.87,84.25,2.06
2019/12/16,17.06,19.93,84.62,2.21
2019/12/17,16.23,19.05,84.69,2.3
2019/12/18,13.41,16.8,82.25,3.09
2019/12/19,10.74,13.9,82.38,2.62
2019/12/20,10.4,14.01,79.81,2.2
2019/12/21,10.8,14.47,80.44,2.12
2019/12/22,11.34,14.58,81.94,2.45
2019/12/23,12.73,15.92,82.94,2.45
2019/12/24,12.19,16.33,77.88,2.59
2019/12/25,12.19,16.05,79.38,2.16
2019/12/26,13.27,16.21,84.31,2.46
2019/12/27,11.73,13.26,90.5,2.35
2019/12/28,9.62,12.89,82.88,2.88
2019/12/29,9.75,13.64,80.0,3.02
2019/12/30,10.87,14.24,81.81,2.49
2019/12/31,11.29,15.56,77.69,2.09
2020/01/01,12.42,17.76,73.06,2.11
2020/01/02,14.12,18.46,77.31,1.73
2020/01/03,15.98,17.23,92.5,2.56
2020/01/04,15.39,17.88,86.06,1.21
2020/01/05,15.03,17.51,86.19,2.3
2020/01/06,11.39,15.01,80.94,2.77
2020/01/07,10.93,14.89,78.94,2.19
2020/01/08,11.63,16.02,76.94,2.16
2020/01/09,13.17,16.67,81.0,2.16
2020/01/10,14.08,16.82,85.0,2.73
2020/01/11,11.06,14.09,83.5,3.05
2020/01/12,10.21,14.12,79.5,2.89
2020/01/13,9.1,14.68,72.06,2.2
2020/01/14,9.75,15.79,68.94,1.58
2020/01/15,12.79,17.58,75.25,1.66
2020/01/16,13.73,18.7,74.88,1.77
2020/01/17,13.2,20.26,67.06,1.17
2020/01/18,13.05,20.12,66.0,1.6
2020/01/19,14.9,19.52,77.12,2.25
2020/01/20,13.9,17.65,80.19,2.78
2020/01/21,10.21,16.2,70.75,2.48
2020/01/22,9.65,16.62,66.0,1.99
2020/01/23,13.6,18.82,72.94,1.74
2020/01/24,10.9,17.19,70.12,2.33
2020/01/25,7.89,16.36,60.06,1.9
2020/01/26,7.98,16.19,60.94,2.27
2020/01/27,9.63,16.48,66.31,2.12
2020/01/28,12.19,18.71,69.12,1.34
2020/01/29,15.19,19.3,78.5,1.4
2020/01/30,16.42,18.3,88.88,1.31
2020/01/31,13.95,18.39,76.69,2.26
2020/02/01,11.83,17.83,71.12,2.18
2020/02/02,10.12,17.96,62.62,2.09
2020/02/03,7.78,16.17,61.75,2.59
2020/02/04,6.86,16.3,57.31,2.36
2020/02/05,9.39,18.35,57.94,1.66
2020/02/06,11.57,19.81,60.62,1.78
2020/02/07,11.86,19.51,64.19,2.0
2020/02/08,11.83,18.69,67.44,2.43
2020/02/09,12.38,18.72,69.56,2.84
2020/02/10,7.42,17.27,57.56,2.53
2020/02/11,7.97,17.4,57.31,2.38
2020/02/12,6.81,17.55,54.44,2.7
2020/02/13,8.43,17.76,59.25,2.61
2020/02/14,11.88,19.95,63.06,2.46
2020/02/15,13.59,21.06,67.25,2.62
2020/02/16,10.71,20.81,56.69,1.82
2020/02/17,11.36,21.08,58.19,1.87
2020/02/18,11.62,20.83,60.25,2.2
2020/02/19,11.7,21.93,56.25,1.41
2020/02/20,13.98,22.63,64.0,1.1
2020/02/21,13.83,22.47,64.06,2.02
2020/02/22,12.73,23.33,55.06,1.82
2020/02/23,14.45,24.21,57.62,1.47
2020/02/24,16.44,24.47,64.12,1.27
2020/02/25,17.03,22.76,72.12,1.62
2020/02/26,16.86,21.76,75.31,1.43
2020/02/27,14.09,22.03,65.62,2.01
2020/02/28,13.01,22.46,60.19,2.05
2020/02/29,12.21,23.06,54.5,1.62
2020/03/01,13.81,23.62,58.0,1.67
2020/03/02,15.22,24.44,60.69,1.73
2020/03/03,17.15,24.65,67.75,2.23
2020/03/04,18.74,24.61,73.88,2.2
2020/03/05,18.9,23.64,77.38,2.13
2020/03/06,18.32,23.62,75.75,2.3
2020/03/07,19.57,23.6,79.75,2.05
2020/03/08,19.69,24.28,77.88,2.4
2020/03/09,14.23,23.33,60.69,2.46
2020/03/10,12.42,23.63,52.88,1.91
2020/03/11,16.17,24.66,62.0,1.72
2020/03/12,19.29,26.49,67.56,2.01
2020/03/13,19.94,27.58,66.69,1.66
2020/03/14,16.86,26.51,60.0,3.23
2020/03/15,15.83,24.77,62.31,3.05
2020/03/16,17.13,25.5,63.19,2.27
2020/03/17,17.23,26.47,60.12,1.66
2020/03/18,16.15,26.44,56.94,1.84
2020/03/19,13.61,26.6,49.62,1.66
2020/03/20,15.13,25.64,57.56,2.82
2020/03/21,15.15,26.55,55.44,2.38
2020/03/22,18.13,24.93,69.69,1.6
2020/03/23,16.69,25.34,63.38,1.95
2020/03/24,18.19,26.34,65.5,1.62
2020/03/25,17.97,27.24,62.56,1.76
2020/03/26,19.23,27.9,64.81,1.58
2020/03/27,19.19,28.72,62.69,2.58
2020/03/28,19.76,29.35,62.25,2.58
2020/03/29,18.59,29.85,57.0,2.59
2020/03/30,16.85,28.85,54.38,2.64
2020/03/31,15.69,29.07,52.0,2.31
2020/04/01,15.11,29.33,46.69,2.23
2020/04/02,20.98,30.18,64.19,2.73
2020/04/03,20.85,30.83,61.75,1.87
2020/04/04,18.17,30.22,57.25,1.98
2020/04/05,18.66,29.56,60.0,2.26
2020/04/06,17.33,29.19,58.38,2.27
2020/04/07,17.78,29.81,57.31,3.01
2020/04/08,19.83,30.57,58.56,3.13
2020/04/09,19.16,30.05,57.81,2.05
2020/04/10,18.61,30.55,56.62,2.7
2020/04/11,19.11,31.04,55.5,2.8
2020/04/12,17.77,30.57,52.88,1.84
2020/04/13,19.15,30.88,55.25,2.77
2020/04/14,19.93,31.96,56.88,2.36
2020/04/15,19.9,31.73,55.38,2.21
2020/04/16,20.07,30.8,57.62,2.71
2020/04/17,21.55,31.51,61.88,4.53
2020/04/18,23.35,30.07,71.44,3.88
2020/04/19,24.09,28.76,78.25,2.92
2020/04/20,23.45,29.07,75.0,2.71
2020/04/21,22.97,29.06,72.81,1.88
2020/04/22,22.05,27.71,73.75,2.24
2020/04/23,22.94,28.28,75.31,2.27
2020/04/24,23.44,27.53,80.31,2.5
2020/04/25,24.01,27.55,82.56,1.76
2020/04/26,23.87,27.35,82.62,1.34
2020/04/27,23.33,26.8,82.44,1.5
2020/04/28,23.35,26.5,83.75,2.16
2020/04/29,22.83,26.81,80.56,2.16
2020/04/30,23.34,27.3,80.44,1.79
2020/05/01,23.92,27.29,83.06,1.62
2020/05/02,23.76,27.58,80.81,1.59
2020/05/03,23.48,27.78,78.94,1.35
2020/05/04,24.2,28.65,78.62,1.39
2020/05/05,25.37,29.3,81.06,2.41
2020/05/06,24.58,28.55,80.5,1.8
2020/05/07,23.87,28.65,77.0,1.54
2020/05/08,23.05,28.98,71.88,1.72
2020/05/09,24.02,29.26,76.25,1.53
2020/05/10,24.48,29.54,76.12,1.54
2020/05/11,23.88,28.95,75.81,1.53
2020/05/12,24.5,28.92,78.94,1.97
2020/05/13,24.33,29.22,77.0,2.82
2020/05/14,24.9,29.4,78.81,2.65
2020/05/15,25.17,29.54,79.38,3.02
2020/05/16,25.24,29.84,78.44,3.08
2020/05/17,25.38,30.01,78.5,2.18
2020/05/18,25.11,29.55,78.81,2.3
2020/05/19,24.08,27.3,83.19,2.91
2020/05/20,25.41,27.46,88.75,11.23
2020/05/21,24.23,27.37,83.56,6.45
2020/05/22,24.94,29.3,79.5,2.98
2020/05/23,25.83,29.59,81.94,3.19
2020/05/24,26.12,29.66,82.62,4.64
2020/05/25,25.85,29.55,81.56,5.91
2020/05/26,25.56,29.02,82.31,6.55
2020/05/27,26.09,28.76,86.19,5.21
2020/05/28,25.84,28.37,86.88,2.55
2020/05/29,25.39,28.56,84.12,2.07
2020/05/30,25.72,28.91,84.0,2.39
2020/05/31,26.15,28.98,85.56,1.9
2020/06/01,26.03,28.37,87.81,2.8
2020/06/02,26.4,28.65,88.12,3.0
2020/06/03,26.18,28.65,87.19,2.78
2020/06/04,26.44,28.61,88.56,2.84
2020/06/05,26.69,28.25,91.44,2.98
2020/06/06,27.01,28.79,90.44,2.12
2020/06/07,26.46,28.68,88.38,1.8
2020/06/08,26.28,28.76,87.06,1.92
2020/06/09,26.48,29.28,85.5,1.81
2020/06/10,26.58,28.59,89.12,1.91
2020/06/11,26.91,28.25,92.5,2.39
2020/06/12,26.93,28.23,92.69,3.55
2020/06/13,27.37,28.4,94.12,3.49
2020/06/14,27.35,28.44,93.81,3.34
2020/06/15,27.37,28.44,93.94,2.64
2020/06/16,27.04,28.06,94.12,3.97
2020/06/17,27.01,27.9,94.88,4.8
2020/06/18,26.87,27.79,94.69,3.69
2020/06/19,26.95,28.59,91.06,3.35
2020/06/20,26.91,28.43,91.69,2.65
2020/06/21,26.56,28.45,89.81,3.77
2020/06/22,26.62,28.51,89.75,4.22
2020/06/23,26.62,28.73,88.88,3.53
2020/06/24,26.76,28.94,88.44,3.02
2020/06/25,26.82,28.9,88.94,3.66
2020/06/26,26.94,28.83,89.81,3.83
2020/06/27,26.7,28.49,90.31,3.62
2020/06/28,25.91,28.14,88.12,3.8
2020/06/29,26.53,28.64,88.75,2.88
2020/06/30,26.49,28.62,88.69,3.02
2020/07/01,26.27,28.59,87.69,3.02
2020/07/02,26.98,28.75,90.38,2.79
2020/07/03,26.83,29.14,87.81,1.78
2020/07/04,26.62,28.65,89.25,1.73
2020/07/05,27.12,28.41,92.69,4.27
2020/07/06,26.9,28.89,89.31,4.09
2020/07/07,27.11,28.97,89.94,3.59
2020/07/08,26.88,28.85,89.44,2.84
2020/07/09,27.08,28.62,91.5,3.98
2020/07/10,27.23,28.87,91.0,4.5
2020/07/11,27.07,27.98,94.75,3.8
2020/07/12,27.06,28.23,93.44,3.0
