DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.94,29.74,85.44,1.95
2019/09/02,26.4,28.55,88.5,3.59
2019/09/03,26.76,28.65,89.75,5.18
2019/09/04,26.97,28.38,92.06,4.38
2019/09/05,26.62,28.15,91.44,4.56
2019/09/06,26.62,28.59,89.31,4.8
2019/09/07,26.6,28.15,91.44,5.44
2019/09/08,26.73,28.49,90.38,4.84
2019/09/09,27.14,28.81,90.88,4.52
2019/09/10,27.33,28.59,92.88,3.65
2019/09/11,27.14,28.41,92.88,3.99
2019/09/12,26.69,27.96,92.75,5.59
2019/09/13,26.42,27.6,93.31,4.67
2019/09/14,26.09,27.93,89.94,3.25
2019/09/15,26.36,28.37,89.19,2.95
2019/09/16,26.23,28.01,90.19,2.62
2019/09/17,25.74,28.89,83.75,1.66
2019/09/18,25.4,29.45,79.81,1.43
2019/09/19,25.71,29.37,81.5,1.45
2019/09/20,26.11,28.49,87.12,1.82
2019/09/21,25.82,29.06,83.25,1.41
2019/09/22,25.62,29.02,82.44,1.44
2019/09/23,25.44,27.68,87.94,2.22
2019/09/24,26.01,27.3,92.62,2.62
2019/09/25,24.79,26.66,89.5,2.45
2019/09/26,24.25,27.05,85.0,1.45
2019/09/27,24.19,27.24,83.88,1.59
2019/09/28,23.91,27.16,82.81,1.2
2019/09/29,24.08,26.03,89.06,1.39
2019/09/30,24.52,26.56,88.81,2.48
2019/10/01,24.83,26.33,91.5,3.12
2019/10/02,24.88,27.51,86.06,2.02
2019/10/03,25.57,27.76,88.25,2.3
2019/10/04,25.02,27.58,86.44,1.8
2019/10/05,25.15,27.5,87.31,1.77
2019/10/06,25.12,27.28,88.25,1.74
2019/10/07,24.73,26.9,88.19,1.99
2019/10/08,24.12,26.9,84.94,1.59
2019/10/09,23.74,25.91,87.88,1.52
2019/10/10,24.2,25.81,90.88,3.0
2019/10/11,24.12,26.8,85.75,1.82
2019/10/12,23.67,27.13,81.75,1.49
2019/10/13,23.13,26.25,83.44,2.52
2019/10/14,23.07,26.14,83.94,2.6
2019/10/15,23.47,26.94,82.25,1.71
2019/10/16,23.88,27.69,80.5,1.3
2019/10/17,24.26,28.2,79.81,1.18
2019/10/18,24.44,28.14,80.44,1.73
2019/10/19,24.14,27.1,84.25,2.41
2019/10/20,24.22,26.78,86.38,2.73
2019/10/21,23.91,26.68,85.31,2.32
2019/10/22,24.13,26.73,85.94,1.95
2019/10/23,23.94,26.26,87.38,2.4
2019/10/24,21.65,23.31,90.56,4.37
2019/10/25,23.45,25.27,90.0,3.29
2019/10/26,25.16,26.25,93.75,3.09
2019/10/27,24.0,25.92,89.5,1.84
2019/10/28,22.3,24.41,88.25,3.27
2019/10/29,21.47,24.23,85.12,2.38
2019/10/30,21.63,24.8,83.31,1.94
2019/10/31,21.63,25.02,82.44,2.23
2019/11/01,22.09,25.36,82.44,2.23
2019/11/02,22.53,25.44,84.81,2.3
2019/11/03,22.19,25.72,81.94,1.69
2019/11/04,22.69,25.76,83.69,1.98
2019/11/05,21.88,25.74,80.19,1.84
2019/11/06,21.59,24.9,82.5,2.24
2019/11/07,20.17,24.92,76.31,2.26
2019/11/08,22.39,24.15,89.88,2.49
2019/11/09,23.29,24.25,94.31,6.7
2019/11/10,24.6,25.38,95.31,5.31
2019/11/11,22.93,24.58,90.69,3.46
2019/11/12,21.29,23.88,85.88,2.49
2019/11/13,20.75,23.35,85.81,2.51
2019/11/14,20.67,23.91,83.0,2.04
2019/11/15,20.59,23.94,82.12,2.0
2019/11/16,20.62,23.8,83.06,1.88
2019/11/17,19.97,23.57,80.94,1.75
2019/11/18,19.53,23.57,78.81,1.48
2019/11/19,18.64,23.39,75.31,1.32
2019/11/20,18.73,21.93,82.62,2.23
2019/11/21,17.62,21.98,77.31,1.71
2019/11/22,18.34,22.69,76.94,1.1
2019/11/23,18.6,22.9,77.38,1.2
2019/11/24,18.54,22.65,78.19,1.38
2019/11/25,18.97,22.54,80.69,1.58
2019/11/26,19.19,23.24,78.75,1.32
2019/11/27,18.92,22.87,79.0,1.43
2019/11/28,19.42,23.17,80.12,1.43
2019/11/29,19.77,23.31,81.44,1.23
2019/11/30,19.68,22.87,82.88,1.8
2019/12/01,18.76,21.23,86.06,2.77
2019/12/02,17.26,20.26,83.5,2.83
2019/12/03,15.37,19.57,77.75,2.21
2019/12/04,16.99,19.56,85.31,2.92
2019/12/05,15.91,21.66,72.44,1.29
2019/12/06,16.9,22.27,72.38,1.48
2019/12/07,17.05,21.32,77.81,2.11
2019/12/08,16.23,22.29,69.25,1.09
2019/12/09,17.4,21.59,77.31,1.16
2019/12/10,16.76,20.39,80.69,1.99
2019/12/11,15.9,20.09,78.19,1.89
2019/12/12,15.47,19.84,76.75,2.25
2019/12/13,15.23,19.59,76.81,1.77
2019/12/14,15.49,20.15,75.75,1.81
2019/12/15,16.8,20.07,82.0,2.3
2019/12/16,17.24,19.58,86.25,2.71
2019/12/17,16.61,18.98,86.44,2.88
2019/12/18,15.12,17.26,87.12,3.78
2019/12/19,13.48,15.03,89.19,3.26
2019/12/20,12.33,15.34,81.69,2.36
2019/12/21,12.87,15.26,85.94,2.44
2019/12/22,13.04,15.16,86.69,3.09
2019/12/23,13.91,16.15,86.62,3.41
2019/12/24,13.52,16.14,84.44,3.34
2019/12/25,12.88,15.65,83.88,2.88
2019/12/26,14.02,16.83,84.69,2.86
2019/12/27,13.2,14.73,90.44,3.05
2019/12/28,12.09,14.44,86.94,3.62
2019/12/29,13.09,15.66,84.62,2.98
2019/12/30,13.89,16.8,82.88,2.07
2019/12/31,14.2,17.81,80.38,2.11
2020/01/01,14.41,19.73,72.62,1.73
2020/01/02,16.02,19.78,79.5,1.9
2020/01/03,16.43,18.06,90.31,2.48
2020/01/04,15.19,18.13,83.56,1.55
2020/01/05,15.91,17.87,88.81,2.61
2020/01/06,12.87,15.56,84.62,3.48
2020/01/07,11.87,15.06,81.94,2.77
2020/01/08,12.71,15.74,82.75,2.98
2020/01/09,13.98,16.76,84.44,2.44
2020/01/10,15.08,17.48,86.38,3.2
2020/01/11,13.33,15.19,88.88,3.68
2020/01/12,13.01,15.25,86.38,3.69
2020/01/13,12.3,15.54,81.38,2.54
2020/01/14,12.82,16.19,81.0,1.99
2020/01/15,14.54,17.23,84.56,2.35
2020/01/16,15.15,18.45,81.62,2.48
2020/01/17,15.57,19.79,78.0,2.01
2020/01/18,14.8,20.85,70.12,1.19
2020/01/19,15.53,19.87,76.94,2.09
2020/01/20,14.74,17.2,85.81,3.2
2020/01/21,11.44,15.73,77.31,3.14
2020/01/22,11.09,15.49,76.62,3.12
2020/01/23,12.87,17.21,76.31,2.1
2020/01/24,12.03,16.68,76.0,2.48
2020/01/25,10.19,15.78,70.94,2.44
2020/01/26,10.37,15.85,71.31,2.2
2020/01/27,10.9,16.22,71.75,1.84
2020/01/28,12.21,17.66,71.75,1.65
2020/01/29,13.83,18.2,76.19,1.48
2020/01/30,15.49,18.5,83.06,1.52
2020/01/31,15.51,18.4,83.19,2.32
2020/02/01,13.08,17.55,76.44,2.41
2020/02/02,11.48,17.37,69.31,2.3
2020/02/03,9.59,15.32,71.06,2.99
2020/02/04,9.76,15.4,70.81,3.12
2020/02/05,11.28,16.83,70.88,2.53
2020/02/06,12.23,18.08,69.38,2.6
2020/02/07,12.19,17.81,70.75,2.5
2020/02/08,12.37,17.93,71.38,3.07
2020/02/09,13.42,17.73,76.75,3.36
2020/02/10,10.04,16.65,67.75,3.12
2020/02/11,10.82,16.9,68.25,2.58
2020/02/12,10.73,16.97,68.69,3.12
2020/02/13,9.84,18.03,60.0,1.67
2020/02/14,12.67,18.74,68.94,2.03
2020/02/15,16.65,20.24,79.69,2.48
2020/02/16,14.9,21.08,69.81,1.02
2020/02/17,13.92,21.31,63.62,1.01
2020/02/18,13.75,21.14,63.94,1.41
2020/02/19,13.19,21.99,58.25,0.8
2020/02/20,13.93,21.82,63.12,1.22
2020/02/21,13.51,21.83,60.44,1.65
2020/02/22,13.55,22.41,58.69,1.34
2020/02/23,15.53,23.05,63.56,1.47
2020/02/24,17.25,22.73,73.0,1.66
2020/02/25,17.4,21.1,80.44,2.2
2020/02/26,16.87,20.73,79.62,2.05
2020/02/27,16.15,21.06,74.81,1.74
2020/02/28,14.27,21.19,66.88,1.93
2020/02/29,13.99,21.84,63.19,1.6
2020/03/01,14.83,23.05,61.19,1.13
2020/03/02,15.24,23.77,60.88,1.05
2020/03/03,17.4,23.46,70.5,1.52
2020/03/04,18.43,23.3,75.5,1.48
2020/03/05,19.11,23.33,78.38,1.59
2020/03/06,18.24,23.08,76.19,2.06
2020/03/07,18.93,23.06,78.81,1.56
2020/03/08,19.65,23.8,78.31,2.16
2020/03/09,16.19,22.92,67.38,2.13
2020/03/10,14.22,22.62,60.12,2.27
2020/03/11,15.88,23.63,62.62,1.76
2020/03/12,18.17,25.83,63.81,1.37
2020/03/13,18.61,25.64,66.5,2.09
2020/03/14,18.31,24.48,70.25,3.64
2020/03/15,16.86,23.46,69.62,4.08
2020/03/16,17.78,24.09,70.0,2.88
2020/03/17,17.15,24.73,64.38,2.05
2020/03/18,16.79,25.26,60.75,1.68
2020/03/19,15.37,25.74,54.81,1.35
2020/03/20,15.37,25.47,56.0,1.53
2020/03/21,15.41,26.1,54.25,1.66
2020/03/22,17.82,25.07,66.12,1.3
2020/03/23,16.83,25.25,61.62,1.6
2020/03/24,17.71,25.52,64.62,1.49
2020/03/25,18.41,26.51,64.94,1.51
2020/03/26,18.25,27.52,59.06,1.27
2020/03/27,18.91,28.15,61.19,2.27
2020/03/28,19.34,28.53,60.75,2.57
2020/03/29,18.34,29.05,56.81,2.46
2020/03/30,15.1,28.69,46.62,2.24
2020/03/31,15.75,28.55,49.56,1.57
2020/04/01,14.73,28.6,46.0,2.12
2020/04/02,21.83,28.95,69.56,3.55
2020/04/03,22.49,28.92,72.0,3.03
2020/04/04,21.89,28.3,72.31,2.12
2020/04/05,21.76,27.79,72.94,2.4
2020/04/06,20.94,27.71,71.44,2.78
2020/04/07,20.98,28.12,70.44,3.9
2020/04/08,22.23,28.41,72.38,3.88
2020/04/09,21.86,27.39,73.88,2.48
2020/04/10,20.6,28.62,66.06,2.41
2020/04/11,21.09,28.9,66.25,2.8
2020/04/12,19.26,28.58,61.0,1.42
2020/04/13,20.9,28.45,66.62,2.47
2020/04/14,21.35,29.29,66.75,2.51
2020/04/15,22.61,29.44,69.56,2.65
2020/04/16,21.73,28.94,67.38,2.4
2020/04/17,22.71,29.44,70.0,4.91
2020/04/18,23.81,28.47,77.75,4.52
2020/04/19,24.24,28.11,81.12,3.3
2020/04/20,24.29,26.98,85.94,3.08
2020/04/21,22.7,28.19,73.62,1.5
2020/04/22,21.94,26.43,77.56,2.36
2020/04/23,22.76,26.79,79.69,2.19
2020/04/24,23.15,26.31,83.75,2.25
2020/04/25,23.83,26.46,86.12,2.33
2020/04/26,23.87,26.38,86.56,2.03
2020/04/27,22.83,26.06,83.12,2.05
2020/04/28,23.01,26.08,83.81,2.01
2020/04/29,23.2,26.12,84.75,2.55
2020/04/30,23.63,26.84,83.44,1.98
2020/05/01,23.83,26.75,84.75,2.09
2020/05/02,24.17,26.84,85.94,2.57
2020/05/03,23.87,26.75,85.12,2.12
2020/05/04,24.01,28.01,80.12,1.5
2020/05/05,25.62,28.58,84.69,2.55
2020/05/06,24.76,27.94,83.38,1.97
2020/05/07,23.52,28.47,75.25,1.08
2020/05/08,23.2,28.3,74.56,1.6
2020/05/09,24.16,28.93,76.31,1.21
2020/05/10,24.28,29.65,73.62,0.78
2020/05/11,24.35,29.22,75.62,1.24
2020/05/12,24.95,28.47,81.94,2.16
2020/05/13,25.09,28.51,82.56,2.91
2020/05/14,25.27,28.63,82.94,2.7
2020/05/15,25.7,28.8,84.19,2.77
2020/05/16,26.11,29.08,84.81,3.12
2020/05/17,25.92,29.3,83.06,2.48
2020/05/18,25.65,29.15,82.31,2.42
2020/05/19,24.61,28.82,79.12,2.23
2020/05/20,25.44,28.09,85.75,11.01
2020/05/21,25.37,28.02,85.75,9.45
2020/05/22,25.98,28.65,86.06,3.82
2020/05/23,26.4,28.98,86.75,3.9
2020/05/24,26.57,28.94,87.69,5.44
2020/05/25,26.18,28.82,86.06,7.3
2020/05/26,25.87,28.34,86.81,7.33
2020/05/27,26.35,28.27,89.5,6.05
2020/05/28,25.69,28.06,87.38,3.12
2020/05/29,25.4,27.98,86.38,2.65
2020/05/30,26.0,28.31,87.69,3.21
2020/05/31,26.04,28.73,86.06,2.12
2020/06/01,26.06,27.91,89.81,3.52
2020/06/02,26.34,27.87,91.5,3.55
2020/06/03,26.01,27.9,89.69,4.3
2020/06/04,26.41,28.3,89.81,3.58
2020/06/05,26.35,27.9,91.31,3.39
2020/06/06,27.22,28.38,93.44,3.27
2020/06/07,26.73,28.53,90.19,2.41
2020/06/08,26.13,28.58,87.06,2.6
2020/06/09,26.32,29.29,84.62,1.98
2020/06/10,26.61,28.46,89.81,2.35
2020/06/11,27.06,28.28,93.12,4.16
2020/06/12,26.94,28.26,92.56,4.65
2020/06/13,27.52,28.44,94.62,4.37
2020/06/14,27.2,28.6,92.19,3.79
2020/06/15,27.47,28.56,93.75,3.4
2020/06/16,26.72,28.55,89.94,4.23
2020/06/17,27.02,27.98,94.44,6.16
2020/06/18,26.72,27.69,94.31,6.19
2020/06/19,27.01,28.65,91.0,4.34
2020/06/20,26.97,28.47,91.69,4.15
2020/06/21,26.57,28.15,91.19,5.39
2020/06/22,26.6,28.3,90.69,5.22
2020/06/23,26.87,28.76,89.75,4.39
2020/06/24,27.0,28.98,89.38,3.58
2020/06/25,27.05,28.86,90.12,4.29
2020/06/26,27.13,28.69,91.38,4.61
2020/06/27,26.72,28.41,90.75,4.48
2020/06/28,25.81,27.64,89.94,4.13
2020/06/29,26.23,28.67,87.06,3.2
2020/06/30,26.59,28.61,89.12,4.16
2020/07/01,26.54,28.43,89.69,3.33
2020/07/02,27.04,28.59,91.38,3.11
2020/07/03,27.13,29.01,89.88,2.76
2020/07/04,27.02,28.34,92.56,4.87
2020/07/05,27.09,28.43,92.5,5.14
2020/07/06,27.14,28.79,90.94,5.27
2020/07/07,27.24,28.94,90.75,5.2
2020/07/08,27.13,29.01,89.94,4.02
2020/07/09,27.21,28.65,92.0,5.3
2020/07/10,27.45,28.91,91.88,5.69
2020/07/11,27.33,28.37,94.06,5.27
2020/07/12,27.12,28.45,92.56,3.88
2020/07/13,26.8,28.46,90.94,4.01
2020/07/14,26.3,27.77,91.75,4.57
2020/07/15,26.62,28.51,89.75,4.24
2020/07/16,26.44,28.59,88.5,3.65
2020/07/17,26.72,28.69,89.38,3.69
2020/07/18,26.91,28.12,93.06,3.77
2020/07/19,26.71,28.51,90.19,4.88
2020/07/20,26.98,28.15,93.31,5.01
2020/07/21,27.06,28.23,93.31,5.11
2020/07/22,26.26,27.34,93.75,4.32
2020/07/23,26.08,27.62,91.38,3.96
2020/07/24,26.58,28.01,92.0,3.84
2020/07/25,26.15,28.33,88.31,2.48
2020/07/26,26.69,29.05,87.62,2.54
2020/07/27,27.17,28.91,90.44,2.4
2020/07/28,26.87,28.76,89.75,3.76
2020/07/29,26.48,28.26,90.25,3.62
2020/07/30,26.63,28.9,87.94,2.65
2020/07/31,26.72,29.01,87.75,2.69
2020/08/01,26.75,29.55,85.5,1.77
2020/08/02,27.19,29.81,86.31,2.09
2020/08/03,27.18,29.63,87.0,1.66
2020/08/04,27.12,28.32,93.19,4.28
2020/08/05,26.98,28.79,90.12,7.23
2020/08/06,26.84,28.15,92.56,5.32
2020/08/07,26.94,28.76,90.06,4.25
2020/08/08,26.73,28.8,88.94,3.76
2020/08/09,26.69,28.63,89.5,4.19
2020/08/10,27.05,28.68,91.06,3.86
2020/08/11,27.3,29.16,89.94,4.28
2020/08/12,27.15,29.05,89.81,3.97
2020/08/13,27.05,29.01,89.44,4.18
2020/08/14,26.72,28.45,90.5,4.68
2020/08/15,26.43,28.15,90.5,7.31
2020/08/16,26.42,28.27,89.81,7.0
2020/08/17,26.45,28.03,91.19,5.95
2020/08/18,26.7,27.97,92.88,5.21
2020/08/19,26.33,27.44,93.62,6.09
2020/08/20,26.08,27.07,94.25,6.34
2020/08/21,26.16,27.33,93.31,5.14
2020/08/22,26.04,27.41,92.25,3.2
2020/08/23,26.08,27.73,90.94,2.91
2020/08/24,26.27,28.14,89.81,3.24
2020/08/25,26.32,27.57,92.88,5.73
2020/08/26,25.94,27.14,93.12,8.25
2020/08/27,26.22,27.44,93.0,4.7
2020/08/28,26.24,28.08,90.06,3.8
2020/08/29,26.36,28.34,89.31,3.26
2020/08/30,26.58,28.69,88.69,2.66
2020/08/31,27.01,28.94,89.56,2.12
2020/09/01,26.22,28.15,89.5,2.62
2020/09/02,25.8,27.87,88.81,3.09
2020/09/03,25.9,28.65,85.62,2.23
2020/09/04,25.9,29.15,83.56,1.7
2020/09/05,26.46,29.03,86.56,2.77
2020/09/06,26.48,28.35,89.75,3.16
2020/09/07,26.1,28.3,88.19,2.88
2020/09/08,26.23,28.56,87.56,2.34
2020/09/09,26.18,28.84,86.12,2.38
2020/09/10,26.36,28.75,87.38,2.74
2020/09/11,26.26,28.28,89.06,2.77
2020/09/12,26.58,28.68,88.75,2.9
2020/09/13,26.65,28.41,90.38,3.07
2020/09/14,26.54,28.05,91.56,2.78
2020/09/15,26.51,28.38,89.88,3.0
2020/09/16,26.58,28.03,91.88,3.18
2020/09/17,26.62,28.6,89.31,2.47
2020/09/18,26.06,29.85,80.94,0.94
2020/09/19,27.07,29.19,88.38,2.34
2020/09/20,26.98,29.7,85.88,2.31
2020/09/21,26.98,28.49,91.5,7.59
2020/09/22,27.22,28.33,93.62,5.04
2020/09/23,27.01,28.05,94.0,4.46
2020/09/24,26.89,27.84,94.5,4.57
2020/09/25,26.79,27.66,94.88,4.37
2020/09/26,26.84,27.83,94.25,4.55
2020/09/27,26.33,27.85,91.56,3.17
2020/09/28,26.05,28.27,88.06,1.66
2020/09/29,25.94,28.32,87.25,1.42
2020/09/30,25.47,28.45,84.38,0.9
2020/10/01,26.15,27.69,91.38,3.15
2020/10/02,26.19,27.86,90.88,2.71
2020/10/03,26.2,27.96,90.31,2.23
2020/10/04,26.05,27.91,89.75,2.13
2020/10/05,25.93,27.6,90.81,2.45
2020/10/06,25.17,27.48,87.75,2.09
2020/10/07,25.54,27.46,89.38,2.03
2020/10/08,25.37,28.83,82.06,1.16
2020/10/09,26.03,29.41,82.38,1.44
2020/10/10,26.25,29.24,84.38,1.38
2020/10/11,26.26,29.29,84.44,1.61
2020/10/12,25.8,29.3,82.25,1.27
2020/10/13,25.83,29.35,81.94,1.26
2020/10/14,25.8,28.7,85.12,1.48
2020/10/15,25.79,28.94,83.62,1.25
