DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,25.78,29.33,81.69,2.19
2019/09/02,26.32,28.41,88.56,2.28
2019/09/03,26.52,28.77,88.0,1.29
2019/09/04,25.54,27.67,88.31,2.2
2019/09/05,25.81,28.74,84.38,1.89
2019/09/06,26.23,28.55,87.5,2.48
2019/09/07,26.41,28.8,87.12,2.72
2019/09/08,26.51,28.17,90.94,3.45
2019/09/09,26.7,28.37,91.0,3.39
2019/09/10,26.45,27.89,92.0,2.55
2019/09/11,26.84,28.41,91.5,3.12
2019/09/12,26.27,27.48,93.12,4.52
2019/09/13,26.1,27.34,93.06,3.5
2019/09/14,25.65,27.38,90.44,2.32
2019/09/15,25.95,28.15,88.06,2.05
2019/09/16,25.8,28.01,87.88,1.78
2019/09/17,25.19,28.42,83.12,1.41
2019/09/18,24.72,29.12,78.38,1.55
2019/09/19,24.9,29.54,77.19,1.91
2019/09/20,24.87,29.26,78.0,1.46
2019/09/21,25.21,28.45,83.06,1.66
2019/09/22,25.26,28.7,82.06,1.77
2019/09/23,24.43,26.54,88.5,1.3
2019/09/24,24.19,26.36,88.19,1.41
2019/09/25,23.15,25.8,85.81,1.13
2019/09/26,23.26,26.98,81.19,2.18
2019/09/27,23.36,26.96,81.56,2.12
2019/09/28,23.8,26.01,87.75,1.87
2019/09/29,22.77,25.48,85.25,1.76
2019/09/30,23.23,24.7,91.56,1.84
2019/10/01,23.68,24.88,93.06,2.89
2019/10/02,23.94,26.33,87.06,2.0
2019/10/03,23.99,26.93,84.12,1.38
2019/10/04,24.0,26.95,84.31,1.59
2019/10/05,24.61,27.17,86.12,1.58
2019/10/06,24.41,26.97,86.06,1.55
2019/10/07,24.15,26.76,85.81,1.44
2019/10/08,23.9,26.06,88.0,1.09
2019/10/09,23.0,26.45,82.0,1.35
2019/10/10,23.19,25.01,89.81,2.09
2019/10/11,23.23,25.93,85.56,1.36
2019/10/12,22.12,26.38,78.31,1.55
2019/10/13,21.05,25.66,76.81,2.02
2019/10/14,22.07,26.05,79.38,2.03
2019/10/15,22.94,26.74,80.0,1.99
2019/10/16,23.61,26.88,82.69,1.41
2019/10/17,23.65,27.65,79.31,1.2
2019/10/18,23.06,27.65,76.69,1.54
2019/10/19,22.76,27.3,76.62,1.91
2019/10/20,22.01,26.65,76.38,1.79
2019/10/21,22.65,25.83,83.38,2.52
2019/10/22,22.7,25.12,86.81,2.38
2019/10/23,20.51,24.52,79.38,1.98
2019/10/24,19.95,22.6,85.19,1.59
2019/10/25,21.2,22.91,90.06,2.74
2019/10/26,23.44,24.44,94.19,3.12
2019/10/27,22.33,24.86,86.25,1.82
2019/10/28,21.54,24.62,83.12,1.88
2019/10/29,22.65,25.17,86.19,1.89
2019/10/30,22.44,25.59,82.88,1.66
2019/10/31,20.87,24.82,79.19,1.41
2019/11/01,21.14,25.05,79.31,1.64
2019/11/02,20.99,25.06,78.69,1.84
2019/11/03,21.29,24.62,82.0,1.9
2019/11/04,20.92,24.56,80.56,1.62
2019/11/05,20.69,24.36,80.62,1.79
2019/11/06,19.8,24.23,77.25,1.91
2019/11/07,20.25,24.35,78.44,2.22
2019/11/08,21.12,25.28,79.19,1.91
2019/11/09,21.46,22.73,92.44,2.42
2019/11/10,20.48,22.51,88.25,4.78
2019/11/11,21.05,24.49,81.69,2.07
2019/11/12,20.49,24.55,78.69,1.57
2019/11/13,20.65,23.91,82.19,1.96
2019/11/14,20.56,24.65,78.56,1.71
2019/11/15,20.23,24.02,79.75,1.64
2019/11/16,19.7,23.24,81.06,1.44
2019/11/17,19.63,22.65,83.56,1.71
2019/11/18,18.67,22.41,79.69,1.59
2019/11/19,18.43,22.25,79.44,1.6
2019/11/20,18.11,21.8,80.0,1.53
2019/11/21,16.78,21.15,76.88,1.9
2019/11/22,16.94,20.84,78.94,1.95
2019/11/23,17.87,21.47,80.31,1.42
2019/11/24,18.37,21.66,81.75,1.16
2019/11/25,18.28,21.92,80.19,1.34
2019/11/26,18.06,21.61,80.81,1.76
2019/11/27,17.72,21.95,77.75,1.79
2019/11/28,17.86,22.66,75.06,1.87
2019/11/29,17.33,22.33,73.88,1.84
2019/11/30,17.78,21.8,78.19,1.88
2019/12/01,17.14,21.12,78.38,1.71
2019/12/02,15.68,19.89,77.12,1.74
2019/12/03,15.0,19.13,77.75,2.08
2019/12/04,14.81,19.62,74.75,2.2
2019/12/05,15.23,20.18,74.25,2.98
2019/12/06,14.17,20.44,67.94,2.49
2019/12/07,15.8,20.56,74.94,2.17
2019/12/08,15.88,20.69,74.75,1.96
2019/12/09,15.88,19.8,78.75,1.9
2019/12/10,15.84,19.05,81.94,1.84
2019/12/11,15.4,19.59,77.12,1.47
2019/12/12,15.09,18.71,80.0,1.69
2019/12/13,14.77,18.8,78.06,1.98
2019/12/14,14.93,19.32,76.69,1.97
2019/12/15,15.58,19.3,79.69,1.95
2019/12/16,15.93,19.22,81.69,2.05
2019/12/17,14.12,17.77,80.06,2.09
2019/12/18,13.42,16.98,80.38,2.3
2019/12/19,13.48,16.14,85.0,2.47
2019/12/20,13.24,16.05,83.94,1.76
2019/12/21,13.08,15.33,87.0,1.84
2019/12/22,13.1,15.16,88.0,1.98
2019/12/23,12.3,16.15,78.56,2.39
2019/12/24,12.1,15.82,79.31,2.39
2019/12/25,11.21,14.83,79.75,2.42
2019/12/26,10.1,17.07,64.5,1.59
2019/12/27,11.74,16.36,74.69,1.77
2019/12/28,12.14,16.66,75.75,2.11
2019/12/29,11.95,16.96,73.62,2.06
2019/12/30,12.21,17.43,72.31,2.42
2019/12/31,13.56,18.02,75.88,2.5
2020/01/01,15.12,19.26,77.44,2.38
2020/01/02,16.34,20.42,77.94,2.09
2020/01/03,15.98,18.12,87.5,2.2
2020/01/04,15.26,17.81,85.38,1.58
2020/01/05,13.23,16.55,81.75,2.6
2020/01/06,10.54,14.79,77.56,2.43
2020/01/07,11.19,15.01,78.44,2.33
2020/01/08,12.12,16.02,78.25,2.02
2020/01/09,13.31,17.09,78.88,1.84
2020/01/10,13.1,16.41,81.75,2.05
2020/01/11,12.81,15.94,82.38,2.71
2020/01/12,13.12,16.83,79.81,2.66
2020/01/13,13.44,16.85,81.06,2.14
2020/01/14,13.74,16.73,83.19,2.25
2020/01/15,14.12,17.27,82.81,2.52
2020/01/16,14.17,18.37,77.25,2.28
2020/01/17,15.01,19.26,76.94,2.09
2020/01/18,15.06,19.52,76.25,2.05
2020/01/19,15.69,19.14,81.25,2.35
2020/01/20,13.28,16.88,80.19,2.91
2020/01/21,9.58,14.9,71.88,2.23
2020/01/22,9.28,14.8,70.62,2.55
2020/01/23,9.23,14.61,71.56,2.71
2020/01/24,8.48,14.18,70.0,2.69
2020/01/25,9.65,15.03,71.44,2.66
2020/01/26,10.27,15.12,73.62,2.48
2020/01/27,10.5,15.23,74.19,2.32
2020/01/28,10.93,15.27,76.12,2.21
2020/01/29,11.05,16.17,72.44,1.96
2020/01/30,12.94,16.88,78.31,2.08
2020/01/31,13.62,17.11,80.75,2.52
2020/02/01,10.59,15.83,71.94,2.57
2020/02/02,9.46,15.5,68.94,3.09
2020/02/03,9.3,14.84,71.06,2.72
2020/02/04,10.49,15.74,72.44,2.5
2020/02/05,10.3,15.83,71.0,2.77
2020/02/06,9.66,16.67,64.94,2.52
2020/02/07,9.84,16.51,65.88,2.34
2020/02/08,11.23,18.26,64.44,2.05
2020/02/09,11.66,18.73,64.94,2.3
2020/02/10,10.52,17.01,67.38,2.69
2020/02/11,9.62,17.23,63.56,2.87
2020/02/12,9.74,17.98,60.56,2.79
2020/02/13,9.77,18.08,60.12,2.74
2020/02/14,10.99,18.71,61.69,2.01
2020/02/15,14.2,18.95,74.56,1.59
2020/02/16,15.4,19.68,77.19,1.99
2020/02/17,14.5,19.86,72.06,2.28
2020/02/18,12.96,19.88,65.06,2.06
2020/02/19,13.55,20.55,65.12,1.84
2020/02/20,13.48,19.94,67.0,1.97
2020/02/21,14.53,21.38,66.69,2.3
2020/02/22,15.3,22.17,66.12,1.94
2020/02/23,15.58,23.12,63.94,1.77
2020/02/24,16.51,21.88,72.5,2.11
2020/02/25,15.76,21.23,72.19,2.5
2020/02/26,15.32,20.55,72.38,1.67
2020/02/27,14.28,19.33,73.94,1.7
2020/02/28,14.1,20.1,69.56,2.4
2020/02/29,14.83,21.78,66.19,2.27
2020/03/01,15.08,21.97,66.56,2.34
2020/03/02,15.01,22.29,64.94,2.27
2020/03/03,15.44,22.37,66.12,2.05
2020/03/04,15.98,22.23,68.81,2.11
2020/03/05,17.05,22.44,72.31,1.89
2020/03/06,17.33,22.62,72.69,1.62
2020/03/07,17.46,21.69,77.69,2.05
2020/03/08,17.31,21.55,77.62,2.46
2020/03/09,13.78,21.11,65.44,2.67
2020/03/10,13.33,21.14,62.88,2.48
2020/03/11,13.58,21.85,60.62,2.47
2020/03/12,15.99,23.76,63.31,2.01
2020/03/13,17.48,25.42,63.0,1.67
2020/03/14,17.62,24.44,67.69,2.43
2020/03/15,16.69,24.62,63.56,2.47
2020/03/16,15.28,24.33,59.31,3.34
2020/03/17,13.82,23.24,57.75,3.24
2020/03/18,14.03,22.94,58.94,3.23
2020/03/19,13.03,23.76,53.25,2.45
2020/03/20,13.6,24.52,51.94,1.79
2020/03/21,12.91,24.48,51.31,2.27
2020/03/22,14.68,23.01,60.56,1.68
2020/03/23,15.6,23.34,63.38,2.09
2020/03/24,15.18,24.63,57.31,1.43
2020/03/25,15.63,25.55,56.12,1.96
2020/03/26,16.34,26.58,54.62,1.72
2020/03/27,16.4,27.52,52.25,1.98
2020/03/28,17.45,27.95,54.88,3.09
2020/03/29,15.15,27.23,52.5,3.55
2020/03/30,11.44,26.72,40.44,2.94
2020/03/31,10.6,26.73,38.5,2.3
2020/04/01,12.0,27.8,39.19,2.06
2020/04/02,17.23,28.4,52.19,2.63
2020/04/03,20.33,28.16,65.19,2.03
2020/04/04,17.88,27.55,59.5,1.46
2020/04/05,17.13,27.73,54.44,1.95
2020/04/06,16.69,27.89,53.75,1.67
2020/04/07,15.97,28.06,52.0,2.63
2020/04/08,18.93,28.95,57.25,2.16
2020/04/09,19.74,28.24,62.44,2.16
2020/04/10,18.51,29.51,54.69,1.66
2020/04/11,18.26,28.59,54.69,1.66
2020/04/12,18.08,27.12,59.56,1.94
2020/04/13,17.02,29.08,49.94,1.8
2020/04/14,18.55,30.62,49.88,1.22
2020/04/15,21.12,28.14,66.31,1.45
2020/04/16,20.65,26.85,70.0,1.7
2020/04/17,22.39,25.99,80.88,2.44
2020/04/18,23.41,25.44,88.69,2.51
2020/04/19,23.23,27.07,80.62,2.26
2020/04/20,23.23,26.43,83.12,2.12
2020/04/21,21.44,25.95,78.19,1.91
2020/04/22,19.41,23.98,76.56,1.98
2020/04/23,20.55,24.42,79.69,2.1
2020/04/24,20.82,23.72,84.25,2.33
2020/04/25,20.26,24.8,77.0,1.58
2020/04/26,21.2,25.12,79.56,2.18
2020/04/27,20.89,25.33,77.38,1.48
2020/04/28,21.37,23.87,86.12,2.6
2020/04/29,21.01,24.22,82.75,2.08
2020/04/30,21.76,25.73,79.25,1.81
2020/05/01,21.98,26.12,78.38,1.92
2020/05/02,22.31,25.89,81.12,2.07
2020/05/03,22.41,25.87,81.62,2.1
2020/05/04,22.94,27.02,78.88,1.97
2020/05/05,23.63,27.83,78.38,1.62
2020/05/06,22.98,26.73,80.81,1.58
2020/05/07,21.8,26.79,75.38,1.88
2020/05/08,21.19,26.87,72.44,2.08
2020/05/09,21.89,27.94,71.0,1.8
2020/05/10,22.99,28.44,73.5,2.01
2020/05/11,23.78,28.3,77.38,1.87
2020/05/12,23.69,28.48,76.12,2.29
2020/05/13,24.4,28.0,81.19,1.95
2020/05/14,24.35,27.86,81.94,1.87
2020/05/15,24.36,28.01,81.0,2.13
2020/05/16,25.19,28.42,83.12,2.13
2020/05/17,24.77,28.9,79.19,1.49
2020/05/18,24.86,29.37,77.19,1.73
2020/05/19,23.73,28.07,78.44,1.91
2020/05/20,23.27,27.55,78.19,4.18
2020/05/21,25.01,26.37,92.19,7.82
2020/05/22,24.62,26.57,89.19,3.55
2020/05/23,26.0,28.39,87.5,3.2
2020/05/24,26.41,28.16,90.56,4.08
2020/05/25,26.28,27.84,91.44,4.57
2020/05/26,25.83,27.51,90.81,4.71
2020/05/27,25.56,27.11,91.5,3.45
2020/05/28,24.7,26.96,87.69,1.91
2020/05/29,23.81,27.86,79.38,1.38
2020/05/30,24.5,27.0,86.38,2.42
2020/05/31,24.4,26.98,86.19,1.34
2020/06/01,25.47,27.12,90.81,2.94
2020/06/02,25.9,26.94,94.06,2.83
2020/06/03,25.39,26.56,93.31,3.08
2020/06/04,25.56,26.64,93.81,2.84
2020/06/05,25.65,27.19,91.44,2.52
2020/06/06,26.17,27.03,95.0,3.61
2020/06/07,25.83,28.18,87.5,1.7
2020/06/08,26.0,28.01,88.88,1.52
2020/06/09,25.14,28.65,82.06,1.72
2020/06/10,25.9,28.65,85.62,2.09
2020/06/11,26.05,27.36,92.56,2.03
2020/06/12,26.48,27.9,92.12,3.42
2020/06/13,26.53,27.33,95.38,2.72
2020/06/14,26.54,28.55,89.19,1.99
2020/06/15,26.93,28.84,89.69,2.26
2020/06/16,25.98,27.44,91.81,2.23
2020/06/17,26.63,27.89,92.94,4.41
2020/06/18,26.39,27.56,93.31,4.88
2020/06/19,26.31,28.03,90.56,3.56
2020/06/20,26.48,28.15,90.81,2.84
2020/06/21,26.3,27.87,91.44,2.91
2020/06/22,26.33,28.33,89.19,2.62
2020/06/23,26.71,28.58,89.88,2.72
2020/06/24,26.67,28.32,91.0,3.07
2020/06/25,26.9,28.04,93.62,2.99
2020/06/26,26.65,27.4,95.62,4.39
2020/06/27,26.48,27.71,93.06,4.85
2020/06/28,25.81,26.85,94.06,3.52
2020/06/29,25.4,27.43,89.0,2.0
2020/06/30,26.12,28.17,88.88,2.81
2020/07/01,26.34,27.65,92.62,3.35
2020/07/02,26.5,27.8,92.69,2.48
2020/07/03,26.58,28.58,89.12,2.25
2020/07/04,26.4,28.17,90.19,2.01
2020/07/05,26.57,28.09,91.56,3.47
2020/07/06,25.57,26.98,91.94,3.25
2020/07/07,26.6,27.98,92.25,4.03
2020/07/08,26.54,28.04,91.75,2.32
2020/07/09,27.33,28.51,93.38,4.82
2020/07/10,27.26,28.27,94.25,5.59
2020/07/11,26.65,27.58,94.62,4.48
2020/07/12,26.51,27.84,92.56,3.21
2020/07/13,26.87,28.59,90.62,2.46
2020/07/14,25.66,27.03,92.31,2.75
2020/07/15,26.52,28.2,90.75,2.98
2020/07/16,26.3,28.22,89.62,2.66
2020/07/17,26.19,27.96,90.19,2.22
2020/07/18,26.37,28.04,90.88,3.35
2020/07/19,26.82,28.16,92.5,4.35
2020/07/20,26.42,27.16,95.62,4.77
2020/07/21,26.48,27.5,94.12,3.89
2020/07/22,25.86,27.51,90.94,2.79
2020/07/23,25.69,27.05,92.31,3.18
2020/07/24,26.4,27.97,91.38,2.7
2020/07/25,26.36,28.43,88.94,2.53
2020/07/26,26.58,28.95,87.38,2.15
2020/07/27,26.96,28.37,92.19,2.66
2020/07/28,26.43,28.37,89.38,2.17
2020/07/29,26.55,27.9,92.5,3.7
2020/07/30,26.05,27.61,91.25,2.6
2020/07/31,26.18,28.23,88.88,2.73
2020/08/01,26.37,29.77,82.56,1.34
2020/08/02,26.6,30.06,82.19,1.28
2020/08/03,27.13,30.9,81.19,1.69
2020/08/04,27.44,30.2,85.38,2.95
2020/08/05,26.94,29.33,87.25,3.07
2020/08/06,26.24,28.52,87.88,3.27
2020/08/07,26.74,28.33,91.31,3.06
2020/08/08,26.87,28.42,91.5,3.34
2020/08/09,26.48,27.85,92.31,2.33
2020/08/10,26.69,28.87,88.5,2.03
2020/08/11,26.96,28.42,91.88,2.79
2020/08/12,27.07,29.05,89.44,2.93
2020/08/13,26.52,28.82,87.75,2.15
2020/08/14,26.16,29.63,82.38,1.91
2020/08/15,26.07,27.76,90.62,3.81
2020/08/16,26.15,27.59,92.0,5.12
2020/08/17,26.1,27.41,92.62,4.44
2020/08/18,26.19,27.76,91.38,3.77
2020/08/19,25.98,27.5,91.62,3.95
2020/08/20,24.94,26.67,90.25,4.12
2020/08/21,25.15,26.39,92.94,3.05
2020/08/22,25.26,26.69,91.94,2.5
2020/08/23,25.49,27.41,89.56,2.05
2020/08/24,25.8,28.33,86.56,2.0
2020/08/25,26.06,28.15,88.5,2.45
2020/08/26,25.75,28.07,87.62,3.07
2020/08/27,25.37,26.86,91.69,2.29
2020/08/28,25.66,27.61,89.5,2.52
2020/08/29,25.99,27.8,90.19,2.93
2020/08/30,26.33,28.16,90.06,2.77
2020/08/31,26.45,28.17,90.44,2.07
2020/09/01,25.81,27.35,91.31,2.19
2020/09/02,25.63,27.74,88.62,2.35
2020/09/03,25.53,28.22,85.88,1.91
2020/09/04,25.91,29.05,83.69,1.8
2020/09/05,26.33,28.74,86.94,1.94
2020/09/06,26.35,28.05,90.56,2.64
2020/09/07,25.59,27.25,90.75,2.33
2020/09/08,26.15,27.48,92.5,3.24
2020/09/09,26.0,28.4,87.25,1.46
2020/09/10,26.16,27.76,91.06,2.2
2020/09/11,26.09,27.37,92.75,2.5
2020/09/12,26.01,27.64,90.88,1.76
2020/09/13,26.12,27.76,91.0,2.59
2020/09/14,25.9,27.43,91.56,2.26
2020/09/15,25.87,27.49,91.0,1.86
2020/09/16,26.08,27.19,93.69,2.83
2020/09/17,25.97,27.46,91.62,2.17
2020/09/18,25.9,28.91,84.19,1.62
2020/09/19,26.51,30.72,79.0,1.88
2020/09/20,26.65,30.53,80.31,3.19
2020/09/21,26.44,28.13,90.62,2.7
2020/09/22,26.43,27.15,95.69,3.76
2020/09/23,26.33,27.01,95.94,2.71
2020/09/24,26.2,27.1,94.81,3.73
2020/09/25,26.42,27.15,95.62,3.73
2020/09/26,26.19,27.07,94.94,3.27
2020/09/27,25.6,26.86,92.94,2.59
2020/09/28,25.41,27.75,87.44,1.79
2020/09/29,25.37,28.51,83.38,1.18
2020/09/30,25.64,28.33,85.44,1.45
2020/10/01,25.62,28.04,86.94,1.8
2020/10/02,25.71,27.95,88.0,1.62
2020/10/03,25.76,27.75,89.0,1.41
2020/10/04,25.76,27.67,89.31,1.45
2020/10/05,25.48,27.36,89.56,1.77
2020/10/06,25.05,26.52,91.56,1.33
2020/10/07,24.83,27.08,87.75,1.48
2020/10/08,25.58,27.85,87.75,1.58
2020/10/09,25.95,29.23,83.0,1.84
2020/10/10,26.26,28.95,85.56,1.89
2020/10/11,25.87,29.15,83.19,1.38
2020/10/12,25.69,29.07,82.44,1.64
2020/10/13,25.95,28.79,85.0,1.77
2020/10/14,25.85,28.63,85.31,1.56
2020/10/15,25.85,28.44,86.5,1.72
2020/10/16,25.67,28.65,84.25,1.4
2020/10/17,24.8,28.76,79.81,1.64
2020/10/18,25.3,27.89,86.12,1.98
2020/10/19,24.81,27.99,83.38,1.08
2020/10/20,24.81,27.91,83.94,1.86
2020/10/21,24.89,27.2,87.62,1.29
2020/10/22,23.96,26.01,88.56,1.83
2020/10/23,23.23,24.21,94.12,6.6
2020/10/24,24.3,25.6,92.56,4.17
2020/10/25,23.83,25.5,90.69,2.14
2020/10/26,23.02,26.3,82.88,1.62
2020/10/27,22.62,26.26,81.12,2.1
2020/10/28,23.12,26.4,82.56,2.21
2020/10/29,23.6,27.73,78.81,1.78
2020/10/30,24.36,28.31,79.81,2.23
2020/10/31,25.0,26.0,94.12,2.67
2020/11/01,23.11,25.76,85.75,1.75
2020/11/02,23.3,26.02,85.19,1.35
2020/11/03,23.9,26.38,86.56,1.17
2020/11/04,19.8,25.02,74.88,2.09
2020/11/05,16.19,23.55,66.12,2.21
2020/11/06,12.87,22.5,56.75,2.05
2020/11/07,17.43,23.22,70.56,1.98
2020/11/08,20.03,24.53,76.62,2.16
2020/11/09,18.67,24.39,71.56,2.07
2020/11/10,18.8,24.51,71.44,2.2
2020/11/11,19.83,24.97,73.62,2.09
2020/11/12,20.71,24.87,78.56,2.16
2020/11/13,20.9,24.88,79.12,2.21
2020/11/14,20.94,24.97,78.75,1.83
2020/11/15,20.94,24.19,82.38,2.08
2020/11/16,21.17,24.07,84.12,1.75
2020/11/17,20.51,23.05,86.12,1.86
2020/11/18,18.6,22.37,79.75,1.74
2020/11/19,17.79,21.23,81.06,1.67
2020/11/20,18.82,21.81,83.75,1.72
2020/11/21,19.12,22.3,82.81,1.47
2020/11/22,16.36,20.41,78.56,2.57
2020/11/23,13.75,18.94,72.75,2.41
2020/11/24,15.41,19.71,76.94,2.04
2020/11/25,16.92,20.8,79.12,2.14
2020/11/26,17.69,21.22,80.62,2.24
2020/11/27,16.7,22.76,70.19,1.7
2020/11/28,18.13,22.91,75.0,1.78
2020/11/29,18.47,22.42,78.69,1.84
2020/11/30,18.77,22.02,82.19,2.04
2020/12/01,17.94,21.55,80.5,2.14
2020/12/02,16.98,20.83,79.06,1.94
2020/12/03,16.77,20.33,80.69,2.01
2020/12/04,16.58,20.04,81.0,1.89
2020/12/05,16.48,19.63,82.56,1.8
2020/12/06,16.63,19.35,84.75,2.01
2020/12/07,16.26,19.09,84.44,1.87
2020/12/08,15.58,18.94,81.31,1.98
2020/12/09,16.02,19.08,82.75,1.69
2020/12/10,16.34,19.05,85.0,1.67
2020/12/11,15.74,18.58,84.0,1.79
2020/12/12,15.3,17.87,85.44,1.84
2020/12/13,15.45,18.39,83.5,1.77
2020/12/14,14.65,18.25,81.12,2.2
2020/12/15,13.85,17.48,80.0,2.45
2020/12/16,14.25,18.31,77.69,2.18
2020/12/17,14.78,18.23,81.0,2.09
2020/12/18,12.24,16.51,76.94,2.12
2020/12/19,9.8,14.63,73.5,2.3
2020/12/20,10.77,15.44,74.19,2.07
2020/12/21,12.62,16.33,79.19,2.3
2020/12/22,13.33,16.61,81.69,2.09
2020/12/23,13.39,16.95,80.44,2.02
