DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,25.62,29.87,78.75,2.16
2019/09/02,26.34,29.16,85.19,1.34
2019/09/03,26.67,29.08,87.38,1.06
2019/09/04,25.12,28.19,84.0,1.3
2019/09/05,25.51,28.84,82.38,1.63
2019/09/06,25.86,28.87,84.25,1.89
2019/09/07,26.27,28.95,85.81,2.16
2019/09/08,26.05,27.75,90.69,2.2
2019/09/09,26.43,28.03,91.31,3.19
2019/09/10,26.44,27.64,93.25,2.73
2019/09/11,26.62,28.29,91.0,2.66
2019/09/12,26.02,27.39,92.38,3.29
2019/09/13,25.82,26.97,93.56,3.8
2019/09/14,25.54,27.21,90.81,2.38
2019/09/15,25.77,28.28,86.5,1.7
2019/09/16,25.73,28.34,85.88,1.51
2019/09/17,25.24,28.49,83.06,1.59
2019/09/18,24.86,28.92,79.81,1.81
2019/09/19,24.98,28.9,80.0,2.16
2019/09/20,25.04,28.6,81.5,1.8
2019/09/21,25.06,28.1,84.12,1.78
2019/09/22,25.2,28.22,84.38,1.75
2019/09/23,24.07,26.21,88.31,1.4
2019/09/24,24.18,26.44,87.75,1.34
2019/09/25,23.1,25.7,85.94,1.49
2019/09/26,23.51,26.51,84.19,2.31
2019/09/27,23.87,26.79,84.31,2.05
2019/09/28,23.76,26.65,84.81,1.99
2019/09/29,22.88,25.99,83.44,1.84
2019/09/30,23.06,24.98,89.25,1.3
2019/10/01,23.29,25.07,90.0,1.98
2019/10/02,23.97,26.07,88.5,2.14
2019/10/03,24.44,26.22,90.12,2.4
2019/10/04,23.73,26.52,85.06,2.01
2019/10/05,24.2,27.0,85.0,1.84
2019/10/06,24.24,26.65,86.88,1.64
2019/10/07,24.03,26.76,85.25,1.62
2019/10/08,23.98,26.23,87.81,1.44
2019/10/09,23.3,25.65,87.12,1.41
2019/10/10,22.62,24.52,89.38,1.79
2019/10/11,23.17,25.65,86.5,1.51
2019/10/12,22.37,26.18,80.12,1.68
2019/10/13,22.06,25.56,81.75,2.05
2019/10/14,22.12,26.01,80.06,2.13
2019/10/15,23.51,27.0,81.81,2.12
2019/10/16,23.66,26.55,84.56,1.57
2019/10/17,23.56,27.55,79.44,1.41
2019/10/18,23.24,27.28,79.44,1.76
2019/10/19,23.01,27.06,79.06,1.86
2019/10/20,22.67,26.54,79.81,1.62
2019/10/21,22.61,25.66,84.0,2.38
2019/10/22,22.86,25.01,88.31,2.21
2019/10/23,20.44,24.54,79.06,1.95
2019/10/24,20.0,23.07,83.25,1.5
2019/10/25,20.98,22.73,89.94,2.94
2019/10/26,23.43,24.3,94.88,3.88
2019/10/27,23.07,25.35,87.56,2.06
2019/10/28,21.8,24.94,83.12,1.63
2019/10/29,22.56,25.14,86.0,1.99
2019/10/30,22.37,25.23,84.44,1.62
2019/10/31,20.86,24.15,82.38,1.55
2019/11/01,20.77,24.19,81.69,1.94
2019/11/02,20.6,24.62,79.25,2.21
2019/11/03,21.3,24.56,82.56,1.93
2019/11/04,20.84,24.48,80.62,1.62
2019/11/05,20.55,23.68,83.19,2.06
2019/11/06,19.9,23.73,79.81,2.06
2019/11/07,20.1,24.23,78.62,2.62
2019/11/08,21.14,25.11,79.75,2.52
2019/11/09,21.37,23.14,89.88,1.91
2019/11/10,20.43,22.47,88.25,4.19
2019/11/11,21.15,23.87,85.06,2.28
2019/11/12,21.27,23.98,85.25,1.64
2019/11/13,20.73,24.01,82.38,1.8
2019/11/14,20.34,24.35,79.12,2.17
2019/11/15,20.16,23.5,81.94,1.88
2019/11/16,19.58,22.47,84.38,1.72
2019/11/17,19.25,21.98,84.94,1.84
2019/11/18,18.98,21.86,84.19,1.84
2019/11/19,18.16,21.5,81.81,1.66
2019/11/20,17.51,20.8,82.06,1.89
2019/11/21,16.94,20.83,79.19,2.44
2019/11/22,16.71,20.26,80.88,2.16
2019/11/23,16.26,20.3,78.06,1.7
2019/11/24,17.1,20.66,80.5,1.79
2019/11/25,17.59,21.64,78.56,1.83
2019/11/26,17.58,21.3,79.94,1.8
2019/11/27,17.48,21.88,77.12,2.17
2019/11/28,17.8,22.73,74.75,2.3
2019/11/29,17.67,21.76,78.12,2.09
2019/11/30,17.6,21.0,81.19,1.98
2019/12/01,16.91,20.26,81.62,1.94
2019/12/02,16.07,19.37,81.88,1.96
2019/12/03,14.42,18.69,77.12,2.11
2019/12/04,14.59,19.19,75.88,2.59
2019/12/05,15.18,20.26,73.94,3.74
2019/12/06,14.1,19.3,72.44,3.4
2019/12/07,15.76,20.37,75.5,2.76
2019/12/08,15.48,20.3,74.88,2.37
2019/12/09,15.73,19.45,79.56,2.09
2019/12/10,15.48,18.72,81.81,1.91
2019/12/11,15.54,18.5,83.31,1.72
2019/12/12,14.8,18.04,82.25,1.94
2019/12/13,14.7,18.47,79.44,2.53
2019/12/14,14.61,18.71,77.94,2.12
2019/12/15,14.88,18.65,79.25,2.11
2019/12/16,15.62,18.4,84.12,2.09
2019/12/17,14.41,17.35,83.5,2.17
2019/12/18,13.36,16.87,80.38,2.33
2019/12/19,13.46,16.3,84.31,2.32
2019/12/20,13.32,15.8,85.75,1.84
2019/12/21,13.15,14.93,89.62,1.93
2019/12/22,13.43,15.19,89.5,1.89
2019/12/23,12.5,16.0,80.56,2.38
2019/12/24,12.66,15.65,83.25,2.36
2019/12/25,11.39,14.76,81.31,2.48
2019/12/26,11.02,16.79,69.5,1.67
