DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.97,29.43,87.25,2.31
2019/09/02,27.49,30.08,86.75,1.91
2019/09/03,26.98,28.46,91.81,1.83
2019/09/04,26.5,27.74,93.0,2.17
2019/09/05,26.09,27.99,89.69,2.76
2019/09/06,26.47,28.7,88.12,2.65
2019/09/07,26.69,28.6,89.75,3.84
2019/09/08,26.65,28.62,89.31,3.48
2019/09/09,27.05,29.08,89.25,2.27
2019/09/10,26.96,28.51,91.5,2.65
2019/09/11,27.17,28.61,92.06,2.58
2019/09/12,26.89,28.13,93.0,4.13
2019/09/13,26.21,27.84,91.0,3.1
2019/09/14,26.51,28.15,90.94,2.98
2019/09/15,26.67,28.48,90.12,2.37
2019/09/16,26.8,27.79,94.31,2.76
2019/09/17,25.53,27.69,88.25,2.23
2019/09/18,24.42,28.08,81.19,1.4
2019/09/19,24.55,28.58,79.69,1.3
2019/09/20,25.6,28.3,85.56,1.62
2019/09/21,25.19,28.91,81.12,0.89
2019/09/22,25.48,28.4,84.62,1.33
2019/09/23,25.15,26.9,90.25,1.82
2019/09/24,24.84,25.84,94.12,2.39
2019/09/25,24.04,25.43,92.12,2.38
2019/09/26,24.05,25.88,89.88,2.06
2019/09/27,23.58,25.53,89.06,1.04
2019/09/28,23.69,24.92,92.88,2.06
2019/09/29,22.48,23.27,95.19,2.88
2019/09/30,22.5,23.25,95.5,3.12
2019/10/01,23.75,25.15,92.06,3.33
2019/10/02,24.2,26.07,89.69,2.53
2019/10/03,24.49,26.84,87.31,1.94
2019/10/04,24.4,26.7,87.56,1.55
2019/10/05,24.55,26.83,87.62,1.48
2019/10/06,23.94,27.29,82.25,0.58
2019/10/07,24.26,27.32,83.69,0.95
2019/10/08,24.15,25.81,90.75,1.5
2019/10/09,23.35,24.93,91.0,1.7
2019/10/10,22.74,25.29,86.31,1.4
2019/10/11,22.81,24.98,88.19,2.26
2019/10/12,22.29,24.76,86.81,2.05
2019/10/13,21.87,24.67,85.25,1.32
2019/10/14,21.55,25.26,81.0,1.09
2019/10/15,22.3,25.63,82.19,1.63
2019/10/16,22.7,26.14,81.88,1.25
2019/10/17,23.04,26.07,84.19,1.22
2019/10/18,22.19,25.72,82.0,1.34
2019/10/19,21.48,24.69,83.25,1.63
2019/10/20,22.25,24.13,89.69,2.38
2019/10/21,22.5,24.0,91.69,3.62
2019/10/22,21.15,23.19,88.88,3.34
2019/10/23,20.05,22.29,87.88,1.88
2019/10/24,20.08,21.9,89.62,1.66
2019/10/25,19.9,21.26,92.12,3.98
2019/10/26,19.87,21.33,91.44,2.9
2019/10/27,20.33,22.44,88.38,1.62
2019/10/28,19.82,22.28,86.56,1.4
2019/10/29,20.63,23.32,85.5,1.33
2019/10/30,21.11,24.11,84.0,1.03
2019/10/31,21.23,24.23,84.25,1.61
2019/11/01,20.65,24.36,80.81,1.3
2019/11/02,20.56,24.3,80.25,1.27
2019/11/03,21.12,24.06,84.25,1.45
2019/11/04,21.05,24.48,81.88,1.29
2019/11/05,20.85,22.9,88.88,2.28
2019/11/06,17.82,22.08,78.5,1.48
2019/11/07,18.61,22.37,79.94,1.66
2019/11/08,21.12,23.21,88.38,2.66
2019/11/09,21.74,23.06,92.44,2.34
2019/11/10,21.12,23.04,89.5,3.23
2019/11/11,20.31,22.62,87.38,1.81
2019/11/12,18.65,21.4,85.44,1.91
2019/11/13,17.62,21.74,78.69,0.85
2019/11/14,20.12,22.84,85.06,1.8
2019/11/15,20.64,23.23,86.38,1.48
2019/11/16,19.82,21.85,89.0,2.79
2019/11/17,18.51,20.3,89.69,2.72
2019/11/18,17.91,20.19,87.19,1.97
2019/11/19,17.69,19.89,87.88,2.18
2019/11/20,14.61,19.76,74.19,1.1
2019/11/21,17.05,21.01,78.81,1.21
2019/11/22,17.59,20.95,82.0,1.0
2019/11/23,17.37,20.53,83.12,1.8
2019/11/24,17.59,19.9,87.06,2.02
2019/11/25,17.22,19.73,85.69,0.8
2019/11/26,18.11,21.47,81.88,0.93
2019/11/27,18.37,21.23,84.31,1.37
2019/11/28,18.36,21.81,81.5,1.02
2019/11/29,17.76,20.54,85.19,1.65
2019/11/30,16.62,19.31,85.38,2.52
2019/12/01,14.86,18.04,82.62,2.3
2019/12/02,14.23,18.1,79.69,1.14
2019/12/03,13.79,17.72,78.62,1.41
2019/12/04,12.8,17.68,74.69,1.23
2019/12/05,14.58,18.42,79.31,2.18
2019/12/06,13.4,17.84,76.31,2.6
2019/12/07,13.15,17.73,75.94,2.0
2019/12/08,13.47,18.76,72.38,1.4
2019/12/09,14.79,18.34,81.25,1.32
2019/12/10,13.32,17.16,79.44,2.05
2019/12/11,13.38,16.97,80.44,2.13
2019/12/12,14.01,17.3,81.56,1.31
2019/12/13,15.4,18.35,83.69,2.05
2019/12/14,15.22,18.68,81.12,1.9
2019/12/15,14.06,17.76,80.0,1.88
2019/12/16,13.86,18.26,77.56,2.49
2019/12/17,13.22,15.89,85.62,2.84
2019/12/18,10.96,13.77,84.25,2.38
2019/12/19,9.68,12.85,82.44,1.93
2019/12/20,10.33,13.83,80.69,2.16
2019/12/21,9.87,13.54,79.94,2.07
2019/12/22,9.94,13.18,82.69,2.02
2019/12/23,11.01,13.98,83.12,1.77
2019/12/24,9.48,14.0,76.88,2.13
2019/12/25,7.83,12.73,74.25,1.8
2019/12/26,8.78,13.78,73.69,1.39
2019/12/27,8.22,13.58,71.38,1.99
2019/12/28,6.06,12.18,69.25,1.89
2019/12/29,6.17,12.63,66.56,1.92
2019/12/30,8.59,14.21,70.06,1.98
2019/12/31,11.49,15.5,79.0,3.09
2020/01/01,12.02,16.13,78.0,3.21
2020/01/02,13.8,18.1,77.06,2.48
2020/01/03,13.85,16.63,83.88,1.57
2020/01/04,13.43,16.15,84.88,1.77
2020/01/05,10.66,14.9,77.31,3.42
2020/01/06,8.58,13.24,75.75,2.56
2020/01/07,8.07,13.19,73.12,1.88
2020/01/08,9.03,15.3,67.56,1.25
2020/01/09,11.81,15.34,80.44,2.0
2020/01/10,11.98,15.17,82.81,3.51
2020/01/11,9.81,13.63,79.56,3.05
2020/01/12,8.5,13.46,73.94,2.54
2020/01/13,8.93,14.3,71.81,1.96
2020/01/14,10.3,15.39,73.31,2.34
2020/01/15,10.62,15.9,72.5,1.67
2020/01/16,10.94,17.58,66.31,1.26
2020/01/17,13.53,18.06,76.38,1.88
2020/01/18,14.32,18.62,77.19,1.96
2020/01/19,13.18,16.9,80.19,3.45
2020/01/20,9.7,14.26,77.0,3.6
2020/01/21,8.53,13.77,73.38,2.76
2020/01/22,7.2,13.27,69.56,2.7
2020/01/23,7.52,12.73,73.25,2.81
2020/01/24,7.47,13.77,67.88,1.66
2020/01/25,8.16,15.16,64.5,1.34
2020/01/26,8.09,14.76,66.12,2.4
2020/01/27,8.74,14.36,71.25,2.76
2020/01/28,9.39,15.26,70.69,2.16
2020/01/29,11.6,16.07,76.12,1.82
2020/01/30,13.28,17.07,79.69,1.95
2020/01/31,9.87,15.96,69.88,3.8
2020/02/01,8.03,15.66,62.69,2.29
2020/02/02,7.22,14.37,64.5,3.43
2020/02/03,6.65,14.06,63.69,1.93
2020/02/04,7.26,15.53,60.25,1.88
2020/02/05,6.48,15.79,56.75,3.21
2020/02/06,6.44,15.29,58.5,2.69
2020/02/07,6.0,16.43,52.12,1.93
