DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.98,29.3,87.69,2.74
2019/09/02,26.25,28.73,86.62,4.07
2019/09/03,26.9,28.83,89.5,5.73
2019/09/04,26.98,28.7,90.38,5.16
2019/09/05,26.64,28.44,90.0,5.15
2019/09/06,26.57,28.6,88.88,5.53
2019/09/07,26.8,28.51,90.5,5.92
2019/09/08,26.55,28.48,89.44,5.24
2019/09/10,27.3,28.55,92.88,4.24
2019/09/11,27.12,28.33,93.12,4.66
2019/09/12,26.6,27.97,92.19,6.38
2019/09/13,26.3,27.66,92.25,4.99
2019/09/14,25.86,28.01,88.25,3.31
2019/09/15,26.21,28.3,88.62,3.02
2019/09/16,26.08,28.08,89.0,2.64
2019/09/17,25.84,28.98,83.62,1.95
2019/09/18,25.65,29.06,82.38,2.02
2019/09/19,25.69,29.33,81.38,1.51
2019/09/20,26.07,28.53,86.75,1.83
2019/09/21,25.78,28.85,83.81,1.59
2019/09/22,25.69,29.05,82.44,1.88
2019/09/23,25.93,27.58,90.75,2.9
2019/09/24,26.03,27.61,91.06,3.04
2019/09/27,24.48,27.5,84.0,1.84
2019/09/28,24.11,27.42,82.5,1.12
2019/09/29,24.05,26.94,84.31,1.28
2019/09/30,24.46,26.86,86.88,2.59
2019/10/01,24.73,26.46,90.19,2.9
2019/10/02,25.16,27.69,86.44,2.03
2019/10/03,25.59,27.63,88.81,2.52
2019/10/04,24.94,27.54,86.06,1.73
2019/10/05,25.08,27.61,86.44,1.67
2019/10/06,24.99,27.66,85.88,1.73
2019/10/07,24.47,26.66,87.88,1.98
2019/10/08,24.19,27.11,84.25,1.99
2019/10/09,23.98,26.43,86.44,1.62
2019/10/10,24.31,26.08,89.94,3.22
2019/10/11,23.96,27.09,83.38,1.5
2019/10/12,23.52,27.39,79.69,1.33
2019/10/13,23.26,26.68,81.88,2.52
2019/10/14,23.26,26.6,82.56,2.7
2019/10/15,23.48,27.07,81.44,1.81
2019/10/16,23.8,27.94,78.81,1.2
2019/10/17,24.46,27.87,82.19,1.76
2019/10/18,24.57,27.9,82.5,2.26
2019/10/19,24.4,27.43,83.81,2.52
2019/10/20,24.44,27.22,85.25,2.89
2019/10/21,24.13,27.08,84.44,2.46
2019/10/22,24.16,27.15,84.0,1.99
2019/10/23,24.33,27.0,85.5,2.06
2019/10/24,22.46,24.41,89.0,4.57
2019/10/25,24.06,26.19,88.31,3.49
2019/10/26,25.26,26.91,90.75,3.51
2019/10/27,23.94,26.2,87.62,1.67
2019/10/28,22.9,24.91,88.81,3.56
2019/10/29,21.78,24.56,85.0,2.55
2019/10/30,21.76,24.9,83.31,2.25
2019/10/31,21.46,25.01,81.5,2.45
2019/11/01,21.83,25.3,81.69,2.74
2019/11/02,22.78,25.55,85.38,2.77
2019/11/03,22.41,25.7,82.88,2.09
2019/11/04,22.9,25.83,84.31,2.16
2019/11/05,21.9,25.8,80.0,1.88
2019/11/06,21.85,25.12,82.69,2.52
2019/11/07,20.81,25.34,77.06,2.32
2019/11/08,22.9,24.83,89.0,3.27
2019/11/09,24.39,25.4,94.06,7.14
2019/11/10,25.23,26.25,94.0,5.98
2019/11/11,23.05,24.61,91.06,3.8
2019/11/12,21.58,24.08,86.38,2.74
2019/11/13,20.95,23.6,85.5,2.79
2019/11/14,21.08,23.85,85.12,2.53
2019/11/15,20.87,23.83,84.19,2.52
2019/11/16,20.9,23.81,84.31,2.3
2019/11/17,20.11,23.4,82.44,2.07
2019/11/18,19.76,23.44,80.69,1.96
2019/11/19,18.96,23.33,77.25,1.82
2019/11/20,19.04,22.22,82.94,2.6
2019/11/21,17.69,22.08,77.31,2.2
2019/11/22,18.38,22.66,77.44,1.65
2019/11/23,19.31,23.01,80.44,1.7
2019/11/24,18.95,22.75,80.0,1.85
2019/11/25,19.33,22.91,80.75,1.91
2019/11/26,19.54,23.7,78.06,1.55
2019/11/27,19.43,23.46,78.56,1.51
2019/11/28,19.89,23.48,80.81,1.69
2019/11/29,20.29,23.38,83.44,1.52
2019/11/30,19.99,23.15,83.06,2.02
2019/12/01,19.14,21.76,85.5,3.07
2019/12/03,15.87,19.89,78.94,2.66
2019/12/04,17.27,19.93,85.25,3.38
2019/12/05,16.4,21.44,74.94,1.65
2019/12/06,16.77,22.95,68.5,1.09
2019/12/07,17.51,22.16,76.0,1.95
2019/12/08,16.8,22.61,70.5,1.32
2019/12/09,17.7,22.42,74.94,1.11
2019/12/10,16.83,20.91,78.62,2.07
2019/12/11,16.1,20.62,76.69,1.94
2019/12/12,15.69,20.56,74.31,2.6
2019/12/13,15.56,20.4,74.56,1.91
2019/12/14,16.15,20.67,76.25,1.89
2019/12/15,17.32,20.58,82.19,2.54
2019/12/16,17.74,20.07,86.44,2.98
2019/12/17,17.01,19.46,86.25,3.19
2019/12/18,15.64,17.92,86.88,4.3
2019/12/19,13.58,15.65,87.25,3.7
2019/12/20,12.48,15.8,81.25,2.73
2019/12/21,12.85,16.1,81.81,2.77
2019/12/22,13.44,15.79,86.19,3.48
2019/12/23,14.62,16.75,87.0,3.82
2019/12/24,14.11,16.76,84.69,3.75
2019/12/25,13.66,16.3,84.38,3.25
2019/12/26,14.66,17.55,84.44,3.18
2019/12/27,13.74,15.33,90.56,3.42
2019/12/28,12.61,15.05,86.44,4.02
2019/12/29,13.58,16.02,85.5,3.42
2019/12/30,14.3,16.98,84.19,2.3
2019/12/31,14.68,17.65,83.12,2.46
2020/01/01,14.8,19.54,75.06,2.16
2020/01/02,16.17,19.44,81.75,2.38
2020/01/03,16.55,18.4,89.12,2.98
2020/01/04,15.14,18.46,81.31,1.05
2020/01/05,16.43,18.32,89.06,2.78
2020/01/06,13.31,16.11,84.5,3.92
2020/01/07,12.31,15.5,82.06,3.05
2020/01/08,13.17,16.18,82.94,3.28
2020/01/09,14.29,17.3,83.19,2.56
2020/01/10,15.51,17.71,87.44,3.6
2020/01/11,13.54,15.48,88.69,4.1
2020/01/12,13.29,15.51,86.56,4.12
2020/01/13,12.58,15.87,81.25,2.71
2020/01/14,12.94,16.43,80.5,2.07
