DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.98,29.55,86.62,1.83
2019/09/02,26.29,28.84,86.81,2.31
2019/09/03,26.62,29.0,87.44,2.48
2019/09/04,26.38,28.09,90.62,2.33
2019/09/05,26.37,28.42,89.12,2.64
2019/09/06,26.43,28.4,89.44,3.05
2019/09/07,26.4,27.98,91.38,3.63
2019/09/08,26.48,28.06,91.31,3.89
2019/09/10,26.9,28.37,91.88,2.99
2019/09/11,26.76,28.34,91.31,3.55
2019/09/12,26.38,27.65,92.88,4.81
2019/09/13,26.05,27.23,93.31,4.07
2019/09/14,25.76,27.47,90.56,2.58
2019/09/15,26.0,28.29,87.94,2.33
2019/09/16,25.98,27.98,89.12,2.19
2019/09/17,25.36,28.77,82.81,1.25
2019/09/18,25.18,29.46,78.81,0.94
2019/09/19,25.0,29.76,76.19,0.98
2019/09/20,25.27,28.73,81.88,1.25
2019/09/21,25.35,29.17,80.44,0.92
2019/09/22,25.55,29.15,81.75,1.29
2019/09/23,24.9,27.69,85.5,1.14
2019/09/24,24.73,26.65,89.44,1.34
2019/09/27,23.7,26.05,87.25,1.81
2019/09/28,23.69,26.09,87.06,1.43
2019/09/29,23.96,25.85,89.5,1.48
2019/09/30,24.32,26.05,90.5,1.97
2019/10/01,24.4,25.73,92.5,2.99
2019/10/02,24.61,26.7,88.81,2.16
2019/10/03,24.86,27.4,86.62,1.66
2019/10/04,24.89,27.17,87.69,1.55
2019/10/05,24.75,27.27,86.56,1.62
2019/10/06,24.72,27.35,85.94,1.36
2019/10/07,24.74,27.27,86.5,1.27
2019/10/08,24.51,26.48,89.19,1.23
2019/10/09,23.73,25.86,88.44,1.25
2019/10/10,23.69,25.45,90.12,1.88
2019/10/11,24.06,26.19,88.56,1.88
2019/10/12,23.4,26.48,83.69,1.48
2019/10/13,21.86,25.46,81.31,1.98
2019/10/14,21.97,25.94,79.94,1.53
2019/10/15,23.09,26.41,82.88,1.58
2019/10/16,23.67,26.64,84.44,1.51
2019/10/17,23.87,26.95,83.88,1.55
2019/10/18,23.9,27.72,80.0,1.12
2019/10/19,23.56,27.37,80.19,1.41
2019/10/20,23.27,26.23,84.44,1.86
2019/10/21,23.4,25.83,87.0,2.09
2019/10/22,23.8,26.11,87.44,1.66
2019/10/23,22.75,25.19,86.94,2.04
2019/10/24,20.48,21.92,91.56,3.05
2019/10/25,22.15,23.36,93.06,3.16
2019/10/26,24.58,25.47,94.88,2.71
2019/10/27,23.82,25.69,89.75,2.01
2019/10/28,21.83,24.05,87.88,2.06
2019/10/29,21.98,24.3,87.38,1.85
2019/10/30,21.69,24.95,82.75,1.48
2019/10/31,21.18,25.13,79.38,1.26
2019/11/01,21.67,24.98,82.5,1.47
2019/11/02,20.94,25.3,77.44,0.96
2019/11/03,20.33,25.44,74.19,0.75
2019/11/04,21.17,25.0,79.94,1.48
2019/11/05,21.43,25.16,80.44,1.36
2019/11/06,20.58,24.63,79.06,1.48
2019/11/07,20.14,24.83,75.94,1.49
2019/11/08,22.09,23.8,90.25,1.77
2019/11/09,22.22,23.04,95.06,3.45
2019/11/10,21.9,23.09,93.0,5.11
2019/11/11,22.19,23.77,91.0,2.74
2019/11/12,20.62,23.26,85.88,1.95
2019/11/13,19.9,23.82,79.88,1.27
2019/11/14,20.7,24.53,80.06,1.05
2019/11/15,20.44,24.33,79.56,1.0
2019/11/16,19.76,23.94,78.19,0.86
2019/11/17,19.44,23.66,77.81,0.82
2019/11/18,19.1,23.26,78.25,1.12
2019/11/19,18.19,23.42,73.31,0.73
2019/11/20,17.92,22.29,76.62,1.02
2019/11/21,17.08,21.42,77.69,1.16
2019/11/22,16.65,21.38,75.31,0.9
2019/11/23,17.41,21.37,79.06,1.3
2019/11/24,17.82,21.38,80.75,1.3
2019/11/25,17.47,21.47,78.62,1.27
2019/11/26,17.94,21.94,79.44,1.04
2019/11/27,18.48,22.19,80.81,1.27
2019/11/28,19.19,22.84,80.88,1.17
2019/11/29,19.29,22.8,81.5,1.02
2019/11/30,18.87,22.46,80.94,1.17
2019/12/01,18.1,21.05,83.81,1.7
2019/12/03,14.62,19.58,73.56,1.14
2019/12/04,15.26,19.51,77.12,1.46
2019/12/05,16.4,20.06,80.88,2.04
2019/12/06,16.22,19.75,81.81,2.21
2019/12/07,16.27,20.53,77.81,1.8
2019/12/08,16.08,21.38,72.94,1.06
2019/12/09,16.4,20.69,77.56,1.0
2019/12/10,16.05,20.49,76.69,0.95
2019/12/11,15.62,20.11,76.12,1.12
2019/12/12,15.36,19.39,78.44,1.64
2019/12/13,14.32,18.94,76.12,1.27
2019/12/14,14.32,19.75,73.12,1.13
2019/12/15,15.48,19.8,76.5,1.23
2019/12/16,16.51,19.39,84.75,1.59
2019/12/17,15.65,18.37,85.25,1.86
2019/12/18,14.67,16.6,88.31,2.53
2019/12/19,13.33,15.27,87.69,1.91
2019/12/20,12.65,15.15,84.31,1.65
2019/12/21,12.93,14.88,88.19,1.51
2019/12/22,12.91,14.72,87.81,1.95
2019/12/23,13.55,15.75,87.0,2.24
2019/12/24,12.92,15.68,84.62,1.93
2019/12/25,12.44,15.21,83.75,1.94
2019/12/26,12.69,16.88,77.69,1.77
2019/12/27,12.51,15.4,83.5,1.9
2019/12/28,11.96,14.81,84.19,2.02
2019/12/29,13.26,16.2,82.75,1.87
2019/12/30,13.95,17.67,80.25,1.47
2019/12/31,15.62,18.97,81.12,1.59
2020/01/01,16.01,20.08,78.75,1.68
2020/01/02,16.98,19.95,84.0,1.89
2020/01/03,16.37,17.5,93.19,2.02
2020/01/04,15.47,18.01,85.88,1.77
2020/01/05,15.23,17.46,87.38,2.02
2020/01/06,11.83,14.52,84.31,2.57
2020/01/07,11.12,14.76,81.0,1.81
2020/01/08,12.59,15.8,82.38,1.97
2020/01/09,13.26,16.69,81.12,1.62
2020/01/10,13.77,16.33,85.88,2.34
2020/01/11,13.02,15.11,87.75,2.44
2020/01/12,13.32,15.62,86.06,2.29
2020/01/13,12.86,15.66,84.06,1.71
2020/01/14,13.12,16.46,81.56,1.3
2020/01/15,14.17,17.3,82.69,1.72
2020/01/16,14.87,18.94,78.38,1.74
2020/01/17,15.65,19.4,80.0,2.12
2020/01/18,14.75,20.46,72.0,1.51
2020/01/19,15.51,19.91,77.0,1.9
2020/01/20,13.72,16.59,84.19,2.73
2020/01/21,10.12,14.91,74.75,2.24
2020/01/22,9.97,14.86,74.69,2.41
2020/01/23,11.19,15.98,74.94,2.32
2020/01/24,9.75,15.23,72.69,2.28
2020/01/25,8.99,15.61,66.69,1.82
2020/01/26,9.93,14.86,74.0,2.19
2020/01/27,10.23,15.4,72.5,1.8
2020/01/28,10.65,16.87,68.38,1.55
2020/01/29,11.23,16.83,70.12,1.11
2020/01/30,13.48,17.99,76.06,1.66
2021/12/13,12.55,17.76,72.06,1.33
2021/12/14,14.69,17.9,82.06,1.86
2021/12/15,14.29,17.15,83.69,2.0
2021/12/16,13.69,16.86,82.69,2.15
2021/12/17,12.98,16.98,78.62,2.04
2021/12/18,12.83,17.49,75.38,1.87
2021/12/19,13.05,16.47,81.56,2.18
2021/12/20,12.26,15.14,83.69,2.23
2021/12/21,13.96,17.01,83.19,1.51
2021/12/22,14.74,17.06,86.56,1.73
2021/12/23,13.14,17.8,75.25,1.34
2021/12/24,14.05,18.11,77.88,1.34
2021/12/25,13.39,18.25,74.88,1.13
2021/12/26,12.92,17.65,75.25,1.76
2021/12/27,12.88,17.6,74.56,1.6
2021/12/28,13.62,17.55,78.62,1.82
2021/12/29,13.45,17.15,80.38,2.11
2021/12/30,13.61,17.96,77.38,2.22
2022/06/01,25.37,27.73,87.56,3.71
2022/06/02,25.32,27.99,86.0,3.64
2022/06/03,25.91,27.89,89.38,3.62
2022/06/04,25.46,27.79,87.81,3.38
2022/06/05,25.49,28.01,86.94,3.12
2022/06/06,25.91,28.08,88.44,3.12
2022/06/07,26.14,28.58,87.19,3.48
2022/06/08,26.27,28.22,89.5,3.5
2022/06/09,26.46,28.12,90.88,3.98
2022/06/10,24.44,27.22,85.31,2.3
2022/06/11,25.42,27.74,87.75,3.67
2022/06/12,26.2,28.21,89.25,4.31
2022/06/13,26.69,28.67,89.38,4.54
2022/06/16,25.56,26.69,93.5,4.82
2022/06/17,25.52,26.62,93.69,4.96
2022/06/19,25.34,26.6,92.75,5.7
2022/06/20,25.62,26.76,93.44,4.68
2022/06/21,25.35,26.51,93.31,2.95
2022/06/22,24.98,27.51,86.88,2.89
2022/06/23,25.61,27.47,89.94,3.95
2022/06/24,25.65,26.98,92.44,3.84
2022/06/25,25.76,27.65,89.81,3.79
2022/06/27,26.04,28.17,88.62,2.93
2022/06/28,26.05,27.94,89.75,3.52
2022/06/29,25.96,27.87,89.62,2.94
2022/06/30,25.9,27.33,92.0,3.06
2022/07/01,26.18,28.09,89.75,3.41
2022/07/02,26.16,27.96,90.31,2.73
2022/07/03,26.21,28.12,89.75,2.95
2022/07/04,25.9,27.72,90.12,3.11
2022/07/06,25.74,27.46,90.5,2.49
2022/07/07,25.83,27.87,89.0,2.5
2022/07/09,25.38,27.53,88.5,2.41
2022/07/10,25.94,28.28,87.75,3.26
2022/07/11,25.62,27.56,89.5,3.05
2022/07/12,26.01,28.76,85.88,2.8
2022/07/13,26.68,29.35,86.25,2.76
2022/07/14,26.81,29.33,86.94,3.09
2022/07/15,26.52,28.9,87.5,2.67
2022/07/16,26.51,29.16,86.38,2.97
2022/07/17,26.43,28.77,87.75,3.39
2022/07/18,26.23,28.52,87.94,3.26
2022/07/19,26.16,28.12,89.56,3.34
2022/07/20,26.33,28.12,90.31,3.49
2022/07/21,26.07,28.48,87.31,3.11
2022/07/22,26.26,28.86,86.62,2.93
2022/07/23,25.98,27.88,89.81,2.44
2022/07/24,25.53,27.59,88.75,3.08
2022/07/26,24.67,27.98,83.19,1.4
2022/07/28,25.45,28.65,83.62,1.84
2022/07/29,24.15,27.93,80.62,1.48
2022/07/30,26.23,28.68,87.06,2.7
2022/07/31,25.86,27.87,89.12,3.36
2022/08/01,26.51,28.62,88.81,2.73
2022/08/02,26.55,29.17,86.38,1.98
2022/08/03,26.1,28.12,89.06,1.59
2022/08/04,25.9,29.06,83.94,1.71
2022/08/05,26.55,28.82,88.0,2.16
2022/08/06,26.33,28.6,88.0,1.99
2022/08/07,26.58,30.14,82.19,1.37
2022/08/10,25.69,27.47,90.31,4.23
2022/08/11,25.75,28.0,88.06,4.29
2022/08/12,26.14,28.58,87.19,2.51
2022/08/13,25.95,27.35,92.19,3.42
2022/08/14,25.48,27.56,88.88,5.2
2022/08/15,25.79,28.07,88.06,3.21
2022/08/16,25.99,28.63,86.31,2.07
2022/08/17,26.46,29.63,83.81,1.62
2022/08/18,26.95,29.94,84.31,2.17
2022/08/19,25.85,28.41,86.56,3.4
2022/08/20,25.59,28.0,87.44,3.67
2022/08/21,25.69,27.98,87.94,2.05
2022/08/22,26.09,28.93,85.5,1.73
2022/08/23,26.08,28.22,88.62,2.93
2022/08/25,25.08,28.3,83.62,1.68
2022/08/26,26.11,28.51,87.38,2.63
2022/08/27,25.67,27.35,90.75,3.16
2022/08/28,25.32,27.48,88.5,3.27
2022/08/29,25.34,28.11,85.69,2.29
2022/08/30,25.15,29.08,80.31,1.84
2022/08/31,25.87,28.67,85.38,2.02
2022/09/01,24.95,27.61,86.0,1.72
2022/09/02,25.53,27.47,89.44,2.39
2022/09/03,26.25,28.3,89.0,3.67
2022/09/04,26.75,28.72,89.44,3.64
2022/09/05,26.58,28.29,90.69,2.73
2022/09/06,25.86,28.37,86.62,1.31
2022/09/07,25.21,28.44,83.25,1.15
2022/09/08,26.26,29.76,81.81,1.59
2022/09/09,26.58,28.71,88.56,2.07
2022/09/10,25.44,27.27,90.0,2.94
2022/09/11,24.84,26.79,89.44,3.2
2022/09/12,25.3,26.52,93.12,3.71
2022/09/13,25.8,26.67,94.88,3.3
2022/09/14,25.15,27.12,89.31,2.78
2022/09/15,25.57,27.48,89.69,3.25
2022/09/16,25.87,27.84,89.38,2.27
2022/09/17,25.7,28.38,86.25,2.24
2022/09/18,26.16,28.58,87.44,1.97
2022/09/19,25.84,28.12,88.0,2.59
2022/09/20,25.6,27.65,89.0,3.43
2022/09/21,25.56,27.26,90.69,3.04
2022/09/22,25.56,27.29,90.56,2.48
2022/09/23,25.31,27.38,88.88,2.06
2022/09/24,25.26,27.15,89.69,1.8
2022/09/25,24.72,27.77,84.12,1.26
2022/09/26,25.34,27.82,87.0,1.98
2022/09/27,25.55,27.5,89.5,2.27
2022/09/28,23.95,26.55,86.0,2.09
2022/09/29,24.01,28.32,78.19,1.41
2022/09/30,24.75,29.18,78.19,1.38
2022/10/01,25.58,29.09,81.88,1.4
2022/10/02,25.94,27.21,92.69,1.25
2022/10/03,25.82,26.76,94.56,2.69
2022/10/04,25.1,27.65,86.44,1.67
2022/10/05,25.23,27.4,88.38,1.66
2022/10/06,25.31,27.39,88.88,2.11
2022/10/07,23.3,27.75,78.06,1.05
2022/10/08,24.41,27.95,81.44,1.27
2022/10/09,25.01,27.34,87.5,1.71
2022/10/10,24.99,27.2,88.19,1.92
2022/10/11,25.22,26.69,91.88,2.78
2022/10/12,24.89,26.36,91.81,2.23
