DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.75,29.48,85.75,1.41
2019/09/02,26.86,29.44,86.5,1.4
2019/09/03,26.55,28.73,88.5,3.59
2019/09/04,26.59,28.34,90.5,3.58
2019/09/05,26.53,29.04,87.06,4.09
2019/09/06,26.55,29.1,86.81,4.36
2019/09/07,26.7,28.97,88.06,5.21
2019/09/08,26.82,29.17,87.75,4.43
2019/09/10,26.51,28.31,90.19,3.42
2019/09/11,26.63,28.97,87.81,3.02
2019/09/12,26.38,28.24,90.0,4.15
2019/09/13,25.97,28.16,88.31,3.91
2019/09/14,26.13,28.62,87.0,3.15
2019/09/15,26.31,29.17,85.31,2.29
2019/09/16,26.33,28.32,89.25,2.73
2019/09/17,25.98,27.73,90.38,2.59
2019/09/18,25.48,28.8,83.19,2.15
2019/09/19,25.19,29.26,79.62,1.7
2019/09/20,25.14,29.04,80.44,1.76
2019/09/21,24.76,29.48,77.0,1.23
2019/09/22,25.08,29.16,79.94,1.3
2019/09/23,25.25,27.86,86.44,2.26
2019/09/24,25.26,26.99,90.5,3.24
2019/09/27,23.75,25.95,88.06,1.68
2019/09/28,24.15,25.48,92.44,2.12
2019/09/29,23.83,24.98,93.38,3.66
2019/09/30,23.7,24.91,93.0,3.23
2019/10/01,24.55,26.91,87.5,1.74
2019/10/02,24.62,27.35,85.56,1.8
2019/10/03,24.69,27.76,83.88,1.48
2019/10/04,24.6,27.13,86.38,1.72
2019/10/05,24.54,27.4,84.94,1.4
2019/10/06,24.8,27.85,83.94,0.93
2019/10/07,24.64,26.83,87.94,1.27
2019/10/08,24.53,25.98,91.81,1.68
2019/10/09,23.25,25.26,88.94,1.45
2019/10/10,22.75,26.26,81.94,1.38
2019/10/11,22.48,26.8,77.81,1.2
2019/10/12,22.64,26.38,80.56,1.45
2019/10/13,21.64,25.41,80.5,2.01
2019/10/14,21.45,25.55,79.12,1.86
2019/10/15,21.54,25.62,79.12,1.91
2019/10/16,22.31,25.87,81.75,2.09
2019/10/17,22.28,25.86,81.62,2.09
2019/10/18,22.67,26.02,82.62,2.41
2019/10/19,22.54,25.55,84.0,2.34
2019/10/20,22.69,25.59,84.75,2.25
2019/10/21,22.87,25.2,87.38,2.8
2019/10/22,21.66,24.58,84.62,2.56
2019/10/23,20.15,23.31,83.12,2.16
2019/10/24,20.34,21.84,91.19,1.78
2019/10/25,21.69,22.85,93.19,4.55
2019/10/26,22.67,24.3,91.0,2.86
2019/10/27,20.72,23.19,86.69,2.31
2019/10/28,20.15,22.59,86.62,2.32
2019/10/29,20.24,22.64,87.0,2.56
2019/10/30,20.58,23.27,85.75,2.48
2019/10/31,20.67,23.76,83.62,2.3
2019/11/01,21.05,24.01,84.31,2.47
2019/11/02,21.26,23.83,86.25,2.99
2019/11/03,21.69,24.37,85.69,2.54
2019/11/04,21.42,24.26,84.94,2.7
2019/11/05,20.9,23.48,86.06,2.38
2019/11/06,18.68,22.83,78.88,2.34
2019/11/07,18.68,22.86,78.38,2.09
2019/11/08,21.15,23.62,86.25,2.11
2019/11/09,22.14,23.3,93.25,4.09
2019/11/10,21.37,23.05,90.5,4.76
2019/11/11,20.62,23.26,86.0,2.55
2019/11/12,17.8,21.96,78.69,2.23
2019/11/13,17.19,21.21,79.12,2.3
2019/11/14,18.94,21.95,83.94,2.34
2019/11/15,19.56,22.51,84.38,2.34
2019/11/16,19.32,22.37,83.81,2.52
2019/11/17,17.94,21.3,82.38,2.41
2019/11/18,17.36,20.89,81.44,1.98
2019/11/19,16.31,19.96,80.94,2.86
2019/11/20,15.58,19.96,76.94,2.02
2019/11/21,15.84,19.94,78.5,2.33
2019/11/22,16.35,19.98,80.56,2.45
2019/11/23,16.65,20.41,80.0,2.12
2019/11/24,17.65,20.8,83.0,2.05
2019/11/25,17.92,19.96,88.44,1.94
2019/11/26,17.48,20.85,82.0,1.57
2019/11/27,19.08,21.64,85.38,1.82
2019/11/28,19.3,22.02,84.62,2.02
2019/11/29,18.91,21.73,84.31,1.95
2019/11/30,17.34,20.39,83.75,2.68
2019/12/01,16.38,19.65,82.44,3.05
2019/12/03,13.49,17.37,79.38,2.66
2019/12/04,12.39,16.65,77.75,3.09
2019/12/05,13.96,17.67,79.88,3.21
2019/12/06,16.73,19.48,84.81,2.35
2019/12/07,16.57,19.6,83.56,2.26
2019/12/08,15.22,19.26,78.5,1.98
2019/12/09,14.32,18.57,77.62,2.41
2019/12/10,13.9,18.18,77.5,2.16
2019/12/11,14.52,19.03,76.38,1.48
2019/12/12,15.81,18.54,84.75,1.88
2019/12/13,15.55,18.83,82.38,1.64
2019/12/14,16.88,19.76,84.5,1.69
2019/12/15,16.43,18.86,86.5,2.52
2019/12/16,15.15,18.56,82.0,2.62
2019/12/17,14.05,17.22,82.81,3.52
2019/12/18,10.56,13.95,81.56,3.45
2019/12/19,9.23,12.3,82.75,3.27
2019/12/20,8.98,13.01,78.31,2.66
2019/12/21,9.02,13.38,76.38,2.21
2019/12/22,9.84,14.3,76.06,1.82
2019/12/23,11.55,15.22,79.94,2.33
2019/12/24,10.01,14.63,76.06,2.95
2019/12/25,10.34,13.85,81.12,2.59
2019/12/26,10.02,12.9,83.62,2.72
2019/12/27,7.96,12.48,75.62,3.2
2019/12/28,6.65,11.33,74.38,3.73
2019/12/29,6.19,11.49,72.44,4.16
2019/12/30,6.7,11.8,72.69,3.84
2019/12/31,9.33,13.67,76.12,3.11
2020/01/01,13.23,16.74,81.44,2.42
2020/01/02,14.85,18.05,82.94,2.2
2020/01/03,14.67,16.37,90.0,1.83
2020/01/04,13.36,17.12,79.69,1.34
2020/01/05,11.05,15.23,77.94,3.5
2020/01/06,9.36,13.64,77.31,2.95
2020/01/07,8.56,14.17,70.88,2.17
2020/01/08,9.44,16.26,65.38,1.11
