DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.9,29.39,87.0,1.97
2019/09/02,26.71,28.82,88.56,2.74
2019/09/03,26.63,28.83,88.38,2.37
2019/09/04,26.36,27.87,91.56,2.7
2019/09/05,26.49,28.51,89.12,2.81
2019/09/06,26.62,28.35,90.56,3.12
2019/09/07,26.58,28.19,91.12,3.8
2019/09/08,26.82,28.62,90.25,4.26
2019/09/10,26.91,28.87,89.5,2.94
2019/09/11,27.06,28.73,90.94,3.45
2019/09/12,26.71,27.82,93.69,4.73
2019/09/13,26.35,27.9,91.5,4.06
2019/09/14,26.07,27.88,90.19,2.98
2019/09/15,26.39,28.56,88.5,2.68
2019/09/16,26.3,28.08,90.25,2.7
2019/09/17,25.71,28.73,84.38,1.6
2019/09/18,24.91,29.26,78.5,1.09
2019/09/19,24.93,29.43,77.5,1.26
2019/09/20,25.44,28.9,81.94,1.24
2019/09/21,25.5,28.95,82.19,0.93
2019/09/22,25.51,28.98,82.25,1.27
2019/09/23,25.2,27.7,86.75,1.38
2019/09/24,25.0,26.18,93.25,2.02
2019/09/27,23.73,26.14,87.12,1.7
2019/09/28,23.58,25.85,87.69,1.37
2019/09/29,23.19,25.55,87.06,1.3
2019/09/30,24.05,25.51,91.75,1.81
2019/10/01,24.6,25.69,93.69,3.73
2019/10/02,24.3,27.05,85.5,1.81
2019/10/03,24.4,27.12,85.5,1.27
2019/10/04,24.88,27.08,88.12,1.69
2019/10/05,24.75,27.37,86.0,1.59
2019/10/06,24.62,27.22,85.94,1.17
2019/10/07,24.75,26.86,88.44,1.24
2019/10/08,24.37,26.66,87.5,0.66
2019/10/09,23.62,26.03,87.12,1.45
2019/10/10,23.86,25.73,89.69,2.05
2019/10/11,23.84,26.38,86.5,1.64
2019/10/12,22.94,26.44,81.69,1.42
2019/10/13,21.83,25.11,82.81,2.14
2019/10/14,22.21,25.69,82.19,1.8
2019/10/15,22.83,26.8,79.75,1.41
2019/10/16,23.8,27.05,82.94,1.36
2019/10/17,24.02,27.08,84.06,1.42
2019/10/18,23.67,27.12,82.25,1.7
2019/10/19,23.0,26.51,81.94,2.01
2019/10/20,22.83,25.66,85.0,2.19
2019/10/21,23.51,25.43,89.56,2.5
2019/10/22,23.19,25.34,88.19,2.2
2019/10/23,21.61,24.28,85.62,1.9
2019/10/24,19.83,21.5,90.31,1.98
2019/10/25,21.62,22.57,94.38,3.45
2019/10/26,24.0,25.19,93.25,2.39
