DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.02,29.54,86.94,2.55
2019/09/02,27.34,30.4,84.5,2.02
2019/09/03,26.86,28.49,90.94,1.65
2019/09/04,26.33,27.75,91.94,2.18
2019/09/05,26.15,28.22,88.75,2.48
2019/09/06,26.41,29.3,85.19,2.35
2019/09/07,26.62,28.63,89.12,3.17
2019/09/08,26.62,29.01,87.19,2.88
2019/09/10,27.1,28.5,92.19,2.83
2019/09/11,27.34,28.88,91.5,2.62
2019/09/12,26.85,28.37,91.56,3.66
2019/09/13,26.23,27.93,90.69,3.28
2019/09/14,26.45,28.32,89.88,3.46
2019/09/15,26.75,28.51,90.38,3.08
2019/09/16,26.88,27.84,94.44,2.95
2019/09/17,25.58,27.87,87.5,1.8
2019/09/18,24.28,28.4,79.12,1.38
2019/09/19,24.34,28.85,77.56,1.43
2019/09/20,25.65,28.5,84.81,1.69
2019/09/21,25.2,29.5,78.44,0.92
2019/09/22,25.51,28.85,82.62,1.48
2019/09/23,25.07,27.19,88.19,1.73
2019/09/24,24.79,26.13,92.38,1.92
2019/09/27,23.64,25.76,88.25,1.22
2019/09/28,23.64,25.41,90.0,1.61
2019/09/29,22.33,23.51,93.06,2.06
2019/09/30,22.58,23.65,93.69,2.24
2019/10/01,23.68,25.1,91.88,3.3
2019/10/02,23.95,26.48,86.38,2.26
2019/10/03,24.33,27.11,85.19,1.81
2019/10/04,24.68,26.86,88.19,1.77
2019/10/05,24.69,27.12,86.94,1.59
2019/10/06,24.12,27.77,80.88,0.91
2019/10/07,24.53,27.3,85.19,1.27
2019/10/08,24.48,25.81,92.31,1.29
2019/10/09,23.21,25.01,89.75,1.61
2019/10/10,22.77,25.51,85.25,1.44
2019/10/11,22.83,25.4,86.06,2.05
2019/10/12,22.48,25.33,84.75,1.99
2019/10/13,21.95,25.24,82.56,0.87
2019/10/14,22.19,25.65,81.81,1.09
2019/10/15,22.43,25.96,81.19,1.9
2019/10/16,22.46,26.8,77.5,1.01
2019/10/17,23.01,26.77,80.31,0.61
2019/10/18,22.26,26.57,78.25,0.58
2019/10/19,21.95,25.48,81.44,1.44
2019/10/20,22.42,24.62,88.25,1.82
2019/10/21,22.79,24.35,91.38,3.39
2019/10/22,21.51,23.62,88.56,3.18
2019/10/23,20.24,22.7,86.69,1.62
2019/10/24,20.18,22.27,88.12,1.78
2019/10/25,20.09,21.59,91.31,4.02
2019/10/26,20.16,21.5,92.19,2.84
2019/10/27,20.56,22.87,87.31,1.05
2019/10/28,19.94,22.4,86.31,1.02
2019/10/29,20.62,23.38,84.81,1.3
2019/10/30,21.4,24.33,84.19,1.08
2019/10/31,21.26,24.8,81.25,1.12
2019/11/01,20.78,24.38,81.19,1.13
2019/11/02,20.76,24.38,80.69,1.55
2019/11/03,20.98,24.23,82.38,1.3
2019/11/04,20.65,24.96,77.44,1.1
2019/11/05,21.23,23.57,87.44,2.2
2019/11/06,18.49,22.76,78.5,1.33
2019/11/07,19.26,22.57,82.19,1.93
2019/11/08,21.3,23.55,87.5,2.94
2019/11/09,21.73,23.2,91.5,2.26
2019/11/10,21.4,23.0,91.06,3.47
2019/11/11,20.35,23.07,85.44,1.35
2019/11/12,19.51,22.44,84.38,1.48
2019/11/13,18.93,21.87,84.19,0.93
2019/11/14,20.72,23.23,86.25,1.91
2019/11/15,21.17,23.73,86.25,1.26
2019/11/16,20.42,22.56,88.44,2.55
2019/11/17,19.09,21.01,89.12,2.62
2019/11/18,18.3,20.76,86.5,1.91
2019/11/19,18.41,20.69,87.5,2.05
2019/11/20,15.81,20.28,77.38,1.26
2019/11/21,18.01,21.44,81.56,1.36
2019/11/22,18.37,21.59,82.69,0.72
2019/11/23,17.98,21.26,82.31,1.33
2019/11/24,18.16,20.7,86.06,1.67
2019/11/25,18.47,20.42,88.62,0.84
2019/11/26,18.82,21.77,83.94,1.06
2019/11/27,18.85,21.46,85.56,1.69
2019/11/28,19.01,22.02,83.69,1.16
2019/11/29,18.64,21.15,86.19,1.41
2019/11/30,17.32,19.98,85.5,2.3
2019/12/01,15.6,18.53,83.38,1.92
2019/12/03,15.4,19.08,80.12,1.03
2019/12/04,15.17,18.29,83.19,1.43
2019/12/05,14.92,18.55,80.5,2.52
2019/12/06,13.76,17.82,78.31,3.01
2019/12/07,13.69,17.73,78.12,2.47
2019/12/08,14.53,19.07,75.94,1.83
2019/12/09,15.65,19.07,81.38,1.21
2019/12/10,14.32,18.04,80.38,1.7
2019/12/11,13.97,17.4,81.5,1.95
2019/12/12,14.82,17.74,83.69,1.35
2019/12/13,15.6,18.83,82.5,2.05
2019/12/14,15.74,19.11,81.75,2.01
2019/12/15,14.69,18.19,80.94,1.41
2019/12/16,14.08,18.61,76.88,2.02
2019/12/17,13.84,16.34,85.62,2.37
2019/12/18,12.04,14.56,85.0,1.81
2019/12/19,11.04,13.9,84.12,1.53
2019/12/20,11.55,14.85,81.75,1.84
2019/12/21,10.92,14.35,81.25,2.02
2019/12/22,10.64,13.75,83.12,1.75
2019/12/23,11.31,14.59,81.69,1.41
2019/12/24,10.84,14.58,80.06,1.71
2019/12/25,8.74,13.07,77.56,1.81
2019/12/26,9.04,14.57,71.12,0.92
2019/12/27,9.28,14.19,73.75,1.41
2019/12/28,6.97,12.84,70.62,1.23
2019/12/29,8.87,13.38,76.25,1.23
2019/12/30,10.5,14.54,78.69,2.52
2019/12/31,11.38,15.76,76.81,3.42
2020/01/01,12.3,16.35,78.06,3.73
2020/01/02,14.23,18.27,78.38,2.84
2020/01/03,14.12,16.27,87.25,1.97
2020/01/04,13.82,16.58,84.62,1.77
2020/01/05,11.31,15.25,79.12,3.19
2020/01/06,8.86,13.61,75.56,2.02
2020/01/07,8.69,13.44,74.81,1.47
2020/01/08,9.72,15.55,69.75,0.95
2020/01/09,12.52,15.96,81.06,1.97
2020/01/10,12.37,15.65,82.44,2.95
2020/01/11,10.92,14.58,80.38,2.42
2020/01/12,9.84,14.33,76.44,1.92
2020/01/13,10.2,14.87,75.12,1.69
2020/01/14,11.2,15.73,76.25,2.05
2020/01/15,12.06,16.37,77.38,1.66
2020/01/16,11.48,17.53,69.38,1.36
2020/01/17,13.82,18.44,76.25,1.86
2020/01/18,14.68,18.77,78.56,2.17
2020/01/19,13.22,17.63,77.06,3.05
2020/01/20,10.04,14.77,76.12,3.26
2020/01/21,9.09,13.99,74.75,2.42
2020/01/22,7.73,13.76,69.94,2.52
2020/01/23,8.14,13.34,73.31,2.84
2020/01/24,7.73,13.94,68.81,1.65
2020/01/25,8.67,15.78,64.31,1.26
2020/01/26,8.84,15.4,66.62,2.21
2020/01/27,9.18,14.62,72.31,2.48
2020/01/28,10.04,15.47,72.69,2.55
2020/01/29,11.48,16.21,75.25,1.93
2020/01/30,13.2,17.26,78.56,2.23
2021/12/13,13.76,17.61,79.12,1.27
2021/12/14,14.8,17.4,85.69,1.45
2021/12/15,12.78,15.72,83.88,2.25
2021/12/16,13.49,16.33,84.0,1.53
2021/12/17,12.25,17.12,74.88,1.29
2021/12/18,12.98,17.08,78.06,1.43
2021/12/19,11.94,14.8,83.88,2.29
2021/12/20,10.83,14.1,82.25,1.76
2021/12/21,13.18,16.64,81.25,1.24
2021/12/22,13.98,17.59,80.25,1.12
2021/12/23,13.89,17.5,80.75,1.58
2021/12/24,13.87,17.09,82.69,1.69
2021/12/25,12.69,16.83,78.44,2.67
2021/12/26,12.05,16.55,76.5,2.62
2021/12/27,11.7,16.4,75.06,1.94
2021/12/28,12.96,15.87,83.94,2.53
2021/12/29,13.1,15.87,84.31,3.27
2021/12/30,12.46,17.44,73.5,1.65
2022/06/01,25.8,28.84,84.5,2.97
2022/06/02,25.98,28.47,86.81,3.48
2022/06/03,25.99,28.8,85.5,3.93
2022/06/04,26.15,28.51,87.5,4.12
2022/06/05,25.66,28.12,87.0,3.6
2022/06/06,26.19,28.38,88.31,4.21
2022/06/07,26.4,28.71,87.75,3.54
2022/06/08,26.67,28.72,89.0,3.25
2022/06/09,27.03,28.41,92.25,3.84
2022/06/10,26.48,27.96,91.81,4.63
2022/06/11,26.15,28.28,88.69,3.31
2022/06/12,26.8,28.66,89.88,4.1
2022/06/13,27.16,29.27,88.75,3.47
2022/06/16,26.86,28.12,92.81,6.16
2022/06/17,26.59,27.74,93.38,6.47
2022/06/19,26.06,28.2,88.5,5.02
2022/06/20,25.85,28.08,88.12,3.4
2022/06/21,25.98,28.24,87.94,2.91
2022/06/22,26.01,28.66,86.12,2.25
2022/06/23,26.09,28.5,87.25,3.48
2022/06/24,26.38,28.69,87.75,2.76
2022/06/25,26.33,28.8,87.0,2.52
2022/06/27,26.44,28.54,88.69,3.79
2022/06/28,26.24,27.63,92.12,5.3
2022/06/29,24.78,26.98,87.94,3.5
2022/06/30,24.66,27.67,84.12,2.19
2022/07/01,26.26,28.7,87.06,2.34
2022/07/02,26.64,28.5,89.81,2.68
2022/07/03,26.42,28.72,87.69,2.28
2022/07/04,26.71,28.79,88.81,2.46
2022/07/06,26.39,28.65,87.75,2.58
2022/07/07,26.33,29.12,85.56,2.73
2022/07/09,26.13,29.24,84.19,2.63
2022/07/10,26.44,29.31,85.31,2.91
2022/07/11,26.48,28.89,87.31,3.16
2022/07/12,26.19,29.36,83.94,2.59
2022/07/13,27.19,30.1,84.81,2.07
2022/07/14,27.31,30.26,85.0,2.48
2022/07/15,27.26,29.83,86.5,1.81
2022/07/16,27.36,30.24,85.19,2.75
2022/07/17,26.73,29.87,84.0,2.63
2022/07/18,26.62,29.4,85.56,3.77
2022/07/19,26.72,28.97,88.0,4.02
2022/07/20,27.04,28.69,90.94,3.39
2022/07/21,26.4,28.74,87.56,2.23
2022/07/22,26.49,28.54,89.0,3.0
2022/07/23,26.65,28.94,87.81,2.64
2022/07/24,26.26,28.0,90.44,3.04
2022/07/26,25.51,28.0,86.81,3.22
2022/07/28,26.34,28.74,87.25,3.48
2022/07/29,26.41,28.78,87.5,2.87
2022/07/30,26.56,28.71,88.5,3.03
2022/07/31,27.01,28.05,94.0,4.08
2022/08/01,26.43,28.14,90.56,2.77
2022/08/02,26.16,29.36,83.69,1.7
2022/08/03,26.43,28.81,87.31,2.73
2022/08/04,25.15,27.65,86.5,1.83
2022/08/05,26.05,29.51,82.06,1.88
2022/08/06,26.84,28.45,91.0,2.14
2022/08/07,25.76,30.24,77.75,0.73
2022/08/10,26.23,28.48,87.88,4.32
2022/08/11,26.25,29.37,84.06,4.24
2022/08/12,26.27,29.48,83.75,2.06
2022/08/13,27.09,29.82,85.88,2.91
2022/08/14,26.18,28.76,86.44,4.61
2022/08/15,25.8,28.85,84.5,3.11
2022/08/16,26.26,29.09,85.31,3.0
2022/08/17,26.43,29.55,84.06,3.02
2022/08/18,26.73,31.2,78.19,1.06
2022/08/19,27.12,29.83,85.75,3.16
2022/08/20,26.19,29.19,84.62,3.82
2022/08/21,25.73,28.63,85.0,2.37
2022/08/22,26.56,29.34,85.62,2.38
2022/08/23,26.34,28.65,87.5,1.52
2022/08/25,25.63,28.74,84.06,2.56
2022/08/26,25.94,29.2,83.38,2.57
2022/08/27,26.4,28.76,87.56,3.96
2022/08/28,26.19,28.75,86.62,3.52
2022/08/29,26.24,28.41,88.38,3.29
2022/08/30,25.94,28.1,88.31,4.47
2022/08/31,26.23,28.35,88.62,3.66
2022/09/01,26.26,28.24,89.38,4.45
2022/09/02,26.69,28.35,90.94,4.4
2022/09/03,26.69,28.6,89.69,4.27
2022/09/04,26.64,28.43,90.31,3.45
2022/09/05,26.23,27.69,91.94,3.49
2022/09/06,26.37,27.73,92.44,2.41
2022/09/07,26.09,28.55,87.12,2.03
2022/09/08,26.32,27.56,92.94,2.74
2022/09/09,24.98,26.79,90.0,4.2
2022/09/10,25.55,27.98,87.06,3.82
2022/09/11,25.55,27.02,91.69,2.52
2022/09/12,25.06,26.44,92.19,3.15
2022/09/13,25.7,26.68,94.31,2.81
2022/09/14,24.89,26.42,91.38,2.62
2022/09/15,25.39,26.98,91.19,2.27
2022/09/16,25.76,27.17,92.19,3.49
2022/09/17,26.22,28.22,89.31,2.83
2022/09/18,25.87,29.46,82.0,1.11
2022/09/19,26.69,28.25,91.25,1.95
2022/09/20,26.13,28.04,89.62,2.57
2022/09/21,26.07,28.16,88.81,3.02
2022/09/22,26.15,28.13,89.31,3.22
2022/09/23,25.86,27.15,92.69,3.34
2022/09/24,25.44,27.02,91.25,3.52
2022/09/25,25.15,26.89,90.25,2.38
2022/09/26,24.37,27.18,85.0,1.32
2022/09/27,25.16,27.06,89.5,2.0
2022/09/28,25.43,27.63,88.19,2.44
2022/09/29,25.46,28.02,86.44,1.62
2022/09/30,25.19,28.97,80.88,1.23
2022/10/01,25.52,29.25,81.0,1.27
2022/10/02,25.64,28.87,83.12,1.54
