DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.27,28.97,85.81,1.71
2019/09/02,26.08,28.67,86.56,1.8
2019/09/03,26.44,28.94,87.0,1.81
2019/09/04,25.63,28.73,84.19,1.34
2019/09/05,26.05,29.35,83.44,1.45
2019/09/06,26.48,29.08,86.44,1.89
2019/09/07,26.73,29.33,86.62,2.05
2019/09/08,26.48,28.21,90.5,2.34
2019/09/10,26.94,28.19,92.94,2.26
2019/09/11,26.8,28.83,89.38,2.27
2019/09/12,26.28,27.95,90.81,3.23
2019/09/13,26.03,27.41,92.31,3.31
2019/09/14,25.73,27.56,90.0,2.04
2019/09/15,25.93,28.95,84.38,1.59
2019/09/16,25.98,28.71,85.56,1.45
2019/09/17,25.7,29.01,82.94,1.3
2019/09/18,25.28,29.05,80.94,1.27
2019/09/19,24.89,29.94,75.62,1.11
2019/09/20,25.55,28.59,84.12,1.22
2019/09/21,25.6,28.53,84.75,1.19
2019/09/22,25.76,27.69,89.5,1.32
2019/09/23,24.84,27.26,87.31,1.16
2019/09/24,24.94,26.64,90.75,1.27
2019/09/27,24.06,26.6,86.56,1.52
2019/09/28,24.07,26.38,87.75,1.46
2019/09/29,23.62,25.78,88.19,1.49
2019/09/30,23.95,25.98,89.06,1.11
2019/10/01,24.13,25.89,90.31,1.99
2019/10/02,24.65,26.9,88.12,1.79
2019/10/03,24.66,27.45,85.31,1.48
2019/10/04,24.6,27.37,85.25,1.27
2019/10/05,24.89,27.83,84.88,1.3
2019/10/06,25.07,26.81,90.31,1.55
2019/10/07,24.73,27.48,85.62,1.0
2019/10/08,24.56,26.65,88.69,0.84
2019/10/09,23.76,25.94,88.25,1.33
2019/10/10,23.33,25.02,90.62,1.66
2019/10/11,23.67,26.32,85.88,1.45
2019/10/12,23.03,26.83,80.38,0.95
2019/10/13,22.11,25.67,81.5,1.44
2019/10/14,22.75,26.21,82.0,1.46
2019/10/15,23.59,27.05,81.94,1.66
2019/10/16,23.91,26.47,86.31,1.57
2019/10/17,23.69,27.01,83.0,1.41
2019/10/18,23.89,27.36,82.06,1.26
2019/10/19,23.43,27.31,79.94,1.34
2019/10/20,23.22,26.66,82.12,1.4
2019/10/21,23.51,25.83,87.62,1.9
2019/10/22,23.8,25.73,89.38,1.82
2019/10/23,22.12,25.07,84.44,1.45
2019/10/24,20.58,22.58,88.62,1.46
2019/10/25,21.58,22.66,93.56,2.63
2019/10/26,24.09,24.86,95.44,2.76
2019/10/27,23.98,25.82,89.94,2.41
2019/10/28,22.68,25.22,86.25,1.05
2019/10/29,23.34,25.72,87.31,1.34
2019/10/30,22.84,25.6,85.38,1.36
2019/10/31,21.24,25.08,80.12,1.31
2019/11/01,20.85,24.7,79.94,1.15
2019/11/02,21.02,24.63,81.12,1.42
2019/11/03,21.55,24.7,83.56,1.38
2019/11/04,21.62,24.76,83.38,1.57
2019/11/05,21.24,24.78,81.5,1.34
2019/11/06,20.37,24.54,78.69,1.19
2019/11/07,20.15,24.38,78.5,1.57
2019/11/08,21.76,24.01,87.75,1.9
2019/11/09,21.8,23.11,92.44,1.83
2019/11/10,21.59,22.51,94.44,3.59
2019/11/11,21.6,23.65,88.5,2.07
2019/11/12,21.12,23.97,84.88,1.35
2019/11/13,20.34,23.97,81.0,1.2
2019/11/14,20.49,24.38,80.0,1.19
2019/11/15,20.26,23.83,81.25,1.34
2019/11/16,19.71,23.22,81.5,1.18
2019/11/17,19.14,22.35,82.75,1.2
2019/11/18,18.31,22.16,79.75,1.1
2019/11/19,17.98,21.64,80.5,1.22
2019/11/20,17.63,20.65,83.56,1.38
2019/11/21,17.05,20.59,81.06,1.33
2019/11/22,17.21,20.5,81.75,1.35
2019/11/23,16.3,20.12,79.56,1.24
2019/11/24,15.97,19.92,79.0,1.46
2019/11/25,17.07,20.56,81.38,1.35
2019/11/26,18.02,21.76,80.56,1.2
2019/11/27,18.19,21.7,81.38,1.43
2019/11/28,18.8,22.51,80.5,1.41
2019/11/29,19.29,22.29,83.44,1.47
2019/11/30,18.96,22.08,82.69,1.4
2019/12/01,17.78,20.87,83.0,1.27
2019/12/03,14.75,19.23,76.69,1.19
2019/12/04,14.65,18.9,77.38,1.45
2019/12/05,16.01,19.18,82.81,2.73
2019/12/06,14.77,18.98,77.88,2.29
2019/12/07,15.56,19.73,77.94,1.96
2019/12/08,16.15,20.23,78.75,1.59
2019/12/09,16.07,19.83,79.81,1.26
2019/12/10,16.03,19.44,81.12,1.32
2019/12/11,15.72,19.19,81.06,1.28
2019/12/12,14.84,18.43,80.5,1.34
2019/12/13,14.69,18.55,79.31,1.57
2019/12/14,14.87,19.03,77.94,1.36
2019/12/15,15.26,18.9,79.94,1.38
2019/12/16,15.8,18.75,83.38,1.62
2019/12/17,15.35,18.12,84.25,1.62
2019/12/18,14.44,17.01,85.56,1.45
2019/12/19,13.87,15.96,87.19,1.49
2019/12/20,12.98,15.89,83.44,1.06
2019/12/21,12.94,14.81,88.56,1.41
2019/12/22,12.9,15.25,85.81,1.38
2019/12/23,13.43,16.05,84.38,1.62
2019/12/24,12.91,15.87,82.44,1.55
2019/12/25,12.3,15.14,83.06,1.66
2019/12/26,12.42,16.54,77.81,1.57
2019/12/27,13.45,16.03,85.19,1.95
2019/12/28,12.6,15.36,84.44,1.45
2019/12/29,12.3,16.15,79.31,1.8
2019/12/30,12.36,16.97,75.81,1.91
2019/12/31,13.39,17.52,77.81,1.98
2020/01/01,15.14,18.95,79.38,1.94
2020/01/02,16.19,19.76,80.81,1.73
2020/01/03,16.07,17.27,92.69,2.07
2020/01/04,15.32,17.59,87.44,2.02
2020/01/05,14.94,16.69,89.38,1.94
2020/01/06,11.59,15.09,81.19,1.12
2020/01/07,11.45,15.06,80.19,1.57
2020/01/08,12.42,15.82,80.94,1.51
2020/01/09,13.7,16.26,85.5,1.77
2020/01/10,13.85,16.82,83.69,1.48
2020/01/11,13.17,15.74,85.5,1.66
2020/01/12,13.33,15.81,85.12,1.85
2020/01/13,13.58,16.35,83.62,1.63
2020/01/14,13.45,16.65,81.19,1.27
2020/01/15,13.78,16.87,82.44,1.63
2020/01/16,15.01,18.41,80.94,1.66
2020/01/17,15.16,18.73,80.88,1.75
2020/01/18,14.55,19.28,76.06,1.54
2020/01/19,15.65,18.61,84.31,2.04
2020/01/20,14.36,16.83,86.19,2.41
2020/01/21,9.96,15.65,70.75,1.16
2020/01/22,10.07,14.61,76.25,2.03
2020/01/23,11.05,14.92,79.62,2.19
2020/01/24,9.55,14.91,72.5,1.66
2020/01/25,9.46,14.91,71.38,1.75
2020/01/26,10.58,14.56,78.06,2.16
2020/01/27,10.68,14.86,77.12,1.59
2020/01/28,10.83,15.79,74.31,1.7
2020/01/29,11.54,15.85,76.56,1.55
2020/01/30,13.38,17.16,79.31,1.62
2021/12/13,13.55,17.62,78.19,1.43
2021/12/14,15.23,18.49,81.94,1.43
2021/12/15,14.5,17.87,81.38,1.48
2021/12/16,13.82,17.28,80.88,1.7
2021/12/17,12.92,17.4,75.88,1.51
2021/12/18,12.8,17.51,75.25,1.71
2021/12/19,12.98,16.94,78.31,1.5
2021/12/20,13.3,16.12,84.06,1.45
2021/12/21,14.4,16.77,86.19,1.81
2021/12/22,16.03,18.01,88.69,1.66
2021/12/23,14.27,18.41,78.25,1.28
2021/12/24,13.23,17.51,77.12,1.57
2021/12/25,12.15,17.48,72.38,1.4
2021/12/26,12.46,17.37,74.38,1.53
2021/12/27,12.52,16.58,78.06,1.54
2021/12/28,12.95,16.88,78.62,1.62
2021/12/29,12.99,17.11,78.0,1.98
2021/12/30,13.23,18.26,74.25,1.84
2022/06/01,25.66,27.9,88.12,2.52
2022/06/02,25.4,27.58,88.25,2.97
2022/06/03,25.92,27.86,89.56,3.04
2022/06/04,25.47,27.73,88.06,2.44
2022/06/05,25.29,28.05,85.75,2.32
2022/06/06,25.83,28.19,87.62,2.27
2022/06/07,26.26,28.69,87.31,2.63
2022/06/08,26.12,28.23,88.75,2.45
2022/06/09,26.23,28.24,89.25,3.01
2022/06/10,24.65,26.44,90.0,1.98
2022/06/11,25.13,27.49,87.56,2.6
2022/06/12,26.06,28.12,89.06,2.91
2022/06/13,26.44,28.46,89.25,3.18
2022/06/16,25.35,26.44,93.75,3.84
2022/06/17,24.93,25.96,94.06,4.03
2022/06/19,24.93,26.24,92.5,4.76
2022/06/20,25.48,26.65,93.31,4.15
2022/06/21,25.46,27.32,89.81,2.03
2022/06/22,25.4,27.74,87.62,2.21
2022/06/23,25.59,27.44,90.0,2.43
2022/06/24,25.47,27.01,91.38,2.62
2022/06/25,25.85,28.0,88.62,2.5
2022/06/27,26.19,28.41,88.25,2.78
