DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.67,29.12,87.0,1.27
2019/09/02,26.78,28.81,89.06,1.96
2019/09/03,26.91,28.72,90.31,3.65
2019/09/04,27.0,28.48,91.88,3.49
2019/09/05,26.74,28.65,89.81,4.1
2019/09/06,26.74,28.87,88.69,4.34
2019/09/07,26.76,28.61,90.0,5.09
2019/09/08,26.9,28.86,89.5,4.34
2019/09/10,26.6,28.03,92.0,3.22
2019/09/11,26.83,28.65,90.19,2.74
2019/09/12,26.29,27.58,92.69,3.95
2019/09/13,26.03,27.91,89.81,4.34
2019/09/14,26.19,28.25,89.06,3.41
2019/09/15,26.53,28.84,87.88,2.5
2019/09/16,26.3,28.12,90.12,2.82
2019/09/17,25.99,27.76,90.25,2.0
2019/09/18,25.65,28.92,83.31,1.85
2019/09/19,25.36,29.27,80.38,1.45
2019/09/20,25.47,28.65,83.75,1.72
2019/09/21,25.12,29.15,79.75,1.14
2019/09/22,25.6,28.58,84.62,1.34
2019/09/23,25.4,27.37,89.44,2.28
2019/09/24,25.65,26.83,93.25,3.26
2019/09/27,24.0,26.32,87.44,1.43
2019/09/28,24.19,25.68,91.56,1.41
2019/09/29,23.61,24.89,92.62,2.7
2019/09/30,23.96,25.04,93.69,2.55
2019/10/01,24.68,26.7,89.0,2.83
2019/10/02,24.68,27.58,84.62,1.55
2019/10/03,25.03,27.86,85.12,1.51
2019/10/04,25.0,26.97,89.12,1.95
2019/10/05,24.59,27.45,84.94,1.35
2019/10/06,24.9,28.15,83.12,1.02
2019/10/07,24.97,26.97,88.94,1.16
2019/10/08,24.57,26.32,90.25,1.79
2019/10/09,24.08,25.72,91.0,2.13
2019/10/10,23.13,26.03,84.69,1.53
2019/10/11,22.95,26.56,81.06,1.63
2019/10/12,22.72,26.98,78.19,1.03
2019/10/13,22.44,25.71,82.81,2.27
2019/10/14,22.09,25.71,81.31,2.12
2019/10/15,22.33,25.9,81.5,1.93
2019/10/16,23.44,26.74,82.88,1.76
2019/10/17,24.23,26.77,86.56,2.18
2019/10/18,23.9,26.76,84.88,2.67
2019/10/19,23.17,26.01,85.0,2.53
2019/10/20,23.01,25.91,84.69,2.36
2019/10/21,23.19,25.66,86.69,2.41
2019/10/22,22.69,25.33,85.88,2.37
2019/10/23,21.01,24.24,83.12,2.18
2019/10/24,20.53,21.87,92.06,2.39
