DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,27.09,29.42,87.69,1.6
2019/09/02,27.41,29.38,89.5,2.08
2019/09/03,26.26,27.87,91.12,3.18
2019/09/04,26.36,27.77,92.06,3.25
2019/09/05,26.51,28.61,88.88,3.7
2019/09/06,26.73,28.78,89.12,3.97
2019/09/07,26.95,28.75,90.38,4.52
2019/09/08,26.96,28.96,89.38,4.1
2019/09/10,26.66,28.18,91.62,3.3
2019/09/11,26.86,28.75,89.94,3.01
2019/09/12,26.74,28.02,92.81,4.17
2019/09/13,26.13,27.88,90.5,3.78
2019/09/14,26.4,28.44,89.12,3.31
2019/09/15,26.66,28.8,88.62,2.55
2019/09/16,26.62,27.85,93.0,2.7
2019/09/17,25.82,27.37,91.38,2.31
2019/09/18,25.4,28.53,83.75,1.84
2019/09/19,25.34,29.08,81.0,1.43
2019/09/20,25.49,29.04,81.62,1.35
2019/09/21,25.26,29.52,78.75,0.84
2019/09/22,25.39,29.26,80.62,0.97
2019/09/23,25.42,27.43,89.06,2.02
2019/09/24,25.19,26.42,92.94,2.99
2019/09/27,23.88,26.35,86.56,1.15
2019/09/28,24.07,25.44,92.19,2.09
2019/09/29,23.12,24.09,94.25,3.06
2019/09/30,23.55,24.28,95.62,3.23
2019/10/01,24.87,26.64,90.38,2.15
2019/10/02,24.74,27.53,85.25,0.88
2019/10/03,24.58,27.73,83.31,1.41
2019/10/04,24.84,26.88,88.75,1.62
2019/10/05,24.49,27.29,85.19,1.41
2019/10/06,24.65,27.76,83.44,0.96
2019/10/07,24.8,27.26,86.69,0.88
2019/10/08,24.49,25.84,92.25,1.45
2019/10/09,23.35,25.34,89.06,1.48
2019/10/10,22.7,26.08,82.44,0.97
2019/10/11,22.69,26.37,80.69,1.23
2019/10/12,22.71,26.09,82.25,1.55
2019/10/13,21.9,24.98,83.75,1.93
2019/10/14,21.86,25.18,82.88,1.87
2019/10/15,22.6,25.74,83.44,1.79
2019/10/16,23.5,26.53,84.25,1.5
2019/10/17,23.23,26.08,85.06,1.82
2019/10/18,22.74,25.77,84.12,2.14
2019/10/19,22.2,25.01,85.06,2.29
2019/10/20,22.65,25.06,87.12,2.38
2019/10/21,22.86,24.74,89.69,2.94
2019/10/22,21.64,24.12,86.75,2.66
2019/10/23,20.09,22.84,85.19,1.88
2019/10/24,20.49,22.08,90.81,1.54
2019/10/25,21.4,22.45,93.81,4.02
2019/10/26,22.09,23.44,92.31,2.88
2019/10/27,20.94,22.94,88.94,2.01
2019/10/28,20.37,22.34,89.0,2.37
2019/10/29,20.73,22.67,89.12,2.2
2019/10/30,21.3,23.61,87.56,2.07
2019/10/31,21.31,23.8,86.56,2.23
2019/11/01,21.3,23.94,85.94,2.15
2019/11/02,21.48,23.79,87.44,2.59
2019/11/03,21.66,24.29,85.94,2.1
2019/11/04,21.83,24.43,86.06,2.19
2019/11/05,21.16,23.53,87.19,2.02
2019/11/06,18.69,22.68,79.69,1.98
2019/11/07,18.83,22.48,80.88,2.05
2019/11/08,21.44,23.65,87.62,2.13
2019/11/09,22.21,23.18,94.31,3.34
2019/11/10,21.26,22.64,92.06,4.39
2019/11/11,20.54,23.09,86.31,2.33
2019/11/12,18.72,21.99,82.81,2.0
2019/11/13,17.65,21.17,81.44,1.97
2019/11/14,20.29,22.7,87.0,2.12
2019/11/15,20.69,23.14,86.44,1.95
2019/11/16,19.93,22.43,86.44,2.41
2019/11/17,18.39,21.07,85.5,2.4
2019/11/18,17.74,20.93,82.75,1.62
2019/11/19,17.35,20.05,85.06,2.36
2019/11/20,14.73,19.5,75.44,1.69
2019/11/21,16.68,20.05,81.81,2.23
2019/11/22,17.54,20.28,85.12,2.3
2019/11/23,17.0,20.55,81.06,1.89
2019/11/24,17.69,20.58,84.12,1.93
2019/11/25,18.17,19.75,90.88,1.66
2019/11/26,18.4,21.06,85.38,1.69
2019/11/27,19.34,21.6,86.88,1.91
2019/11/28,19.36,21.82,85.88,2.02
2019/11/29,18.96,21.39,86.12,1.81
2019/11/30,17.33,19.97,85.5,2.34
2019/12/01,16.26,19.18,83.62,2.65
2019/12/03,13.79,17.15,81.81,2.32
2019/12/04,13.11,16.52,81.75,2.83
2019/12/05,15.08,18.05,83.81,2.76
2019/12/06,16.49,19.02,85.62,2.39
2019/12/07,15.63,18.64,83.69,2.37
2019/12/08,15.17,18.66,81.38,2.05
2019/12/09,15.59,18.48,83.94,2.11
2019/12/10,13.89,17.78,79.12,2.12
2019/12/11,14.16,18.03,79.06,1.75
2019/12/12,15.23,17.98,84.62,1.83
2019/12/13,15.58,18.5,84.19,1.84
2019/12/14,16.62,19.28,85.62,1.74
2019/12/15,15.88,18.31,86.62,2.36
2019/12/16,14.87,18.42,81.69,2.51
2019/12/17,14.27,16.68,86.44,3.14
2019/12/18,11.15,13.75,85.25,3.16
2019/12/19,9.4,11.9,85.38,2.91
2019/12/20,9.69,12.94,81.81,2.36
2019/12/21,9.48,12.94,80.62,1.98
2019/12/22,10.15,13.87,79.31,1.66
2019/12/23,11.48,14.74,81.56,2.11
2019/12/24,9.86,13.78,79.5,2.79
2019/12/25,10.01,13.49,81.38,2.29
2019/12/26,10.33,13.57,82.19,2.43
2019/12/27,8.72,12.39,79.44,2.83
2019/12/28,7.44,11.44,77.94,3.27
2019/12/29,7.26,11.43,77.31,3.62
2019/12/30,8.54,12.33,79.0,3.08
2019/12/31,11.86,15.44,80.75,2.06
2020/01/01,14.75,17.83,83.31,2.04
2020/01/02,15.4,18.28,84.31,2.3
2020/01/03,15.11,16.55,91.25,1.45
2020/01/04,13.8,16.88,83.12,1.47
2020/01/05,11.37,14.75,81.62,3.38
2020/01/06,9.54,13.04,80.94,2.74
2020/01/07,8.83,13.38,75.62,2.16
2020/01/08,9.34,15.63,67.25,0.77
2020/01/09,12.69,15.32,85.0,2.0
2020/01/10,12.37,15.02,85.06,3.07
2020/01/11,9.8,13.05,82.0,3.64
2020/01/12,8.51,12.46,78.38,3.5
2020/01/13,8.65,13.28,75.25,2.36
2020/01/14,10.12,15.24,72.75,1.75
2020/01/15,10.71,16.44,70.06,1.37
2020/01/16,10.98,18.23,63.44,0.93
2020/01/17,13.54,18.76,72.94,1.36
2020/01/18,15.24,18.69,81.75,2.18
2020/01/19,14.82,16.58,89.69,3.13
2020/01/20,10.15,14.23,78.5,3.53
2020/01/21,8.37,13.87,71.5,2.61
2020/01/22,7.66,13.99,67.5,2.13
2020/01/23,9.3,14.46,72.62,2.68
2020/01/24,7.73,13.83,68.75,2.42
2020/01/25,7.8,15.12,62.94,1.2
2020/01/26,8.12,13.44,72.12,2.48
2020/01/27,9.33,14.17,74.5,2.73
2020/01/28,10.37,15.89,72.0,1.96
2020/01/29,13.43,16.48,82.81,2.05
2020/01/30,14.37,17.22,84.31,1.81
2021/12/13,13.08,16.23,82.69,2.16
2021/12/14,12.73,16.08,82.06,2.16
2021/12/15,12.24,15.65,81.5,2.04
2021/12/16,12.83,16.36,80.94,1.51
2021/12/17,10.66,16.96,69.75,1.26
2021/12/18,12.67,16.94,77.19,1.98
2021/12/19,8.96,13.02,78.31,3.3
2021/12/20,8.15,12.26,78.44,2.26
2021/12/21,11.67,14.58,83.88,2.45
2021/12/22,12.11,16.06,78.38,1.86
2021/12/23,12.05,15.91,79.31,2.11
2021/12/24,12.83,16.48,80.25,1.68
2021/12/25,13.48,17.79,77.0,1.42
2021/12/26,13.84,17.96,78.12,1.77
2021/12/27,13.52,17.84,76.88,1.26
2021/12/28,14.0,17.19,82.5,1.88
2021/12/29,14.27,16.76,86.12,2.37
2021/12/30,13.8,16.9,82.94,2.66
2022/06/01,25.45,29.48,80.19,3.0
2022/06/02,25.12,29.85,77.38,3.66
2022/06/03,25.13,30.21,76.19,4.07
2022/06/04,25.63,29.44,81.0,4.53
2022/06/05,24.87,29.74,77.25,4.41
2022/06/06,25.62,29.76,79.88,4.91
