DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,25.78,29.33,81.69,2.19
2019/09/02,26.32,28.41,88.56,2.28
2019/09/03,26.52,28.77,88.0,1.29
2019/09/04,25.54,27.67,88.31,2.2
2019/09/05,25.81,28.74,84.38,1.89
2019/09/06,26.23,28.55,87.5,2.48
2019/09/07,26.41,28.8,87.12,2.72
2019/09/08,26.51,28.17,90.94,3.45
2019/09/10,26.45,27.89,92.0,2.55
2019/09/11,26.84,28.41,91.5,3.12
2019/09/12,26.27,27.48,93.12,4.52
2019/09/13,26.1,27.34,93.06,3.5
2019/09/14,25.65,27.38,90.44,2.32
2019/09/15,25.95,28.15,88.06,2.05
2019/09/16,25.8,28.01,87.88,1.78
2019/09/17,25.19,28.42,83.12,1.41
2019/09/18,24.72,29.12,78.38,1.55
2019/09/19,24.9,29.54,77.19,1.91
2019/09/20,24.87,29.26,78.0,1.46
2019/09/21,25.21,28.45,83.06,1.66
2019/09/22,25.26,28.7,82.06,1.77
2019/09/23,24.43,26.54,88.5,1.3
2019/09/24,24.19,26.36,88.19,1.41
2019/09/27,23.36,26.96,81.56,2.12
2019/09/28,23.8,26.01,87.75,1.87
2019/09/29,22.77,25.48,85.25,1.76
2019/09/30,23.23,24.7,91.56,1.84
2019/10/01,23.68,24.88,93.06,2.89
2019/10/02,23.94,26.33,87.06,2.0
2019/10/03,23.99,26.93,84.12,1.38
2019/10/04,24.0,26.95,84.31,1.59
2019/10/05,24.61,27.17,86.12,1.58
2019/10/06,24.41,26.97,86.06,1.55
2019/10/07,24.15,26.76,85.81,1.44
2019/10/08,23.9,26.06,88.0,1.09
2019/10/09,23.0,26.45,82.0,1.35
2019/10/10,23.19,25.01,89.81,2.09
2019/10/11,23.23,25.93,85.56,1.36
2019/10/12,22.12,26.38,78.31,1.55
2019/10/13,21.05,25.66,76.81,2.02
2019/10/14,22.07,26.05,79.38,2.03
2019/10/15,22.94,26.74,80.0,1.99
2019/10/16,23.61,26.88,82.69,1.41
2019/10/17,23.65,27.65,79.31,1.2
2019/10/18,23.06,27.65,76.69,1.54
2019/10/19,22.76,27.3,76.62,1.91
2019/10/20,22.01,26.65,76.38,1.79
2019/10/21,22.65,25.83,83.38,2.52
2019/10/22,22.7,25.12,86.81,2.38
2019/10/23,20.51,24.52,79.38,1.98
2019/10/24,19.95,22.6,85.19,1.59
2019/10/25,21.2,22.91,90.06,2.74
2019/10/26,23.44,24.44,94.19,3.12
2019/10/27,22.33,24.86,86.25,1.82
2019/10/28,21.54,24.62,83.12,1.88
2019/10/29,22.65,25.17,86.19,1.89
2019/10/30,22.44,25.59,82.88,1.66
2019/10/31,20.87,24.82,79.19,1.41
2019/11/01,21.14,25.05,79.31,1.64
2019/11/02,20.99,25.06,78.69,1.84
2019/11/03,21.29,24.62,82.0,1.9
2019/11/04,20.92,24.56,80.56,1.62
2019/11/05,20.69,24.36,80.62,1.79
2019/11/06,19.8,24.23,77.25,1.91
2019/11/07,20.25,24.35,78.44,2.22
2019/11/08,21.12,25.28,79.19,1.91
2019/11/09,21.46,22.73,92.44,2.42
2019/11/10,20.48,22.51,88.25,4.78
2019/11/11,21.05,24.49,81.69,2.07
2019/11/12,20.49,24.55,78.69,1.57
2019/11/13,20.65,23.91,82.19,1.96
2019/11/14,20.56,24.65,78.56,1.71
2019/11/15,20.23,24.02,79.75,1.64
2019/11/16,19.7,23.24,81.06,1.44
2019/11/17,19.63,22.65,83.56,1.71
2019/11/18,18.67,22.41,79.69,1.59
2019/11/19,18.43,22.25,79.44,1.6
2019/11/20,18.11,21.8,80.0,1.53
2019/11/21,16.78,21.15,76.88,1.9
2019/11/22,16.94,20.84,78.94,1.95
2019/11/23,17.87,21.47,80.31,1.42
2019/11/24,18.37,21.66,81.75,1.16
2019/11/25,18.28,21.92,80.19,1.34
2019/11/26,18.06,21.61,80.81,1.76
2019/11/27,17.72,21.95,77.75,1.79
2019/11/28,17.86,22.66,75.06,1.87
2019/11/29,17.33,22.33,73.88,1.84
2019/11/30,17.78,21.8,78.19,1.88
2019/12/01,17.14,21.12,78.38,1.71
2019/12/03,15.0,19.13,77.75,2.08
2019/12/04,14.81,19.62,74.75,2.2
2019/12/05,15.23,20.18,74.25,2.98
2019/12/06,14.17,20.44,67.94,2.49
2019/12/07,15.8,20.56,74.94,2.17
2019/12/08,15.88,20.69,74.75,1.96
2019/12/09,15.88,19.8,78.75,1.9
2019/12/10,15.84,19.05,81.94,1.84
2019/12/11,15.4,19.59,77.12,1.47
2019/12/12,15.09,18.71,80.0,1.69
2019/12/13,14.77,18.8,78.06,1.98
2019/12/14,14.93,19.32,76.69,1.97
2019/12/15,15.58,19.3,79.69,1.95
2019/12/16,15.93,19.22,81.69,2.05
2019/12/17,14.12,17.77,80.06,2.09
2019/12/18,13.42,16.98,80.38,2.3
2019/12/19,13.48,16.14,85.0,2.47
2019/12/20,13.24,16.05,83.94,1.76
2019/12/21,13.08,15.33,87.0,1.84
2019/12/22,13.1,15.16,88.0,1.98
2019/12/23,12.3,16.15,78.56,2.39
2019/12/24,12.1,15.82,79.31,2.39
2019/12/25,11.21,14.83,79.75,2.42
2019/12/26,10.1,17.07,64.5,1.59
2019/12/27,11.74,16.36,74.69,1.77
2019/12/28,12.14,16.66,75.75,2.11
2019/12/29,11.95,16.96,73.62,2.06
2019/12/30,12.21,17.43,72.31,2.42
2019/12/31,13.56,18.02,75.88,2.5
2020/01/01,15.12,19.26,77.44,2.38
2020/01/02,16.34,20.42,77.94,2.09
2020/01/03,15.98,18.12,87.5,2.2
2020/01/04,15.26,17.81,85.38,1.58
2020/01/05,13.23,16.55,81.75,2.6
2020/01/06,10.54,14.79,77.56,2.43
2020/01/07,11.19,15.01,78.44,2.33
2020/01/08,12.12,16.02,78.25,2.02
2020/01/09,13.31,17.09,78.88,1.84
2020/01/10,13.1,16.41,81.75,2.05
2020/01/11,12.81,15.94,82.38,2.71
2020/01/12,13.12,16.83,79.81,2.66
2020/01/13,13.44,16.85,81.06,2.14
2020/01/14,13.74,16.73,83.19,2.25
2020/01/15,14.12,17.27,82.81,2.52
2020/01/16,14.17,18.37,77.25,2.28
2020/01/17,15.01,19.26,76.94,2.09
2020/01/18,15.06,19.52,76.25,2.05
2020/01/19,15.69,19.14,81.25,2.35
2020/01/20,13.28,16.88,80.19,2.91
2020/01/21,9.58,14.9,71.88,2.23
2020/01/22,9.28,14.8,70.62,2.55
2020/01/23,9.23,14.61,71.56,2.71
2020/01/24,8.48,14.18,70.0,2.69
2020/01/25,9.65,15.03,71.44,2.66
2020/01/26,10.27,15.12,73.62,2.48
2020/01/27,10.5,15.23,74.19,2.32
2020/01/28,10.93,15.27,76.12,2.21
2020/01/29,11.05,16.17,72.44,1.96
2020/01/30,12.94,16.88,78.31,2.08
2021/12/13,12.87,17.87,73.44,2.06
2021/12/14,14.2,18.51,76.5,1.98
2021/12/15,13.8,17.65,79.0,2.1
2021/12/16,12.9,17.95,73.19,2.02
2021/12/17,11.8,17.97,67.81,2.1
2021/12/18,12.08,17.96,69.5,2.17
2021/12/19,12.26,17.58,72.12,1.98
2021/12/20,12.54,17.11,75.19,2.2
2021/12/21,14.01,17.92,78.88,2.4
2021/12/22,15.48,18.27,84.06,1.41
2021/12/23,14.31,18.27,79.19,1.88
2021/12/24,13.34,17.88,75.75,2.17
2021/12/25,12.48,17.54,73.0,2.14
2021/12/26,12.21,17.56,71.94,2.21
2021/12/27,11.94,17.01,72.75,1.88
2021/12/28,12.31,17.85,70.62,1.55
2021/12/29,13.05,17.8,74.69,2.46
2021/12/30,13.21,18.82,71.12,2.16
2022/06/01,25.32,27.74,86.94,2.38
2022/06/02,24.79,26.82,88.81,2.65
2022/06/03,25.62,27.21,91.19,3.27
2022/06/04,25.27,27.36,88.88,2.59
2022/06/05,25.24,27.51,87.81,2.29
2022/06/06,25.65,27.5,89.94,2.67
2022/06/07,26.08,27.9,90.12,2.98
2022/06/08,25.99,27.65,90.81,2.69
2022/06/09,26.11,27.6,91.75,2.85
2022/06/10,24.61,25.97,92.25,2.41
2022/06/11,25.16,27.08,89.56,2.84
2022/06/12,26.25,27.75,91.75,3.45
2022/06/13,26.75,28.15,92.25,3.49
2022/06/16,25.64,26.48,95.06,4.64
2022/06/17,25.37,26.05,95.94,4.76
2022/06/19,25.36,26.43,93.81,4.91
2022/06/20,25.69,26.84,93.44,3.95
2022/06/21,25.4,26.79,92.25,2.73
2022/06/22,25.36,27.41,88.81,2.38
2022/06/23,25.51,26.99,91.75,3.25
2022/06/24,25.78,26.9,93.62,3.94
2022/06/25,25.79,27.5,90.69,3.27
2022/06/27,26.07,27.9,90.06,3.07
2022/06/28,25.77,27.33,91.38,3.53
2022/06/29,24.97,27.19,87.88,2.39
2022/06/30,25.62,27.33,90.5,2.87
2022/07/01,26.09,27.92,90.12,3.23
2022/07/02,25.79,27.61,90.06,2.35
2022/07/03,26.26,28.31,89.06,2.34
2022/07/04,26.26,28.12,90.0,3.04
2022/07/06,25.87,27.45,91.25,2.3
2022/07/07,25.69,27.87,88.25,2.09
2022/07/09,25.82,28.17,87.56,2.5
2022/07/10,25.94,28.35,87.38,2.42
2022/07/11,25.69,27.58,89.62,2.8
2022/07/12,25.75,28.44,85.88,2.16
2022/07/13,26.94,30.14,83.38,2.1
2022/07/14,27.19,30.55,82.94,2.48
2022/07/15,26.94,29.46,86.75,1.79
2022/07/16,26.93,29.51,86.56,2.23
2022/07/17,26.68,28.9,88.19,2.36
2022/07/18,26.25,28.38,88.62,2.68
2022/07/19,26.25,28.1,90.0,3.52
2022/07/20,26.26,27.86,91.19,3.14
2022/07/21,26.15,28.27,88.5,3.45
2022/07/22,26.4,28.66,88.0,2.02
2022/07/23,26.26,27.42,93.31,2.34
2022/07/24,25.62,26.91,92.56,2.74
2022/07/26,24.52,27.61,83.81,1.75
2022/07/28,25.54,28.08,86.31,2.29
2022/07/29,25.39,27.83,86.88,2.35
2022/07/30,25.92,28.22,87.5,2.45
2022/07/31,25.71,26.95,92.94,2.73
2022/08/01,26.43,28.37,89.5,2.35
2022/08/02,26.23,28.6,87.38,1.98
2022/08/03,26.09,28.37,87.62,1.85
2022/08/04,25.87,28.39,86.75,2.08
2022/08/05,26.41,28.54,88.5,1.97
2022/08/06,26.25,27.73,91.62,2.28
2022/08/07,26.4,30.03,81.56,1.63
2022/08/10,25.53,27.67,88.38,3.27
2022/08/11,25.74,28.33,86.44,3.35
2022/08/12,25.65,28.47,85.19,1.77
2022/08/13,25.83,27.76,89.5,3.1
2022/08/14,25.41,27.95,86.44,3.91
2022/08/15,25.56,28.1,86.75,2.43
2022/08/16,26.05,28.39,87.69,2.2
2022/08/17,26.45,29.12,86.06,1.9
2022/08/18,26.93,31.16,78.81,1.89
2022/08/19,26.48,29.09,86.25,2.85
2022/08/20,25.98,28.55,86.62,2.85
2022/08/21,24.98,27.44,86.69,1.7
2022/08/22,26.12,28.86,85.56,1.89
2022/08/23,26.53,28.43,89.62,2.3
2022/08/25,25.01,28.12,83.94,1.69
2022/08/26,25.42,28.72,83.31,2.09
2022/08/27,25.59,26.96,92.31,2.59
2022/08/28,25.46,27.51,89.06,2.92
2022/08/29,25.48,27.65,88.25,2.13
2022/08/30,25.08,27.62,86.38,2.53
2022/08/31,25.44,28.19,85.5,2.21
2022/09/01,24.49,26.04,91.31,2.41
2022/09/02,24.95,26.51,91.25,2.91
2022/09/03,26.5,27.94,92.06,3.99
2022/09/04,26.79,28.1,92.69,2.85
2022/09/05,26.23,27.44,93.19,2.43
2022/09/06,25.68,27.49,90.0,1.58
2022/09/07,25.34,27.46,88.31,1.73
2022/09/08,25.9,30.16,78.62,1.65
2022/09/09,25.79,29.47,81.19,3.01
2022/09/10,25.5,27.53,88.88,2.72
2022/09/11,24.83,26.22,92.06,2.69
2022/09/12,24.72,26.1,92.19,3.58
2022/09/13,25.53,26.26,95.62,2.78
2022/09/14,24.99,26.58,91.19,2.85
2022/09/15,25.5,27.04,91.5,2.88
2022/09/16,25.58,27.22,91.06,2.48
2022/09/17,25.76,28.03,87.94,2.17
2022/09/18,25.86,28.52,85.88,1.58
2022/09/19,25.68,28.15,87.0,1.76
2022/09/20,25.75,27.55,90.25,2.39
2022/09/21,25.36,26.98,91.0,2.12
2022/09/22,25.62,27.35,90.62,2.21
2022/09/23,25.46,27.33,89.75,2.05
2022/09/24,25.05,26.83,90.06,1.79
2022/09/25,24.51,27.07,86.38,1.65
2022/09/26,24.9,27.92,84.19,1.95
2022/09/27,25.82,27.15,92.44,1.89
2022/09/28,23.42,27.15,81.31,1.78
2022/09/29,23.82,29.67,72.69,1.3
2022/09/30,24.71,29.92,74.44,1.86
2022/10/01,25.32,29.46,79.12,1.85
2022/10/02,25.6,28.33,85.88,2.06
2022/10/03,25.48,26.34,94.94,2.93
2022/10/04,24.91,26.7,90.0,1.59
2022/10/05,24.97,26.89,89.5,2.01
2022/10/06,24.96,27.1,88.38,2.02
2022/10/07,24.76,26.87,88.5,1.8
2022/10/08,24.44,27.01,86.12,1.96
2022/10/09,24.8,26.76,89.12,1.98
2022/10/10,24.9,26.46,91.31,1.86
2022/10/11,25.11,26.12,94.12,2.73
2022/10/12,24.44,25.62,93.31,1.8
2022/10/13,24.4,25.83,92.06,2.27
2022/10/14,24.41,26.12,90.62,1.71
2022/10/15,22.98,26.68,81.19,1.98
2022/10/16,22.65,27.4,76.19,2.21
2022/10/17,23.17,27.68,76.88,1.92
2022/10/18,23.32,27.8,77.62,1.49
2022/10/19,22.37,26.59,78.62,1.52
2022/10/20,22.07,26.93,75.94,1.76
2022/10/21,21.3,27.69,69.5,1.72
2022/10/22,21.25,27.71,69.44,2.16
2022/10/23,22.28,24.77,86.12,2.62
2022/10/24,20.93,22.8,89.06,5.32
2022/10/25,20.87,22.74,89.25,4.33
2022/10/26,20.44,23.46,83.62,1.63
2022/10/27,18.7,23.89,74.44,1.7
2022/10/28,19.04,23.55,76.5,2.0
2022/10/29,19.36,24.41,74.12,1.8
2022/10/30,21.46,25.15,80.44,2.07
2022/10/31,21.83,26.05,77.94,1.41
2022/11/01,20.98,25.72,76.38,1.77
2022/11/02,21.78,25.31,81.0,1.45
2022/11/03,20.87,24.84,79.0,1.45
2022/11/04,20.27,24.34,78.5,1.7
2022/11/05,20.73,25.08,77.5,1.74
2022/11/06,20.29,24.81,76.44,1.55
2022/11/07,19.66,23.96,77.5,1.87
2022/11/08,18.26,23.65,72.5,1.84
2022/11/09,17.51,23.14,71.19,1.82
2022/11/10,17.55,22.21,75.44,2.07
2022/11/11,16.92,22.33,72.56,1.68
2022/11/12,18.26,22.98,75.56,1.69
2022/11/13,17.33,21.65,77.69,1.95
2022/11/14,16.92,21.49,75.81,2.12
2022/11/15,17.3,21.74,76.5,1.8
2022/11/16,18.07,21.72,80.25,1.93
2022/11/17,17.37,21.89,76.38,1.64
2022/11/18,15.1,21.37,68.69,2.03
2022/11/19,13.13,22.26,57.31,1.93
2022/11/20,15.39,23.06,63.25,1.34
2022/11/21,16.19,22.34,68.75,1.75
2022/11/22,16.0,21.6,70.69,1.72
2022/11/23,16.79,21.27,76.06,1.92
2022/11/24,17.22,21.44,77.31,2.09
2022/11/25,15.2,21.82,67.0,2.05
2022/11/26,15.75,21.4,70.69,1.9
2022/11/27,16.28,20.65,76.81,2.0
2022/11/28,15.9,20.52,75.81,1.96
2022/11/29,17.31,22.0,75.25,1.98
2022/11/30,19.33,22.67,81.75,1.96
2022/12/01,18.12,22.43,77.31,1.68
2022/12/02,16.69,21.27,75.56,1.86
2022/12/03,15.71,20.38,75.31,1.73
2022/12/04,15.57,20.12,76.0,1.85
2022/12/05,14.91,20.91,69.31,1.74
2022/12/06,15.47,20.14,74.88,1.79
2022/12/07,15.81,19.57,79.75,2.07
2022/12/08,15.16,19.65,76.31,2.19
2022/12/09,12.87,18.46,70.69,2.1
2022/12/10,14.34,19.17,74.69,1.76
2022/12/11,15.32,19.83,76.0,1.93
2022/12/12,15.42,19.08,80.19,2.02
2022/12/13,15.44,19.26,79.12,1.82
2022/12/14,15.61,18.76,82.25,2.12
2022/12/15,15.48,18.82,81.31,1.85
2022/12/16,15.48,18.86,81.0,2.09
2022/12/17,15.23,19.49,77.06,2.15
2022/12/18,14.32,18.76,76.31,2.13
2022/12/19,15.5,19.2,79.94,2.09
2022/12/20,14.83,18.64,79.12,2.01
2022/12/21,15.26,19.05,79.5,2.02
2022/12/22,15.3,19.15,79.0,2.0
2022/12/23,11.56,18.51,65.5,2.02
2022/12/24,12.05,18.1,68.31,2.02
2022/12/25,13.35,17.46,77.12,1.99
2022/12/26,15.15,19.7,75.5,1.47
2022/12/27,15.72,18.22,85.69,2.08
2022/12/28,12.08,16.66,75.25,2.07
2022/12/29,11.11,16.19,72.62,2.16
2022/12/30,11.96,16.16,77.0,2.18
2022/12/31,12.26,16.4,77.56,2.08
2023/01/01,11.97,16.77,73.94,1.77
2023/01/02,11.73,16.82,72.81,1.91
2023/01/03,11.83,16.62,74.5,2.02
2023/01/04,11.05,16.76,70.06,1.69
2023/01/05,11.05,16.99,68.94,1.8
2023/01/06,11.98,18.32,67.62,2.05
2023/01/07,12.92,18.8,69.75,2.26
2023/01/08,13.53,18.63,73.25,2.23
2023/01/09,13.04,18.87,69.88,2.04
2023/01/10,12.7,19.23,66.81,1.9
2023/01/11,11.92,18.4,66.81,1.72
2023/01/12,11.9,16.91,73.25,1.94
2023/01/13,11.38,16.1,74.81,2.2
2023/01/14,12.4,17.18,73.94,1.95
2023/01/15,12.29,17.15,74.12,1.94
2023/01/16,10.91,15.77,74.0,2.48
2023/01/17,8.12,14.65,66.81,2.39
2023/01/18,6.54,14.28,61.19,2.27
2023/01/19,6.49,14.83,58.31,2.0
2023/01/20,7.45,15.67,58.69,1.7
2023/01/21,9.7,16.45,65.19,1.77
2023/01/22,10.33,17.62,63.25,1.83
2023/01/23,11.68,17.03,71.5,1.91
2023/01/24,12.44,18.45,68.81,2.17
2023/01/25,12.61,19.81,63.62,1.66
2023/01/26,14.67,20.04,72.0,1.77
2023/01/27,15.34,20.14,74.62,1.9
2023/01/28,15.49,19.7,77.56,2.09
2023/01/29,15.26,20.01,74.94,2.07
2023/01/30,14.16,21.4,64.69,1.48
2023/01/31,15.29,20.61,72.5,2.09
2023/02/01,14.15,20.29,69.06,2.23
2023/02/02,8.83,18.68,55.62,2.35
2023/02/03,10.48,18.91,59.31,2.12
2023/02/05,11.48,18.71,64.19,2.29
2023/02/09,14.78,20.09,72.25,1.91
2023/02/10,12.41,19.04,66.5,2.24
2023/02/11,11.23,19.3,61.06,2.1
2023/02/12,12.55,19.08,66.88,2.55
2023/02/13,6.8,17.83,52.06,3.09
2023/02/14,8.15,18.74,52.62,2.6
2023/02/15,10.4,19.47,57.5,2.05
2023/02/17,12.45,20.5,61.12,2.2
2023/02/18,11.83,21.64,54.75,1.88
2023/02/19,12.88,21.87,57.94,2.02
2023/02/21,16.41,22.84,67.69,1.81
2023/02/22,18.55,22.76,79.0,2.67
2023/02/23,16.33,22.89,70.19,2.49
2023/02/24,16.83,22.04,73.31,1.74
2023/02/25,12.85,22.37,57.62,2.63
2023/02/26,11.03,22.85,50.5,2.55
2023/02/27,10.53,22.58,48.44,2.46
2023/02/28,10.55,22.23,49.0,2.14
2023/03/01,13.02,23.11,55.25,2.84
2023/03/02,13.94,24.12,55.19,2.34
2023/03/03,12.79,25.08,47.94,1.95
2023/03/04,13.6,26.44,46.19,1.42
2023/03/05,15.14,25.83,53.0,2.14
2023/03/06,13.1,25.51,48.94,3.08
2023/03/07,10.52,24.51,44.62,3.16
2023/03/08,11.4,24.87,45.62,2.73
2023/03/09,13.22,25.31,49.31,3.34
2023/03/10,11.62,24.02,47.0,2.96
2023/03/11,13.09,25.83,48.06,2.93
2023/03/12,13.9,26.76,47.69,2.85
2023/03/13,13.16,27.04,45.19,2.09
2023/03/14,13.26,26.86,44.62,2.43
2023/03/15,18.46,24.81,69.44,2.05
2023/03/16,17.94,24.76,67.81,1.63
2023/03/17,18.48,23.33,75.62,1.83
2023/03/18,17.63,24.53,67.25,1.81
2023/03/19,18.72,21.75,83.06,2.07
2023/03/20,18.75,21.23,86.5,2.65
2023/03/21,18.06,22.58,77.0,1.7
2023/03/22,18.04,22.6,76.19,1.93
2023/03/23,17.12,23.03,70.62,1.57
2023/03/24,17.64,22.49,75.38,1.89
2023/03/25,18.33,24.15,71.0,2.09
2023/03/26,19.53,24.62,74.5,2.62
2023/03/27,19.68,25.37,72.56,1.58
2023/03/28,19.38,25.4,70.31,1.88
2023/03/29,19.76,24.29,76.5,2.23
2023/03/30,19.3,24.32,74.38,1.87
2023/03/31,20.35,23.65,82.12,2.25
2023/04/01,19.77,22.87,83.56,1.99
2023/04/02,19.1,22.94,79.88,1.98
2023/04/03,19.04,23.96,74.88,1.86
2023/04/04,20.47,24.98,77.25,2.57
2023/04/05,22.16,25.66,81.88,2.18
2023/04/06,21.4,25.33,80.31,1.98
2023/04/07,18.99,26.09,66.25,2.02
2023/04/08,18.38,26.45,63.06,1.98
2023/04/09,18.08,27.18,59.62,2.21
2023/04/10,17.9,27.15,58.12,2.02
2023/04/11,17.99,28.49,53.81,1.46
2023/04/12,17.1,28.08,53.75,1.91
2023/04/13,17.24,28.4,52.94,2.03
2023/04/14,18.98,28.73,57.69,2.16
2023/04/15,19.23,29.6,55.81,1.81
2023/04/16,19.01,30.37,52.31,1.76
2023/04/17,22.69,29.09,69.56,2.22
2023/04/18,23.91,29.15,75.0,1.88
2023/04/19,24.05,28.9,76.38,2.45
2023/04/20,23.76,28.59,76.56,2.23
2023/04/21,23.37,28.07,77.31,2.55
2023/04/22,22.01,26.89,76.38,2.08
2023/04/23,20.5,25.82,73.88,2.37
2023/04/24,19.9,25.9,70.75,1.82
2023/04/25,19.18,27.33,62.62,1.63
2023/04/26,19.55,27.59,63.31,1.81
2023/04/27,20.44,27.9,65.5,1.98
