DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.99,29.75,85.69,1.76
2019/09/02,26.9,28.97,88.75,2.76
2019/09/03,26.65,28.65,89.19,3.02
2019/09/04,26.55,27.98,92.06,3.33
2019/09/05,26.53,28.55,89.25,3.55
2019/09/06,26.65,28.57,89.69,3.84
2019/09/07,26.61,28.23,91.06,4.38
2019/09/08,26.88,28.9,89.25,4.43
2019/09/10,26.85,29.03,88.38,3.16
2019/09/11,27.12,28.98,90.0,3.29
2019/09/12,26.68,27.86,93.25,4.5
2019/09/13,26.23,28.0,90.38,4.12
2019/09/14,26.23,28.3,89.0,3.24
2019/09/15,26.56,28.8,88.12,2.9
2019/09/16,26.45,28.25,90.19,3.05
2019/09/17,25.86,28.5,86.06,1.74
2019/09/18,24.94,29.39,78.0,1.25
2019/09/19,24.97,29.7,76.31,1.22
2019/09/20,25.38,29.53,78.81,1.16
2019/09/21,25.33,29.67,77.94,0.88
2019/09/22,25.52,29.21,81.0,1.23
2019/09/23,25.27,27.8,86.44,1.8
2019/09/24,25.18,26.39,93.06,2.73
2019/09/27,23.61,26.82,83.06,1.12
2019/09/28,23.43,26.0,86.0,1.12
2019/09/29,22.69,25.22,86.12,1.4
2019/09/30,23.64,25.11,91.56,1.96
2019/10/01,24.99,26.27,92.69,3.28
2019/10/02,24.44,27.41,84.56,1.77
2019/10/03,24.71,27.51,85.19,1.62
2019/10/04,25.08,27.08,88.94,2.02
2019/10/05,24.6,27.48,84.69,1.61
2019/10/06,24.67,27.59,84.31,1.21
2019/10/07,24.83,26.97,88.19,1.35
2019/10/08,24.44,26.56,88.19,1.18
2019/10/09,23.72,25.92,88.0,1.65
2019/10/10,23.56,26.13,86.12,1.38
2019/10/11,23.71,26.99,82.81,1.11
2019/10/12,22.58,27.12,76.69,1.45
2019/10/13,22.4,25.76,82.06,2.34
2019/10/14,22.82,25.72,84.75,2.63
2019/10/15,23.2,26.95,80.88,1.57
2019/10/16,23.93,27.59,80.81,1.37
2019/10/17,24.19,27.4,83.06,1.6
2019/10/18,23.76,26.92,83.44,2.37
2019/10/19,23.16,26.2,84.0,2.77
2019/10/20,23.2,25.75,86.38,2.62
2019/10/21,23.51,25.58,88.69,2.72
2019/10/22,22.97,25.39,86.88,2.48
2019/10/23,21.12,24.37,82.62,2.15
2019/10/24,20.14,21.84,90.12,2.16
2019/10/25,21.74,22.81,93.69,3.99
2019/10/26,23.66,25.21,91.38,2.09
2019/10/27,22.33,24.22,89.5,2.45
2019/10/28,20.75,22.91,88.0,3.05
2019/10/29,21.4,23.62,88.0,2.18
2019/10/30,22.17,24.89,85.69,1.91
2019/10/31,22.1,24.84,85.5,2.07
2019/11/01,22.45,24.85,87.0,2.44
2019/11/02,22.41,24.84,87.06,2.29
2019/11/03,22.17,24.96,85.19,1.86
2019/11/04,22.19,25.22,83.75,1.71
2019/11/05,21.65,25.02,82.38,1.69
2019/11/06,20.49,23.92,82.06,2.12
2019/11/07,19.03,23.71,76.25,2.06
2019/11/08,21.51,23.94,86.94,1.99
2019/11/09,22.23,23.07,94.88,4.27
