-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  22.1956   Longitude 92.177 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.62,28.65,88.81,3.33
2019,9,2,25.93,28.46,86.38,4.58
2019,9,3,26.44,28.47,89.0,5.28
2019,9,4,26.75,28.55,90.0,4.84
2019,9,5,26.43,28.47,88.75,5.22
2019,9,6,26.34,28.34,89.0,5.47
2019,9,7,26.47,28.28,89.94,6.67
2019,9,8,26.15,28.11,89.12,5.55
2019,9,9,26.49,28.16,90.62,5.28
2019,9,10,26.61,28.07,91.69,4.51
2019,9,11,26.68,27.99,92.5,5.66
2019,9,12,25.66,27.43,90.06,7.3
2019,9,13,25.71,27.41,90.38,4.32
2019,9,14,25.64,27.98,87.25,2.8
2019,9,15,25.9,28.05,88.12,2.28
2019,9,16,25.66,28.11,86.62,2.07
2019,9,17,25.5,29.01,81.75,1.52
2019,9,18,25.88,29.07,83.12,1.76
2019,9,19,26.39,28.88,86.38,1.95
2019,9,20,26.22,28.8,86.06,1.95
2019,9,21,25.7,28.96,82.81,1.58
2019,9,22,25.79,29.01,83.0,1.72
2019,9,23,25.46,28.19,85.19,2.2
2019,9,24,25.64,27.81,87.94,2.48
2019,9,25,23.74,27.87,78.44,2.01
2019,9,26,24.07,27.86,79.94,2.12
2019,9,27,24.4,27.9,81.44,3.1
2019,9,28,24.26,27.79,81.31,1.97
2019,9,29,24.08,27.51,81.62,1.63
2019,9,30,24.33,27.45,83.0,2.37
