YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.98,29.3,87.69,2.74
2019,9,2,26.25,28.73,86.62,4.07
2019,9,3,26.9,28.83,89.5,5.73
2019,9,4,26.98,28.7,90.38,5.16
2019,9,5,26.64,28.44,90,5.15
2019,9,6,26.57,28.6,88.88,5.53
2019,9,7,26.8,28.51,90.5,5.92
2019,9,8,26.55,28.48,89.44,5.24
2019,9,9,27.06,28.65,91.12,4.93
2019,9,10,27.3,28.55,92.88,4.24
2019,9,11,27.12,28.33,93.12,4.66
2019,9,12,26.6,27.97,92.19,6.38
2019,9,13,26.3,27.66,92.25,4.99
2019,9,14,25.86,28.01,88.25,3.31
2019,9,15,26.21,28.3,88.62,3.02
2019,9,16,26.08,28.08,89,2.64
2019,9,17,25.84,28.98,83.62,1.95
2019,9,18,25.65,29.06,82.38,2.02
2019,9,19,25.69,29.33,81.38,1.51
2019,9,20,26.07,28.53,86.75,1.83
2019,9,21,25.78,28.85,83.81,1.59
2019,9,22,25.69,29.05,82.44,1.88
2019,9,23,25.93,27.58,90.75,2.9
2019,9,24,26.03,27.61,91.06,3.04
2019,9,25,24.84,27.12,87.31,2.52
2019,9,26,24.06,27.76,80.62,1.45
2019,9,27,24.48,27.5,84,1.84
2019,9,28,24.11,27.42,82.5,1.12
2019,9,29,24.05,26.94,84.31,1.28
2019,9,30,24.46,26.86,86.88,2.59
2019,10,1,24.73,26.46,90.19,2.9
2019,10,2,25.16,27.69,86.44,2.03
2019,10,3,25.59,27.63,88.81,2.52
2019,10,4,24.94,27.54,86.06,1.73
2019,10,5,25.08,27.61,86.44,1.67
2019,10,6,24.99,27.66,85.88,1.73
2019,10,7,24.47,26.66,87.88,1.98
2019,10,8,24.19,27.11,84.25,1.99
2019,10,9,23.98,26.43,86.44,1.62
2019,10,10,24.31,26.08,89.94,3.22
2019,10,11,23.96,27.09,83.38,1.5
2019,10,12,23.52,27.39,79.69,1.33
2019,10,13,23.26,26.68,81.88,2.52
2019,10,14,23.26,26.6,82.56,2.7
2019,10,15,23.48,27.07,81.44,1.81
2019,10,16,23.8,27.94,78.81,1.2
2019,10,17,24.46,27.87,82.19,1.76
2019,10,18,24.57,27.9,82.5,2.26
2019,10,19,24.4,27.43,83.81,2.52
2019,10,20,24.44,27.22,85.25,2.89
2019,10,21,24.13,27.08,84.44,2.46
2019,10,22,24.16,27.15,84,1.99
2019,10,23,24.33,27,85.5,2.06
2019,10,24,22.46,24.41,89,4.57
2019,10,25,24.06,26.19,88.31,3.49
2019,10,26,25.26,26.91,90.75,3.51
2019,10,27,23.94,26.2,87.62,1.67
2019,10,28,22.9,24.91,88.81,3.56
2019,10,29,21.78,24.56,85,2.55
2019,10,30,21.76,24.9,83.31,2.25
2019,10,31,21.46,25.01,81.5,2.45
2019,11,1,21.83,25.3,81.69,2.74
2019,11,2,22.78,25.55,85.38,2.77
2019,11,3,22.41,25.7,82.88,2.09
2019,11,4,22.9,25.83,84.31,2.16
2019,11,5,21.9,25.8,80,1.88
2019,11,6,21.85,25.12,82.69,2.52
2019,11,7,20.81,25.34,77.06,2.32
2019,11,8,22.9,24.83,89,3.27
2019,11,9,24.39,25.4,94.06,7.14
2019,11,10,25.23,26.25,94,5.98
2019,11,11,23.05,24.61,91.06,3.8
2019,11,12,21.58,24.08,86.38,2.74
2019,11,13,20.95,23.6,85.5,2.79
2019,11,14,21.08,23.85,85.12,2.53
2019,11,15,20.87,23.83,84.19,2.52
2019,11,16,20.9,23.81,84.31,2.3
2019,11,17,20.11,23.4,82.44,2.07
2019,11,18,19.76,23.44,80.69,1.96
2019,11,19,18.96,23.33,77.25,1.82
2019,11,20,19.04,22.22,82.94,2.6
2019,11,21,17.69,22.08,77.31,2.2
2019,11,22,18.38,22.66,77.44,1.65
2019,11,23,19.31,23.01,80.44,1.7
2019,11,24,18.95,22.75,80,1.85
2019,11,25,19.33,22.91,80.75,1.91
2019,11,26,19.54,23.7,78.06,1.55
2019,11,27,19.43,23.46,78.56,1.51
2019,11,28,19.89,23.48,80.81,1.69
2019,11,29,20.29,23.38,83.44,1.52
2019,11,30,19.99,23.15,83.06,2.02
2019,12,1,19.14,21.76,85.5,3.07
2019,12,2,17.97,20.84,84.06,3.23
2019,12,3,15.87,19.89,78.94,2.66
2019,12,4,17.27,19.93,85.25,3.38
2019,12,5,16.4,21.44,74.94,1.65
2019,12,6,16.77,22.95,68.5,1.09
2019,12,7,17.51,22.16,76,1.95
2019,12,8,16.8,22.61,70.5,1.32
2019,12,9,17.7,22.42,74.94,1.11
2019,12,10,16.83,20.91,78.62,2.07
2019,12,11,16.1,20.62,76.69,1.94
2019,12,12,15.69,20.56,74.31,2.6
2019,12,13,15.56,20.4,74.56,1.91
2019,12,14,16.15,20.67,76.25,1.89
2019,12,15,17.32,20.58,82.19,2.54
2019,12,16,17.74,20.07,86.44,2.98
2019,12,17,17.01,19.46,86.25,3.19
2019,12,18,15.64,17.92,86.88,4.3
2019,12,19,13.58,15.65,87.25,3.7
2019,12,20,12.48,15.8,81.25,2.73
2019,12,21,12.85,16.1,81.81,2.77
2019,12,22,13.44,15.79,86.19,3.48
2019,12,23,14.62,16.75,87,3.82
2019,12,24,14.11,16.76,84.69,3.75
2019,12,25,13.66,16.3,84.38,3.25
2019,12,26,14.66,17.55,84.44,3.18
2019,12,27,13.74,15.33,90.56,3.42
2019,12,28,12.61,15.05,86.44,4.02
2019,12,29,13.58,16.02,85.5,3.42
2019,12,30,14.3,16.98,84.19,2.3
2019,12,31,14.68,17.65,83.12,2.46
2020,1,1,14.8,19.54,75.06,2.16
2020,1,2,16.17,19.44,81.75,2.38
2020,1,3,16.55,18.4,89.12,2.98
2020,1,4,15.14,18.46,81.31,1.05
2020,1,5,16.43,18.32,89.06,2.78
2020,1,6,13.31,16.11,84.5,3.92
2020,1,7,12.31,15.5,82.06,3.05
2020,1,8,13.17,16.18,82.94,3.28
2020,1,9,14.29,17.3,83.19,2.56
2020,1,10,15.51,17.71,87.44,3.6
2020,1,11,13.54,15.48,88.69,4.1
2020,1,12,13.29,15.51,86.56,4.12
2020,1,13,12.58,15.87,81.25,2.71
2020,1,14,12.94,16.43,80.5,2.07
2020,1,15,14.88,17.39,85.56,2.56
2020,1,16,15.57,18.5,83.25,2.72
2020,1,17,15.74,19.89,78.25,2.12
2020,1,18,14.83,21.06,69.31,1.24
2020,1,19,15.23,20.17,73.88,1.98
2020,1,20,15.4,17.69,86.75,3.62
2020,1,21,12.12,16.41,77.38,3.57
2020,1,22,11.71,15.97,77.38,3.52
2020,1,23,13.74,18.16,76,1.88
2020,1,24,13.15,17.66,76.44,2.51
2020,1,25,10.73,16.4,70.88,2.76
2020,1,26,10.69,16.47,69.94,2.27
2020,1,27,11.57,16.65,73.06,2.27
2020,1,28,13.05,18.15,73.19,1.79
2020,1,29,14.48,18.89,75.94,1.48
2020,1,30,16.09,18.6,85.56,1.39
2020,1,31,16.08,18.68,84.62,2.22
2020,2,1,13.94,18.12,78,2.33
2020,2,2,12.56,17.74,72.62,2.54
2020,2,3,10.5,15.92,72.38,3.46
2020,2,4,10.12,15.74,71.19,3.52
2020,2,5,11.8,17.4,70.88,2.55
2020,2,6,12.99,18.54,70.81,2.78
2020,2,7,13.33,18.37,73.44,2.7
2020,2,8,13.19,18.26,73.38,3.42
2020,2,9,13.76,18.11,76.38,3.94
2020,2,10,10.85,17.18,69.06,3.42
2020,2,11,11.1,17.28,67.88,2.68
2020,2,12,11.48,17.3,70.69,3.31
