YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.33,29.7,87.44,1.98
2019,9,2,27.33,29.44,88.62,2.76
2019,9,3,26.27,28,90.38,2.93
2019,9,4,26.38,27.83,91.81,3.28
2019,9,5,26.45,28.62,88.44,3.7
2019,9,6,26.76,28.85,88.88,4.02
2019,9,7,26.9,28.68,90.38,4.56
2019,9,8,26.98,29,89.19,4.41
2019,9,9,27.03,29.13,88.81,3.45
2019,9,10,26.75,28.51,90.31,3.49
2019,9,11,27.19,29,90.25,3.38
2019,9,12,26.84,28.08,93.06,4.69
2019,9,13,26.26,28.01,90.44,4.08
2019,9,14,26.41,28.5,88.88,3.64
2019,9,15,26.74,28.93,88.38,3.08
2019,9,16,26.75,28.1,92.38,3.07
2019,9,17,25.98,27.85,89.69,2.06
2019,9,18,25.08,29.11,79.69,1.41
2019,9,19,25.15,29.52,78.12,1.41
2019,9,20,25.44,29.6,78.75,1.36
2019,9,21,25.28,30.08,76.12,0.88
2019,9,22,25.37,29.62,78.44,1.25
2019,9,23,25.32,27.69,87.06,2.17
2019,9,24,25.19,26.43,92.88,3.17
2019,9,25,24.22,25.44,92.88,2.91
2019,9,26,23.9,26.37,86.56,1.55
2019,9,27,23.56,26.87,82.44,0.8
2019,9,28,23.67,25.89,87.62,1.59
2019,9,29,22.82,24.33,91.25,2.11
2019,9,30,23.49,24.48,94.12,2.95
2019,10,1,24.91,26.48,91.31,2.67
2019,10,2,24.78,27.49,85.62,2.02
2019,10,3,24.66,27.58,84.5,1.87
2019,10,4,25.07,26.81,90.19,2.17
2019,10,5,24.51,27.43,84.5,1.59
2019,10,6,24.74,27.86,83.5,1.38
2019,10,7,25.15,27.11,89.06,1.59
2019,10,8,24.46,26.12,90.62,1.76
2019,10,9,23.42,25.8,87.12,1.48
2019,10,10,22.81,26.24,81.81,1.08
2019,10,11,22.76,26.83,78.75,1.2
2019,10,12,22.32,27.13,75.31,1.22
2019,10,13,22.11,25.76,80.69,1.98
2019,10,14,22.61,25.68,83.88,2.29
2019,10,15,23.2,26.56,82.56,1.69
2019,10,16,23.6,27.47,79.94,1.2
2019,10,17,23.69,27.32,81,1.52
2019,10,18,23.32,26.8,81.94,2.21
2019,10,19,22.69,25.9,83.12,2.48
2019,10,20,22.85,25.48,85.94,2.41
2019,10,21,23.16,25.15,89.19,2.88
2019,10,22,22.13,24.65,86.44,2.62
2019,10,23,20.19,23.58,81.94,1.7
2019,10,24,20.51,22.33,89.5,1.62
2019,10,25,21.62,22.85,92.75,3.7
2019,10,26,22.62,24.07,91.81,2.18
2019,10,27,21.35,23.51,88.06,2.09
2019,10,28,20.49,22.57,88.31,2.7
2019,10,29,21.08,23.23,88.25,2.22
2019,10,30,21.99,24.57,86.25,1.98
2019,10,31,21.89,24.62,85.5,2.12
2019,11,1,21.81,24.45,85.75,2.23
2019,11,2,22.11,24.45,87.31,2.53
2019,11,3,21.97,24.7,85.44,2.05
2019,11,4,22.18,24.92,85.25,2.09
2019,11,5,21.4,24.38,84.25,1.89
2019,11,6,19.05,23.41,78.19,1.98
2019,11,7,19.15,23.26,78.69,2.12
2019,11,8,21.58,24.17,86.12,1.99
