YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.24,28.33,88.38,3.93
2019,9,2,26.08,28.48,86.88,5.84
2019,9,3,26.3,28.76,86.56,5.95
2019,9,4,26.67,28.8,88.25,5.92
2019,9,5,26.34,28.62,87.44,6.15
2019,9,6,26.2,28.49,87.38,6.87
2019,9,7,26.27,28.39,88.25,7.3
2019,9,8,25.95,28.19,87.62,6.12
2019,9,9,26.3,28.19,89.44,5.72
2019,9,10,26.46,28.31,89.62,4.9
2019,9,11,26.44,28.16,90.25,6.48
2019,9,12,25.39,27.67,87.31,7.82
2019,9,13,25.58,27.63,88.5,4.45
2019,9,14,25.4,28.3,84.31,2.88
2019,9,15,25.65,28.08,86.56,2.2
2019,9,16,25.52,28.39,84.44,2.03
2019,9,17,25.46,29.07,81,1.62
2019,9,18,26,29.05,83.62,2.12
2019,9,19,26.32,28.8,86.38,2.28
2019,9,20,25.98,28.85,84.44,2.09
2019,9,21,25.91,28.83,84.25,2.02
2019,9,22,25.78,28.88,83.44,2.09
2019,9,23,25.87,28.23,86.94,3.22
2019,9,24,25.71,28.23,86.06,3.08
2019,9,25,23.85,28.28,77.06,2.29
2019,9,26,23.86,28.19,77.31,2.43
2019,9,27,24.71,28.15,81.56,3.66
2019,9,28,24.33,27.7,81.81,2.09
2019,9,29,23.84,27.73,79.38,1.7
2019,9,30,24.31,27.69,81.75,2.53
2019,10,1,24.41,27.14,85,2.45
2019,10,2,24.79,27.32,85.94,3.17
2019,10,3,24.75,27.9,82.88,2.24
2019,10,4,24.4,27.82,81.62,1.66
2019,10,5,24.42,27.98,80.94,1.38
2019,10,6,24.55,28,81.5,1.91
2019,10,7,23.7,27.18,81.38,1.52
2019,10,8,24.04,27.76,80.12,1.8
2019,10,9,23.96,27.18,82.56,1.41
2019,10,10,24.49,26.74,87.38,4.06
2019,10,11,24.51,27.04,85.94,3.44
2019,10,12,23.73,27.48,80,1.71
2019,10,13,23.8,28.11,77.44,3.3
2019,10,14,23.63,28.24,76.25,3.12
2019,10,15,24.26,28.15,79.44,2.27
2019,10,16,23.71,28.16,76.81,1.83
2019,10,17,24.58,28.3,80.31,2.91
2019,10,18,25.04,28.8,80.12,2.72
2019,10,19,24.95,28.83,79.56,2.39
2019,10,20,24.98,28.79,79.88,3.17
2019,10,21,24.94,28.44,81.25,2.93
2019,10,22,24.34,28.54,77.94,2.45
2019,10,23,24.4,28.21,79.81,2.23
2019,10,24,24.62,28.35,80.25,2.94
2019,10,25,24.83,28.29,81.56,2.64
2019,10,26,24.48,28.55,78.62,1.7
2019,10,27,23.58,28.05,76.75,1.56
2019,10,28,24.17,27.56,81.75,3.13
2019,10,29,23.6,27.4,79.75,3.35
2019,10,30,22.86,27.08,77.62,2.8
2019,10,31,22.05,27.2,73.44,2.97
2019,11,1,22.08,27.01,74.44,4.09
2019,11,2,22.53,27.58,74,2.75
2019,11,3,22.56,27.67,73.75,2.61
2019,11,4,22.58,27.58,74.12,2.45
2019,11,5,21.67,27.54,70.5,1.73
2019,11,6,21.51,27.31,70.62,2.28
2019,11,7,22.27,27.9,71.62,1.78
2019,11,8,24.32,26.96,85.38,4.29
2019,11,9,25.05,26.99,89.12,7.2
2019,11,10,24.99,27.17,87.88,8.03
2019,11,11,23.8,26.3,86,3.8
2019,11,12,22.82,26.35,80.88,2.88
