YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.08,29.82,86.12,1.35
2019,9,2,26.16,28.47,88,2.66
2019,9,3,26.5,28.34,90,3.27
2019,9,4,26.49,28.08,91.31,2.91
2019,9,5,26.32,27.85,91.56,3.09
2019,9,6,26.37,28.23,89.94,3.53
2019,9,7,26.17,27.54,92.38,4.45
2019,9,8,26.34,27.89,91.5,4.52
2019,9,9,26.72,28.26,91.56,4.55
2019,9,10,27.05,28.02,94.38,3.44
2019,9,11,26.67,28.02,92.5,3.91
2019,9,12,26.37,27.5,93.5,5.67
2019,9,13,26.04,27.05,94.19,4.17
2019,9,14,25.83,27.48,90.94,2.84
2019,9,15,26.05,28.05,89.31,2.45
2019,9,16,25.99,27.8,90.19,2.23
2019,9,17,25.46,28.73,83.38,1.26
2019,9,18,25.29,29.44,79.06,0.87
2019,9,19,25.26,29.46,78.56,1.11
2019,9,20,25.08,29,80.06,1.19
2019,9,21,25.64,28.94,82.88,0.91
2019,9,22,25.53,28.33,85.31,1.27
2019,9,23,24.64,27.15,86.62,1.5
2019,9,24,24.6,26.48,89.56,1.66
2019,9,25,24.55,25.99,91.88,2.07
2019,9,26,23.87,26.33,86.75,1.52
2019,9,27,23.73,26.01,87.56,1.9
2019,9,28,23.67,26.01,87.31,1.38
2019,9,29,24.14,25.59,91.81,1.27
2019,9,30,24.3,25.92,91.06,2.3
2019,10,1,24.46,25.76,92.69,3.12
2019,10,2,24.73,26.55,90.19,2.55
2019,10,3,25.23,27.08,90.06,2.27
2019,10,4,24.93,27.05,88.56,1.77
2019,10,5,24.87,27.07,88.12,1.74
2019,10,6,24.8,27.06,87.75,1.53
2019,10,7,24.55,26.85,87.81,1.51
2019,10,8,23.99,26.34,87.25,1.19
2019,10,9,23.66,25.56,89.5,1.47
2019,10,10,23.93,25.07,93.44,2.45
2019,10,11,24.17,25.99,90.06,2.2
2019,10,12,23.52,26.27,85.44,1.62
2019,10,13,22.3,25.35,84,2.2
2019,10,14,22.19,25.55,82.81,1.77
2019,10,15,23.16,26.1,84.75,1.67
2019,10,16,23.5,27.18,81.25,1.26
2019,10,17,24.05,27.02,84.25,1.53
2019,10,18,24.19,27.28,83.56,1.64
2019,10,19,23.9,27.1,83.12,1.63
2019,10,20,23.65,26.29,86,1.93
2019,10,21,23.58,26.07,86.62,1.83
2019,10,22,23.92,26.22,87.44,1.43
2019,10,23,23.44,25.6,88.25,2.03
2019,10,24,21.27,22.66,91.88,3.25
2019,10,25,22.86,24.66,90.12,2.48
2019,10,26,24.84,25.76,94.69,2.62
2019,10,27,24.05,25.73,90.75,1.68
2019,10,28,22.3,24.25,89.25,2.42
2019,10,29,21.89,24.17,87.56,1.93
2019,10,30,21.66,24.79,83.31,1.51
2019,10,31,21.32,25.01,80.69,1.36
2019,11,1,22.08,24.98,84.5,1.53
2019,11,2,21.23,25.13,79.75,1.25
2019,11,3,20.69,25.12,77.31,0.98
2019,11,4,21.68,24.99,82.31,1.5
2019,11,5,21.61,25.33,80.69,1.23
2019,11,6,20.87,24.48,81.12,1.7
2019,11,7,20.26,24.8,77.31,1.52
2019,11,8,22.44,23.83,92,1.66
2019,11,9,22.63,23.39,95.38,3.98
2019,11,10,22.9,23.73,95,4.5
2019,11,11,22.8,24.12,92.44,2.44
2019,11,12,20.8,23.19,87,2.02
2019,11,13,20.24,23.12,84.56,1.84
2019,11,14,20.87,23.94,83.75,1.52
2019,11,15,20.48,23.98,81.44,1.25
2019,11,16,19.93,23.79,79.75,0.9
2019,11,17,19.18,23.48,77.31,0.77
2019,11,18,19.06,23.23,78.12,1.11
2019,11,19,18.35,23.11,75.31,0.86
2019,11,20,18.01,22,78.5,1.16
2019,11,21,17.21,21.49,77.81,1.22
2019,11,22,16.5,21.22,75.25,1.15
2019,11,23,17.27,21.44,77.88,1.34
2019,11,24,17.79,21.25,81.38,1.41
2019,11,25,17.58,21.22,80.62,1.35
2019,11,26,17.88,21.84,79.5,1.2
2019,11,27,18.12,21.91,80.25,1.23
2019,11,28,19.27,22.57,82.44,1.3
2019,11,29,19.49,22.6,83.19,1.17
2019,11,30,18.99,22.3,82.12,1.23
2019,12,1,18.25,20.9,85.44,1.84
2019,12,2,16.65,19.48,84.12,2.23
2019,12,3,14.64,19.22,75.44,1.33
2019,12,4,15.3,18.99,80,1.76
2019,12,5,16.11,20.48,77.94,1.67
2019,12,6,17.16,20.73,81.38,1.84
2019,12,7,16.98,20.76,80,1.73
2019,12,8,16.06,21.5,72.12,1.08
2019,12,9,16.35,20.87,76.38,1.06
2019,12,10,16.2,20.4,77.44,1.18
2019,12,11,15.44,20.15,75,1.17
2019,12,12,14.8,19.29,76.19,1.63
2019,12,13,14.23,18.74,76.62,1.4
2019,12,14,14.52,19.47,74.62,1.39
2019,12,15,15.63,19.58,78.56,1.49
2019,12,16,16.65,19.2,86.12,1.78
2019,12,17,16.01,18.51,86.44,1.82
2019,12,18,14.84,16.56,89.19,2.76
2019,12,19,13.32,14.86,89.25,2.16
2019,12,20,12.53,14.81,85.19,1.7
2019,12,21,13.01,14.79,88.94,1.59
2019,12,22,12.83,14.65,87.5,2.12
2019,12,23,13.67,15.64,87.88,2.42
2019,12,24,12.98,15.4,85.19,2.3
2019,12,25,12.57,15.02,84.88,2.1
2019,12,26,13.26,16.66,81.94,1.96
2019,12,27,13.04,14.89,89.19,2.17
2019,12,28,11.86,14.24,86.44,2.23
2019,12,29,13.51,15.78,85.31,2.19
2019,12,30,14.03,17.92,78.62,1.15
2019,12,31,15.32,19.18,79.19,1.02
2020,1,1,16.29,20.55,78,1.27
2020,1,2,17.44,20.26,83.81,1.62
2020,1,3,16.65,17.82,93,1.85
2020,1,4,15.29,17.63,86.94,1.87
2020,1,5,15.65,17.72,88.19,1.74
2020,1,6,12.34,14.96,85,2.68
2020,1,7,11.33,14.46,82.62,1.91
2020,1,8,12.73,15.63,83.75,2.16
2020,1,9,13.76,16.87,83.12,1.28
2020,1,10,14.43,16.75,87,2.35
2020,1,11,13.04,14.81,89.31,2.56
2020,1,12,13.28,15.15,87.94,2.52
2020,1,13,12.92,15.3,85.56,1.91
2020,1,14,13.05,15.97,83.19,1.48
2020,1,15,14.24,17.01,84.38,1.77
2020,1,16,15.06,18.36,81.44,1.97
2020,1,17,15.86,19.26,81.38,1.95
2020,1,18,14.68,20.29,72.38,1.45
2020,1,19,15.71,19.21,81.56,1.98
2020,1,20,14.38,16.74,86.44,2.43
2020,1,21,10.86,14.97,78.06,2.35
2020,1,22,10.45,14.58,77.94,2.39
2020,1,23,11.8,15.99,77.44,2.02
2020,1,24,11.06,15.84,75.44,2.15
2020,1,25,9.64,15,71.69,2
2020,1,26,10.09,14.86,74.25,1.88
2020,1,27,10.37,15.37,72.94,1.55
2020,1,28,11.18,16.55,72.31,1.59
2020,1,29,12.04,16.44,75.94,1.41
2020,1,30,14.21,18.1,79.06,1.59
2020,1,31,15.13,17.87,84.75,1.84
2020,2,1,12.84,16.69,79.56,2.23
2020,2,2,10.75,16.15,71.44,2.18
2020,2,3,9.33,14.2,74.5,2.74
2020,2,4,9.76,14.55,74.81,2.71
2020,2,5,11.03,16.01,73.62,2.14
2020,2,6,11.26,16.72,71.75,2.52
2020,2,7,10.95,16.71,70.44,2.28
2020,2,8,11.68,17.51,70.38,2.29
2020,2,9,12.84,18.05,73,1.91
2020,2,10,10.17,15.9,71.38,2.68
2020,2,11,10.88,16.04,72.81,2.51
2020,2,12,10.31,15.98,71.19,2.88
2020,2,13,9.84,17.24,63.44,1.74
2020,2,14,11.86,17.3,71.94,2.43
2020,2,15,16.26,18.57,86.19,2.92
2020,2,16,15.52,19.8,76.75,1.64
2020,2,17,14.37,20.39,69.31,1.27
2020,2,18,13.73,20.35,66.56,1.71
2020,2,19,13.65,20.49,65.81,1.46
2020,2,20,12.98,20.49,63.75,1.6
2020,2,21,12.89,20.97,62.5,1.7
2020,2,22,13.65,21.8,60.69,1.45
2020,2,23,15.26,22.01,66.88,2.01
2020,2,24,16.94,21.53,76.56,2.27
2020,2,25,17.02,20.95,79.56,2.34
2020,2,26,16.44,20.18,80.81,2.16
2020,2,27,14.81,19.86,74.94,1.79
2020,2,28,13.65,20.48,67.31,1.77
2020,2,29,14,21.15,65.62,1.66
2020,3,1,14.57,21.9,64.88,1.66
2020,3,2,14.55,22.76,61.81,1.56
2020,3,3,16.82,22.7,70.69,1.48
2020,3,4,17.27,22.54,73.56,1.77
2020,3,5,17.94,23.16,73.38,1.8
2020,3,6,17.94,23.23,73.69,1.77
2020,3,7,18.18,22.61,77.25,1.89
2020,3,8,19.2,23.49,77.81,2.16
2020,3,9,15.87,22.85,66.62,1.83
2020,3,10,13.15,21.59,61.19,2.54
2020,3,11,14.59,22.83,61.56,2.04
2020,3,12,17.33,24.97,64.5,1.9
2020,3,13,17.33,25.51,63.19,2.25
2020,3,14,17.62,25.26,65.75,2.59
2020,3,15,16.21,24.01,66.25,3
2020,3,16,16.32,24.46,63.69,2.79
2020,3,17,15.94,24.19,62.38,2.63
2020,3,18,15.5,24.53,59.25,2.24
2020,3,19,14.09,24.68,54.75,2.15
2020,3,20,14.36,24.58,54.69,1.95
2020,3,21,14.48,25.3,54.5,1.65
2020,3,22,17.34,24.58,67.12,1.32
2020,3,23,15.34,24.44,59.19,1.92
2020,3,24,15.83,24.62,60.5,1.7
2020,3,25,17.04,25.4,64,2.05
2020,3,26,16.87,26.98,55.88,1.83
