-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  23.7263   Longitude 90.3976 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,RH2M,WS10M,T2MDEW,T2MWET,T2M
2019,9,1,85.75,1.33,27.05,28.44,29.83
2019,9,2,88.69,3.2,26.58,27.64,28.7
2019,9,3,89.88,4.31,26.75,27.69,28.62
2019,9,4,92.31,3.69,26.9,27.59,28.28
2019,9,5,91.31,4.05,26.62,27.4,28.19
2019,9,6,89.44,4.27,26.58,27.56,28.54
2019,9,7,92.38,4.9,26.43,27.11,27.79
2019,9,8,90.56,4.8,26.75,27.62,28.49
2019,9,9,90.31,4.52,27.14,28.05,28.94
2019,9,10,91.75,3.38,27.18,27.92,28.66
2019,9,11,91.5,3.86,27.04,27.81,28.59
2019,9,12,93.25,5.27,26.75,27.34,27.94
2019,9,13,93.06,4.65,26.4,27.01,27.62
2019,9,14,90.31,3.25,26.17,27.05,27.93
2019,9,15,88.56,3.02,26.37,27.45,28.52
2019,9,16,90.12,2.73,26.3,27.21,28.12
2019,9,17,83.69,1.63,25.69,27.29,28.87
2019,9,18,76.56,1.0,25.1,27.47,29.83
2019,9,19,77.31,1.24,25.29,27.57,29.85
2019,9,20,84.0,1.62,25.81,27.33,28.85
2019,9,21,80.69,1.12,25.69,27.6,29.51
2019,9,22,82.5,1.31,25.7,27.39,29.07
2019,9,23,86.44,1.89,25.16,26.44,27.7
2019,9,24,91.81,2.34,25.41,26.14,26.87
2019,9,25,90.81,2.59,24.74,25.55,26.37
2019,9,26,85.44,1.54,24.04,25.4,26.76
2019,9,27,84.31,1.57,23.98,25.46,26.94
2019,9,28,85.38,1.41,23.7,25.06,26.43
2019,9,29,89.94,1.53,23.86,24.75,25.65
2019,9,30,89.25,2.35,24.44,25.42,26.4
2019,10,1,91.75,3.57,24.94,25.68,26.41
2019,10,2,85.94,2.1,24.63,25.97,27.3
2019,10,3,87.44,2.15,25.35,26.54,27.73
2019,10,4,86.94,1.97,25.06,26.29,27.51
2019,10,5,87.0,1.85,25.05,26.26,27.47
2019,10,6,87.62,1.64,25.04,26.19,27.33
2019,10,7,87.56,1.79,24.87,26.03,27.19
2019,10,8,86.0,1.48,24.2,25.49,26.79
2019,10,9,88.44,1.68,23.7,24.75,25.79
2019,10,10,91.12,2.82,24.08,24.87,25.65
2019,10,11,87.0,1.96,24.19,25.41,26.63
2019,10,12,82.44,1.7,23.56,25.23,26.9
2019,10,13,83.56,2.48,22.73,24.29,25.83
2019,10,14,83.69,2.54,22.73,24.3,25.87
2019,10,15,82.25,1.66,23.37,25.12,26.86
2019,10,16,80.38,1.36,23.82,25.74,27.67
2019,10,17,78.25,1.09,23.94,26.08,28.23
2019,10,18,81.62,1.7,24.37,26.12,27.86
2019,10,19,83.81,2.38,23.8,25.32,26.85
2019,10,20,86.12,2.53,23.76,25.07,26.37
2019,10,21,86.12,2.26,23.71,25.01,26.31
2019,10,22,86.81,2.02,24.03,25.25,26.47
2019,10,23,87.0,2.37,23.29,24.49,25.69
2019,10,24,90.44,3.99,20.72,21.55,22.37
