-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  25.6229   Longitude 88.6435 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 33.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.25,29.51,88.06,2.1
2019,9,2,27.73,29.74,89.38,2.27
2019,9,3,26.48,27.92,91.88,2.52
2019,9,4,26.24,27.43,93.25,2.66
2019,9,5,26.27,28.13,89.94,3.28
2019,9,6,26.72,28.8,89.0,3.53
2019,9,7,27.05,28.91,90.0,4.29
2019,9,8,26.92,28.81,89.81,4.05
2019,9,9,27.09,29.03,89.69,2.94
2019,9,10,26.76,28.24,91.81,3.15
2019,9,11,27.07,28.67,91.25,2.98
2019,9,12,26.9,28.05,93.56,4.43
2019,9,13,26.19,27.83,91.0,3.48
2019,9,14,26.51,28.33,90.12,3.34
2019,9,15,26.74,28.63,89.81,2.6
2019,9,16,26.8,27.76,94.44,2.78
2019,9,17,25.69,27.33,90.88,2.52
2019,9,18,24.99,28.22,83.25,1.54
2019,9,19,25.14,28.79,81.38,1.34
2019,9,20,25.6,28.9,82.62,1.37
2019,9,21,25.33,29.43,79.31,0.73
2019,9,22,25.5,29.08,81.69,1.12
2019,9,23,25.37,27.01,90.81,2.03
2019,9,24,25.05,26.08,94.0,2.88
2019,9,25,24.28,25.42,93.44,3.01
2019,9,26,23.96,26.01,88.81,1.73
2019,9,27,23.74,26.08,87.12,0.95
2019,9,28,23.98,25.22,92.88,2.27
2019,9,29,22.89,23.69,95.19,3.23
2019,9,30,23.13,23.83,95.75,3.52
2019,10,1,24.51,25.97,91.88,3.23
2019,10,2,24.74,26.98,88.0,1.72
2019,10,3,24.65,27.26,85.94,1.86
2019,10,4,24.68,26.76,88.62,1.77
2019,10,5,24.56,27.01,86.81,1.59
2019,10,6,24.24,27.69,81.81,0.83
2019,10,7,24.48,27.4,84.31,0.73
2019,10,8,24.41,25.76,92.25,1.47
2019,10,9,23.29,25.03,90.19,1.65
2019,10,10,22.85,25.76,84.62,1.27
2019,10,11,22.86,25.73,84.62,1.55
2019,10,12,22.64,25.48,84.94,1.8
