-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  23.6055   Longitude 89.8374 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.89,29.52,86.31,1.47
2019,9,2,26.67,28.67,89.19,2.7
2019,9,3,26.88,28.6,90.69,4.22
2019,9,4,27.06,28.31,93.0,3.77
2019,9,5,26.7,28.23,91.56,4.16
2019,9,6,26.65,28.62,89.44,4.34
2019,9,7,26.58,28.03,91.94,4.8
2019,9,8,26.89,28.66,90.44,4.4
2019,9,9,27.11,29.07,89.56,3.61
2019,9,10,27.06,28.8,90.56,2.93
2019,9,11,27.1,28.75,91.06,3.18
2019,9,12,26.48,27.62,93.44,4.2
2019,9,13,26.24,27.57,92.56,4.3
2019,9,14,26.2,27.91,90.62,3.15
2019,9,15,26.48,28.59,88.81,3.02
2019,9,16,26.26,28.06,90.12,2.73
2019,9,17,25.9,28.58,86.0,1.77
2019,9,18,25.37,29.42,79.75,1.41
2019,9,19,25.32,29.69,78.56,1.12
2019,9,20,25.84,28.69,85.06,1.57
2019,9,21,25.53,29.19,81.19,1.24
2019,9,22,25.62,28.82,83.31,1.45
2019,9,23,25.31,27.57,87.94,2.22
2019,9,24,25.91,27.05,93.5,2.8
2019,9,25,24.83,26.36,91.44,2.97
2019,9,26,24.01,27.08,83.94,1.24
2019,9,27,24.19,27.19,84.25,1.16
2019,9,28,23.98,26.48,86.44,1.31
2019,9,29,23.5,25.53,88.69,1.52
2019,9,30,24.26,26.06,90.0,2.08
2019,10,1,25.13,26.69,91.31,3.15
2019,10,2,24.55,27.67,83.88,1.45
2019,10,3,25.32,27.9,86.38,1.73
2019,10,4,25.08,27.59,86.56,1.82
2019,10,5,24.84,27.41,86.12,1.56
2019,10,6,25.11,27.4,87.69,1.64
2019,10,7,24.86,26.93,88.69,1.68
2019,10,8,24.48,26.66,88.06,1.62
2019,10,9,23.91,25.62,90.44,2.2
2019,10,10,24.01,25.86,89.75,2.27
2019,10,11,24.15,26.98,85.06,1.07
2019,10,12,23.38,27.18,80.19,1.44
2019,10,13,22.85,26.12,82.62,2.32
2019,10,14,22.83,25.86,84.12,2.73
2019,10,15,23.3,27.05,80.81,1.45
2019,10,16,23.91,27.73,80.44,0.93
2019,10,17,24.06,28.23,79.12,0.9
2019,10,18,24.48,27.8,82.5,1.64
2019,10,19,23.85,26.64,85.12,2.6
2019,10,20,23.73,26.34,86.12,2.64
2019,10,21,23.71,26.3,86.19,2.29
2019,10,22,23.83,26.3,86.62,2.18
2019,10,23,22.91,25.5,86.12,2.37
2019,10,24,20.47,22.11,90.44,3.5
2019,10,25,22.53,23.9,92.19,3.47
2019,10,26,24.64,25.72,93.81,2.52
