-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  23.9945   Longitude 90.3843 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.03,29.45,87.38,1.7
2019,9,2,26.66,28.72,88.94,3.12
2019,9,3,26.77,28.74,89.38,3.44
2019,9,4,26.71,28.14,92.06,3.12
2019,9,5,26.61,28.38,90.38,3.52
2019,9,6,26.57,28.34,90.38,3.7
2019,9,7,26.47,27.85,92.25,4.38
2019,9,8,26.76,28.52,90.44,4.63
2019,9,9,27.08,28.97,89.88,4.3
2019,9,10,26.98,28.79,90.25,3.24
2019,9,11,27.0,28.69,90.88,3.78
2019,9,12,26.74,27.82,93.81,4.92
2019,9,13,26.32,27.74,92.12,4.56
2019,9,14,26.12,27.85,90.5,3.12
2019,9,15,26.37,28.61,88.12,2.9
2019,9,16,26.32,28.17,89.88,2.74
2019,9,17,25.73,28.81,84.12,1.65
2019,9,18,25.1,29.55,77.94,1.05
2019,9,19,24.94,29.88,75.56,1.0
2019,9,20,25.56,28.85,82.81,1.34
2019,9,21,25.5,29.48,79.81,0.87
2019,9,22,25.68,29.05,82.5,1.25
2019,9,23,25.13,27.83,85.75,1.63
2019,9,24,25.04,26.46,91.94,2.09
2019,9,25,24.45,25.93,91.62,2.49
2019,9,26,23.71,26.33,85.94,1.59
2019,9,27,23.85,26.44,86.06,1.58
2019,9,28,23.55,25.94,87.06,1.38
2019,9,29,23.62,25.54,89.31,1.63
2019,9,30,24.31,26.05,90.38,2.09
2019,10,1,24.88,26.13,92.88,3.73
2019,10,2,24.46,27.13,86.0,2.07
2019,10,3,24.87,27.58,85.81,1.67
2019,10,4,25.06,27.3,87.88,1.83
2019,10,5,24.92,27.36,86.94,1.86
2019,10,6,24.73,27.51,85.31,1.36
2019,10,7,24.83,27.17,87.31,1.42
2019,10,8,24.48,26.73,87.62,1.15
2019,10,9,23.87,25.86,89.0,1.61
2019,10,10,23.9,25.7,90.0,2.38
2019,10,11,24.12,26.51,87.31,1.75
2019,10,12,23.33,26.72,82.31,1.62
2019,10,13,22.23,25.42,83.06,2.3
2019,10,14,22.42,25.65,83.38,2.27
2019,10,15,23.05,26.78,81.19,1.52
2019,10,16,24.08,27.22,83.56,1.56
2019,10,17,24.07,27.48,82.25,1.38
2019,10,18,23.98,27.51,81.62,1.58
2019,10,19,23.31,26.56,83.06,2.23
2019,10,20,23.26,25.9,85.88,2.43
2019,10,21,23.56,25.83,87.75,2.38
2019,10,22,23.67,25.91,87.81,2.13
2019,10,23,22.4,24.9,86.56,2.21
2019,10,24,20.05,21.57,91.06,3.16
2019,10,25,22.1,23.23,93.44,3.66
2019,10,26,24.61,25.6,94.31,2.67
2019,10,27,23.38,25.3,89.5,2.17
2019,10,28,21.17,23.52,87.25,2.67
2019,10,29,21.35,23.7,87.25,2.09
2019,10,30,21.73,25.06,82.62,1.41
2019,10,31,21.69,24.97,83.0,1.74
2019,11,1,22.3,25.1,85.12,1.87
2019,11,2,21.8,25.37,81.56,1.33
2019,11,3,21.3,25.59,77.88,0.97
2019,11,4,21.9,25.65,80.31,1.3
2019,11,5,21.6,25.21,81.19,1.61
2019,11,6,20.84,24.33,81.69,1.81
2019,11,7,19.28,24.37,74.75,1.71
