-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  24.3896   Longitude 91.4135 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 9.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.5,29.03,86.38,1.93
2019,9,2,26.38,28.98,86.44,2.11
2019,9,3,26.4,29.33,85.06,1.77
2019,9,4,25.78,28.35,86.25,2.06
2019,9,5,26.36,28.95,86.38,2.11
2019,9,6,26.67,28.84,88.44,2.6
2019,9,7,26.74,28.81,88.88,3.06
2019,9,8,26.74,28.51,90.44,3.61
2019,9,9,26.92,28.77,90.06,4.21
2019,9,10,26.85,28.48,91.06,2.92
2019,9,11,26.98,28.75,90.5,3.15
2019,9,12,26.48,27.84,92.38,4.64
2019,9,13,26.3,27.75,91.94,4.4
2019,9,14,25.9,27.58,90.69,2.73
2019,9,15,26.25,28.57,87.69,2.35
2019,9,16,26.11,28.25,88.38,2.21
2019,9,17,25.49,29.0,82.06,1.32
2019,9,18,25.0,29.42,78.19,1.14
2019,9,19,24.79,29.83,75.25,1.21
2019,9,20,25.55,28.8,83.0,1.29
2019,9,21,25.45,28.97,81.94,1.02
2019,9,22,25.37,29.17,80.81,1.39
2019,9,23,25.07,27.65,86.38,1.16
2019,9,24,24.99,26.62,91.0,1.36
2019,9,25,23.66,25.9,87.69,1.31
2019,9,26,23.52,26.61,83.94,1.76
2019,9,27,23.73,26.7,84.56,1.74
2019,9,28,23.98,26.16,88.06,1.41
2019,9,29,23.61,25.73,88.31,1.39
2019,9,30,24.12,25.75,90.88,1.65
2019,10,1,24.3,25.64,92.38,2.96
2019,10,2,24.44,26.99,86.44,1.83
2019,10,3,24.44,27.33,84.75,1.3
2019,10,4,24.75,27.36,86.12,1.34
2019,10,5,24.9,27.58,85.75,1.52
2019,10,6,24.89,27.22,87.31,1.44
2019,10,7,24.65,27.24,86.19,1.12
2019,10,8,24.5,26.65,88.19,0.59
2019,10,9,23.62,26.48,85.12,1.2
2019,10,10,23.65,25.44,90.0,2.0
2019,10,11,23.74,26.4,85.88,1.52
2019,10,12,23.16,26.82,80.94,1.1
2019,10,13,21.55,25.71,78.81,1.62
2019,10,14,22.22,26.24,79.38,1.38
2019,10,15,23.18,26.87,80.88,1.61
2019,10,16,23.78,26.83,84.0,1.59
2019,10,17,24.01,27.23,83.19,1.37
2019,10,18,23.82,27.83,79.38,0.91
2019,10,19,23.34,27.48,78.81,1.34
2019,10,20,22.83,26.59,80.69,1.44
2019,10,21,23.37,25.9,86.38,2.1
2019,10,22,23.65,25.84,88.0,1.88
2019,10,23,21.98,24.99,84.06,1.65
2019,10,24,20.0,21.85,89.25,1.91
2019,10,25,21.61,22.62,94.0,3.19
2019,10,26,24.16,25.08,94.62,3.2
2019,10,27,23.43,25.39,89.25,2.27
2019,10,28,21.98,24.51,86.25,1.7
2019,10,29,22.62,24.87,87.62,1.62
2019,10,30,22.25,25.39,83.25,1.55
2019,10,31,20.87,25.42,76.75,1.06
2019,11,1,20.94,25.39,76.88,0.82
2019,11,2,21.15,25.15,79.19,1.21
2019,11,3,21.04,25.17,78.56,1.01
2019,11,4,20.96,25.34,77.31,1.08
2019,11,5,21.1,25.26,78.31,1.09
2019,11,6,20.39,24.6,78.38,1.37
2019,11,7,20.25,24.58,77.62,1.66
2019,11,8,21.87,23.87,88.75,2.1
2019,11,9,22.04,22.95,94.5,2.62
2019,11,10,21.55,22.75,92.94,5.44
2019,11,11,21.5,23.62,88.31,2.4
2019,11,12,20.79,23.42,86.0,1.97
2019,11,13,20.15,24.17,79.38,1.05
2019,11,14,20.48,24.6,79.06,1.13
2019,11,15,20.11,24.15,79.06,1.24
2019,11,16,19.39,23.86,77.12,0.77
2019,11,17,19.58,23.15,81.06,1.13
2019,11,18,18.91,23.01,78.69,1.05
2019,11,19,18.34,23.08,75.44,0.93
2019,11,20,18.08,21.76,80.19,1.07
2019,11,21,16.83,21.19,77.44,1.28
2019,11,22,17.05,21.08,78.44,1.25
2019,11,23,17.51,21.26,79.88,1.27
2019,11,24,17.68,21.15,81.5,1.26
2019,11,25,17.67,21.46,79.88,1.23
2019,11,26,18.11,22.0,79.56,1.3
2019,11,27,18.03,21.9,79.75,1.35
2019,11,28,18.58,22.61,79.06,1.35
2019,11,29,18.87,22.53,80.5,1.41
2019,11,30,18.4,22.33,79.12,1.4
2019,12,1,17.81,21.33,81.0,1.31
2019,12,2,15.88,20.16,77.25,1.22
2019,12,3,14.94,19.7,75.25,1.05
2019,12,4,15.15,19.67,76.06,1.34
2019,12,5,16.31,19.43,82.81,2.73
2019,12,6,15.05,18.92,79.0,2.7
2019,12,7,15.75,19.9,78.06,2.06
2019,12,8,15.87,20.86,74.62,1.45
2019,12,9,16.27,20.23,78.88,1.29
2019,12,10,16.11,19.86,79.75,1.34
2019,12,11,15.76,19.91,78.0,1.08
2019,12,12,15.21,19.08,79.19,1.59
2019,12,13,14.67,18.8,78.19,1.53
2019,12,14,14.23,19.83,72.75,1.23
2019,12,15,15.79,19.37,80.69,1.43
2019,12,16,16.26,19.31,83.31,1.56
2019,12,17,15.35,18.46,83.44,1.52
2019,12,18,14.22,17.05,84.25,1.8
2019,12,19,13.81,15.9,87.56,1.55
2019,12,20,13.2,16.09,83.44,1.08
2019,12,21,13.4,15.4,88.38,1.27
2019,12,22,13.2,15.52,86.81,1.26
2019,12,23,13.51,16.15,84.81,1.55
2019,12,24,12.86,16.08,82.56,1.52
2019,12,25,12.4,15.34,83.38,1.87
2019,12,26,12.19,17.22,73.12,1.58
2019,12,27,12.13,16.24,77.12,1.53
2019,12,28,12.42,15.47,83.12,1.66
2019,12,29,12.57,16.59,78.25,1.75
2019,12,30,12.83,17.15,77.06,1.91
2019,12,31,13.55,17.8,77.44,2.09
2020,1,1,15.26,19.09,79.31,2.37
2020,1,2,16.31,20.03,79.94,2.02
2020,1,3,16.0,17.35,91.94,2.3
2020,1,4,15.6,18.03,86.5,2.11
2020,1,5,14.65,17.01,86.75,2.05
2020,1,6,11.54,14.74,82.94,1.91
2020,1,7,11.39,15.21,79.25,1.69
2020,1,8,12.38,16.08,79.75,1.45
2020,1,9,13.27,16.55,81.62,1.6
2020,1,10,13.8,16.83,83.62,1.82
2020,1,11,13.16,16.08,84.25,1.67
2020,1,12,13.58,16.15,85.56,1.88
2020,1,13,13.37,16.53,82.38,1.56
2020,1,14,13.62,17.01,81.0,1.38
2020,1,15,14.13,17.28,82.31,1.7
2020,1,16,14.62,19.13,76.56,1.6
2020,1,17,15.26,19.53,77.75,1.9
2020,1,18,14.77,19.99,74.12,1.7
2020,1,19,15.74,19.22,81.75,2.44
2020,1,20,13.36,16.71,81.81,3.1
2020,1,21,9.87,15.48,70.81,1.61
2020,1,22,9.77,15.24,71.88,1.86
2020,1,23,10.83,15.29,76.75,2.36
2020,1,24,8.88,15.05,68.94,2.08
2020,1,25,8.97,15.55,67.12,1.78
2020,1,26,10.09,15.15,73.25,2.11
2020,1,27,10.73,15.37,75.5,1.66
2020,1,28,10.84,16.47,71.38,1.7
2020,1,29,11.26,16.19,73.75,1.44
2020,1,30,13.17,17.46,77.38,1.79
2020,1,31,14.12,17.55,81.38,1.98
2020,2,1,10.97,16.66,70.88,2.27
2020,2,2,9.63,15.91,68.31,2.54
2020,2,3,8.78,15.24,67.12,1.98
2020,2,4,9.83,15.8,70.25,1.8
2020,2,5,10.4,16.44,69.44,2.05
2020,2,6,9.8,17.08,64.44,2.04
2020,2,7,9.03,17.23,60.81,1.78
2020,2,8,10.54,18.31,62.88,1.61
2020,2,9,11.65,18.69,65.38,1.97
2020,2,10,10.02,16.99,66.62,2.09
2020,2,11,9.57,17.32,63.31,2.17
2020,2,12,9.12,17.51,60.81,2.63
2020,2,13,9.05,17.91,59.19,2.26
2020,2,14,11.08,18.58,64.0,2.2
2020,2,15,14.91,19.48,76.62,2.35
2020,2,16,14.85,20.73,71.19,1.62
2020,2,17,13.47,20.42,67.0,1.78
2020,2,18,12.63,20.52,62.69,2.07
2020,2,19,12.85,21.36,60.44,1.4
2020,2,20,12.88,20.55,63.88,1.92
2020,2,21,12.8,22.04,59.81,1.78
2020,2,22,13.4,22.87,56.81,1.62
2020,2,23,13.54,23.97,55.75,1.62
2020,2,24,15.74,23.12,65.12,1.88
2020,2,25,15.4,22.06,68.0,2.23
2020,2,26,15.54,20.97,73.19,2.22
2020,2,27,14.25,20.53,70.69,1.58
2020,2,28,12.94,21.55,60.94,1.73
2020,2,29,12.99,23.18,55.94,1.26
