YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.92,28.96,88.94,1.55
2019,9,2,26.73,28.62,89.75,2.28
2019,9,3,26.87,28.42,91.44,3.98
2019,9,4,27.05,28.3,93.06,3.63
2019,9,5,26.73,28.2,91.88,4.09
2019,9,6,26.68,28.63,89.5,4.38
2019,9,7,26.78,28.38,91.19,4.88
2019,9,8,26.86,28.65,90.31,4.3
2019,9,9,26.89,29,88.88,3.38
2019,9,10,26.9,28.49,91.25,2.78
2019,9,11,27,28.65,91.06,2.7
2019,9,12,26.2,27.36,93.44,3.83
2019,9,13,26.12,27.6,91.81,4.2
2019,9,14,26.23,27.91,90.81,3.11
2019,9,15,26.62,28.65,89.12,2.82
2019,9,16,26.25,28.08,90.06,2.77
2019,9,17,25.94,28.15,88.25,1.81
2019,9,18,25.59,28.98,82.75,1.68
2019,9,19,25.39,29.4,80.25,1.23
2019,9,20,25.66,28.73,84.25,1.56
2019,9,21,25.37,28.94,81.62,1.29
2019,9,22,25.61,28.61,84.38,1.48
2019,9,23,25.39,27.32,89.62,2.41
2019,9,24,25.97,26.98,94.19,3.1
2019,9,25,24.88,26.2,92.5,3.38
2019,9,26,23.86,26.9,84.25,1.12
2019,9,27,24.27,26.66,87.19,1.37
2019,9,28,24.3,26.17,89.56,1.41
2019,9,29,23.59,25.26,90.56,1.66
2019,9,30,24.21,25.55,92.38,2.22
2019,10,1,24.9,26.68,90.19,3.2
2019,10,2,24.65,27.64,84.31,1.34
2019,10,3,25.31,27.89,86.31,1.57
2019,10,4,25.1,27.3,88.06,1.91
2019,10,5,24.87,27.4,86.5,1.49
2019,10,6,25.15,27.39,88.06,1.76
2019,10,7,24.82,26.64,89.94,1.69
2019,10,8,24.51,26.51,89,1.63
2019,10,9,24.08,25.61,91.44,2.55
2019,10,10,23.6,26.08,86.75,1.22
2019,10,11,23.95,26.46,86.38,1.95
2019,10,12,22.99,27.05,79.12,1.62
2019,10,13,22.87,26.09,82.81,2.27
2019,10,14,22.53,25.8,82.94,2.48
2019,10,15,22.88,26.54,81.19,1.67
2019,10,16,23.82,27.51,81,0.95
2019,10,17,24.52,27.69,83.69,1.15
2019,10,18,24.69,27.61,84.62,2.08
2019,10,19,24.03,26.69,85.75,2.46
2019,10,20,23.48,26.22,85.5,2.52
2019,10,21,23.49,26.16,85.88,2.19
2019,10,22,23.55,26.09,86.38,2.15
2019,10,23,22.46,25.23,85.25,2.27
2019,10,24,20.55,22.04,91.25,3.16
2019,10,25,22.44,23.61,93.25,3.59
2019,10,26,24.33,25.67,92.44,2.38
2019,10,27,22.8,24.63,89.94,2.52
2019,10,28,21.23,23.41,88,2.84
2019,10,29,21.05,23.22,87.94,2.48
2019,10,30,21.48,23.99,86.44,2.43
2019,10,31,21.21,24.18,84.25,2.26
2019,11,1,21.82,24.39,86.06,2.44
2019,11,2,22.04,24.34,87.62,2.9
2019,11,3,22.45,24.75,87.69,2.44
2019,11,4,22.28,24.89,86,2.32
2019,11,5,21.46,24.74,82.94,1.85
2019,11,6,20.24,23.73,81.81,2.54
2019,11,7,18.52,23.4,75.56,2.45
2019,11,8,21.64,23.23,90.94,2.39
2019,11,9,22.09,22.98,94.56,7.25
2019,11,10,22.84,23.82,94.31,6.07
2019,11,11,21.55,23.7,88.06,3.51
2019,11,12,20.57,23.63,83.56,1.92
2019,11,13,19.3,22.34,83.75,2.33
2019,11,14,20.21,23.04,84.94,2.19
2019,11,15,20.9,23.26,86.88,2.45
2019,11,16,19.73,22.89,83.19,2.12
2019,11,17,19.55,22.82,82.56,1.8
2019,11,18,18.58,22.68,78.62,1.39
