YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.09,29.42,87.69,1.6
2019,9,2,27.41,29.38,89.5,2.08
2019,9,3,26.26,27.87,91.12,3.18
2019,9,4,26.36,27.77,92.06,3.25
2019,9,5,26.51,28.61,88.88,3.7
2019,9,6,26.73,28.78,89.12,3.97
2019,9,7,26.95,28.75,90.38,4.52
2019,9,8,26.96,28.96,89.38,4.1
2019,9,9,26.82,28.81,89.31,3.05
2019,9,10,26.66,28.18,91.62,3.3
2019,9,11,26.86,28.75,89.94,3.01
2019,9,12,26.74,28.02,92.81,4.17
2019,9,13,26.13,27.88,90.5,3.78
2019,9,14,26.4,28.44,89.12,3.31
2019,9,15,26.66,28.8,88.62,2.55
2019,9,16,26.62,27.85,93,2.7
2019,9,17,25.82,27.37,91.38,2.31
2019,9,18,25.4,28.53,83.75,1.84
2019,9,19,25.34,29.08,81,1.43
2019,9,20,25.49,29.04,81.62,1.35
2019,9,21,25.26,29.52,78.75,0.84
2019,9,22,25.39,29.26,80.62,0.97
2019,9,23,25.42,27.43,89.06,2.02
2019,9,24,25.19,26.42,92.94,2.99
2019,9,25,24.27,25.41,93.44,3.27
2019,9,26,23.82,26.16,87.38,1.44
2019,9,27,23.88,26.35,86.56,1.15
2019,9,28,24.07,25.44,92.19,2.09
2019,9,29,23.12,24.09,94.25,3.06
2019,9,30,23.55,24.28,95.62,3.23
2019,10,1,24.87,26.64,90.38,2.15
2019,10,2,24.74,27.53,85.25,0.88
2019,10,3,24.58,27.73,83.31,1.41
2019,10,4,24.84,26.88,88.75,1.62
2019,10,5,24.49,27.29,85.19,1.41
2019,10,6,24.65,27.76,83.44,0.96
2019,10,7,24.8,27.26,86.69,0.88
2019,10,8,24.49,25.84,92.25,1.45
2019,10,9,23.35,25.34,89.06,1.48
2019,10,10,22.7,26.08,82.44,0.97
2019,10,11,22.69,26.37,80.69,1.23
2019,10,12,22.71,26.09,82.25,1.55
2019,10,13,21.9,24.98,83.75,1.93
2019,10,14,21.86,25.18,82.88,1.87
