-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  24.4337   Longitude 90.783 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 11.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.9,29.39,87.0,1.97
2019,9,2,26.71,28.82,88.56,2.74
2019,9,3,26.63,28.83,88.38,2.37
2019,9,4,26.36,27.87,91.56,2.7
2019,9,5,26.49,28.51,89.12,2.81
2019,9,6,26.62,28.35,90.56,3.12
2019,9,7,26.58,28.19,91.12,3.8
2019,9,8,26.82,28.62,90.25,4.26
2019,9,9,27.06,29.01,89.62,3.73
2019,9,10,26.91,28.87,89.5,2.94
2019,9,11,27.06,28.73,90.94,3.45
2019,9,12,26.71,27.82,93.69,4.73
2019,9,13,26.35,27.9,91.5,4.06
2019,9,14,26.07,27.88,90.19,2.98
2019,9,15,26.39,28.56,88.5,2.68
2019,9,16,26.3,28.08,90.25,2.7
2019,9,17,25.71,28.73,84.38,1.6
2019,9,18,24.91,29.26,78.5,1.09
2019,9,19,24.93,29.43,77.5,1.26
2019,9,20,25.44,28.9,81.94,1.24
2019,9,21,25.5,28.95,82.19,0.93
2019,9,22,25.51,28.98,82.25,1.27
2019,9,23,25.2,27.7,86.75,1.38
2019,9,24,25.0,26.18,93.25,2.02
2019,9,25,23.94,25.59,90.69,1.9
2019,9,26,23.53,26.25,85.69,1.76
2019,9,27,23.73,26.14,87.12,1.7
2019,9,28,23.58,25.85,87.69,1.37
2019,9,29,23.19,25.55,87.06,1.3
2019,9,30,24.05,25.51,91.75,1.81
2019,10,1,24.6,25.69,93.69,3.73
2019,10,2,24.3,27.05,85.5,1.81
2019,10,3,24.4,27.12,85.5,1.27
2019,10,4,24.88,27.08,88.12,1.69
2019,10,5,24.75,27.37,86.0,1.59
2019,10,6,24.62,27.22,85.94,1.17
2019,10,7,24.75,26.86,88.44,1.24
2019,10,8,24.37,26.66,87.5,0.66
2019,10,9,23.62,26.03,87.12,1.45
2019,10,10,23.86,25.73,89.69,2.05
2019,10,11,23.84,26.38,86.5,1.64
2019,10,12,22.94,26.44,81.69,1.42
2019,10,13,21.83,25.11,82.81,2.14
2019,10,14,22.21,25.69,82.19,1.8
2019,10,15,22.83,26.8,79.75,1.41
2019,10,16,23.8,27.05,82.94,1.36
2019,10,17,24.02,27.08,84.06,1.42
2019,10,18,23.67,27.12,82.25,1.7
2019,10,19,23.0,26.51,81.94,2.01
2019,10,20,22.83,25.66,85.0,2.19
2019,10,21,23.51,25.43,89.56,2.5
2019,10,22,23.19,25.34,88.19,2.2
2019,10,23,21.61,24.28,85.62,1.9
2019,10,24,19.83,21.5,90.31,1.98
2019,10,25,21.62,22.57,94.38,3.45
2019,10,26,24.0,25.19,93.25,2.39
2019,10,27,22.72,24.59,89.69,2.03
2019,10,28,20.85,23.35,86.69,2.38
2019,10,29,21.84,24.08,87.81,1.87
2019,10,30,22.02,25.41,82.25,1.34
2019,10,31,21.41,25.36,79.75,1.02
2019,11,1,21.84,25.05,83.0,1.49
2019,11,2,21.83,25.01,83.19,1.43
2019,11,3,21.45,25.16,80.5,0.92
2019,11,4,21.51,25.4,79.69,0.85
2019,11,5,21.51,25.08,81.25,1.34
2019,11,6,20.56,24.05,81.69,1.6
2019,11,7,19.65,23.94,77.88,1.78
2019,11,8,21.67,23.73,88.5,1.93
2019,11,9,22.19,23.0,95.06,3.47
2019,11,10,21.48,22.6,93.38,5.51
2019,11,11,21.12,23.36,87.69,2.76
2019,11,12,20.5,22.99,86.56,2.29
2019,11,13,20.14,23.34,83.31,1.77
2019,11,14,20.44,24.2,80.62,1.13
2019,11,15,19.85,24.01,78.44,1.08
2019,11,16,19.8,24.05,77.81,0.83
2019,11,17,19.94,23.37,81.56,1.16
2019,11,18,18.51,22.79,77.88,1.09
2019,11,19,18.26,22.71,76.5,1.05
2019,11,20,18.01,21.48,81.62,1.32
2019,11,21,17.24,21.43,78.31,1.11
2019,11,22,17.22,21.21,78.62,1.3
2019,11,23,17.83,22.01,78.0,0.76
2019,11,24,18.1,21.94,79.56,0.72
2019,11,25,18.73,21.7,83.75,1.45
2019,11,26,18.85,21.95,83.38,1.47
2019,11,27,18.35,21.78,81.81,1.46
2019,11,28,18.47,22.62,78.69,1.15
2019,11,29,18.73,22.22,81.44,1.35
2019,11,30,18.52,21.74,82.88,1.55
2019,12,1,17.56,20.53,83.88,1.73
2019,12,2,15.55,19.23,80.31,1.79
2019,12,3,15.38,19.02,80.25,1.56
2019,12,4,15.65,19.28,80.56,1.73
2019,12,5,16.55,19.33,84.62,2.38
2019,12,6,15.52,19.05,81.0,2.55
2019,12,7,15.7,19.78,78.44,1.83
2019,12,8,15.8,20.98,73.44,1.14
2019,12,9,16.36,20.05,80.25,1.3
2019,12,10,16.18,19.34,82.88,1.48
2019,12,11,15.12,19.08,78.88,1.61
2019,12,12,15.16,18.73,80.44,1.8
2019,12,13,14.48,18.87,76.81,1.27
2019,12,14,14.8,19.12,77.75,1.6
2019,12,15,16.18,19.22,83.25,1.72
2019,12,16,16.12,19.05,84.38,1.86
2019,12,17,15.12,17.83,85.19,1.95
2019,12,18,14.17,16.13,88.06,2.94
2019,12,19,13.15,14.98,88.75,2.22
2019,12,20,12.6,15.1,85.12,1.9
2019,12,21,12.72,14.66,88.25,1.74
2019,12,22,12.54,14.67,87.44,1.72
2019,12,23,12.79,15.21,86.56,2.41
2019,12,24,12.6,15.23,84.94,2.28
2019,12,25,11.72,14.73,83.38,1.98
2019,12,26,11.77,16.7,74.31,1.81
2019,12,27,11.83,15.28,80.88,2.11
2019,12,28,11.66,14.66,83.62,2.59
2019,12,29,12.31,15.76,81.56,1.79
2019,12,30,12.94,16.64,80.19,1.84
2019,12,31,13.61,17.61,78.75,1.91
2020,1,1,15.48,18.94,81.44,2.27
2020,1,2,16.08,19.83,80.12,1.98
2020,1,3,15.9,17.31,91.44,1.83
2020,1,4,15.33,18.04,85.06,1.6
2020,1,5,13.76,16.42,85.0,2.31
2020,1,6,11.03,14.1,83.0,2.58
2020,1,7,10.83,14.39,80.88,1.98
2020,1,8,11.55,15.62,78.38,1.38
2020,1,9,13.17,16.16,83.19,2.01
2020,1,10,13.69,16.25,85.25,2.34
2020,1,11,12.86,15.08,86.94,2.91
2020,1,12,12.98,15.48,85.81,2.41
2020,1,13,12.56,15.75,82.38,1.84
2020,1,14,13.29,16.44,82.56,1.54
2020,1,15,14.19,17.05,83.75,1.84
2020,1,16,14.08,18.45,77.44,1.79
2020,1,17,15.15,19.58,77.19,1.8
2020,1,18,15.31,19.78,77.44,1.84
2020,1,19,15.73,19.27,81.44,2.29
2020,1,20,12.57,15.94,81.75,3.26
2020,1,21,9.96,14.58,75.5,2.37
2020,1,22,9.31,14.85,71.38,2.18
2020,1,23,10.48,15.27,74.5,2.3
2020,1,24,8.88,14.76,69.69,2.09
2020,1,25,8.98,15.03,69.12,1.9
2020,1,26,9.73,14.73,73.88,2.41
2020,1,27,10.45,15.01,76.06,2.12
2020,1,28,11.08,16.41,72.62,1.82
2020,1,29,11.75,16.15,76.0,1.59
2020,1,30,13.34,17.3,79.12,1.9
2020,1,31,13.65,17.73,79.06,2.49
2020,2,1,9.96,16.38,68.0,2.36
2020,2,2,9.4,15.86,67.75,2.84
2020,2,3,7.96,14.94,65.31,2.26
2020,2,4,8.79,15.34,67.31,2.54
2020,2,5,9.78,16.07,68.62,2.64
2020,2,6,9.94,16.62,67.88,2.45
2020,2,7,8.91,17.05,60.75,2.09
2020,2,8,10.49,17.8,64.75,1.96
2020,2,9,11.26,18.33,65.94,3.02
2020,2,10,8.49,16.3,63.81,2.88
2020,2,11,9.05,16.59,64.19,2.96
2020,2,12,8.53,16.61,61.94,3.31
2020,2,13,8.47,17.23,59.62,2.66
2020,2,14,10.87,18.8,61.69,2.02
2020,2,15,14.87,19.54,76.06,2.59
2020,2,16,13.92,20.51,68.06,1.66
2020,2,17,12.15,20.44,61.12,1.92
2020,2,18,12.41,20.58,61.38,1.97
2020,2,19,12.9,21.44,60.0,1.38
2020,2,20,12.09,20.83,59.56,1.78
2020,2,21,12.77,21.66,60.75,1.94
2020,2,22,13.38,22.86,57.31,1.62
2020,2,23,13.39,24.05,54.12,1.38
2020,2,24,14.63,23.61,58.94,1.16
2020,2,25,14.98,21.69,67.25,2.09
2020,2,26,14.81,21.29,68.19,1.91
2020,2,27,14.37,20.84,69.62,1.61
2020,2,28,12.39,21.49,59.44,1.85
2020,2,29,13.0,22.73,57.12,1.58
2020,3,1,13.89,23.01,59.06,2.02
2020,3,2,13.58,23.15,58.38,2.14
2020,3,3,14.93,23.86,59.06,1.6
2020,3,4,16.37,23.33,66.69,2.12
2020,3,5,16.54,24.19,64.06,1.72
2020,3,6,17.2,24.22,65.75,1.3
2020,3,7,17.96,22.92,75.56,2.29
2020,3,8,17.81,23.19,74.0,1.8
2020,3,9,13.32,23.03,58.31,2.33
2020,3,10,11.26,23.15,48.62,1.98
2020,3,11,12.53,23.44,51.88,2.23
2020,3,12,15.43,25.15,57.38,2.13
2020,3,13,16.1,26.26,57.19,2.05
2020,3,14,16.37,25.6,59.75,2.74
2020,3,15,14.88,24.63,60.5,3.98
2020,3,16,14.89,24.87,56.94,3.48
2020,3,17,13.42,24.51,52.19,2.93
2020,3,18,12.92,24.77,49.5,2.67
2020,3,19,11.28,25.65,42.62,2.1
2020,3,20,12.58,25.3,47.19,1.89
2020,3,21,11.9,25.66,45.5,2.02
2020,3,22,15.31,24.33,58.56,1.7
2020,3,23,14.49,24.59,55.88,1.98
2020,3,24,13.87,25.78,49.94,1.29
2020,3,25,14.33,26.25,50.5,2.0
2020,3,26,14.97,28.11,45.94,1.52
2020,3,27,15.23,28.61,46.44,2.31
2020,3,28,16.45,29.49,47.81,3.14
2020,3,29,14.34,29.08,46.56,3.5
2020,3,30,10.62,28.48,35.94,2.58
2020,3,31,9.44,28.14,33.12,2.05
2020,4,1,11.03,29.37,33.75,1.98
2020,4,2,18.18,29.65,55.06,3.65
2020,4,3,19.8,29.62,59.69,2.95
2020,4,4,18.13,28.63,59.44,2.05
2020,4,5,18.23,28.65,59.0,2.41
2020,4,6,15.95,28.33,54.88,2.86
2020,4,7,15.97,29.19,53.75,4.09
2020,4,8,19.37,30.37,57.94,3.64
2020,4,9,19.24,29.63,58.25,3.23
2020,4,10,17.68,30.12,53.19,2.74
2020,4,11,19.48,29.36,58.62,2.41
2020,4,12,17.35,28.34,55.94,1.86
2020,4,13,17.76,29.24,53.56,1.77
2020,4,14,19.15,30.72,54.06,1.88
2020,4,15,22.05,28.83,68.38,1.8
2020,4,16,20.75,27.95,66.81,1.49
2020,4,17,22.76,27.94,75.31,3.24
2020,4,18,23.52,27.7,79.38,3.75
2020,4,19,22.98,28.93,73.19,3.67
2020,4,20,23.35,27.96,77.81,3.05
2020,4,21,22.87,25.61,85.75,2.32
2020,4,22,19.8,25.4,73.0,1.86
2020,4,23,21.12,26.11,75.38,2.11
2020,4,24,21.62,25.08,81.88,2.55
2020,4,25,21.4,25.51,79.56,2.09
2020,4,26,22.03,25.53,81.88,2.45
2020,4,27,21.76,25.71,80.0,1.82
2020,4,28,21.96,24.94,84.0,2.27
2020,4,29,22.08,25.15,83.88,2.09
2020,4,30,22.76,26.55,80.94,1.9
2020,5,1,22.74,26.73,79.56,1.81
2020,5,2,23.08,26.67,81.56,1.85
2020,5,3,23.4,26.28,84.88,2.15
2020,5,4,23.74,27.62,80.38,1.7
2020,5,5,24.4,28.61,78.88,1.89
2020,5,6,23.79,27.49,80.94,1.38
2020,5,7,22.45,27.43,75.31,1.2
2020,5,8,22.34,27.41,74.38,1.37
2020,5,9,23.54,28.06,77.38,1.71
2020,5,10,23.81,29.12,73.88,1.19
2020,5,11,24.05,29.12,74.75,1.08
2020,5,12,24.18,28.82,77.06,2.04
2020,5,13,24.83,28.12,83.31,3.11
2020,5,14,25.18,28.45,83.19,2.51
2020,5,15,25.33,28.62,83.12,2.16
2020,5,16,25.88,28.84,84.88,3.09
2020,5,17,25.82,29.29,82.44,2.35
2020,5,18,26.01,29.57,81.81,1.9
2020,5,19,24.48,28.52,80.19,1.84
2020,5,20,23.82,26.72,84.62,6.27
2020,5,21,25.2,27.08,89.69,9.05
2020,5,22,24.9,27.83,84.69,3.42
2020,5,23,26.3,29.08,85.81,3.76
2020,5,24,26.97,29.04,89.0,5.23
2020,5,25,26.84,28.8,89.5,6.19
2020,5,26,26.3,28.35,89.0,6.43
2020,5,27,26.16,27.87,90.69,4.71
2020,5,28,25.17,27.56,87.25,1.98
2020,5,29,25.13,27.83,85.81,1.98
2020,5,30,25.52,27.64,88.62,2.8
2020,5,31,25.22,27.87,86.06,1.5
2020,6,1,26.1,27.94,89.88,3.35
2020,6,2,26.51,27.92,92.12,3.72
2020,6,3,25.95,27.51,91.38,3.9
2020,6,4,26.15,27.74,91.25,3.39
2020,6,5,26.3,27.88,91.31,2.95
2020,6,6,26.63,27.73,93.69,3.84
2020,6,7,26.23,28.77,86.88,1.91
2020,6,8,26.4,28.33,89.38,2.23
2020,6,9,25.94,28.91,84.31,1.3
2020,6,10,26.5,28.38,89.62,1.88
2020,6,11,26.79,27.69,94.81,3.01
2020,6,12,26.8,28.3,91.69,3.99
2020,6,13,27.24,28.0,95.56,3.67
2020,6,14,27.12,28.58,91.94,2.98
2020,6,15,27.32,29.09,90.5,2.94
2020,6,16,26.65,28.37,90.62,3.11
2020,6,17,26.97,28.13,93.44,3.65
2020,6,18,26.66,27.98,92.56,5.13
2020,6,19,26.85,28.74,89.81,3.95
2020,6,20,26.87,28.53,90.88,3.27
2020,6,21,26.66,28.26,91.19,4.12
2020,6,22,26.37,28.29,89.62,3.95
2020,6,23,26.99,28.98,89.44,3.53
2020,6,24,27.05,28.96,89.69,3.23
2020,6,25,27.31,28.73,92.06,4.19
2020,6,26,27.2,28.15,94.5,4.8
2020,6,27,26.77,28.46,90.75,4.76
2020,6,28,26.48,27.82,92.5,4.26
2020,6,29,25.85,28.25,87.31,2.56
2020,6,30,26.62,28.8,88.38,3.04
2020,7,1,26.76,28.47,90.62,3.74
2020,7,2,27.12,28.59,91.81,3.19
2020,7,3,26.88,29.26,87.31,2.13
2020,7,4,26.75,28.79,89.12,2.74
2020,7,5,26.92,28.58,90.88,4.3
2020,7,6,26.57,28.01,91.88,4.2
2020,7,7,27.1,28.55,92.06,4.04
2020,7,8,27.01,28.83,90.12,3.21
2020,7,9,27.58,28.94,92.38,4.8
2020,7,10,27.51,28.9,92.19,5.67
2020,7,11,26.99,28.11,93.62,4.79
2020,7,12,26.87,28.48,91.12,4.05
2020,7,13,27.19,29.11,89.69,3.02
2020,7,14,26.48,27.98,91.62,3.73
2020,7,15,26.86,28.82,89.5,3.66
2020,7,16,26.65,28.87,88.25,2.98
2020,7,17,26.72,28.8,88.94,2.98
2020,7,18,27.02,28.69,90.88,3.8
2020,7,19,27.15,28.77,91.12,4.62
