-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  25.8143   Longitude 89.6517 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 38.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.02,29.54,86.94,2.55
2019,9,2,27.34,30.4,84.5,2.02
2019,9,3,26.86,28.49,90.94,1.65
2019,9,4,26.33,27.75,91.94,2.18
2019,9,5,26.15,28.22,88.75,2.48
2019,9,6,26.41,29.3,85.19,2.35
2019,9,7,26.62,28.63,89.12,3.17
2019,9,8,26.62,29.01,87.19,2.88
2019,9,9,27.12,29.27,88.62,2.56
2019,9,10,27.1,28.5,92.19,2.83
2019,9,11,27.34,28.88,91.5,2.62
2019,9,12,26.85,28.37,91.56,3.66
2019,9,13,26.23,27.93,90.69,3.28
2019,9,14,26.45,28.32,89.88,3.46
2019,9,15,26.75,28.51,90.38,3.08
2019,9,16,26.88,27.84,94.44,2.95
2019,9,17,25.58,27.87,87.5,1.8
2019,9,18,24.28,28.4,79.12,1.38
2019,9,19,24.34,28.85,77.56,1.43
2019,9,20,25.65,28.5,84.81,1.69
2019,9,21,25.2,29.5,78.44,0.92
2019,9,22,25.51,28.85,82.62,1.48
2019,9,23,25.07,27.19,88.19,1.73
2019,9,24,24.79,26.13,92.38,1.92
2019,9,25,23.9,25.49,91.0,1.79
2019,9,26,24.07,26.17,88.5,2.12
2019,9,27,23.64,25.76,88.25,1.22
2019,9,28,23.64,25.41,90.0,1.61
2019,9,29,22.33,23.51,93.06,2.06
2019,9,30,22.58,23.65,93.69,2.24
2019,10,1,23.68,25.1,91.88,3.3
2019,10,2,23.95,26.48,86.38,2.26
2019,10,3,24.33,27.11,85.19,1.81
2019,10,4,24.68,26.86,88.19,1.77
2019,10,5,24.69,27.12,86.94,1.59
2019,10,6,24.12,27.77,80.88,0.91
2019,10,7,24.53,27.3,85.19,1.27
2019,10,8,24.48,25.81,92.31,1.29
2019,10,9,23.21,25.01,89.75,1.61
2019,10,10,22.77,25.51,85.25,1.44
2019,10,11,22.83,25.4,86.06,2.05
2019,10,12,22.48,25.33,84.75,1.99
2019,10,13,21.95,25.24,82.56,0.87
2019,10,14,22.19,25.65,81.81,1.09
2019,10,15,22.43,25.96,81.19,1.9
2019,10,16,22.46,26.8,77.5,1.01
