YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.93,29.63,86,1.38
2019,9,2,26.44,28.51,88.94,3.2
2019,9,3,26.84,28.44,91.25,4.41
2019,9,4,27.01,28.22,93.19,3.9
2019,9,5,26.65,27.94,92.75,4.14
2019,9,6,26.62,28.51,89.81,4.59
2019,9,7,26.71,28.22,91.69,4.83
2019,9,8,26.76,28.48,90.62,4.4
2019,9,9,27.11,28.88,90.5,3.65
2019,9,10,27.27,28.65,92.44,2.89
2019,9,11,27.07,28.4,92.56,3.12
2019,9,12,26.37,27.6,93.06,4.42
2019,9,13,26.2,27.32,93.62,4.11
2019,9,14,26.07,27.57,91.69,2.99
2019,9,15,26.39,28.34,89.56,2.91
2019,9,16,26.15,27.73,91.31,2.5
2019,9,17,25.96,28.49,86.81,1.89
2019,9,18,25.7,28.87,83.94,1.81
2019,9,19,25.45,29.5,80.31,1.25
2019,9,20,25.95,28.47,86.75,1.62
2019,9,21,25.73,28.59,85.06,1.48
2019,9,22,25.59,28.65,84.12,1.59
2019,9,23,25.57,27.08,91.62,2.41
2019,9,24,26.13,27.05,94.75,2.84
2019,9,25,24.88,26.28,92.06,2.85
2019,9,26,24.02,27.06,84.12,1.16
2019,9,27,24.45,27.02,86.5,1.39
2019,9,28,24.3,26.65,87.25,1.05
2019,9,29,23.87,25.67,89.94,1.22
2019,9,30,24.44,26.03,91.19,2.18
2019,10,1,25.06,26.5,91.94,2.87
2019,10,2,24.83,27.69,85.12,1.42
2019,10,3,25.45,27.73,87.81,1.9
2019,10,4,25.05,27.47,87.12,1.71
2019,10,5,25,27.18,88.19,1.59
2019,10,6,25.14,27.24,88.75,1.66
2019,10,7,24.85,26.76,89.56,1.82
2019,10,8,24.51,26.6,88.5,1.72
2019,10,9,23.95,25.34,92,2.05
2019,10,10,24.08,25.76,90.75,2.3
2019,10,11,24.27,26.75,86.81,1.08
2019,10,12,23.7,27.24,81.44,1.16
2019,10,13,23.14,26.3,83.25,2.09
2019,10,14,22.94,25.9,84.44,2.4
2019,10,15,23.1,26.99,80.25,1.27
2019,10,16,23.8,27.37,81.69,1.31
2019,10,17,24.15,27.57,82.81,1.38
2019,10,18,24.49,27.76,82.88,1.59
2019,10,19,23.99,26.78,85.06,2.24
2019,10,20,24.01,26.58,86.38,2.45
2019,10,21,23.69,26.48,85.19,2.04
2019,10,22,23.95,26.45,86.5,1.89
2019,10,23,23.66,25.85,88.12,2.09
2019,10,24,20.85,22.46,90.75,3.59
2019,10,25,23.04,24.53,91.62,3.12
2019,10,26,24.91,25.81,94.75,2.62
2019,10,27,23.68,25.42,90.44,2.15
2019,10,28,21.74,23.73,89,2.77
2019,10,29,21.17,23.51,87.25,2.27
2019,10,30,21.6,24.12,86.5,2.23
2019,10,31,21.16,24.35,83.31,2.22
2019,11,1,21.96,24.62,85.56,2.19
2019,11,2,22.2,24.71,86.81,2.52
2019,11,3,22.73,25.12,87.12,2.09
2019,11,4,22.55,25.2,85.88,2.19
2019,11,5,21.7,25.23,81.81,1.86
2019,11,6,21.31,24.16,84.75,2.38
2019,11,7,19.04,24.12,75.06,2.28
2019,11,8,21.93,23.42,91.31,2.51
2019,11,9,22.95,23.73,95.25,7.65
2019,11,10,24.54,25.34,95.25,4.77
2019,11,11,22.16,23.87,90.38,3.59
2019,11,12,21.04,23.82,84.88,1.95
2019,11,13,20.33,22.97,85.75,2.19
2019,11,14,20.29,23.5,83.06,1.89
2019,11,15,20.9,23.44,86.25,2.23
2019,11,16,20.21,23.12,84.38,2.04
2019,11,17,19.62,22.9,82.44,1.83
2019,11,18,19.24,22.94,80.62,1.52
2019,11,19,18.47,22.32,79.62,1.75
2019,11,20,17.9,21.01,83.12,2.23
2019,11,21,16.99,21.12,78.12,1.92
2019,11,22,18.86,21.81,84,1.92
2019,11,23,19.3,22.14,84.69,1.89
2019,11,24,18.44,22.03,81,1.61
2019,11,25,19.15,22.59,81.44,1.39
2019,11,26,19.59,23.41,79.88,1.1
2019,11,27,19.28,22.87,80.81,1.3
2019,11,28,19.42,23.29,79.62,1.25
2019,11,29,20.07,22.94,84.56,1.57
2019,11,30,19.69,22.49,84.5,1.97
2019,12,1,18.09,20.74,85.31,2.59
2019,12,2,16.82,19.83,83.38,2.4
2019,12,3,15.15,18.62,81.44,2.34
2019,12,4,16.14,18.58,86.69,2.84
2019,12,5,15.64,21,73.12,1.26
2019,12,6,16.44,22.08,71.38,1.26
2019,12,7,16.96,21.33,77.44,1.78
2019,12,8,16.63,22.15,71.44,0.97
2019,12,9,17.77,21.17,81.38,1.42
2019,12,10,16.26,19.65,81.69,2.15
2019,12,11,15.6,19.98,77.31,1.53
2019,12,12,15.89,19.75,79.5,2.13
2019,12,13,15.53,19.44,79.06,1.7
2019,12,14,15.99,20.19,77.94,1.59
2019,12,15,17.19,20.08,84.06,2.28
2019,12,16,16.83,19.21,86.19,2.53
2019,12,17,16.26,18.56,86.75,2.6
2019,12,18,13.96,16.35,85.88,3.36
2019,12,19,11.71,13.67,87.44,2.95
2019,12,20,10.9,13.94,81.75,2.2
2019,12,21,11.61,14.18,85.19,2.16
2019,12,22,12.06,14.28,85.75,2.61
2019,12,23,13.26,15.52,86.62,2.84
2019,12,24,12.53,15.58,81.88,2.95
2019,12,25,12.32,15.3,83.56,2.43
2019,12,26,13.61,16.06,86.5,2.64
2019,12,27,12.01,13.5,90.88,2.7
2019,12,28,10.41,13.12,85.06,3.36
2019,12,29,11.37,14.03,85.12,3.27
2019,12,30,12.43,14.8,86.69,2.55
2019,12,31,12.62,16.13,81.31,2.12
2020,1,1,13.33,18.44,73.75,1.95
2020,1,2,15.02,19.19,78.06,1.8
2020,1,3,16.19,17.4,92.69,2.48
2020,1,4,15.54,18.15,85.62,1.55
2020,1,5,15.31,17.33,88.5,2.54
2020,1,6,11.94,14.82,83.88,3.01
2020,1,7,11.15,14.48,81.31,2.42
2020,1,8,11.86,15.45,80.25,2.3
2020,1,9,13.37,16.09,84.62,2.27
2020,1,10,14.43,16.77,86.81,2.85
2020,1,11,12.01,14.15,87.5,3.43
2020,1,12,11.33,14.08,84.44,3.39
2020,1,13,10.62,14.52,78.56,2.38
2020,1,14,11.53,15.79,76.88,1.59
2020,1,15,13.65,17.21,80.44,1.88
2020,1,16,14.12,18.32,77.69,2.01
2020,1,17,14.34,19.8,72.88,1.53
2020,1,18,14.11,20.55,68.19,1.2
2020,1,19,15.56,19.35,80.38,2.34
2020,1,20,14.08,16.96,84,2.96
2020,1,21,10.63,15.39,75.25,2.67
2020,1,22,10.23,15.57,72.38,2.35
2020,1,23,12.94,17.29,76.31,1.99
2020,1,24,11.3,16.11,75.38,2.35
2020,1,25,9.46,15.75,67.81,1.85
2020,1,26,9,15.6,66.06,2.15
2020,1,27,10.13,15.76,70.12,1.91
2020,1,28,11.97,17.44,71.94,1.58
2020,1,29,14.26,18.04,79.88,1.62
2020,1,30,15.98,18.11,87.62,1.37
2020,1,31,14.48,17.98,79.88,2.33
2020,2,1,12.46,17.17,75.56,2.24
2020,2,2,10.67,17.43,65.75,1.93
2020,2,3,8.84,15.31,67.75,2.41
2020,2,4,8.31,15.37,64.5,2.45
2020,2,5,9.94,17.07,63.69,2
2020,2,6,11.44,18.48,64.25,2.06
2020,2,7,11.87,17.94,69.19,2.19
2020,2,8,11.84,17.62,71.12,2.76
2020,2,9,12.58,17.39,74.94,3.2
2020,2,10,8.62,16.46,63,2.59
2020,2,11,9.21,16.87,61.56,2.23
2020,2,12,8.65,16.96,60.56,2.64
2020,2,13,8.77,17.14,59.75,2.21
2020,2,14,12.3,18.46,69,2.3
2020,2,15,14.98,19.53,76.12,2.55
2020,2,16,12.99,20.54,63.94,1.13
2020,2,17,13.2,20.95,62.62,1.16
2020,2,18,12.28,20.48,61.06,1.78
2020,2,19,12.15,21.66,56.12,0.82
