YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.87,29.55,86.06,1.35
2019,9,2,26.85,28.7,89.88,2.59
2019,9,3,26.89,28.69,90.25,3.77
2019,9,4,26.88,28.23,92.5,3.62
2019,9,5,26.71,28.45,90.56,3.99
2019,9,6,26.65,28.45,90.19,4.11
2019,9,7,26.51,27.98,91.81,4.64
2019,9,8,26.9,28.78,89.94,4.55
2019,9,9,27.05,29.14,88.94,3.62
2019,9,10,26.9,28.86,89.44,3.17
2019,9,11,27.09,28.91,90.25,3.37
2019,9,12,26.58,27.65,93.88,4.25
2019,9,13,26.25,27.86,91.12,4.46
2019,9,14,26.26,28.14,89.81,3.32
2019,9,15,26.54,28.73,88.38,3.09
2019,9,16,26.35,28.22,89.81,3.02
2019,9,17,25.9,28.47,86.5,1.84
2019,9,18,25.24,29.42,79.06,1.41
2019,9,19,25.07,29.8,76.56,0.98
2019,9,20,25.63,29.05,82.25,1.4
2019,9,21,25.4,29.48,79.31,0.94
2019,9,22,25.6,29.05,82.12,1.34
2019,9,23,25.33,27.69,87.5,2.09
2019,9,24,25.45,26.65,93.19,2.78
2019,9,25,24.53,25.94,92,2.93
2019,9,26,23.83,26.52,85.62,1.37
2019,9,27,23.9,27.08,83.25,1
2019,9,28,23.62,26.03,86.75,1.13
2019,9,29,23.17,25.37,87.81,1.55
2019,9,30,24.01,25.64,90.81,2.09
2019,10,1,25.12,26.61,91.75,3.34
2019,10,2,24.5,27.54,84.25,1.62
2019,10,3,25.06,27.62,86.38,1.73
2019,10,4,25.18,27.32,88.31,2.01
2019,10,5,24.82,27.4,86.12,1.74
2019,10,6,24.97,27.58,86.19,1.47
2019,10,7,24.85,26.98,88.31,1.55
2019,10,8,24.56,26.62,88.62,1.44
2019,10,9,23.98,25.72,90.31,2.14
2019,10,10,23.9,25.86,89.25,2.05
2019,10,11,24,27.09,83.75,0.98
2019,10,12,23.01,27.23,78.44,1.46
2019,10,13,22.55,25.99,81.69,2.2
