YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.27,28.97,85.81,1.71
2019,9,2,26.08,28.67,86.56,1.8
2019,9,3,26.44,28.94,87,1.81
2019,9,4,25.63,28.73,84.19,1.34
2019,9,5,26.05,29.35,83.44,1.45
2019,9,6,26.48,29.08,86.44,1.89
2019,9,7,26.73,29.33,86.62,2.05
2019,9,8,26.48,28.21,90.5,2.34
2019,9,9,26.72,28.57,90.12,3.05
2019,9,10,26.94,28.19,92.94,2.26
2019,9,11,26.8,28.83,89.38,2.27
2019,9,12,26.28,27.95,90.81,3.23
2019,9,13,26.03,27.41,92.31,3.31
2019,9,14,25.73,27.56,90,2.04
2019,9,15,25.93,28.95,84.38,1.59
2019,9,16,25.98,28.71,85.56,1.45
2019,9,17,25.7,29.01,82.94,1.3
2019,9,18,25.28,29.05,80.94,1.27
2019,9,19,24.89,29.94,75.62,1.11
2019,9,20,25.55,28.59,84.12,1.22
2019,9,21,25.6,28.53,84.75,1.19
2019,9,22,25.76,27.69,89.5,1.32
2019,9,23,24.84,27.26,87.31,1.16
2019,9,24,24.94,26.64,90.75,1.27
2019,9,25,23.57,25.6,88.94,1.07
2019,9,26,23.7,26.2,86.75,1.77
2019,9,27,24.06,26.6,86.56,1.52
2019,9,28,24.07,26.38,87.75,1.46
2019,9,29,23.62,25.78,88.19,1.49
2019,9,30,23.95,25.98,89.06,1.11
2019,10,1,24.13,25.89,90.31,1.99
2019,10,2,24.65,26.9,88.12,1.79
2019,10,3,24.66,27.45,85.31,1.48
2019,10,4,24.6,27.37,85.25,1.27
2019,10,5,24.89,27.83,84.88,1.3
2019,10,6,25.07,26.81,90.31,1.55
2019,10,7,24.73,27.48,85.62,1
2019,10,8,24.56,26.65,88.69,0.84
2019,10,9,23.76,25.94,88.25,1.33
2019,10,10,23.33,25.02,90.62,1.66
2019,10,11,23.67,26.32,85.88,1.45
2019,10,12,23.03,26.83,80.38,0.95
2019,10,13,22.11,25.67,81.5,1.44
2019,10,14,22.75,26.21,82,1.46
2019,10,15,23.59,27.05,81.94,1.66
2019,10,16,23.91,26.47,86.31,1.57
2019,10,17,23.69,27.01,83,1.41
2019,10,18,23.89,27.36,82.06,1.26
2019,10,19,23.43,27.31,79.94,1.34
2019,10,20,23.22,26.66,82.12,1.4
2019,10,21,23.51,25.83,87.62,1.9
2019,10,22,23.8,25.73,89.38,1.82
2019,10,23,22.12,25.07,84.44,1.45
2019,10,24,20.58,22.58,88.62,1.46
2019,10,25,21.58,22.66,93.56,2.63
2019,10,26,24.09,24.86,95.44,2.76
2019,10,27,23.98,25.82,89.94,2.41
2019,10,28,22.68,25.22,86.25,1.05
2019,10,29,23.34,25.72,87.31,1.34
2019,10,30,22.84,25.6,85.38,1.36
2019,10,31,21.24,25.08,80.12,1.31
2019,11,1,20.85,24.7,79.94,1.15
2019,11,2,21.02,24.63,81.12,1.42
2019,11,3,21.55,24.7,83.56,1.38
2019,11,4,21.62,24.76,83.38,1.57
2019,11,5,21.24,24.78,81.5,1.34
2019,11,6,20.37,24.54,78.69,1.19
2019,11,7,20.15,24.38,78.5,1.57
2019,11,8,21.76,24.01,87.75,1.9
2019,11,9,21.8,23.11,92.44,1.83
2019,11,10,21.59,22.51,94.44,3.59
2019,11,11,21.6,23.65,88.5,2.07
2019,11,12,21.12,23.97,84.88,1.35
2019,11,13,20.34,23.97,81,1.2
2019,11,14,20.49,24.38,80,1.19
2019,11,15,20.26,23.83,81.25,1.34
2019,11,16,19.71,23.22,81.5,1.18
2019,11,17,19.14,22.35,82.75,1.2
2019,11,18,18.31,22.16,79.75,1.1
2019,11,19,17.98,21.64,80.5,1.22
2019,11,20,17.63,20.65,83.56,1.38
2019,11,21,17.05,20.59,81.06,1.33
2019,11,22,17.21,20.5,81.75,1.35
2019,11,23,16.3,20.12,79.56,1.24
2019,11,24,15.97,19.92,79,1.46
2019,11,25,17.07,20.56,81.38,1.35
2019,11,26,18.02,21.76,80.56,1.2
2019,11,27,18.19,21.7,81.38,1.43
2019,11,28,18.8,22.51,80.5,1.41
2019,11,29,19.29,22.29,83.44,1.47
2019,11,30,18.96,22.08,82.69,1.4
2019,12,1,17.78,20.87,83,1.27
2019,12,2,16.33,19.67,81.75,1.2
2019,12,3,14.75,19.23,76.69,1.19
2019,12,4,14.65,18.9,77.38,1.45
2019,12,5,16.01,19.18,82.81,2.73
2019,12,6,14.77,18.98,77.88,2.29
2019,12,7,15.56,19.73,77.94,1.96
2019,12,8,16.15,20.23,78.75,1.59
2019,12,9,16.07,19.83,79.81,1.26
2019,12,10,16.03,19.44,81.12,1.32
2019,12,11,15.72,19.19,81.06,1.28
2019,12,12,14.84,18.43,80.5,1.34
2019,12,13,14.69,18.55,79.31,1.57
2019,12,14,14.87,19.03,77.94,1.36
2019,12,15,15.26,18.9,79.94,1.38
2019,12,16,15.8,18.75,83.38,1.62
2019,12,17,15.35,18.12,84.25,1.62
2019,12,18,14.44,17.01,85.56,1.45
2019,12,19,13.87,15.96,87.19,1.49
2019,12,20,12.98,15.89,83.44,1.06
2019,12,21,12.94,14.81,88.56,1.41
2019,12,22,12.9,15.25,85.81,1.38
2019,12,23,13.43,16.05,84.38,1.62
2019,12,24,12.91,15.87,82.44,1.55
2019,12,25,12.3,15.14,83.06,1.66
2019,12,26,12.42,16.54,77.81,1.57
2019,12,27,13.45,16.03,85.19,1.95
2019,12,28,12.6,15.36,84.44,1.45
2019,12,29,12.3,16.15,79.31,1.8
2019,12,30,12.36,16.97,75.81,1.91
2019,12,31,13.39,17.52,77.81,1.98
2020,1,1,15.14,18.95,79.38,1.94
2020,1,2,16.19,19.76,80.81,1.73
2020,1,3,16.07,17.27,92.69,2.07
2020,1,4,15.32,17.59,87.44,2.02
2020,1,5,14.94,16.69,89.38,1.94
2020,1,6,11.59,15.09,81.19,1.12
2020,1,7,11.45,15.06,80.19,1.57
2020,1,8,12.42,15.82,80.94,1.51
2020,1,9,13.7,16.26,85.5,1.77
2020,1,10,13.85,16.82,83.69,1.48
2020,1,11,13.17,15.74,85.5,1.66
2020,1,12,13.33,15.81,85.12,1.85
2020,1,13,13.58,16.35,83.62,1.63
2020,1,14,13.45,16.65,81.19,1.27
2020,1,15,13.78,16.87,82.44,1.63
2020,1,16,15.01,18.41,80.94,1.66
2020,1,17,15.16,18.73,80.88,1.75
2020,1,18,14.55,19.28,76.06,1.54
2020,1,19,15.65,18.61,84.31,2.04
2020,1,20,14.36,16.83,86.19,2.41
2020,1,21,9.96,15.65,70.75,1.16
2020,1,22,10.07,14.61,76.25,2.03
2020,1,23,11.05,14.92,79.62,2.19
2020,1,24,9.55,14.91,72.5,1.66
2020,1,25,9.46,14.91,71.38,1.75
2020,1,26,10.58,14.56,78.06,2.16
2020,1,27,10.68,14.86,77.12,1.59
2020,1,28,10.83,15.79,74.31,1.7
2020,1,29,11.54,15.85,76.56,1.55
2020,1,30,13.38,17.16,79.31,1.62
2020,1,31,14.34,17.58,81.62,1.61
2020,2,1,12.69,16.32,80.12,1.95
2020,2,2,10.27,15.67,71.62,1.98
2020,2,3,9.41,15.2,69.75,1.32
2020,2,4,10.19,15.6,72.25,1.59
2020,2,5,10.89,15.78,74.44,1.95
2020,2,6,10.46,16.49,69.44,1.85
2020,2,7,9.31,16.78,63.94,1.36
2020,2,8,11.31,17.75,67.88,1.49
2020,2,9,12.83,18.61,70.5,1.67
2020,2,10,11.65,17.12,72.56,1.55
2020,2,11,10.81,16.54,71.19,1.8
2020,2,12,10.8,16.91,69.56,1.73
2020,2,13,10.79,17.22,68.44,1.91
2020,2,14,11.57,17.4,71.19,2.33
2020,2,15,14.69,18.96,77.88,1.8
2020,2,16,15.62,20.45,75.25,1.54
2020,2,17,14.42,20.19,71.31,1.5
2020,2,18,13.07,20.58,64.19,1.6
2020,2,19,13.05,20.57,64.12,1.48
2020,2,20,13.72,19.65,70.81,1.8
2020,2,21,12.69,20.93,62.56,1.68
2020,2,22,14.65,21.62,65.94,1.88
2020,2,23,14.56,23.22,61.25,1.74
2020,2,24,15.4,21.76,69,1.9
2020,2,25,15.78,21.87,70.56,2.09
2020,2,26,16.26,21.01,75.88,1.77
2020,2,27,14.77,20.17,73.56,1.34
2020,2,28,13.51,20.19,68.62,1.87
2020,2,29,13.59,22.08,61.25,1.59
2020,3,1,14.2,22.49,62.75,1.86
2020,3,2,14.65,22.76,63.5,2.05
2020,3,3,14.61,23.09,60.44,1.55
2020,3,4,15.06,22.5,65.94,1.87
2020,3,5,16.22,23.15,66.88,1.99
2020,3,6,17.39,23.19,71.19,1.59
2020,3,7,17.5,22.66,74.62,1.42
2020,3,8,17.68,22.05,77.44,1.74
2020,3,9,13.96,22.76,60.25,1.66
2020,3,10,12.72,22.28,56.81,1.56
2020,3,11,13.42,22.68,58.56,1.87
2020,3,12,15.63,23.74,63.75,2.2
2020,3,13,17.15,24.96,64.81,2.11
2020,3,14,17.62,24.94,66.31,2.16
2020,3,15,16.76,25.17,62.75,1.94
2020,3,16,15.15,24.67,59.31,2.33
2020,3,17,14.38,24.27,56.5,2.36
2020,3,18,13.95,24.18,55,2.27
2020,3,19,12.36,24.67,49.69,1.88
2020,3,20,12.84,24.82,49.94,1.59
2020,3,21,13.39,24.55,52.94,1.85
2020,3,22,14.29,22.91,60.5,1.99
2020,3,23,14.87,24.15,58.81,1.82
2020,3,24,14.92,24.82,56.56,1.46
2020,3,25,15.3,25.88,55.44,1.59
2020,3,26,16.46,27.05,54.56,1.47
2020,3,27,16.23,28.17,51.56,1.73
2020,3,28,17.17,28.44,53.69,2.84
2020,3,29,15.29,28.35,50.31,3.23
2020,3,30,10.91,28.28,36.19,2
2020,3,31,10.12,27.64,36.25,1.76
2020,4,1,10.52,28.06,36.31,1.57
2020,4,2,16.72,28.29,51.81,2.95
2020,4,3,19.96,28.75,61.94,1.87
