-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  23.7793   Longitude 88.6336 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 15.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.67,29.12,87.0,1.27
2019,9,2,26.78,28.81,89.06,1.96
2019,9,3,26.91,28.72,90.31,3.65
2019,9,4,27.0,28.48,91.88,3.49
2019,9,5,26.74,28.65,89.81,4.1
2019,9,6,26.74,28.87,88.69,4.34
2019,9,7,26.76,28.61,90.0,5.09
2019,9,8,26.9,28.86,89.5,4.34
2019,9,9,26.5,29.01,86.94,3.63
2019,9,10,26.6,28.03,92.0,3.22
2019,9,11,26.83,28.65,90.19,2.74
2019,9,12,26.29,27.58,92.69,3.95
2019,9,13,26.03,27.91,89.81,4.34
2019,9,14,26.19,28.25,89.06,3.41
2019,9,15,26.53,28.84,87.88,2.5
2019,9,16,26.3,28.12,90.12,2.82
2019,9,17,25.99,27.76,90.25,2.0
2019,9,18,25.65,28.92,83.31,1.85
2019,9,19,25.36,29.27,80.38,1.45
2019,9,20,25.47,28.65,83.75,1.72
2019,9,21,25.12,29.15,79.75,1.14
2019,9,22,25.6,28.58,84.62,1.34
2019,9,23,25.4,27.37,89.44,2.28
2019,9,24,25.65,26.83,93.25,3.26
2019,9,25,24.74,25.95,93.06,3.85
2019,9,26,23.82,26.54,85.81,1.39
2019,9,27,24.0,26.32,87.44,1.43
2019,9,28,24.19,25.68,91.56,1.41
2019,9,29,23.61,24.89,92.62,2.7
2019,9,30,23.96,25.04,93.69,2.55
2019,10,1,24.68,26.7,89.0,2.83
2019,10,2,24.68,27.58,84.62,1.55
2019,10,3,25.03,27.86,85.12,1.51
2019,10,4,25.0,26.97,89.12,1.95
2019,10,5,24.59,27.45,84.94,1.35
2019,10,6,24.9,28.15,83.12,1.02
2019,10,7,24.97,26.97,88.94,1.16
2019,10,8,24.57,26.32,90.25,1.79
2019,10,9,24.08,25.72,91.0,2.13
2019,10,10,23.13,26.03,84.69,1.53
2019,10,11,22.95,26.56,81.06,1.63
2019,10,12,22.72,26.98,78.19,1.03
