YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.05,29.83,85.75,1.33
2019,9,2,26.58,28.7,88.69,3.2
2019,9,3,26.75,28.62,89.88,4.31
2019,9,4,26.9,28.28,92.31,3.69
2019,9,5,26.62,28.19,91.31,4.05
2019,9,6,26.58,28.54,89.44,4.27
2019,9,7,26.43,27.79,92.38,4.9
2019,9,8,26.75,28.49,90.56,4.8
2019,9,9,27.14,28.94,90.31,4.52
2019,9,10,27.18,28.66,91.75,3.38
2019,9,11,27.04,28.59,91.5,3.86
2019,9,12,26.75,27.94,93.25,5.27
2019,9,13,26.4,27.62,93.06,4.65
2019,9,14,26.17,27.93,90.31,3.25
2019,9,15,26.37,28.52,88.56,3.02
2019,9,16,26.3,28.12,90.12,2.73
2019,9,17,25.69,28.87,83.69,1.63
2019,9,18,25.1,29.83,76.56,1
2019,9,19,25.29,29.85,77.31,1.24
2019,9,20,25.81,28.85,84,1.62
2019,9,21,25.69,29.51,80.69,1.12
2019,9,22,25.7,29.07,82.5,1.31
2019,9,23,25.16,27.7,86.44,1.89
2019,9,24,25.41,26.87,91.81,2.34
2019,9,25,24.74,26.37,90.81,2.59
2019,9,26,24.04,26.76,85.44,1.54
2019,9,27,23.98,26.94,84.31,1.57
2019,9,28,23.7,26.43,85.38,1.41
2019,9,29,23.86,25.65,89.94,1.53
2019,9,30,24.44,26.4,89.25,2.35
2019,10,1,24.94,26.41,91.75,3.57
2019,10,2,24.63,27.3,85.94,2.1
2019,10,3,25.35,27.73,87.44,2.15
2019,10,4,25.06,27.51,86.94,1.97
2019,10,5,25.05,27.47,87,1.85
2019,10,6,25.04,27.33,87.62,1.64
2019,10,7,24.87,27.19,87.56,1.79
2019,10,8,24.2,26.79,86,1.48
2019,10,9,23.7,25.79,88.44,1.68
2019,10,10,24.08,25.65,91.12,2.82
2019,10,11,24.19,26.63,87,1.96
2019,10,12,23.56,26.9,82.44,1.7
2019,10,13,22.73,25.83,83.56,2.48
2019,10,14,22.73,25.87,83.69,2.54
2019,10,15,23.37,26.86,82.25,1.66
2019,10,16,23.82,27.67,80.38,1.36
2019,10,17,23.94,28.23,78.25,1.09
2019,10,18,24.37,27.86,81.62,1.7
2019,10,19,23.8,26.85,83.81,2.38
2019,10,20,23.76,26.37,86.12,2.53
2019,10,21,23.71,26.31,86.12,2.26
2019,10,22,24.03,26.47,86.81,2.02
2019,10,23,23.29,25.69,87,2.37
2019,10,24,20.72,22.37,90.44,3.99
2019,10,25,22.73,24.37,90.75,3.26
2019,10,26,24.92,25.88,94.44,2.93
2019,10,27,23.84,25.76,89.56,2.23
2019,10,28,21.63,23.87,87.75,3.12
2019,10,29,21.27,23.89,85.88,2.24
2019,10,30,21.65,24.86,83.19,1.62
2019,10,31,21.75,25.06,82.81,2.01
2019,11,1,22.42,25.15,85.25,2.13
2019,11,2,22.18,25.33,83.62,1.89
2019,11,3,21.66,25.63,79.56,1.27
2019,11,4,22.45,25.61,83.12,1.75
2019,11,5,21.83,25.54,80.81,1.7
2019,11,6,21.32,24.6,82.56,2.09
2019,11,7,19.5,24.56,75,2.11
2019,11,8,22.24,23.86,90.69,2.05
2019,11,9,22.71,23.57,94.88,5.98
2019,11,10,23.15,23.99,95,5.27
2019,11,11,22.44,24.16,90.31,3.37
2019,11,12,20.93,23.58,85.62,2.31
2019,11,13,20.51,23.17,85.56,2.34
2019,11,14,20.37,23.98,81.38,1.66
2019,11,15,20.27,24.13,79.62,1.5
2019,11,16,20.41,23.93,81.56,1.59
2019,11,17,19.88,23.8,79.38,1.38
2019,11,18,19.33,23.48,78.38,1.29
2019,11,19,18.51,23.47,74.25,1.04
2019,11,20,18.48,21.79,82.12,2.06
2019,11,21,17.56,22.06,76.75,1.38
2019,11,22,17.87,22.22,76.81,1.12
2019,11,23,18.2,22.61,76.81,1.09
2019,11,24,18.33,22.46,78,1.15
2019,11,25,18.73,22.27,80.81,1.47
2019,11,26,18.93,22.94,79.06,1.14
2019,11,27,18.65,22.41,80.19,1.46
2019,11,28,19.18,23.12,79.5,1.24
2019,11,29,19.49,23.16,80.62,1.12
2019,11,30,19.37,22.56,82.88,1.64
2019,12,1,18.34,20.89,85.88,2.53
2019,12,2,16.67,19.71,83.44,2.5
2019,12,3,15.33,19.29,78.81,1.94
