-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  24.8815   Longitude 90.7238 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 58.09 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.59,29.12,86.81,2.02
2019,9,2,26.65,28.53,89.69,3.05
2019,9,3,26.21,28.49,87.62,1.34
2019,9,4,25.87,27.36,91.56,2.47
2019,9,5,26.01,28.25,87.94,2.48
2019,9,6,26.37,28.15,90.25,3.03
2019,9,7,26.43,28.21,90.25,3.41
2019,9,8,26.63,28.27,91.06,4.0
2019,9,9,26.83,28.64,90.25,3.15
2019,9,10,26.72,28.19,91.88,2.59
2019,9,11,26.93,28.48,91.56,3.34
2019,9,12,26.51,27.58,93.88,4.73
2019,9,13,26.16,27.59,92.12,3.4
2019,9,14,25.9,27.62,90.62,2.84
2019,9,15,26.14,28.17,89.06,2.48
2019,9,16,26.03,27.63,91.06,2.52
2019,9,17,25.48,28.22,85.56,1.73
2019,9,18,24.72,28.87,79.38,1.43
2019,9,19,25.02,29.22,79.06,1.65
2019,9,20,25.05,28.87,80.44,1.41
2019,9,21,25.4,28.44,84.06,1.49
2019,9,22,25.36,28.8,82.44,1.4
2019,9,23,24.81,26.58,90.19,1.61
2019,9,24,24.46,25.96,91.56,1.95
2019,9,25,23.52,25.16,90.75,1.49
2019,9,26,23.4,26.3,84.88,1.94
2019,9,27,23.4,26.41,84.56,1.83
2019,9,28,23.57,25.62,88.69,1.46
2019,9,29,22.74,25.04,87.31,1.42
2019,9,30,23.39,24.51,93.44,2.29
2019,10,1,24.02,25.15,93.44,3.95
2019,10,2,24.1,26.47,87.25,2.16
2019,10,3,23.99,26.83,84.75,1.38
2019,10,4,24.55,26.65,88.69,1.83
2019,10,5,24.57,27.11,86.38,1.48
2019,10,6,24.53,26.82,87.38,1.6
2019,10,7,24.42,26.19,90.06,1.46
2019,10,8,23.86,26.04,88.0,1.07
2019,10,9,23.12,25.87,85.44,1.24
2019,10,10,23.58,25.54,89.31,1.95
2019,10,11,23.45,25.96,86.5,1.62
2019,10,12,22.08,25.98,80.0,1.52
2019,10,13,21.3,25.12,80.44,2.1
2019,10,14,22.16,25.81,81.25,1.8
2019,10,15,22.74,26.42,80.75,1.84
2019,10,16,23.39,26.78,82.12,1.38
2019,10,17,23.64,27.15,81.88,1.21
2019,10,18,22.84,26.88,79.69,1.71
2019,10,19,22.23,26.49,78.75,1.98
2019,10,20,22.11,25.84,81.0,2.02
2019,10,21,23.08,25.04,89.31,2.41
2019,10,22,22.57,24.7,88.31,2.14
2019,10,23,20.51,23.73,83.0,1.9
2019,10,24,19.8,21.69,89.12,1.45
2019,10,25,21.37,22.64,92.62,2.7
2019,10,26,23.1,24.21,93.62,2.43
2019,10,27,21.66,23.94,87.69,1.84
2019,10,28,20.55,23.15,85.88,1.97
2019,10,29,22.21,24.37,88.0,1.91
2019,10,30,22.25,25.29,83.62,1.66
2019,10,31,21.25,25.16,79.5,1.17
2019,11,1,21.65,24.88,82.94,1.53
2019,11,2,21.73,24.69,84.19,1.77
2019,11,3,21.38,24.61,82.56,1.48
2019,11,4,21.31,24.91,80.81,1.21
2019,11,5,21.03,24.69,80.5,1.33
2019,11,6,19.9,23.9,79.38,1.54
2019,11,7,19.82,23.82,79.0,1.92
2019,11,8,20.94,24.69,81.25,1.79
2019,11,9,21.81,22.64,94.94,2.96
2019,11,10,20.76,22.22,91.38,4.51
2019,11,11,20.63,23.48,84.69,2.4
2019,11,12,20.11,23.01,84.62,2.27
2019,11,13,20.27,23.51,82.75,1.59
2019,11,14,20.78,24.09,82.31,1.59
2019,11,15,20.09,23.81,80.25,1.52
2019,11,16,19.7,23.82,78.19,0.87
2019,11,17,19.73,22.9,82.69,1.33
2019,11,18,18.25,22.34,78.19,1.13
2019,11,19,18.21,22.12,78.94,1.41
2019,11,20,18.11,21.55,81.38,1.48
2019,11,21,17.39,21.33,79.06,1.48
2019,11,22,17.54,20.98,81.19,1.59
2019,11,23,18.4,21.67,82.06,1.15
2019,11,24,18.34,21.88,80.81,0.83
2019,11,25,18.63,21.44,84.56,1.24
2019,11,26,18.76,21.67,84.12,1.62
2019,11,27,18.36,21.83,81.38,1.43
2019,11,28,18.3,22.37,78.44,1.56
2019,11,29,18.05,21.98,78.88,1.7
2019,11,30,18.28,21.61,81.88,1.66
2019,12,1,16.94,20.48,80.56,1.54
2019,12,2,15.06,19.32,77.56,1.63
2019,12,3,15.31,18.87,80.88,1.83
2019,12,4,15.23,19.22,78.81,1.77
2019,12,5,15.51,19.64,78.0,2.38
2019,12,6,14.44,20.28,70.06,1.95
2019,12,7,15.63,20.18,75.81,1.7
2019,12,8,15.84,20.71,74.12,1.53
2019,12,9,16.19,19.57,81.56,1.69
2019,12,10,15.78,18.93,82.56,1.61
2019,12,11,14.71,18.69,78.44,1.73
2019,12,12,14.45,18.52,77.88,1.46
2019,12,13,14.6,18.51,78.69,1.58
2019,12,14,15.08,19.08,78.62,1.71
2019,12,15,15.86,19.2,81.75,1.62
2019,12,16,15.7,19.05,81.94,1.91
2019,12,17,14.39,17.51,82.88,1.79
2019,12,18,13.78,16.29,86.31,2.15
2019,12,19,13.26,15.16,88.75,2.16
2019,12,20,12.98,15.44,86.06,1.55
2019,12,21,12.71,14.73,88.56,1.67
2019,12,22,12.62,14.69,88.25,1.62
2019,12,23,12.26,15.4,83.19,2.27
2019,12,24,11.98,15.51,81.25,2.08
2019,12,25,10.91,14.5,80.31,2.1
2019,12,26,10.42,16.15,70.38,1.8
2019,12,27,11.3,15.35,77.94,1.91
2019,12,28,11.62,15.28,80.56,2.02
2019,12,29,11.88,16.01,78.0,1.81
2019,12,30,12.4,16.71,76.69,2.12
2019,12,31,13.23,17.27,77.94,2.19
2020,1,1,15.48,19.12,80.0,2.01
2020,1,2,16.01,19.87,79.12,1.98
2020,1,3,15.9,17.43,90.75,1.95
2020,1,4,15.07,17.72,85.06,1.44
2020,1,5,12.91,16.04,82.5,2.44
2020,1,6,10.58,13.87,82.25,2.32
2020,1,7,10.45,14.35,78.38,2.08
2020,1,8,11.01,15.57,75.12,1.7
2020,1,9,13.35,16.37,82.88,2.17
2020,1,10,13.23,15.77,85.75,2.16
2020,1,11,12.74,15.4,85.5,2.25
2020,1,12,12.82,15.88,83.5,2.32
2020,1,13,13.18,16.21,83.19,1.99
2020,1,14,13.68,16.68,83.62,1.83
2020,1,15,13.92,17.03,83.19,2.05
2020,1,16,13.65,17.98,76.81,2.09
2020,1,17,14.88,19.1,77.19,1.92
2020,1,18,15.31,19.44,77.88,1.92
2020,1,19,15.5,18.99,81.12,2.21
2020,1,20,11.96,15.33,81.38,3.02
2020,1,21,9.51,14.16,75.25,2.34
2020,1,22,8.84,14.61,69.88,2.16
2020,1,23,9.23,14.44,71.88,2.29
2020,1,24,8.36,14.26,68.88,1.97
2020,1,25,9.01,15.08,68.5,2.16
2020,1,26,9.87,15.06,72.44,2.42
2020,1,27,10.12,14.89,74.56,2.1
2020,1,28,10.83,15.84,73.38,1.67
2020,1,29,11.21,16.02,73.75,1.66
2020,1,30,13.23,16.98,79.81,2.01
2020,1,31,13.12,17.1,79.19,2.39
2020,2,1,9.41,15.81,67.62,2.3
2020,2,2,8.87,15.47,66.75,2.81
2020,2,3,7.98,14.93,65.0,2.12
2020,2,4,8.76,15.65,65.81,2.3
2020,2,5,9.39,15.93,67.06,2.56
2020,2,6,9.15,16.2,66.31,2.48
