-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  22.8638   Longitude 91.0987 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.12,29.71,86.62,2.37
2019,9,2,26.19,28.52,87.75,2.99
2019,9,3,26.51,28.37,89.88,4.32
2019,9,4,26.64,28.29,90.94,3.87
2019,9,5,26.44,27.99,91.38,3.95
2019,9,6,26.48,28.38,89.69,4.22
2019,9,7,26.29,27.83,91.38,5.38
2019,9,8,26.39,28.12,90.44,4.79
2019,9,9,26.8,28.4,91.12,4.77
2019,9,10,27.08,28.16,93.81,3.85
2019,9,11,26.9,28.09,93.25,4.09
2019,9,12,26.38,27.7,92.5,6.37
2019,9,13,26.09,27.33,92.88,4.22
2019,9,14,25.88,27.79,89.56,2.76
2019,9,15,26.17,28.12,89.44,2.37
2019,9,16,26.11,28.05,89.44,2.19
2019,9,17,25.8,29.0,83.56,1.45
2019,9,18,25.4,29.93,77.81,1.05
2019,9,19,26.01,28.87,84.88,1.77
2019,9,20,25.92,28.44,86.56,1.62
2019,9,21,25.84,29.02,83.62,1.08
2019,9,22,25.46,29.23,81.25,1.3
2019,9,23,24.91,28.13,83.38,1.5
2019,9,24,25.42,27.0,91.12,2.01
2019,9,25,24.61,26.61,89.06,1.83
2019,9,26,24.33,26.41,88.56,1.73
2019,9,27,23.98,26.37,87.06,2.2
2019,9,28,23.67,26.43,85.38,1.44
2019,9,29,24.14,25.98,89.75,1.43
2019,9,30,24.4,26.6,88.0,2.2
2019,10,1,24.55,26.05,91.56,2.74
2019,10,2,24.96,26.87,89.62,2.76
2019,10,3,25.44,27.23,90.25,2.7
2019,10,4,24.86,27.18,87.56,1.7
2019,10,5,25.11,27.35,87.88,1.78
2019,10,6,24.58,27.45,85.12,1.43
2019,10,7,24.48,26.87,87.06,1.52
2019,10,8,23.92,26.84,84.25,1.08
2019,10,9,23.55,25.66,88.12,1.24
2019,10,10,24.02,25.31,92.56,2.77
2019,10,11,24.33,26.34,89.0,2.21
2019,10,12,23.78,26.61,84.94,1.53
2019,10,13,22.73,25.56,84.94,2.53
2019,10,14,22.54,25.59,84.06,2.3
2019,10,15,23.18,26.21,84.25,1.75
2019,10,16,23.33,28.05,76.81,1.0
2019,10,17,24.22,27.62,82.06,1.43
2019,10,18,24.49,27.27,85.12,1.93
2019,10,19,24.25,26.91,85.75,2.06
2019,10,20,23.98,26.46,86.81,2.47
2019,10,21,23.82,26.24,86.94,2.3
2019,10,22,24.09,26.48,87.0,1.73
2019,10,23,23.88,26.04,88.31,2.22
2019,10,24,22.01,23.51,91.38,3.91
2019,10,25,23.47,25.43,89.31,2.81
2019,10,26,25.03,26.57,91.31,2.65
2019,10,27,23.99,25.83,89.88,1.45
2019,10,28,22.94,24.82,89.56,2.72
2019,10,29,21.93,24.44,86.31,2.25
2019,10,30,21.46,24.62,83.12,1.7
2019,10,31,21.55,24.96,82.0,1.78
2019,11,1,21.99,25.05,83.81,2.09
2019,11,2,21.78,25.1,82.62,1.8
2019,11,3,21.15,25.11,79.5,1.44
2019,11,4,22.05,25.59,81.12,1.4
2019,11,5,21.79,25.49,80.75,1.59
2019,11,6,21.19,24.6,82.12,2.04
2019,11,7,20.63,24.89,78.56,1.7
2019,11,8,22.31,24.16,89.44,1.84
2019,11,9,23.19,24.3,93.5,4.33
2019,11,10,23.58,24.42,95.0,5.38
2019,11,11,23.68,25.1,92.0,2.55
2019,11,12,21.44,23.68,87.81,2.39
2019,11,13,20.52,23.05,86.25,2.36
2019,11,14,21.2,23.69,86.75,2.12
2019,11,15,20.59,23.65,83.56,2.0
2019,11,16,20.21,23.34,83.31,1.68
2019,11,17,19.4,23.39,78.62,1.29
2019,11,18,19.21,22.91,80.25,1.55
2019,11,19,18.54,22.76,77.75,1.38
2019,11,20,18.14,21.8,80.25,1.74
2019,11,21,17.48,21.51,78.69,1.66
2019,11,22,17.24,21.65,76.44,1.29
2019,11,23,17.69,21.89,77.62,1.48
2019,11,24,17.95,21.58,80.5,1.52
2019,11,25,18.07,21.33,82.44,1.7
2019,11,26,18.16,21.94,80.19,1.55
2019,11,27,17.76,22.09,77.44,1.45
2019,11,28,19.06,22.26,83.0,1.7
2019,11,29,19.47,22.62,83.25,1.38
2019,11,30,19.19,22.26,83.38,1.59
2019,12,1,18.41,20.79,86.94,2.41
2019,12,2,17.08,19.69,85.31,2.8
2019,12,3,14.9,19.05,77.75,2.03
2019,12,4,15.65,18.84,82.5,2.47
2019,12,5,15.83,21.1,74.12,1.38
2019,12,6,17.03,21.48,77.0,1.62
2019,12,7,17.15,20.88,80.44,1.98
2019,12,8,16.23,21.85,71.38,1.12
2019,12,9,16.89,21.19,76.94,1.18
2019,12,10,16.54,20.44,79.0,1.48
2019,12,11,15.48,20.2,75.0,1.38
2019,12,12,14.58,19.27,75.31,1.81
2019,12,13,13.96,18.83,75.25,1.66
2019,12,14,14.75,19.26,76.69,1.81
2019,12,15,15.76,19.26,80.88,2.15
2019,12,16,16.94,19.1,87.5,2.37
2019,12,17,16.43,18.55,87.62,2.59
2019,12,18,15.26,16.96,89.38,3.33
2019,12,19,13.69,15.08,90.0,2.76
2019,12,20,12.76,14.83,86.25,2.3
2019,12,21,13.23,14.88,89.25,2.34
2019,12,22,13.05,14.86,87.88,2.91
2019,12,23,13.93,15.79,88.38,3.19
2019,12,24,13.37,15.62,86.31,2.99
2019,12,25,12.91,15.18,85.5,2.73
2019,12,26,13.68,16.78,83.38,2.42
2019,12,27,13.65,15.12,91.44,2.73
2019,12,28,12.23,14.32,88.06,3.1
2019,12,29,13.68,15.85,86.19,2.5
2019,12,30,14.28,17.28,82.19,1.7
2019,12,31,14.91,18.68,79.88,1.66
2020,1,1,15.83,20.21,77.06,1.57
2020,1,2,17.4,20.05,84.88,1.88
2020,1,3,16.91,18.19,92.38,2.38
2020,1,4,15.05,17.87,84.0,1.23
2020,1,5,15.98,18.05,88.06,2.09
2020,1,6,12.76,15.24,85.69,3.34
2020,1,7,11.79,14.62,84.0,2.48
2020,1,8,12.98,15.45,85.44,2.98
2020,1,9,14.36,16.95,85.44,2.12
2020,1,10,14.91,17.08,87.62,3.08
2020,1,11,13.3,14.96,89.88,3.15
2020,1,12,13.51,15.21,89.0,3.09
2020,1,13,13.15,15.43,85.75,2.3
2020,1,14,13.33,15.62,86.19,2.16
2020,1,15,14.48,16.52,87.75,2.43
2020,1,16,15.44,17.95,85.19,2.52
2020,1,17,16.07,19.19,82.69,2.16
2020,1,18,15.09,19.68,76.25,1.8
2020,1,19,15.87,19.12,82.5,2.2
2020,1,20,14.9,17.01,87.44,3.01
2020,1,21,11.44,15.12,80.19,3.09
2020,1,22,10.89,14.55,80.25,3.16
2020,1,23,12.2,16.47,76.94,2.13
2020,1,24,11.91,16.23,77.5,2.54
2020,1,25,10.12,14.79,75.06,2.55
2020,1,26,10.3,15.12,74.19,1.99
2020,1,27,10.65,15.33,74.62,1.94
2020,1,28,11.91,16.4,76.12,1.95
2020,1,29,13.02,17.58,75.38,1.34
2020,1,30,15.06,18.19,82.69,1.86
2020,1,31,15.62,18.0,86.06,2.23
2020,2,1,13.24,16.83,80.5,2.4
2020,2,2,11.43,16.2,74.44,2.55
2020,2,3,9.68,14.26,76.06,3.18
2020,2,4,10.08,14.38,77.06,3.19
2020,2,5,11.46,15.66,77.56,2.63
2020,2,6,12.16,16.94,74.75,2.92
2020,2,7,11.86,16.77,74.12,2.63
2020,2,8,12.4,17.51,73.25,2.79
2020,2,9,13.52,17.7,77.19,2.93
2020,2,10,10.49,15.94,72.44,3.21
2020,2,11,11.21,15.77,75.56,2.87
2020,2,12,10.83,15.9,73.75,3.19
2020,2,13,10.22,16.99,66.31,2.02
2020,2,14,12.42,18.17,70.69,1.95
2020,2,15,16.83,18.94,86.5,2.88
2020,2,16,15.84,20.23,76.19,1.5
2020,2,17,14.68,20.53,70.06,1.35
2020,2,18,14.4,20.94,66.88,1.23
2020,2,19,13.72,21.05,63.69,1.23
2020,2,20,14.18,21.08,66.5,1.55
2020,2,21,13.58,20.68,65.19,1.87
2020,2,22,13.73,21.97,60.44,1.27
2020,2,23,14.62,22.8,60.69,1.28
2020,2,24,17.65,22.13,76.81,1.91
2020,2,25,17.72,21.25,81.44,2.22
2020,2,26,16.39,19.84,81.81,2.08
2020,2,27,15.45,19.93,76.62,1.9
2020,2,28,14.4,20.15,71.19,2.03
2020,2,29,14.47,21.15,66.88,1.48
2020,3,1,15.28,22.25,65.81,1.27
2020,3,2,16.18,22.79,68.0,1.45
2020,3,3,18.31,23.43,74.75,1.2
2020,3,4,17.55,23.44,70.44,1.05
2020,3,5,18.18,23.53,72.69,1.28
2020,3,6,17.83,23.65,71.19,1.53
2020,3,7,18.6,22.79,78.25,1.45
2020,3,8,19.13,23.56,76.81,1.86
2020,3,9,16.98,22.49,72.31,2.05
2020,3,10,14.16,21.04,66.5,2.8
2020,3,11,15.62,22.46,66.69,1.96
2020,3,12,18.32,24.9,68.0,1.75
2020,3,13,18.83,24.83,70.56,2.31
2020,3,14,18.63,23.98,73.56,3.1
2020,3,15,17.65,23.01,74.38,3.68
2020,3,16,17.69,22.96,74.0,2.95
2020,3,17,17.65,23.59,70.88,2.63
2020,3,18,17.37,24.05,67.44,2.02
2020,3,19,16.38,24.26,62.81,1.85
2020,3,20,16.01,24.37,60.81,1.41
2020,3,21,17.44,24.95,65.44,1.57
2020,3,22,18.67,23.95,74.38,1.5
2020,3,23,16.99,23.98,66.25,1.71
2020,3,24,18.29,24.33,70.81,1.38
2020,3,25,19.0,25.44,69.81,1.52
2020,3,26,19.83,26.29,69.25,1.49
2020,3,27,20.15,26.67,69.5,1.96
2020,3,28,21.8,27.12,75.5,2.28
2020,3,29,20.4,28.25,66.0,1.72
2020,3,30,15.52,27.77,49.44,1.59
2020,3,31,15.21,27.27,49.0,1.23
2020,4,1,15.45,26.43,54.06,2.18
2020,4,2,22.59,27.16,77.81,3.08
2020,4,3,23.12,27.55,78.81,2.97
2020,4,4,22.67,26.81,79.81,2.02
2020,4,5,22.19,26.62,77.94,2.0
2020,4,6,22.45,26.65,79.44,2.6
2020,4,7,22.29,26.84,78.44,3.41
2020,4,8,22.81,26.75,80.62,3.35
2020,4,9,22.32,25.69,82.56,2.39
2020,4,10,21.92,27.68,73.12,1.98
2020,4,11,21.92,28.1,71.81,1.83
2020,4,12,20.34,27.6,67.12,1.37
2020,4,13,20.96,27.4,69.75,1.8
2020,4,14,21.62,28.15,70.44,2.05
