YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.86,29.1,88.12,1.27
2019,9,2,26.55,28.78,88.31,2.5
2019,9,3,26.72,28.02,92.69,2.75
2019,9,4,26.94,28.15,93.25,2.87
2019,9,5,26.66,27.96,92.75,3.1
2019,9,6,26.64,28.48,90.12,3.6
2019,9,7,26.96,28.44,91.88,3.81
2019,9,8,26.73,28.3,91.44,3.59
2019,9,9,27.15,28.83,91,2.65
2019,9,10,27.4,28.58,93.38,2.39
2019,9,11,27.1,28.19,93.81,2.35
2019,9,12,26.25,27.51,92.88,3.48
2019,9,13,26.12,27.23,93.69,3.22
2019,9,14,26.12,27.48,92.44,2.41
2019,9,15,26.43,28.31,89.94,2.44
2019,9,16,26.12,27.73,91.19,2.06
2019,9,17,25.98,28.51,86.94,1.83
2019,9,18,25.98,28.61,86.44,1.94
2019,9,19,25.74,28.91,84.19,1.58
2019,9,20,25.41,28.55,84.12,1.38
2019,9,21,25.81,28.3,86.81,1.47
2019,9,22,25.8,28.52,85.75,1.58
2019,9,23,25.97,27.08,93.69,2.24
2019,9,24,26.19,27,95.25,2.46
2019,9,25,25.39,26.32,94.56,2.5
2019,9,26,24.37,26.38,89.19,1.3
2019,9,27,24.46,26.4,89.44,1.54
2019,9,28,24.27,26.1,89.88,1.17
2019,9,29,24.12,25.76,90.69,1.12
2019,9,30,24.42,26.11,90.69,2.11
2019,10,1,25.19,26.74,91.44,2.27
2019,10,2,25.25,27.7,87,1.48
2019,10,3,25.52,27.23,90.69,1.93
2019,10,4,25.02,27.2,88.25,1.64
2019,10,5,25.13,27.27,88.5,1.6
2019,10,6,25.09,27.32,88.25,1.47
2019,10,7,24.69,26.82,88.56,1.51
2019,10,8,24.51,26.71,88,1.56
2019,10,9,24.45,25.48,94,2
2019,10,10,24,26.18,88.38,1.41
2019,10,11,24.05,26.85,85.19,1.16
2019,10,12,23.76,27.23,81.88,1.57
2019,10,13,23.26,26.49,83,1.87
2019,10,14,22.89,26.31,82.19,2
2019,10,15,22.6,26.9,78.19,1.22
2019,10,16,23.51,27.4,80.19,1.14
2019,10,17,23.97,27.37,82.75,1.45
2019,10,18,24.48,27.91,82.38,1.37
2019,10,19,24.13,27.56,81.69,1.6
2019,10,20,24.05,26.9,85.06,2.02
2019,10,21,23.49,26.84,82.56,1.65
2019,10,22,23.92,26.83,84.44,1.47
2019,10,23,23.89,26.14,87.75,1.64
2019,10,24,21.38,22.77,92,3.04
2019,10,25,23.37,24.52,93.44,2.52
2019,10,26,24.98,25.93,94.5,2.2
2019,10,27,23.52,25.28,90.31,1.9
2019,10,28,21.8,23.93,88.44,2.33
2019,10,29,20.97,23.49,86.5,2.03
2019,10,30,21.12,23.92,85.25,2.1
2019,10,31,20.6,24.08,82,2.04
2019,11,1,21.15,24.6,81.75,1.64
2019,11,2,21.55,24.31,85.5,2.42
2019,11,3,22.12,24.79,85.94,2.09
2019,11,4,22.27,25.24,84.38,1.95
2019,11,5,21.55,25.09,81.75,1.71
2019,11,6,20.8,23.85,83.88,2.41
2019,11,7,18.75,23.61,75.31,2.2
