-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  25.0207   Longitude 90.0178 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,27.19,29.56,87.62,2.04
2019,9,2,27.1,29.05,89.38,3.06
2019,9,3,26.21,28.19,89.06,2.2
2019,9,4,26.09,27.51,92.06,2.95
2019,9,5,26.16,28.24,88.81,3.19
2019,9,6,26.56,28.53,89.38,3.64
2019,9,7,26.63,28.32,90.75,4.08
2019,9,8,26.8,28.69,89.88,4.38
2019,9,9,26.98,29.05,89.06,3.39
2019,9,10,26.87,28.68,90.12,3.07
2019,9,11,27.13,28.84,90.75,3.61
2019,9,12,26.72,27.86,93.5,4.8
2019,9,13,26.22,27.9,90.75,3.87
2019,9,14,26.21,28.24,89.12,3.43
2019,9,15,26.48,28.61,88.62,3.01
2019,9,16,26.51,27.95,91.94,3.09
2019,9,17,25.79,28.16,87.25,1.99
2019,9,18,24.84,29.02,79.12,1.41
2019,9,19,25.08,29.38,78.44,1.5
2019,9,20,25.36,29.49,78.81,1.15
2019,9,21,25.47,29.33,80.19,1.13
2019,9,22,25.42,29.19,80.69,1.33
2019,9,23,25.15,27.08,89.25,1.96
2019,9,24,24.8,25.91,93.5,2.7
2019,9,25,23.93,25.15,92.88,2.28
2019,9,26,23.73,26.41,85.75,1.56
2019,9,27,23.5,26.65,83.38,1.2
2019,9,28,23.36,26.12,85.12,1.12
2019,9,29,22.49,24.72,87.62,1.4
2019,9,30,23.43,24.54,93.44,2.45
2019,10,1,24.62,25.82,93.12,3.86
2019,10,2,24.51,26.96,86.88,2.59
2019,10,3,24.48,27.16,85.69,1.89
2019,10,4,24.94,26.69,90.31,2.31
2019,10,5,24.58,27.29,85.5,1.61
2019,10,6,24.67,27.16,86.38,1.59
2019,10,7,24.8,26.34,91.19,1.64
2019,10,8,24.15,26.05,89.38,1.34
