YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.99,29.75,85.69,1.76
2019,9,2,26.9,28.97,88.75,2.76
2019,9,3,26.65,28.65,89.19,3.02
2019,9,4,26.55,27.98,92.06,3.33
2019,9,5,26.53,28.55,89.25,3.55
2019,9,6,26.65,28.57,89.69,3.84
2019,9,7,26.61,28.23,91.06,4.38
2019,9,8,26.88,28.9,89.25,4.43
2019,9,9,27,29.18,88.5,3.34
2019,9,10,26.85,29.03,88.38,3.16
2019,9,11,27.12,28.98,90,3.29
2019,9,12,26.68,27.86,93.25,4.5
2019,9,13,26.23,28,90.38,4.12
2019,9,14,26.23,28.3,89,3.24
2019,9,15,26.56,28.8,88.12,2.9
2019,9,16,26.45,28.25,90.19,3.05
2019,9,17,25.86,28.5,86.06,1.74
2019,9,18,24.94,29.39,78,1.25
2019,9,19,24.97,29.7,76.31,1.22
2019,9,20,25.38,29.53,78.81,1.16
2019,9,21,25.33,29.67,77.94,0.88
2019,9,22,25.52,29.21,81,1.23
2019,9,23,25.27,27.8,86.44,1.8
2019,9,24,25.18,26.39,93.06,2.73
2019,9,25,24.14,25.49,92.19,2.59
2019,9,26,23.65,26.22,86.12,1.59
2019,9,27,23.61,26.82,83.06,1.12
2019,9,28,23.43,26,86,1.12
2019,9,29,22.69,25.22,86.12,1.4
2019,9,30,23.64,25.11,91.56,1.96
2019,10,1,24.99,26.27,92.69,3.28
2019,10,2,24.44,27.41,84.56,1.77
2019,10,3,24.71,27.51,85.19,1.62
2019,10,4,25.08,27.08,88.94,2.02
2019,10,5,24.6,27.48,84.69,1.61
2019,10,6,24.67,27.59,84.31,1.21
2019,10,7,24.83,26.97,88.19,1.35
2019,10,8,24.44,26.56,88.19,1.18
2019,10,9,23.72,25.92,88,1.65
2019,10,10,23.56,26.13,86.12,1.38
2019,10,11,23.71,26.99,82.81,1.11
2019,10,12,22.58,27.12,76.69,1.45
2019,10,13,22.4,25.76,82.06,2.34
2019,10,14,22.82,25.72,84.75,2.63
2019,10,15,23.2,26.95,80.88,1.57
2019,10,16,23.93,27.59,80.81,1.37
2019,10,17,24.19,27.4,83.06,1.6
2019,10,18,23.76,26.92,83.44,2.37
2019,10,19,23.16,26.2,84,2.77
2019,10,20,23.2,25.75,86.38,2.62
2019,10,21,23.51,25.58,88.69,2.72
2019,10,22,22.97,25.39,86.88,2.48
2019,10,23,21.12,24.37,82.62,2.15
2019,10,24,20.14,21.84,90.12,2.16
2019,10,25,21.74,22.81,93.69,3.99
2019,10,26,23.66,25.21,91.38,2.09
2019,10,27,22.33,24.22,89.5,2.45
2019,10,28,20.75,22.91,88,3.05
2019,10,29,21.4,23.62,88,2.18
2019,10,30,22.17,24.89,85.69,1.91
2019,10,31,22.1,24.84,85.5,2.07
2019,11,1,22.45,24.85,87,2.44
2019,11,2,22.41,24.84,87.06,2.29
2019,11,3,22.17,24.96,85.19,1.86
2019,11,4,22.19,25.22,83.75,1.71
2019,11,5,21.65,25.02,82.38,1.69
2019,11,6,20.49,23.92,82.06,2.12
2019,11,7,19.03,23.71,76.25,2.06
2019,11,8,21.51,23.94,86.94,1.99
2019,11,9,22.23,23.07,94.88,4.27
2019,11,10,21.46,22.48,93.88,5.52
2019,11,11,21.01,23.31,87.31,3.19
2019,11,12,20.47,23.18,85.38,2.16
2019,11,13,19.78,22.57,84.94,2.45
2019,11,14,20.53,24.1,81.5,1.37
2019,11,15,20.17,24.15,79.19,1.32
2019,11,16,20.51,24.03,81.38,1.52
2019,11,17,20.1,23.02,84.25,1.97
2019,11,18,18.31,22.78,77,1.16
2019,11,19,18.48,22.4,79,1.47
2019,11,20,16.89,21.04,78.62,1.8
2019,11,21,17.81,21.68,79.62,1.64
2019,11,22,18.43,22.03,80.75,1.37
2019,11,23,18.75,22.33,80.69,1.53
2019,11,24,18.44,21.95,81.25,1.45
2019,11,25,19.16,21.65,86.19,1.9
2019,11,26,19.23,22.29,83.81,1.55
2019,11,27,18.82,22.06,82.69,1.54
2019,11,28,18.9,22.93,79.44,1.23
2019,11,29,19.15,22.35,83.06,1.63
2019,11,30,18.91,21.67,84.81,1.95
2019,12,1,17.46,20.19,84.62,2.45
2019,12,2,15.8,19.38,80.94,2.18
2019,12,3,16.01,18.73,85,2.45
2019,12,4,16.18,18.86,85.31,2.74
2019,12,5,16.69,19.47,84.88,2.3
2019,12,6,16.33,19.63,82.38,2.6
2019,12,7,15.96,20.04,78.5,1.92
2019,12,8,15.93,20.62,75.75,1.62
2019,12,9,16.48,19.87,81.62,1.64
2019,12,10,16.08,19.26,82.56,2.04
2019,12,11,15.1,18.93,79.69,1.88
2019,12,12,15.19,18.6,81.19,2.18
2019,12,13,14.6,19.15,76.25,1.28
2019,12,14,15.44,19.43,79.5,1.8
2019,12,15,16.74,19.23,86.06,2.41
2019,12,16,15.96,19.08,83.5,2.34
2019,12,17,15.48,17.69,87,2.59
2019,12,18,13.42,15.56,87.06,3.55
2019,12,19,12.04,13.85,88.81,3.16
2019,12,20,11.48,14.42,83.19,2.23
2019,12,21,11.91,14.23,86.19,2.1
2019,12,22,11.87,14.36,85.69,2.13
2019,12,23,12.51,14.98,86.12,2.84
2019,12,24,12.01,14.9,82.75,2.97
2019,12,25,11.4,14.65,82.31,2.29
2019,12,26,12.01,15.9,79.69,2.54
2019,12,27,11.63,14.35,84.5,3.12
2019,12,28,10.33,13.39,83,3.67
2019,12,29,11.48,14.45,83.81,3.14
2019,12,30,12.15,15.69,80.94,2.24
2019,12,31,13.53,17.67,78,1.24
2020,1,1,15.37,19.15,79.75,1.91
2020,1,2,16.08,19.69,81.19,2.03
2020,1,3,15.71,17.24,90.69,1.17
2020,1,4,15.27,17.87,85.56,1.59
2020,1,5,13.38,15.91,85.56,2.73
2020,1,6,10.83,13.9,82.62,2.99
2020,1,7,10.59,13.98,81.19,2.66
2020,1,8,11.19,15.26,78.06,1.75
2020,1,9,13.27,15.62,86.38,2.67
2020,1,10,13.58,16.08,85.5,2.66
2020,1,11,12.08,14.47,85.94,3.61
2020,1,12,11.41,14.37,83.75,3.35
2020,1,13,11.32,14.75,81.38,2.43
2020,1,14,12.4,15.91,80.56,2.01
2020,1,15,13.48,16.87,81,1.92
2020,1,16,13.12,17.98,74.69,1.8
2020,1,17,14.42,19.42,74.38,1.74
2020,1,18,15.48,19.62,78.38,1.93
2020,1,19,15.95,18.86,84.75,2.72
2020,1,20,12.15,15.72,80.44,3.33
2020,1,21,9.97,14.67,74.75,2.54
2020,1,22,9.19,14.96,70.38,2.2
2020,1,23,10.54,15.57,72.88,2.14
2020,1,24,9.21,14.9,70.25,1.8
2020,1,25,9.3,15.19,69.31,1.93
2020,1,26,9.67,14.83,72.94,2.52
2020,1,27,10.3,15.08,74.62,2.29
2020,1,28,11.56,16.32,75.19,2.05
2020,1,29,12.52,16.56,77.75,1.83
2020,1,30,13.95,17.27,82.12,1.95
2020,1,31,13.01,17.45,76.94,2.76
2020,2,1,9.99,16.41,67.5,2.23
2020,2,2,9.42,15.76,68.06,2.94
2020,2,3,7.94,14.72,66.12,2.34
2020,2,4,8.56,15.49,64.81,2.4
2020,2,5,9.51,16.12,66.56,2.7
2020,2,6,10.25,16.49,69.44,2.7
2020,2,7,9.02,17.04,60.69,2.02
2020,2,8,10.69,17.36,66.62,2.53
2020,2,9,11.07,17.26,69.19,3.64
2020,2,10,8.14,15.74,63.25,2.91
2020,2,11,9.29,16.32,65.25,3.05
2020,2,12,8.87,16.06,64.75,3.36
2020,2,13,8.88,16.81,61.88,2.55
2020,2,14,11.19,19.01,61.44,1.78
2020,2,15,14.52,19.33,75.38,2.12
2020,2,16,13.75,20.51,66.5,1.39
2020,2,17,11.95,20.39,59.56,1.78
2020,2,18,12.76,20.39,62.75,1.79
2020,2,19,12.91,21.16,60.69,1.44
2020,2,20,12.08,20.87,58.69,1.59
2020,2,21,13.13,20.98,63.69,2.34
2020,2,22,15.36,21.73,69.56,2.2
2020,2,23,15.04,22.98,63.06,1.87
2020,2,24,14.78,22.94,61.75,1.55
2020,2,25,15.07,21.13,69.31,1.87
2020,2,26,15.01,21.55,67.38,1.42
2020,2,27,14.57,21.1,68.06,1.49
2020,2,28,12.86,21.05,62.69,2.3
2020,2,29,13.57,22.06,61.44,2.12
2020,3,1,14.6,22.75,62.19,2.29
2020,3,2,14,23.36,58,1.89
2020,3,3,15.84,23.77,63,1.76
2020,3,4,17.16,23.25,69.94,1.82
2020,3,5,17.15,23.75,67.94,1.72
2020,3,6,17.56,23.85,68.75,1.23
2020,3,7,18.39,22.44,79.25,2.12
2020,3,8,18.11,23.69,72.81,1.75
2020,3,9,13.38,22.9,58.25,2.17
2020,3,10,11.29,23.66,46.69,1.68
2020,3,11,13.08,23.66,52.56,2
2020,3,12,15.86,25.05,58.62,1.8
2020,3,13,16.81,25.77,60.62,2.34
2020,3,14,16.9,24.67,65.38,3.48
2020,3,15,15.01,23.38,64.5,4.41
2020,3,16,15.62,24.28,61.62,3.27
2020,3,17,14.13,24.03,56.25,2.8
2020,3,18,13.23,24.81,50.62,2.36
2020,3,19,11.75,25.98,42.38,1.72
2020,3,20,13.01,25.05,49.56,1.85
2020,3,21,12.83,26.27,45.62,1.66
2020,3,22,16.12,24.86,59.5,1.62
2020,3,23,14.93,24.58,57.31,1.85
2020,3,24,14.3,25.89,50.38,1.16
2020,3,25,14.32,26.62,48.69,1.55
2020,3,26,15.48,27.83,48.5,1.98
2020,3,27,15.51,28.52,48.06,2.41
2020,3,28,17.37,29.12,51.62,3.37
2020,3,29,14.76,28.53,48.81,3.94
2020,3,30,11.59,28.16,39.62,3.05
2020,3,31,10.01,28.44,33.62,1.7
2020,4,1,11.98,29.51,35.44,1.93
2020,4,2,17.65,29.76,52.12,3.12
2020,4,3,18.87,29.9,55.81,2.66
2020,4,4,16.53,28.78,54.75,2.13
2020,4,5,16.73,29,53.75,2.15
2020,4,6,14.42,28.36,51,2.7
2020,4,7,14.45,29.24,47.19,3.45
2020,4,8,18.41,30.43,54.25,3.02
2020,4,9,18.29,29.62,56.44,2.65
2020,4,10,16.71,30.23,50.12,2.57
2020,4,11,18.99,29.65,55.5,2.43
2020,4,12,16.56,28.31,53.31,1.9
2020,4,13,17.75,29.08,53.5,1.9
2020,4,14,19.27,30.8,53.31,1.96
2020,4,15,22.23,28.54,69.94,2.01
2020,4,16,21.29,27.39,70.94,1.78
2020,4,17,22.84,27.99,75.5,3.09
2020,4,18,23.82,28.08,79.19,3.18
2020,4,19,23.46,28.83,75.25,3.68
2020,4,20,23.33,28.15,77.06,2.93
2020,4,21,22.41,25.39,84.38,2.42
2020,4,22,20.35,25.47,74.75,1.8
2020,4,23,21.47,26.17,76.69,2.32
2020,4,24,21.95,25.5,81.62,2.84
2020,4,25,21.62,25.41,80.81,2.52
2020,4,26,22.15,25.42,82.88,2.77
2020,4,27,21.87,25.4,81.75,2.36
2020,4,28,22.22,25.19,84.12,2.57
2020,4,29,22.3,25.43,83.62,2.39
2020,4,30,22.65,26.67,79.81,1.98
2020,5,1,22.78,26.93,78.88,1.8
2020,5,2,22.98,26.81,80.25,1.79
2020,5,3,23.37,26.48,83.75,2.41
2020,5,4,23.33,27.88,77.56,1.36
2020,5,5,24.32,28.83,77.44,2.11
2020,5,6,23.4,27.47,79,1.55
2020,5,7,22.27,27.63,73.38,1.38
2020,5,8,22.3,27.59,73.5,1.7
2020,5,9,23.73,28.05,78.38,1.91
2020,5,10,24.03,29.28,74.06,1.39
2020,5,11,23.8,29.46,72.12,1
2020,5,12,23.68,29.51,71.69,1.84
2020,5,13,24.6,28.34,81.31,3.37
2020,5,14,25.09,28.68,81.94,2.68
2020,5,15,25.26,28.87,81.62,2.09
2020,5,16,25.92,29.1,83.88,3.37
2020,5,17,25.64,29.37,81.56,2.66
2020,5,18,26.05,29.47,82.56,2.31
2020,5,19,24.68,28.25,81.88,2.19
2020,5,20,23.91,26.61,85.5,7.53
2020,5,21,24.73,26.65,89.31,10.77
2020,5,22,24.19,27.39,83.38,4.06
2020,5,23,25.96,28.98,84.62,3.27
2020,5,24,26.88,29.27,87.5,5.27
2020,5,25,27.05,29.31,88.06,6.34
2020,5,26,26.59,28.86,88,6.55
2020,5,27,26.28,28.18,89.69,4.8
2020,5,28,25.14,27.8,85.94,1.89
2020,5,29,25.04,28,84.31,2.09
2020,5,30,25.73,28.28,86.56,2.63
2020,5,31,25.38,28.16,85.44,1.61
2020,6,1,26.16,28.48,87.56,3.24
2020,6,2,26.47,28.27,90.06,3.83
2020,6,3,26.11,27.86,90.31,3.69
2020,6,4,26.28,28.34,89,3.14
2020,6,5,26.39,28.26,89.81,3.06
2020,6,6,26.65,28.19,91.44,3.91
2020,6,7,26.15,29.01,85.25,2.04
2020,6,8,26.36,28.68,87.5,2.4
2020,6,9,26.21,29.05,85,1.73
2020,6,10,26.62,28.58,89.25,2.22
2020,6,11,26.87,27.93,93.88,3.43
2020,6,12,26.76,28.32,91.5,4.08
2020,6,13,27.33,28.16,95.12,4.14
2020,6,14,27.19,28.48,92.81,3.7
2020,6,15,27.39,29.02,91.06,3.32
2020,6,16,26.69,28.56,89.81,3.51
2020,6,17,26.86,28.29,92.06,3.53
2020,6,18,26.87,28.41,91.5,4.46
2020,6,19,26.94,28.95,89.19,3.84
2020,6,20,27.03,28.87,89.94,3.42
2020,6,21,26.76,28.55,90.31,4.59
2020,6,22,26.44,28.42,89.31,4.68
2020,6,23,26.95,29.19,88.12,3.5
2020,6,24,26.95,29.2,88.06,3.33
2020,6,25,27.18,28.65,91.75,4.43
2020,6,26,27.11,28.25,93.5,5
2020,6,27,26.75,28.54,90.19,4.82
2020,6,28,26.62,28.22,91.12,3.9
2020,6,29,25.98,28.61,86.25,2.82
2020,6,30,26.48,29.21,85.62,2.34
2020,7,1,26.87,28.76,89.69,3.37
2020,7,2,27.23,28.65,92.06,3.37
2020,7,3,26.86,29.24,87.38,2.27
2020,7,4,26.8,29.05,88,2.53
2020,7,5,26.92,28.72,90.19,4.23
2020,7,6,26.86,28.37,91.56,5.45
2020,7,7,27.23,28.98,90.56,4.54
2020,7,8,27.02,29.05,89.06,3.22
2020,7,9,27.46,28.9,92,4.85
2020,7,10,27.46,28.96,91.69,5.84
2020,7,11,26.98,28.12,93.5,4.91
2020,7,12,26.94,28.64,90.69,3.8
2020,7,13,27.1,29.29,88.38,2.69
2020,7,14,26.78,28.42,90.94,3.77
2020,7,15,26.83,28.98,88.5,3.79
2020,7,16,26.62,29.06,87.12,3.1
2020,7,17,26.82,29.19,87.56,3.09
2020,7,18,26.97,28.84,89.81,3.57
2020,7,19,27.23,28.8,91.31,4.83
2020,7,20,26.94,27.95,94.12,5.09
2020,7,21,26.83,27.73,94.81,4.31
2020,7,22,26.19,27.73,91.44,3.11
2020,7,23,26.23,28.05,90.12,3.55
2020,7,24,26.59,28.3,90.62,3.53
2020,7,25,26.48,28.78,87.81,2.73
2020,7,26,26.93,29.55,86.31,2.39
2020,7,27,27.17,28.4,93,3.41
2020,7,28,26.33,28.44,88.62,2.32
2020,7,29,26.88,28.73,90,3.72
2020,7,30,26.76,28.57,90.06,3.25
2020,7,31,26.76,29.04,87.81,2.45
2020,8,1,26.81,30.23,82.56,1.2
2020,8,2,27.12,29.51,87.31,1.98
2020,8,3,26.97,31.03,79.69,1.14
2020,8,4,27.4,29.77,87.31,3.15
2020,8,5,26.8,28.74,89.5,5.16
2020,8,6,26.65,28.12,91.75,4.72
2020,8,7,26.96,28.99,89.19,3.95
2020,8,8,27.19,29.3,88.81,3.66
2020,8,9,26.98,28.67,90.75,3.77
2020,8,10,27.15,29.36,88.44,2.89
2020,8,11,27.19,29.12,89.56,2.81
2020,8,12,27.41,29.69,88,3.46
2020,8,13,27.05,29.38,87.69,3.37
2020,8,14,26.88,29.65,85.56,2.77
2020,8,15,26.23,28.18,89.44,4.78
2020,8,16,26.46,27.77,92.56,5.11
2020,8,17,26.59,28.33,90.56,4.38
2020,8,18,26.58,28.72,88.62,3.55
2020,8,19,26.39,28.25,89.94,5.46
2020,8,20,25.48,26.8,92.44,6.39
2020,8,21,25.62,27.08,91.69,4.94
2020,8,22,25.69,27.06,92.31,3.57
2020,8,23,25.84,28.34,87.06,1.92
2020,8,24,26.2,29.07,85.06,1.98
2020,8,25,26.5,28.69,88.19,2.38
2020,8,26,26,28.05,88.94,6.14
2020,8,27,26.15,27.95,90.19,4.52
2020,8,28,25.96,28.36,87.38,3.08
2020,8,29,26.48,28.87,87.38,2.94
2020,8,30,26.8,29.05,88.06,2.94
2020,8,31,26.69,28.48,90.19,1.98
2020,9,1,26.53,28.01,91.62,2.3
2020,9,2,25.98,28.42,87.06,2.57
2020,9,3,25.97,28.87,85,2.26
2020,9,4,26.23,29.52,83.06,1.88
2020,9,5,26.73,29.26,86.62,2.75
2020,9,6,27,28.81,90.19,3.45
2020,9,7,26.75,28.51,90.38,3.12
2020,9,8,26.39,28.48,88.75,2.84
2020,9,9,26.58,28.7,88.69,2.63
2020,9,10,26.58,28.37,90.19,3.07
2020,9,11,26.45,28.57,88.69,2.94
2020,9,12,26.52,28.24,90.5,2.29
2020,9,13,26.54,28.45,89.69,2.68
2020,9,14,26.37,28.4,89.06,2.76
2020,9,15,26.31,27.98,90.81,2
2020,9,16,26.51,27.95,92,3.31
2020,9,17,26.62,28.04,92.06,2.66
2020,9,18,26.15,29.05,85.06,1.41
2020,9,19,26.68,29.46,85.62,1.98
2020,9,20,27.13,29.87,85.69,2.19
2020,9,21,26.9,28.44,91.44,5.02
2020,9,22,26.88,28.02,93.56,4.32
2020,9,23,26.83,27.72,94.88,4.02
2020,9,24,26.58,27.71,93.62,3.95
2020,9,25,26.8,27.8,94.31,3.89
2020,9,26,26.56,27.55,94.31,4.7
2020,9,27,25.99,27.7,90.69,3.34
2020,9,28,25.87,28.36,86.75,1.8
2020,9,29,25.58,28.72,83.69,1.18
2020,9,30,25.89,28.48,86.19,1.66
2020,10,1,26.04,28.45,87,1.59
2020,10,2,25.87,28.1,87.81,1.27
2020,10,3,25.86,28.71,84.88,1.09
2020,10,4,26.08,28.36,87.56,1.73
2020,10,5,25.85,27.8,89.25,1.81
2020,10,6,25.35,26.89,91.31,2.66
2020,10,7,25.08,27.37,87.62,1.88
2020,10,8,25.45,28.48,84.06,1.38
2020,10,9,25.97,28.94,84.38,1.53
2020,10,10,26.12,28.9,85.25,1.94
2020,10,11,25.93,28.88,84.56,1.77
2020,10,12,25.33,29.07,80.81,1.27
2020,10,13,25.8,29.27,81.94,1.34
2020,10,14,25.55,29.49,79.75,0.72
2020,10,15,25.62,29.45,80.38,1.07
2020,10,16,25.58,29.34,80.56,1.51
2020,10,17,25.6,28.55,84.56,2.05
2020,10,18,25.27,28.64,82.69,1.25
2020,10,19,24.35,28.78,77.44,1.18
2020,10,20,23.95,27.97,79.25,1.61
2020,10,21,24.98,26.75,90.06,2.12
2020,10,22,24.44,25.51,93.81,3.46
2020,10,23,24.15,25.2,93.88,3.7
2020,10,24,24.29,25.69,92.06,3.52
2020,10,25,23.3,25.56,87.69,2.09
2020,10,26,23.23,26.61,82.38,1.3
2020,10,27,22.4,25.49,83.69,2.04
2020,10,28,23.2,25.89,85.75,2.11
2020,10,29,23.94,26.78,85.19,1.84
2020,10,30,24.81,27.38,86.5,2.33
2020,10,31,25.08,26.37,92.62,2.28
