YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,25.78,29.33,81.69,2.19
2019,9,2,26.32,28.41,88.56,2.28
2019,9,3,26.52,28.77,88,1.29
2019,9,4,25.54,27.67,88.31,2.2
2019,9,5,25.81,28.74,84.38,1.89
2019,9,6,26.23,28.55,87.5,2.48
2019,9,7,26.41,28.8,87.12,2.72
2019,9,8,26.51,28.17,90.94,3.45
2019,9,9,26.7,28.37,91,3.39
2019,9,10,26.45,27.89,92,2.55
2019,9,11,26.84,28.41,91.5,3.12
2019,9,12,26.27,27.48,93.12,4.52
2019,9,13,26.1,27.34,93.06,3.5
2019,9,14,25.65,27.38,90.44,2.32
2019,9,15,25.95,28.15,88.06,2.05
2019,9,16,25.8,28.01,87.88,1.78
2019,9,17,25.19,28.42,83.12,1.41
2019,9,18,24.72,29.12,78.38,1.55
2019,9,19,24.9,29.54,77.19,1.91
2019,9,20,24.87,29.26,78,1.46
2019,9,21,25.21,28.45,83.06,1.66
2019,9,22,25.26,28.7,82.06,1.77
2019,9,23,24.43,26.54,88.5,1.3
2019,9,24,24.19,26.36,88.19,1.41
2019,9,25,23.15,25.8,85.81,1.13
2019,9,26,23.26,26.98,81.19,2.18
2019,9,27,23.36,26.96,81.56,2.12
2019,9,28,23.8,26.01,87.75,1.87
2019,9,29,22.77,25.48,85.25,1.76
2019,9,30,23.23,24.7,91.56,1.84
2019,10,1,23.68,24.88,93.06,2.89
2019,10,2,23.94,26.33,87.06,2
2019,10,3,23.99,26.93,84.12,1.38
2019,10,4,24,26.95,84.31,1.59
2019,10,5,24.61,27.17,86.12,1.58
2019,10,6,24.41,26.97,86.06,1.55
2019,10,7,24.15,26.76,85.81,1.44
2019,10,8,23.9,26.06,88,1.09
2019,10,9,23,26.45,82,1.35
2019,10,10,23.19,25.01,89.81,2.09
2019,10,11,23.23,25.93,85.56,1.36
2019,10,12,22.12,26.38,78.31,1.55
2019,10,13,21.05,25.66,76.81,2.02
2019,10,14,22.07,26.05,79.38,2.03
2019,10,15,22.94,26.74,80,1.99
2019,10,16,23.61,26.88,82.69,1.41
2019,10,17,23.65,27.65,79.31,1.2
2019,10,18,23.06,27.65,76.69,1.54
2019,10,19,22.76,27.3,76.62,1.91
2019,10,20,22.01,26.65,76.38,1.79
2019,10,21,22.65,25.83,83.38,2.52
2019,10,22,22.7,25.12,86.81,2.38
2019,10,23,20.51,24.52,79.38,1.98
2019,10,24,19.95,22.6,85.19,1.59
2019,10,25,21.2,22.91,90.06,2.74
2019,10,26,23.44,24.44,94.19,3.12
2019,10,27,22.33,24.86,86.25,1.82
2019,10,28,21.54,24.62,83.12,1.88
2019,10,29,22.65,25.17,86.19,1.89
2019,10,30,22.44,25.59,82.88,1.66
2019,10,31,20.87,24.82,79.19,1.41
2019,11,1,21.14,25.05,79.31,1.64
2019,11,2,20.99,25.06,78.69,1.84
2019,11,3,21.29,24.62,82,1.9
2019,11,4,20.92,24.56,80.56,1.62
2019,11,5,20.69,24.36,80.62,1.79
2019,11,6,19.8,24.23,77.25,1.91
2019,11,7,20.25,24.35,78.44,2.22
2019,11,8,21.12,25.28,79.19,1.91
2019,11,9,21.46,22.73,92.44,2.42
2019,11,10,20.48,22.51,88.25,4.78
2019,11,11,21.05,24.49,81.69,2.07
2019,11,12,20.49,24.55,78.69,1.57
2019,11,13,20.65,23.91,82.19,1.96
2019,11,14,20.56,24.65,78.56,1.71
2019,11,15,20.23,24.02,79.75,1.64
2019,11,16,19.7,23.24,81.06,1.44
2019,11,17,19.63,22.65,83.56,1.71
2019,11,18,18.67,22.41,79.69,1.59
2019,11,19,18.43,22.25,79.44,1.6
2019,11,20,18.11,21.8,80,1.53
2019,11,21,16.78,21.15,76.88,1.9
2019,11,22,16.94,20.84,78.94,1.95
2019,11,23,17.87,21.47,80.31,1.42
2019,11,24,18.37,21.66,81.75,1.16
2019,11,25,18.28,21.92,80.19,1.34
2019,11,26,18.06,21.61,80.81,1.76
2019,11,27,17.72,21.95,77.75,1.79
2019,11,28,17.86,22.66,75.06,1.87
2019,11,29,17.33,22.33,73.88,1.84
2019,11,30,17.78,21.8,78.19,1.88
2019,12,1,17.14,21.12,78.38,1.71
2019,12,2,15.68,19.89,77.12,1.74
2019,12,3,15,19.13,77.75,2.08
2019,12,4,14.81,19.62,74.75,2.2
2019,12,5,15.23,20.18,74.25,2.98
2019,12,6,14.17,20.44,67.94,2.49
2019,12,7,15.8,20.56,74.94,2.17
2019,12,8,15.88,20.69,74.75,1.96
2019,12,9,15.88,19.8,78.75,1.9
2019,12,10,15.84,19.05,81.94,1.84
2019,12,11,15.4,19.59,77.12,1.47
2019,12,12,15.09,18.71,80,1.69
2019,12,13,14.77,18.8,78.06,1.98
2019,12,14,14.93,19.32,76.69,1.97
2019,12,15,15.58,19.3,79.69,1.95
2019,12,16,15.93,19.22,81.69,2.05
2019,12,17,14.12,17.77,80.06,2.09
2019,12,18,13.42,16.98,80.38,2.3
2019,12,19,13.48,16.14,85,2.47
2019,12,20,13.24,16.05,83.94,1.76
2019,12,21,13.08,15.33,87,1.84
2019,12,22,13.1,15.16,88,1.98
2019,12,23,12.3,16.15,78.56,2.39
2019,12,24,12.1,15.82,79.31,2.39
2019,12,25,11.21,14.83,79.75,2.42
2019,12,26,10.1,17.07,64.5,1.59
2019,12,27,11.74,16.36,74.69,1.77
2019,12,28,12.14,16.66,75.75,2.11
2019,12,29,11.95,16.96,73.62,2.06
2019,12,30,12.21,17.43,72.31,2.42
2019,12,31,13.56,18.02,75.88,2.5
2020,1,1,15.12,19.26,77.44,2.38
2020,1,2,16.34,20.42,77.94,2.09
2020,1,3,15.98,18.12,87.5,2.2
2020,1,4,15.26,17.81,85.38,1.58
2020,1,5,13.23,16.55,81.75,2.6
2020,1,6,10.54,14.79,77.56,2.43
2020,1,7,11.19,15.01,78.44,2.33
2020,1,8,12.12,16.02,78.25,2.02
2020,1,9,13.31,17.09,78.88,1.84
2020,1,10,13.1,16.41,81.75,2.05
2020,1,11,12.81,15.94,82.38,2.71
2020,1,12,13.12,16.83,79.81,2.66
2020,1,13,13.44,16.85,81.06,2.14
2020,1,14,13.74,16.73,83.19,2.25
2020,1,15,14.12,17.27,82.81,2.52
2020,1,16,14.17,18.37,77.25,2.28
2020,1,17,15.01,19.26,76.94,2.09
2020,1,18,15.06,19.52,76.25,2.05
2020,1,19,15.69,19.14,81.25,2.35
2020,1,20,13.28,16.88,80.19,2.91
2020,1,21,9.58,14.9,71.88,2.23
2020,1,22,9.28,14.8,70.62,2.55
2020,1,23,9.23,14.61,71.56,2.71
2020,1,24,8.48,14.18,70,2.69
2020,1,25,9.65,15.03,71.44,2.66
2020,1,26,10.27,15.12,73.62,2.48
2020,1,27,10.5,15.23,74.19,2.32
2020,1,28,10.93,15.27,76.12,2.21
2020,1,29,11.05,16.17,72.44,1.96
2020,1,30,12.94,16.88,78.31,2.08
2020,1,31,13.62,17.11,80.75,2.52
2020,2,1,10.59,15.83,71.94,2.57
2020,2,2,9.46,15.5,68.94,3.09
2020,2,3,9.3,14.84,71.06,2.72
2020,2,4,10.49,15.74,72.44,2.5
2020,2,5,10.3,15.83,71,2.77
2020,2,6,9.66,16.67,64.94,2.52
2020,2,7,9.84,16.51,65.88,2.34
2020,2,8,11.23,18.26,64.44,2.05
2020,2,9,11.66,18.73,64.94,2.3
2020,2,10,10.52,17.01,67.38,2.69
2020,2,11,9.62,17.23,63.56,2.87
2020,2,12,9.74,17.98,60.56,2.79
2020,2,13,9.77,18.08,60.12,2.74
2020,2,14,10.99,18.71,61.69,2.01
2020,2,15,14.2,18.95,74.56,1.59
2020,2,16,15.4,19.68,77.19,1.99
2020,2,17,14.5,19.86,72.06,2.28
2020,2,18,12.96,19.88,65.06,2.06
2020,2,19,13.55,20.55,65.12,1.84
2020,2,20,13.48,19.94,67,1.97
2020,2,21,14.53,21.38,66.69,2.3
2020,2,22,15.3,22.17,66.12,1.94
2020,2,23,15.58,23.12,63.94,1.77
2020,2,24,16.51,21.88,72.5,2.11
2020,2,25,15.76,21.23,72.19,2.5
2020,2,26,15.32,20.55,72.38,1.67
2020,2,27,14.28,19.33,73.94,1.7
2020,2,28,14.1,20.1,69.56,2.4
2020,2,29,14.83,21.78,66.19,2.27
2020,3,1,15.08,21.97,66.56,2.34
2020,3,2,15.01,22.29,64.94,2.27
2020,3,3,15.44,22.37,66.12,2.05
2020,3,4,15.98,22.23,68.81,2.11
2020,3,5,17.05,22.44,72.31,1.89
2020,3,6,17.33,22.62,72.69,1.62
2020,3,7,17.46,21.69,77.69,2.05
2020,3,8,17.31,21.55,77.62,2.46
2020,3,9,13.78,21.11,65.44,2.67
2020,3,10,13.33,21.14,62.88,2.48
2020,3,11,13.58,21.85,60.62,2.47
2020,3,12,15.99,23.76,63.31,2.01
2020,3,13,17.48,25.42,63,1.67
2020,3,14,17.62,24.44,67.69,2.43
2020,3,15,16.69,24.62,63.56,2.47
2020,3,16,15.28,24.33,59.31,3.34
