-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/01/2019 through 12/31/2023 
Location: Latitude  24.9787   Longitude 91.8926 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 103.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2M        MERRA-2 Temperature at 2 Meters (C) 
RH2M       MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M      MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,25.62,29.87,78.75,2.16
2019,9,2,26.34,29.16,85.19,1.34
2019,9,3,26.67,29.08,87.38,1.06
2019,9,4,25.12,28.19,84.0,1.3
2019,9,5,25.51,28.84,82.38,1.63
2019,9,6,25.86,28.87,84.25,1.89
2019,9,7,26.27,28.95,85.81,2.16
2019,9,8,26.05,27.75,90.69,2.2
2019,9,9,26.43,28.03,91.31,3.19
2019,9,10,26.44,27.64,93.25,2.73
2019,9,11,26.62,28.29,91.0,2.66
2019,9,12,26.02,27.39,92.38,3.29
2019,9,13,25.82,26.97,93.56,3.8
2019,9,14,25.54,27.21,90.81,2.38
2019,9,15,25.77,28.28,86.5,1.7
2019,9,16,25.73,28.34,85.88,1.51
2019,9,17,25.24,28.49,83.06,1.59
2019,9,18,24.86,28.92,79.81,1.81
2019,9,19,24.98,28.9,80.0,2.16
2019,9,20,25.04,28.6,81.5,1.8
2019,9,21,25.06,28.1,84.12,1.78
2019,9,22,25.2,28.22,84.38,1.75
2019,9,23,24.07,26.21,88.31,1.4
2019,9,24,24.18,26.44,87.75,1.34
2019,9,25,23.1,25.7,85.94,1.49
2019,9,26,23.51,26.51,84.19,2.31
2019,9,27,23.87,26.79,84.31,2.05
2019,9,28,23.76,26.65,84.81,1.99
2019,9,29,22.88,25.99,83.44,1.84
2019,9,30,23.06,24.98,89.25,1.3
2019,10,1,23.29,25.07,90.0,1.98
2019,10,2,23.97,26.07,88.5,2.14
2019,10,3,24.44,26.22,90.12,2.4
2019,10,4,23.73,26.52,85.06,2.01
2019,10,5,24.2,27.0,85.0,1.84
2019,10,6,24.24,26.65,86.88,1.64
2019,10,7,24.03,26.76,85.25,1.62
2019,10,8,23.98,26.23,87.81,1.44
