YEAR,MO,DY,T2MDEW,T2M,RH2M,WS10M
2019,9,1,26.97,29.43,87.25,2.31
2019,9,2,27.49,30.08,86.75,1.91
2019,9,3,26.98,28.46,91.81,1.83
2019,9,4,26.5,27.74,93,2.17
2019,9,5,26.09,27.99,89.69,2.76
2019,9,6,26.47,28.7,88.12,2.65
2019,9,7,26.69,28.6,89.75,3.84
2019,9,8,26.65,28.62,89.31,3.48
2019,9,9,27.05,29.08,89.25,2.27
2019,9,10,26.96,28.51,91.5,2.65
2019,9,11,27.17,28.61,92.06,2.58
2019,9,12,26.89,28.13,93,4.13
2019,9,13,26.21,27.84,91,3.1
2019,9,14,26.51,28.15,90.94,2.98
2019,9,15,26.67,28.48,90.12,2.37
2019,9,16,26.8,27.79,94.31,2.76
2019,9,17,25.53,27.69,88.25,2.23
2019,9,18,24.42,28.08,81.19,1.4
2019,9,19,24.55,28.58,79.69,1.3
2019,9,20,25.6,28.3,85.56,1.62
2019,9,21,25.19,28.91,81.12,0.89
2019,9,22,25.48,28.4,84.62,1.33
2019,9,23,25.15,26.9,90.25,1.82
2019,9,24,24.84,25.84,94.12,2.39
2019,9,25,24.04,25.43,92.12,2.38
2019,9,26,24.05,25.88,89.88,2.06
2019,9,27,23.58,25.53,89.06,1.04
2019,9,28,23.69,24.92,92.88,2.06
2019,9,29,22.48,23.27,95.19,2.88
2019,9,30,22.5,23.25,95.5,3.12
2019,10,1,23.75,25.15,92.06,3.33
2019,10,2,24.2,26.07,89.69,2.53
2019,10,3,24.49,26.84,87.31,1.94
2019,10,4,24.4,26.7,87.56,1.55
2019,10,5,24.55,26.83,87.62,1.48
2019,10,6,23.94,27.29,82.25,0.58
2019,10,7,24.26,27.32,83.69,0.95
2019,10,8,24.15,25.81,90.75,1.5
2019,10,9,23.35,24.93,91,1.7
2019,10,10,22.74,25.29,86.31,1.4
2019,10,11,22.81,24.98,88.19,2.26
2019,10,12,22.29,24.76,86.81,2.05
2019,10,13,21.87,24.67,85.25,1.32
2019,10,14,21.55,25.26,81,1.09
2019,10,15,22.3,25.63,82.19,1.63
2019,10,16,22.7,26.14,81.88,1.25
2019,10,17,23.04,26.07,84.19,1.22
2019,10,18,22.19,25.72,82,1.34
2019,10,19,21.48,24.69,83.25,1.63
2019,10,20,22.25,24.13,89.69,2.38
2019,10,21,22.5,24,91.69,3.62
2019,10,22,21.15,23.19,88.88,3.34
2019,10,23,20.05,22.29,87.88,1.88
2019,10,24,20.08,21.9,89.62,1.66
2019,10,25,19.9,21.26,92.12,3.98
2019,10,26,19.87,21.33,91.44,2.9
2019,10,27,20.33,22.44,88.38,1.62
2019,10,28,19.82,22.28,86.56,1.4
2019,10,29,20.63,23.32,85.5,1.33
2019,10,30,21.11,24.11,84,1.03
2019,10,31,21.23,24.23,84.25,1.61
2019,11,1,20.65,24.36,80.81,1.3
2019,11,2,20.56,24.3,80.25,1.27
2019,11,3,21.12,24.06,84.25,1.45
2019,11,4,21.05,24.48,81.88,1.29
2019,11,5,20.85,22.9,88.88,2.28
2019,11,6,17.82,22.08,78.5,1.48
2019,11,7,18.61,22.37,79.94,1.66
2019,11,8,21.12,23.21,88.38,2.66
2019,11,9,21.74,23.06,92.44,2.34
2019,11,10,21.12,23.04,89.5,3.23
2019,11,11,20.31,22.62,87.38,1.81
2019,11,12,18.65,21.4,85.44,1.91
2019,11,13,17.62,21.74,78.69,0.85
2019,11,14,20.12,22.84,85.06,1.8
2019,11,15,20.64,23.23,86.38,1.48
2019,11,16,19.82,21.85,89,2.79
2019,11,17,18.51,20.3,89.69,2.72
2019,11,18,17.91,20.19,87.19,1.97
2019,11,19,17.69,19.89,87.88,2.18
2019,11,20,14.61,19.76,74.19,1.1
2019,11,21,17.05,21.01,78.81,1.21
2019,11,22,17.59,20.95,82,1
2019,11,23,17.37,20.53,83.12,1.8
2019,11,24,17.59,19.9,87.06,2.02
2019,11,25,17.22,19.73,85.69,0.8
2019,11,26,18.11,21.47,81.88,0.93
2019,11,27,18.37,21.23,84.31,1.37
2019,11,28,18.36,21.81,81.5,1.02
2019,11,29,17.76,20.54,85.19,1.65
2019,11,30,16.62,19.31,85.38,2.52
2019,12,1,14.86,18.04,82.62,2.3
2019,12,2,14.23,18.1,79.69,1.14
2019,12,3,13.79,17.72,78.62,1.41
2019,12,4,12.8,17.68,74.69,1.23
2019,12,5,14.58,18.42,79.31,2.18
2019,12,6,13.4,17.84,76.31,2.6
2019,12,7,13.15,17.73,75.94,2
2019,12,8,13.47,18.76,72.38,1.4
2019,12,9,14.79,18.34,81.25,1.32
2019,12,10,13.32,17.16,79.44,2.05
2019,12,11,13.38,16.97,80.44,2.13
2019,12,12,14.01,17.3,81.56,1.31
2019,12,13,15.4,18.35,83.69,2.05
2019,12,14,15.22,18.68,81.12,1.9
2019,12,15,14.06,17.76,80,1.88
2019,12,16,13.86,18.26,77.56,2.49
2019,12,17,13.22,15.89,85.62,2.84
2019,12,18,10.96,13.77,84.25,2.38
2019,12,19,9.68,12.85,82.44,1.93
2019,12,20,10.33,13.83,80.69,2.16
2019,12,21,9.87,13.54,79.94,2.07
2019,12,22,9.94,13.18,82.69,2.02
2019,12,23,11.01,13.98,83.12,1.77
2019,12,24,9.48,14,76.88,2.13
2019,12,25,7.83,12.73,74.25,1.8
2019,12,26,8.78,13.78,73.69,1.39
2019,12,27,8.22,13.58,71.38,1.99
2019,12,28,6.06,12.18,69.25,1.89
2019,12,29,6.17,12.63,66.56,1.92
2019,12,30,8.59,14.21,70.06,1.98
2019,12,31,11.49,15.5,79,3.09
2020,1,1,12.02,16.13,78,3.21
2020,1,2,13.8,18.1,77.06,2.48
2020,1,3,13.85,16.63,83.88,1.57
2020,1,4,13.43,16.15,84.88,1.77
2020,1,5,10.66,14.9,77.31,3.42
2020,1,6,8.58,13.24,75.75,2.56
2020,1,7,8.07,13.19,73.12,1.88
2020,1,8,9.03,15.3,67.56,1.25
2020,1,9,11.81,15.34,80.44,2
2020,1,10,11.98,15.17,82.81,3.51
2020,1,11,9.81,13.63,79.56,3.05
2020,1,12,8.5,13.46,73.94,2.54
2020,1,13,8.93,14.3,71.81,1.96
2020,1,14,10.3,15.39,73.31,2.34
2020,1,15,10.62,15.9,72.5,1.67
2020,1,16,10.94,17.58,66.31,1.26
2020,1,17,13.53,18.06,76.38,1.88
2020,1,18,14.32,18.62,77.19,1.96
2020,1,19,13.18,16.9,80.19,3.45
2020,1,20,9.7,14.26,77,3.6
2020,1,21,8.53,13.77,73.38,2.76
2020,1,22,7.2,13.27,69.56,2.7
2020,1,23,7.52,12.73,73.25,2.81
2020,1,24,7.47,13.77,67.88,1.66
2020,1,25,8.16,15.16,64.5,1.34
2020,1,26,8.09,14.76,66.12,2.4
2020,1,27,8.74,14.36,71.25,2.76
2020,1,28,9.39,15.26,70.69,2.16
2020,1,29,11.6,16.07,76.12,1.82
2020,1,30,13.28,17.07,79.69,1.95
2020,1,31,9.87,15.96,69.88,3.8
2020,2,1,8.03,15.66,62.69,2.29
2020,2,2,7.22,14.37,64.5,3.43
2020,2,3,6.65,14.06,63.69,1.93
2020,2,4,7.26,15.53,60.25,1.88
2020,2,5,6.48,15.79,56.75,3.21
2020,2,6,6.44,15.29,58.5,2.69
2020,2,7,6,16.43,52.12,1.93
2020,2,8,7.16,17.17,54,1.12
2020,2,9,6.48,16.55,53.81,2.91
2020,2,10,5.78,15.62,55.06,3
2020,2,11,5.8,15.57,55.94,2.86
2020,2,12,5.72,16.27,53.25,3.24
2020,2,13,7.18,16.4,57.56,2.96
2020,2,14,9.84,18.21,60.25,2.1
2020,2,15,12.55,19.08,67.69,2
2020,2,16,10.05,19.42,57,2.47
2020,2,17,10.1,19.92,55.69,2.68
2020,2,18,10.51,19.17,60.12,3.4
2020,2,19,6.56,19.98,44.56,1.66
2020,2,20,7.6,20.94,43.88,1.52
2020,2,21,10.56,20.83,55.12,2.24
2020,2,22,12.16,21.32,57.25,1.27
2020,2,23,11.37,23.07,51.25,1.8
2020,2,24,12.8,21.73,58.31,1.84
2020,2,25,14.24,21.33,65.19,1.98
2020,2,26,14.27,19.19,74.31,2.14
2020,2,27,13.08,20.26,67.25,1.8
2020,2,28,11.33,21.44,55.56,1.12
2020,2,29,12.05,21.81,56.12,1.15
2020,3,1,12.42,22.38,55.44,1.65
2020,3,2,12.81,22.99,55.06,2.97
2020,3,3,14.01,23.01,60.06,2.91
2020,3,4,15.14,22.8,64.19,2.23
2020,3,5,15.33,23.13,63.81,2.22
2020,3,6,16.05,22.83,67.19,2.04
2020,3,7,15.73,21.64,70.25,2.24
2020,3,8,14.07,22.51,62.69,4.05
2020,3,9,11.03,21.28,55.44,3.92
2020,3,10,9.42,21.62,49.62,2.82
2020,3,11,11.65,22.48,53.44,3.55
2020,3,12,16.01,24.68,61.38,2.5
2020,3,13,14.83,26.1,54.62,1.68
2020,3,14,17.17,21.9,77.12,3.02
2020,3,15,14.76,20.53,71.31,3.2
2020,3,16,14.36,21.88,66.12,3.32
2020,3,17,12.39,21.78,57.69,3.12
2020,3,18,12.75,21.76,59.38,3.35
2020,3,19,13.64,22.52,60.38,3.18
2020,3,20,13.94,23.64,57.31,2.46
2020,3,21,13.88,24.2,55,2.69
2020,3,22,15.06,22.66,64.06,1.81
2020,3,23,14.56,23.54,59.12,1.7
2020,3,24,15.04,24.29,58.69,1.9
2020,3,25,15.65,25.72,55.56,1.88
2020,3,26,15.42,26.15,54.38,2.34
2020,3,27,15.55,27.13,51.56,2.09
2020,3,28,15.94,26.99,53.31,4.91
2020,3,29,12.01,25.6,47.06,5.96
2020,3,30,10.9,24.78,46.12,4.7
2020,3,31,10.76,25.31,43.25,2.3
2020,4,1,11.98,27.43,40.38,1.98
2020,4,2,13.23,27.8,43.19,3.3
2020,4,3,12.15,27.05,43.19,3.05
2020,4,4,9.27,26.23,39,3.02
2020,4,5,9.12,26.79,35.56,2.45
2020,4,6,10.48,26.82,39.06,2.16
2020,4,7,10.94,27.7,39.25,3.32
2020,4,8,11.26,28.69,36.56,2.17
2020,4,9,14.88,27.95,47.81,2.51
2020,4,10,14.4,28.22,46.19,1.92
2020,4,11,16.12,28.96,49.62,2.97
2020,4,12,16.97,27.48,56,2.47
2020,4,13,16.14,29.07,48.69,1.95
2020,4,14,18.29,30.56,50.06,1.84
2020,4,15,21.33,28.63,65.62,1.71
2020,4,16,19.86,27.18,66.06,2.13
2020,4,17,20.01,27.52,66,3.2
2020,4,18,21.35,26.87,72.56,2.74
2020,4,19,18.8,29.1,58.44,3.08
2020,4,20,21.83,28.08,70.88,3.01
2020,4,21,20.49,24.58,79,2.75
2020,4,22,18.03,24.87,68.25,1.52
2020,4,23,18.15,26.16,64.44,2.34
2020,4,24,19.87,25.3,73.94,2.6
2020,4,25,19.93,24.56,77.12,3
2020,4,26,19.8,24.85,75.06,3.05
2020,4,27,20.64,25.99,74.12,2.48
2020,4,28,21.3,24.98,80.94,3.05
2020,4,29,20.94,25.54,77.69,1.89
2020,4,30,21.07,25.9,76.12,1.96
2020,5,1,21.7,26.84,74.75,2.2
2020,5,2,21.88,26.19,77.75,1.68
2020,5,3,21.59,26.93,74.25,1.96
2020,5,4,21.94,27.94,71.94,2.22
2020,5,5,22.41,28.83,70.12,1.69
2020,5,6,20.31,27.73,65.88,1.95
2020,5,7,20.43,27.16,69.12,2.52
2020,5,8,20.14,27.05,68.44,2.27
2020,5,9,21.44,27.62,70.94,2.23
2020,5,10,21.87,29,67.06,2.23
2020,5,11,22.54,28.74,69.75,1.12
2020,5,12,22.23,28.6,69.25,2.06
2020,5,13,21.34,28.64,66.62,2.75
2020,5,14,23.8,27.98,79.38,2.31
2020,5,15,23.57,27.87,78.69,2.53
2020,5,16,24.42,28.72,79.12,2.12
2020,5,17,24.53,28.87,79.19,2.41
2020,5,18,25.08,28.72,81.38,2.35
2020,5,19,25.64,28.44,85.38,2.8
2020,5,20,23.31,25.44,88.31,4.52
2020,5,21,23.63,25.12,91.38,8.73
2020,5,22,23.69,25.35,90.69,3.91
2020,5,23,24.44,28.51,80,1.81
2020,5,24,25.48,29.8,78.88,3.07
2020,5,25,26.51,30.15,82.31,3.45
2020,5,26,26.39,29.8,83,2.85
2020,5,27,25.05,27.51,87,5.12
2020,5,28,22.9,26.47,81.31,2.43
2020,5,29,24.1,27.49,82.31,2.17
2020,5,30,24.18,27.94,80.62,2.09
2020,5,31,24.87,28.01,83.75,1.84
2020,6,1,24.87,28.41,81.94,2.23
2020,6,2,24.71,28.32,81.62,2.36
2020,6,3,24.25,27.77,82.12,2.14
2020,6,4,24.54,27.63,83.94,2.39
2020,6,5,25.4,28.33,84.81,2.22
2020,6,6,25.65,29.36,81,1.75
2020,6,7,24.38,28.91,77.06,2.3
2020,6,8,25.65,29.07,82.88,2.16
2020,6,9,25.99,29.68,81.44,1.52
2020,6,10,26.57,29.36,85.5,2.2
2020,6,11,26.74,29.09,87.75,2.74
2020,6,12,26.01,27.87,89.88,3.55
2020,6,13,26.72,28.16,91.94,3.42
2020,6,14,26.32,28.12,90.19,3.41
2020,6,15,26.69,28.41,90.62,3.41
2020,6,16,26.73,28.33,91.19,2.91
2020,6,17,26.66,28.53,89.94,2.83
2020,6,18,26.37,27.55,93.31,4.2
2020,6,19,26.83,28.67,90.06,3.25
2020,6,20,26.89,29.26,87.38,2.47
2020,6,21,26.69,29.14,86.94,3.05
2020,6,22,26.46,28.6,88.56,3.84
2020,6,23,26.81,29.3,86.88,2.49
2020,6,24,26.95,28.93,89.31,3.55
2020,6,25,27.32,28.19,94.94,4.96
2020,6,26,27.05,28.2,93.44,4.69
2020,6,27,26.93,28.3,92.25,5.2
2020,6,28,26.67,28.24,91.38,2.52
2020,6,29,26.22,28.36,88.5,2.62
2020,6,30,26.3,28.98,86,2
2020,7,1,26.86,28.59,90.38,3.48
2020,7,2,27.52,28.42,94.81,3.48
2020,7,3,27.13,28.06,94.56,3.06
2020,7,4,26.55,28.48,89.5,1.94
2020,7,5,26.87,28.38,91.62,3.27
2020,7,6,26.72,28.27,91.38,4.34
2020,7,7,27.09,29.14,89,3.74
2020,7,8,27.23,28.85,91.12,3.34
2020,7,9,27.28,28.48,93.19,3.38
2020,7,10,27.67,28.81,93.5,5.03
2020,7,11,26.43,27.76,92.44,4.7
2020,7,12,27.17,28.36,93.25,2.66
2020,7,13,27.09,29.23,88.56,2.3
2020,7,14,26.94,28.73,90.25,2.84
2020,7,15,26.78,28.79,89.19,3.27
2020,7,16,26.49,28.81,87.69,2.54
